,0
0,ART_AND_DESIGN
1,AUTO_AND_VEHICLES
2,BEAUTY
3,BOOKS_AND_REFERENCE
4,BUSINESS
5,COMICS
6,COMMUNICATION
7,DATING
8,EDUCATION
9,ENTERTAINMENT
10,EVENTS
11,FINANCE
12,FOOD_AND_DRINK
13,HEALTH_AND_FITNESS
14,HOUSE_AND_HOME
15,LIBRARIES_AND_DEMO
16,LIFESTYLE
17,MAPS_AND_NAVIGATION
18,MEDICAL
19,MUSIC_AND_AUDIO
20,NEWS_AND_MAGAZINES
21,PARENTING
22,PERSONALIZATION
23,PHOTOGRAPHY
24,PRODUCTIVITY
25,SHOPPING
26,SOCIAL
27,SPORTS
28,TOOLS
29,TRAVEL_AND_LOCAL
30,VIDEO_PLAYERS
31,ANDROID_WEAR
32,WEATHER
33,GAME
34,GAME_ACTION
35,GAME_ADVENTURE
36,GAME_ARCADE
37,GAME_BOARD
38,GAME_CARD
39,GAME_CASINO
40,GAME_CASUAL
41,GAME_EDUCATIONAL
42,GAME_MUSIC
43,GAME_PUZZLE
44,GAME_RACING
45,GAME_ROLE_PLAYING
46,GAME_SIMULATION
47,GAME_SPORTS
48,GAME_STRATEGY
49,GAME_TRIVIA
50,GAME_WORD
51,FAMILY
