,img_src,title,link,id,developer_link,developer_name,description,price_inapp,category,num_downloads,num_downloads_approx,published,published_timestamp,pegi,filesize,os,software,price,rating
0,https://lh3.googleusercontent.com/ekqMTRjOBNGI6qkwTl1Vm9qrm4gZ7KsnJprad3RuZNmFGfRAor1QAvFiUXeNXEbHhRQ,Real Bike Racing,https://play.google.com/store/apps/details?id=com.wordsmobile.RealBikeRacing&hl=nl&gl=nl,com.wordsmobile.RealBikeRacing,https://play.google.com/store/apps/developer?id=Italic+Games,Italic Games,"Welcome to the definitive motorcycle racing experience! Real Bike Racing is a must have game for all motor bike riders!<br><br>Start the engine, hit the gas and experience the thrill of handling a 200 HP beast. Go bumper to bumper with elite riders to win the world championship. Now get ready for adrenaline fueled racing action and ride your way to victory in the fastest lane of all!<br><br>Game Features:<br>- Take the wheel of 10+ types of unique superbikes<br>- Fully functioning rear view mirrors<br>- Realistic 3D graphics with dynamic lighting effects<br>- VR mode (virtual reality) which supports Google Cardboard &amp; etc.","€ 1,99 - € 99,99 per item",GAME_RACING,159250799,100000000,Thu May 30 15:36:55 2019,1559214415,PEGI 3,21M,4.0 en hoger,1.0.9,0 USD,4.0545692
1,https://lh3.googleusercontent.com/6SYTR26RO5qbSoG5ytOw0JP797SFIqs8D8V_hpw_JJMgD2Tfu_FKRCw9WD9tEIgwD2kY,nieuwe Motorfiets stunt spoor 3D - TKN Spellen,https://play.google.com/store/apps/details?id=com.knights.bikesstunt.motomaster&hl=nl&gl=nl,com.knights.bikesstunt.motomaster,https://play.google.com/store/apps/dev?id=6439460247209426995,The Knights Pvt Ltd,"De Ridders Inc. verwelkomt u in de Fiets Race nl Fiets stunt Spellen<br><br>Invoering<br><br>Fiets de stunt Trucs Meester is een gratis mobiele game beschikbaar voor Android smartphones. Doe mee met miljoenen gameplayers die graag fietsspelletjes simuleren en ze willen professionele fietsers zijn. Het echte kampioenschap voor fietsstunts in je smartphone staat op het punt te beginnen, je bent slechts één tik verwijderd. Nu is de bike-stuntgame beschikbaar met geüpgrade lastige fietsen en gekke rijders.<br><br>Waarom en hoe Bike Race Game te spelen<br><br>Stuntfietsop houtachtig sporen is de beste kans om trucjes meester te worden in dit race-3D-spel. De beste gebruikers van de beste mobiele game worden uitgenodigd om unieke stunts uit te voeren, zoals andere moto-spellen. Zet je stunthelm op de motor en maak deel uit van het avontuur op het gebied van wielerwedstrijden. Houd in gedachten  Moto-gamesavontuur is nu aan je vingertoppen. Tutorial helpt je rijden in moto-simulatorspel.<br><br>Wedstrijdoverzicht - echte motorfietsstunt versus moto gratis spellen<br><br>We hebben tracks voorbereid op basis van echte racescenario&#39;s met verschillende niveaus, van eenvoudige proeven tot een technische aanpak. Bent u motorracer ?? Laten we eens kijken wat je hebt, gebruik je motortrillingen en voltooi alle uitdagende taken.<br><br><br>Dingen om te vermijden<br>Sla geen obstakels in je baan, wees slim genoeg om goed te rijden door gekke moto-stunts toe te passen. Hier ben je ! Pas je motorische ritten toe en voltooi de gevaarlijke taken op tijd. We verzekeren je dat je na het spelen van deze fietsspel voor minstens 5 pepermuntjes alle autogames en andere dingen in de simulatie vergeet. Je staat op het punt een echte stuntman te worden van motorspellen.<br><br>Sterren maximaliseren<br> Beëindig alle niveaus met drie sterren en maak je kans om je te kwalificeren voor de volgende niveaus. Sommige niveaus zijn voorwaardelijk omdat je alleen kunt openen als je een bepaald aantal sterren hebt. Wees dus snel en wees snel. Miljoenen gebruikers concurreren met jou net als andere motorspellen.<br> Meerdere fietsen zijn beschikbaar om stunts uit te voeren, alle fietsen verschillen in parameters zoals (Grip, acceleratie, Flexibiliteit), kies de beste van hen: geef een paar munten uit om al deze op te voeren. Alle motorfietsen hebben een goede prijs-prestatieverhouding, u hoeft er geen echt geld aan uit te geven, alleen spelniveaus verdienen munten en uitgaven. Deze gekke motorstuntmanie zal veranderen in het racekampioenschap als je passie hebt.<br><br>Fietsraces controles<br> <br>Hetzelfde als je echte stuntfiets!<br> Druk op de race-knop om te versnellen, druk op remmen om te voorkomen dat er botsen, links en rechts worden geplaatst om het leunen van de fiets te regelen en de springknop is ook aanwezig.<br> ** vergeet niet om fl ip snd front-fl ip mee te nemen voor extra beloningen **<br><br>Opmerking alstublieft - Kantelbediening is ook aanwezig (Go in instellingen van deze Bike Racing Game, en selecteer tilt controle en geniet van gratis plezier)<br><br>In - App-aankopen en advertenties in racespel<br><br> Voor degenen die daar geen munten willen uitgeven, kunnen ze echt geld uitgeven om de fietsen te krijgen. We hebben een beperkt aantal advertenties geplaatst om de gebruikers te verversen. U kunt ze verwijderen door gebruik te maken van eenvoudige In-app-aankoop van één dollar! Wees een echte stuntman in je echte leven als je de passie hebt om de moto in games te simuleren.Maar onthoud:<br> * Probeer het niet thuis, neem eerst professionele trainingen!","€ 1,09 - € 84,99 per item",GAME_SIMULATION,87173135,50000000,Sat Sep 12 10:25:14 2020,1599890114,PEGI 3,70M,4.1 en hoger,3.74,0 USD,4.1216774
2,https://lh3.googleusercontent.com/wl5IkN3PL65QYojj7wLTVyK7LyKNgxUsSix0ot7DftGz_3xNeAkF4Ve55RdlT8wfKnuZ,Hill Climb Racing 2,https://play.google.com/store/apps/details?id=com.fingersoft.hcr2&hl=nl&gl=nl,com.fingersoft.hcr2,https://play.google.com/store/apps/dev?id=7064049075652771302,Fingersoft,"From the Creators of the Original Hill Climb Racing Comes Hill Climb Racing 2! It&#39;s Bigger, It&#39;s Better And It&#39;s Much Much Funner!? Play one of the most downloaded racing games!<br><br>Hill Climb Racing 2 is a free to play racing game with both online multiplayer races and an offline adventure driving mode.<br><br>• 🏆 <b>EVENTS</b> - Compete and Win in Weekly Online Multiplayer Events!<br>• 🚗 <b>UNLOCK</b> - Unlock Cars, Bikes and Trucks and Choose the Best One for Your Driving Style!<br>• 🔧 <b>UPGRADE</b> - Top the Performance of the Cars You Compete With!<br>• 🔧 <b>TUNE</b> - Choose &amp; Upgrade 14+ Unique Tuning Parts!<br>• 🎩 <b>CUSTOMIZE</b> - Create Cool Characters and Drive Awesome Cars!<br>• 🏁 <b>RACE</b> - Drive in Hundreds of Levels!<br>• 👨‍👩‍👦‍👦 <b>TEAM UP!</b> - Form the Ultimate Multiplayer Racing Team with your Friends!<br>• 💗 <b>SOCIAL</b> - Challenge Your Friends Online and Top Their Records!<br>• 🕹 <b>ARCADE FUN</b> - Perform Stunts, Flips &amp; Wheelies or Crash trying!<br>• 🏆 <b>COMPETE</b> - Climb the Online Multiplayer Leaderboards, Win Races and Be the Best!<br><br>Kill Time Driving in one of the best racing games available!  With Awesome Bikes, Cars, Motorcycles, Trucks and other great vehicles to drive both online and offline with!<br><br>Remember that we&#39;re always reading your feedback and are hard at work creating new original content: new cars, bikes, cups, levels and features. If you find a bug or have a crash let us know so we can fix it. We really appreciate if you&#39;d report what you like or dislike and any issues you may have with the game to support@fingersoft.com, please include your device make and model.<br><br>Follow Us: 🔍<br>* Facebook: https://www.facebook.com/Fingersoft<br>* Twitter: https://twitter.com/HCR_Official_<br>* Website: https://www.fingersoft.com<br>* Instagram: https://www.instagram.com/hillclimbracing_official<br>* Discord: https://discord.com/invite/fingersoft<br><br>Terms of Use: https://fingersoft.com/eula-web/<br>Privacy Policy: https://fingersoft.com/privacy-policy/<br><br>Hill Climb Racing™️ is a registered trademark of Fingersoft Ltd. All rights reserved.","€ 0,59 - € 99,99 per item",GAME_RACING,201882804,100000000,Thu Sep 24 14:17:33 2020,1600944453,PEGI 3,135M,4.2 en hoger,1.39.0,0 USD,4.369209
3,https://lh3.googleusercontent.com/B_EE8Uh6aHsjnAsoTHOww3-9ai64qA6iSOcAqxd_AnTezbZ8ZMIqRbZjSIykpCqk6wm1,Bike Race Free - Top Motorcycle Racing Games,https://play.google.com/store/apps/details?id=com.topfreegames.bikeracefreeworld&hl=nl&gl=nl,com.topfreegames.bikeracefreeworld,https://play.google.com/store/apps/developer?id=Top+Free+Games.,Top Free Games.,"Are you looking for Driving Games? Racing Games? Fun Games? You got it right!<br><br>Bike Race is one of the best racing games on Android! Race and have fun <br>against millions of players. <br><br>Bike Race is one of the top-rated free driving games! One of the most fun games ever made! And it&#39;s free! <br><br>Speed up the wheels and get ready for fun! <br><br>Dont ever forget: Thinking of Racing Games or Driving Games, think about Bike Race!","€ 1,09 - € 109,99 per item",GAME_RACING,185985382,100000000,Thu Jul  9 03:49:58 2020,1594250398,PEGI 3,31M,4.2 en hoger,7.9.3,0 USD,4.2691183
4,https://lh3.googleusercontent.com/rEFu1SSZOPNoswkd5YhyPgyMUTOlwsr4o0CIAEK4RMofMJx2MRtbUX2y1xUrVRccpG6X,fiets onmogelijk sporen race: 3D motorfiets stunts,https://play.google.com/store/apps/details?id=com.monstergamesproductions.ramp.moto.rider&hl=nl&gl=nl,com.monstergamesproductions.ramp.moto.rider,https://play.google.com/store/apps/dev?id=7824800856503386487,Monster Games Productions PTY LTD,"Multiplayer, superbike-stunt racen tegen je partner of eender welke vreemde online, kan niet beter worden dan dat. Neem de volledige controle over je motor, controleer de mogelijkheid van de tegemoetkomende stunt of mega-hellingbaan en houd je rivalen in de gaten, terwijl je probeert te fluiten en je voor de ultieme glorie van de motorrijder brengt. Je hoeft niet in ultra-charged modus te zijn, omdat sommige stunts extra ijverig moeten zijn en slim moeten zijn.<br><br>Veel interessante modus afgezien van Multiplayer, zorg ervoor dat je ze allemaal speelt, om alle superfietssloten te ontgrendelen, om een ​​betere kans te hebben tegen deze waanzinnige gekke snelle fietser die aan de andere kant van de wereld op je wacht, in een poging je te onderwijzen een les van het leven. Veel geluk en veel plezier.<br><br>Als je een supersnelle snelheidsvlieger bent en je hebt bijna de positie van gevaarlijk stunt motobike racegames gegeven, dan ben je klaar om de echte rampage nieuwe stunt fiets rally in het midden van de hemel te ervaren zonder grenzen aan snelheid. De fantastische en verbazingwekkende motobike stunts uitdagingen zullen je verbazen. Gekke slimme fietsers en een super vliegende jumper rijden stuntomgeving maken dit spel interessanter. Crazy bike impossible tracks stunts op zigzag trails is een sensatie. Je hebt extreme stunt-fietsvaardigheden nodig om veilig te rijden op lastige, zigzaggende, tracks, verticale en bochtige paden. Je zult het gevoel hebben dat je echt slim fietst voor je leven op echte gekke wolken en mid-air-hoogtes om onmogelijke stunts-racemissies te volbrengen. Het besturen van een echte supermotor bike-stunt kan een uitdaging voor je zijn, je bent een competente speler geweest om alle superstad-onmogelijke missies aan je te voltooien? Ga op je supercrosscross rijder rijden op onmogelijke rijsporen. Deze grandioze onmogelijke stunts motorrijdende rij-game biedt enkele wegtrajecten en supergroeiende hellingen en problemen.<br><br>Het is altijd leuk om stad superheld motorfietsracen te spelen, maar het is belangrijker om de echte moto rijder kampioen fietskampioen te worden en alle niveaus te voltooien in dit superheld moto renners racegame. In superheld mega vertical ramp stunts speed bike rijder driving game zijn er twee modi om te spelen, d.w.z. stuntsmodus binnen tijdslimiet en de gratis racemodus. Beheers je vaardigheden op het gebied van mega-stunt-fietsen, sky-bike-uitdagingen en race tegen de tijd en daag vervolgens andere motorrijders uit.<br><br>Kenmerken:<br>• Verbluffende 3D-realistische grafische afbeeldingen die het best geschikt zijn voor deze verticale motorhellinguitdaging.<br>• Geluidseffecten en achtergrondmuziek voor meer plezier<br>• Uitdagende motorfiets-onmogelijke tracks om verbluffende hoge sprongen en teruggekaatste flips uit te voeren.<br>• Realistische moderne stadsomgeving met onmogelijke tracks<br>• Twee speelmodi, een verticale oprit Racing challenge en mega ramp stunts uitdaging tegen de tijd.","€ 0,69 - € 7,49 per item",GAME_ADVENTURE,21955922,10000000,Sun Apr 19 15:03:09 2020,1587292389,PEGI 3,Varieert per apparaat,4.1 en hoger,2.0.9,0 USD,4.0758405
5,https://lh3.googleusercontent.com/3JzjZwWDGuk49msstnvR3k7tjd7vo_461jLMMiZIdvxlz_lhF6oXF0Ws4s_8599hdrBL,Trial Xtreme 4: Extreme Bike Racing Champions,https://play.google.com/store/apps/details?id=com.x3m.tx4&hl=nl&gl=nl,com.x3m.tx4,https://play.google.com/store/apps/dev?id=5042939762592943088,Deemedya INC,"<b>This is no ordinary skill-based racing game – our brand new Xtreme physics engine designed for a realistic motocross PVP game experience. Overcome millions of players around the world, crazy obstacles and amazing bikes</b><br><br>⭐PVP RACING ⭐<br>Race against players all around the world and win cash and other amazing prizes!                    Want to earn big bucks? Compete in PVP duels and tournaments to win the jackpot.<br><br>⭐OVER 200 XTREME LEVELS⭐<br>Each level will not just challenge your bike skills but also your strategic thinking. Not everyone can complete our levels, especially with 3 starts and reach our most Xtreme levels ever!<br><br>⭐XTREME GRAPHICS ⭐ <br>The craziest 3D graphics you&#39;ve ever seen come together with perfectly designed levels to form an insane riding experience.<br><br>⭐UPGRADE FOR SUCCESS ⭐<br>Upgrade your bike abilities; improve your ‘on track’ performance and your bike’s appearance with the most hardcore equipment available.<br><br>⭐SWAG MODE ⭐<br>Bling up your rider with more than 200 awesome customization gear items and match your style to your abilities. <br><br>Follow Trial Xtreme 4 on Facebook &gt;&gt;<br>https://www.facebook.com/Trial4<br><br>Follow Deemedya on Facebook &gt;&gt; <br>http://www.facebook.com/Deemedya<br><br>Visit our official site &gt;&gt;<br>http://www.deemedya.com<br>For support, feedback and suggestions &gt;&gt;<br>support@deemedya.com","€ 0,67 - € 224,99 per item",GAME_RACING,48988873,10000000,Thu Aug 27 13:27:26 2020,1598518646,PEGI 3,Varieert per apparaat,5.0 en hoger,2.8.15,0 USD,4.08423
6,https://play-lh.googleusercontent.com/pM1IOwE7j21qBgbWwN1ygbq9z7kgYG34dw00efDaF6MfS_x3DhocwBoBzYzhODAd3EU,Bike Racing 3D,https://play.google.com/store/apps/details?id=com.wordmobiles.bikeRacing&hl=nl&gl=nl,com.wordmobiles.bikeRacing,https://play.google.com/store/apps/developer?id=Words+Mobile,Words Mobile,"Bike Racing 3D is the No.1 xtreme BMX game with insane and stunt action! Bury the competition as you drive through a variety of treacherous tracks while enjoying the realistic bike physics and fast-paced gameplay.<br><br>Bike Racing 3D is easy to pick up but hard to master which will keep you in the zone for hours. Race, jump and crash your way and other mad rivals through the amazing frontier tracks as you master the skills and the physics of motocross in this high speed racing adventure. Here is your chance to step up and prove that you are the most intense and competitive biker!<br><br>Game Features:<br>- 60 tracks in Career mode, from easy trials to very technical<br>- Authentic 3D physics and feel good graphics<br>- Select from 5 unique bikes, ride how you want to ride","€ 1,49 - € 74,65 per item",GAME_RACING,133983103,100000000,Fri May 10 17:19:31 2019,1557492571,PEGI 3,16M,4.0 en hoger,2.4,0 USD,4.1432962
7,https://lh3.googleusercontent.com/590AflDt-hW2t85Cit_ODJPJdRiMMRn2cSF0vYNfsBpjm895x1zDy0npbD7IlDCvmNvI,Traffic Rider,https://play.google.com/store/apps/details?id=com.skgames.trafficrider&hl=nl&gl=nl,com.skgames.trafficrider,https://play.google.com/store/apps/dev?id=7063637161723821824,Soner Kara,"Een nieuw meesterwerk van de makers van Traffic Racer. Dit keer kruip je achter het stuur van een motor in een game-ervaring met veel meer details, met behoud van de kenmerkende fun en eenvoud.<br><br>Traffic Rider tilt het eindeloze racegenre naar een volledig nieuw niveau door de toevoeging van een volledig carrièrespeltype, eerstepersoonsperspectief, betere graphics en realistische, opgenomen motorgeluiden. De essentie van soepel arcaderacen is er nog steeds, maar dan in het jasje van de nieuwe generatie. Race op je motor op de eindeloze snelwegen. Haal het andere verkeer in, en upgrade en koop nieuwe motoren om de missies in het carrièrespeltype te verslaan.<br><br>Het is tijd om de weg op te gaan op een motor!<br><br>KENMERKEN<br>- Eerstepersoonsperspectief<br>- 29 motoren om uit te kiezen<br>- Echte motorgeluiden, opgenomen van echte motoren<br>- Gedetailleerde omgevingen met dag- en nachtvariaties<br>- Carrièrespeltype met meer dan 70 missies<br>- Online klassementen en 30+ prestaties<br>- Ondersteuning voor 19 talen<br> <br>TIPS<br>- Hoe sneller je rijdt, hoe hoger je score<br>- Als je 100 km/u rijdt, moet je het overige verkeer strak inhalen voor bonusscores en cash<br>- Als je spookrijdt, haal je een hogere score en ontvang je extra cash<br>- Doe wheelies voor een hogere score en cash<br>- Mis de Starter-Kit met 30% korting niet!<br><br>VOLG ONS<br>* http://facebook.com/trafficridergame<br>* http://twitter.com/traffic_rider<br><br>*** Geen timers, geen brandstof ***  Alleen maar eindeloze fun!<br><br>Traffic Rider wordt regelmatig bijgewerkt met je suggesties. Schrijf een recensie met je feedback.","€ 2,29 - € 109,99 per item",GAME_RACING,311022858,100000000,Fri Jul 17 16:55:02 2020,1594988702,PEGI 3,109M,5.0 en hoger,1.70,0 USD,4.3803887
8,https://lh3.googleusercontent.com/MuQWVfrlZShbU-f7PmYD6b5ESZE9qn4GUCc-nccpt4o2IoGTd06woGSUoNzJQukkGbM,Stunt Extreme - BMX jongen,https://play.google.com/store/apps/details?id=com.renderedideas.stuntextreme&hl=nl&gl=nl,com.renderedideas.stuntextreme,https://play.google.com/store/apps/dev?id=6256141919349101796,Rendered Ideas,Race tegen de klok en je rivalen in dit geweldige stuntspel. Doe talloze trucs met je crossmotor. Het draait allemaal om het laten zien van je stunts en het verslaan van iedereen om je eerste plek te claimen.<br><br>Kenmerken:<br>- Verbazingwekkende realistische graphics<br>- Carrière- en overlevingsmodus<br>- Extreme motor-trailstunts!<br>- Waanzinnige BMX-tracks voor motorcrossracen!,"€ 0,59 - € 22,99 per item",GAME_ACTION,23568588,10000000,Wed Aug 26 14:15:41 2020,1598435141,PEGI 3,21M,4.1 en hoger,7.1.18,0 USD,3.9869666
9,https://lh3.googleusercontent.com/pK-5TELK5bvbRhLfU6HFqxiaYypPJOWd4Qxy-MDe1JCSQZ29dKsrzpWnImqE9Lqruw,Racing Fever: Moto,https://play.google.com/store/apps/details?id=mobi.gameguru.racingfevermoto&hl=nl&gl=nl,mobi.gameguru.racingfevermoto,https://play.google.com/store/apps/dev?id=4972816319461272638,Gameguru,"De makers van Racing Fever brengen een gloednieuwe motorrace-ervaring uit!<br><br>In dit spel hebben we alle adrenaline, fun en opwinding samengebracht die een bandenset jou kan brengen. De geweldige race-ervaring en adembenemende graphics zullen ervoor zorgen dat je je telefoon niet meer kunt neerleggen.<br><br>4 verschillende camerastandpunten<br>Voor een realistischere ervaring kan je spelen vanuit het gezichtspunt van je piloot, of je kan meer controle over de race krijgen door gebruik te maken van verschillende camerastandpunten.<br><br>Realistisch gemodelleerde motorfietsen<br>We hebben 16 verschillende motorfietsen tot in de kleinste details voor jou gemodelleerd. Maak je keuze, verbeter het prestatievermogen, pas het ontwerp aan en start met racen.<br><br>Een raceavontuur met 4 verschillende bendeleiders en tientallen levels<br>4 verschillende regio&#39;s en 4 meedogenloze bendeleiders! Tientallen verschillende racetypes in verschillende seizoenen en in een geweldige atmosfeer staan jou te wachten. Versla alle 4 de leiders om te bewijzen dat jij de beste racer bent!<br><br>4 verschillende controleopties<br>We weten dat er geen twee racers hetzelfde zijn! We hebben een controleoptie toegevoegd om jullie allemaal tevreden te stellen. Controleer je motor door je telefoon te kantelen of door het scherm aan te raken. Je hebt geen enkel excuus om de race niet te winnen!<br><br>Ondersteuning in 23 verschillende talen<br>Wees gerust, we begrijpen en spreken dezelfde taal als jij!<br><br>Ontsnapmodus<br>In dit spel werden snelheidslimieten ingevoerd om gebroken te worden! Vergeet niet dat wanneer je voor de politie op de vlucht bent, enkel jij en je motor nog tellen!<br><br>Dagelijkse bonusmodus<br>We zijn niet vergeten om een modus toe te voegen waarin je dagelijks kunt racen om waardevolle geschenken te winnen!<br><br>Privémodus<br>Je hebt de mogelijkheid om het tijdstip, weersomstandigheden, verkeersdichtheid, snelheid en stroom, en zelfs het aantal politieagenten in te stellen! Jij bepaalt de regels, jij wint de race!<br><br>Vergeet niet om contact met ons op te nemen voor je feedback en suggesties!","€ 0,99 - € 119,99 per item",GAME_RACING,74835597,50000000,Mon Mar 16 18:49:52 2020,1584371992,PEGI 3,110M,4.4 en hoger,v1.72.0,0 USD,4.2196765
