,img_src,title,link,id,developer_link,developer_name,description,price_inapp,category,num_downloads,num_downloads_approx,published,published_timestamp,pegi,filesize,os,software,price,rating
0,https://play-lh.googleusercontent.com/APyfeYFmzE_GadrWzfEOY5QipjgxcxKRXhy2Om_f6qEDQCH7z34od05RFoLAPe1nJQ,Lyfoes (free),https://play.google.com/store/apps/details?id=by.ai91.lyfoes&hl=nl&gl=nl,by.ai91.lyfoes,https://play.google.com/store/apps/dev?id=8829551191789162562,IBNPlay,"Lyfoes are funny creatures who were recovered from a local science lab. Each family lives inside their own beaker home and watch with curious interest, peering out at the wonders of the world around; until one evening, when a laboratory scientist’s nephew made his way inside and shuffled all the Lyfoes into random beakers. These little creatures have become super nervous without their relatives and need your help getting them back together.<br><br>Complete all levels with the maximum number of stars and share your achievements on social networks!<br><br>Ball sort puzzle solitaire game for all ages.<br><br>Rules:<br>- Collect all the funny creatures of the same color into own beaker;<br>- Simply drag Lyfoes from one beaker to another;<br>- An individual Lyfo can be dropped onto another creature of the same color or into an empty beaker;<br><br>Features:<br>- It is a logical puzzle game suitable for all ages. The game has four difficulty levels: from &#39;Baby&#39; (for children 4+) to &#39;Hard&#39; (for children up to 68 years).<br>- Leadersboards and achievements (with google+ account attached).<br>- All levels are guaranteed to have solutions.<br>- If a player gets to an impasse, the game hints about the problem and suggests to roll back to the last solvable state.",,GAME_PUZZLE,13453623,10000000,Thu Apr  9 21:50:59 2020,1586452859,PEGI 3,Varieert per apparaat,Varieert per apparaat,Varieert per apparaat,0 USD,4.1074734
1,https://lh3.googleusercontent.com/On66qaaD615kZeIb37D1XAVzeAdr68mjYxNnkfM0sszdY-zHTN0yjmQZZzKUCujAJQ,Antistress - relaxation toys,https://play.google.com/store/apps/details?id=com.JindoBlu.Antistress&hl=nl&gl=nl,com.JindoBlu.Antistress,https://play.google.com/store/apps/dev?id=8369547020914796683,JindoBlu,"When you need relaxation, diversion or just a moment of distraction enjoy this collection of toys: hear the sound of a bamboo chime, play with wooden boxes, swipe gently your finger in the water, tap buttons, draw with chalks and so on! Are you waiting for something and you need a diversion? Open Antistress app and start playing with a Newton&#39;s cradle! Are you furious with someone? Have some relaxation with the never-old fifteen game! Do you need distraction from study? Open Antistress app and choose one among dozens of toys to play!<br><br>Take your time and live a moment of diversion. This game include also an antistress Bamboo chime, a finger scale and some dirty windows to clean! <br><br>Plus, this stress relief app is constantly updated with new antistress toys every 2 weeks, to help you calm down your anxiety with always fresh contents, like finger spinner, finger cube, slime and a bunch of anxiety free toys.","€ 1,19 - € 11,99 per item",GAME_PUZZLE,27939944,10000000,Sat Sep 26 22:07:22 2020,1601145442,PEGI 3,38M,4.4 en hoger,4.28,0 USD,4.4058475
2,https://lh3.googleusercontent.com/T3_DvXNVrVL6MgXXWKeMEnUj5iM4QUTf3-5EAv6jqAMl9SlF7Xdo8InJup3LYoPUw1Q,2 Player games : the Challenge,https://play.google.com/store/apps/details?id=com.JindoBlu.TwoPlayerGamesChallenge&hl=nl&gl=nl,com.JindoBlu.TwoPlayerGamesChallenge,https://play.google.com/store/apps/dev?id=8369547020914796683,JindoBlu,"If you want to play with your friend on the same device, this is the right game!<br>But also if you have no friends to have fun in multiplayer on one device, just play alone against the AI!<br>Challenge your friend with this collection of 2 player games and enjoy the beautiful graphics of the minigames!<br><br>Choose between one of the 2 player games ( and remember that you can also play alone against the AI if you have no possibility to multiplayer):<br><br>Ping Pong :<br>Move the racket with your finger and challenge your friends!<br><br>Spinner war :<br>Push your opponent outside the stage! Two players on a small area are too much!<br><br>Air hockey :<br>Use your finger to move the paddle and score letting the puck entering in your friend&#39;s goal!<br><br>Snakes :<br>Don&#39;t touch your opponent&#39;s body and stay alive!<br><br>Pool :<br>The classic pool game for 2 player on one device!<br> <br>Tic tac toe :<br>Instead of using pen and paper just open the app and challenge your friend on the same device! A two player classic!<br><br>Penalty kicks :<br>Let the goalkeeper dive and kick the soccer ball to make goal! <br><br>Sumo :<br>The multiplayer version of a famous Japanese sport!<br><br>And much more! (Like minigolf, racing cars, sword duels, chess...)<br><br>This collection of 2 player games features beautiful minimal graphics to keep your focused on the duel with your opponent and it saves scores between matches, this way you can dispute a 2 player cup and let the challenge go on between minigames!<br>Unleash the power of local multiplayer on one device / one phone / one tablet, and bring the fun to the party!<br>Disclaimer: this multiplayer game can ruin friendships!","€ 1,89 per item",GAME_ARCADE,9570050,5000000,Fri Sep 18 23:42:02 2020,1600456322,PEGI 3,17M,4.4 en hoger,1.43,0 USD,4.4286876
3,https://lh3.googleusercontent.com/vU4muSYj1so7kB01vq7aAjhZoAgL8LYoNGKejquCjC_aiiQ7EN0_Lmghb-V5J0zenDw,King Tongue,https://play.google.com/store/apps/details?id=com.ankama.kingtongue&hl=nl&gl=nl,com.ankama.kingtongue,https://play.google.com/store/apps/dev?id=5673659703053489019,ANKAMA GAMES,"BANANABUNGA!!!<br> <br>Since the BANANA KING declared war on the monkeys, thousands of bananas ARMED TO THE TEETH have come from all over to attack with everything they’ve got! BUT IT’S PAYBACK TIME!<br>You’re KING TONGUE, lord of the monkeys, a gorilla among capuchins, and you’re going to make these bananas go monkeys! You’ve only got one weapon against the high-tech military hordes waiting to strike: your TONGUE! It might not seem like much, but... it’s a real GRAPNEL! No mercy for bananas! You’re public enemy #1 in Bananaland! And one thing is for certain: you’ll give no quarter...<br> <br>Features<br>•         King Tongue is an old-school arcade game where you use jumps and combo sequences to try and get the highest score!<br>•         Your tongue is one of a kind in the animal kingdom! This one-button grappling hook lets you hang, swing, and throw yourself to and fro with an ease rarely seen with a single finger!<br>•         Take on the waves of bananasoldiers, each with more improbable weapons than the last (bananazookas, bananacopters, superbananas, and more)! It’s up to you to find and exploit their weaknesses...<br>•          There are 40 magnificent and peaceful (before you got there, anyway) arenas in 4 worlds for you to drool over (and to make you suffer)!<br>•         Unlock new monkeys! What’s after King Tongue? You can play with Ping Thongue, Hong Tongue and Queen Tongue! In addition to having their own style, each primate has a different specialty!<br>•         The holy grail of this very lofty quest: an infinite mode to show who’s boss! This is where you want to score! Who’s the King of the kings!?<br>•         The game is 100% playable offline, so you can play it wherever and whenever you want.","€ 2,39 per item",GAME_ARCADE,6122841,5000000,Wed Aug 29 10:46:00 2018,1535523360,PEGI 3,74M,4.1 en hoger,1.2.0,0 USD,4.2882633
4,https://lh3.googleusercontent.com/cSDsUUSwet5NPuWqKeiJOIz3kwivSN1d1A1wapy6RO8E_BYE2vQch81LbsfqBBLwcTvO,Arcadium - Classic Arcade Space Shooter,https://play.google.com/store/apps/details?id=com.ihgyug.arcadium&hl=nl&gl=nl,com.ihgyug.arcadium,https://play.google.com/store/apps/dev?id=5177674863654001962,ihgyug,"The alien invaders have arrived, stronger and colourful than ever! Let&#39;s shmup!<br>Join the fight against the space aliens in this fantastic pixel-art shooter game!<br>Choose the spaceship that best matches your style and get ready for an intense and exciting battle!<br><br>Features :<br>* Unique spaceships with unique skills and stats.<br>* Randomly generated alien waves for a new experience every game.<br>* Mastery system to let you improve your stats permanently.<br>* Special bosses with unique attack patterns.<br>* Dozens of different pick-up &amp; stats.<br>* 1 finger gameplay.<br>* Many more features that you will find out in game!<br><br>Have suggestions? Feel free to join a community and/or ask directly to the developer :<br><br>Email : ihgyugames@gmail.com<br>Discord : https://discord.gg/73w3kFA<br>Twitter : https://twitter.com/ihgyug_games","€ 0,79 - € 15,99 per item",GAME_ARCADE,280801,100000,Fri Jul 24 20:22:14 2020,1595605934,PEGI 3,37M,4.4 en hoger,1.0.41,0 USD,4.729792
5,https://lh3.googleusercontent.com/SMx-rQG1Pd6E5nrWZLR0sp7Q8-Ef-Z661ouEJ2lfB4NV0OhAaeJNvHTf9QHdADKtn9Ck,Dot to Dot - Verbind de punten,https://play.google.com/store/apps/details?id=com.two.bros.games.dot.to.dot&hl=nl&gl=nl,com.two.bros.games.dot.to.dot,https://play.google.com/store/apps/dev?id=8515568343609001999,Dot to Dot s.r.o.,"Punt tot punt - Connect the dots is een ontspannend puzzelspel over verbinden in een stijl van kleurplaten -apps. Verbind dots per nummer om geweldige tekeningen te onthullen! Speel punt tot punt zonder internetverbinding. Niet nodig om in te kleuren, de tekening wordt automatisch gekleurd nadat alle punten zijn verbonden. Geniet van de beste punt-tot-punt-game van de makers van zeer populaire ontspannende apps.<br><br>Vergeet stress en laat punt tot punt je persoonlijke therapeut zijn. Een van de beste anti-stressverbindende app helpt je om ontspannen te zijn en geeft je geweldige hersentraining. Laat stippen aansluiten jouw meditatieve therapie zijn.<br><br>Kenmerken:<br><br>- Verbind stippen en ontdek foto&#39;s met prachtige kleuren in veel thema&#39;s<br><br>- Elk onderdeel heeft een andere kleur, zodat u kleur op nummer kunt verbinden<br><br>- Afbeeldingen bevatten 150 tot 2500 punten. Geschikt voor volwassenen, kinderen of hele gezinnen.<br><br>- Deel je kunst met vrienden op sociale media.<br><br>- Beter dan kleurplaten aangezien foto&#39;s al mooi gekleurd zijn","€ 0,59 - € 59,99 per item",GAME_PUZZLE,13030255,10000000,Mon Aug 17 16:32:08 2020,1597665728,PEGI 3,46M,4.4 en hoger,1.18.12,0 USD,3.9959855
6,https://play-lh.googleusercontent.com/wQhYW5i5YcIkzJuCmzPKwadNZJgmKNL5pWJSdsYH-lDY2dDZrKNC2WK33Fex7SgUzA,Quadropus Rampage,https://play.google.com/store/apps/details?id=com.bscotch.quadropus&hl=nl&gl=nl,com.bscotch.quadropus,https://play.google.com/store/apps/dev?id=7705235751403622974,Butterscotch Shenanigans,"The ocean world has been thrown into disarray and chaos as Pete, the villainous God of the Sea, coerces the oceanly creatures to do his vile bidding. Play as Tack, an enraged 4-legged octopus (a <i>quadro</i>pus!) who is <i>tired of Pete&#39;s shenanigans</i>. In your epic quest to defeat Pete you will dive ever deeper into the salty abyss, slaying hordes of Pete&#39;s minions while discovering mountains of weapons, powerups, and loot.<br><br><b>Get a <i>ridiculous</i> amount of FREE content!</b><br><i>Seriously, what were we thinking?</i><br>✔ Fight using intuitive controls: Easy to learn, difficult to master. Dodge, block, stab, smash, and spin your way to victory! <br>✔ Continue the battle forever with procedurally-generated weapons, levels, and minibosses<br>✔ Watch as your pet starfish vanquishes your fishy foes<br>✔ Dual-wield <i>even more</i> pets, like a bucket-throwing walrus and a head-banging shark<br>✔ Show off your skills in 5 epic bossfights<br>✔ Beat the game to discover that there <i>is even more game</i>! More game modes than you can shake a tentacle at!<br>✔ Become a Master: 23 achievements that yield gameplay-altering rewards<br>✔ Unearth tons of powerful artifacts that let you shoot lasers out of your face, turn your pet starfish into an explosive boomerang, and much more<br>✔ Upgrade your quadropus to MAXIMUM AWESOMENESS using loot earned from battle<br>✔ Enjoy the company of hilarious characters: Break your ribs from intense chuckling <br>✔ Demonstrate your prowess on Google Play Game Services (for Android 4.0 and up)<br><br><b>Get <i>even more</i> stuff using MONEY!</b><br><i>I mean, look how much we just gave away! Be a sport!</i><br>✔ Support our tiny studio! Want to see more awesome games? Vote with your wallet!<br>✔ ButterUp also gives you 5X doubloon gains: Unlock pets so fast your head will spin!<br>✔ Get the Orb Doubler to maximize your loot: Upgrade Tack so fast you won&#39;t be able to keep up!<br>✔ Take a shortcut: You can buy all the pets and packs of loot!<br><br><b>What people said about Quadropus Rampage</b><br>  <b><i>PixelFreak</i></b> &quot;A shining example of what a free game can be.&quot; - 91/100<br>  <b><i>/r/androidgaming</i></b> Voted 16th best Android game of all time<br>  <b><i>GameWoof</i></b> &quot;From probably the best IAP system in mobile gaming, to some incredibly fun gameplay, this is a title that you seriously need to install into your Android device pronto!&quot; - 4.5/5<br>  <b><i>AndroidSpin</i></b> &quot;It should be a crime that a game this good is free, but there it is...&quot;<br>  <b><i>Tom Christiansen</i></b> (Indie Game Mag) &quot;Quadropus Rampage is a very lively, very fun, and very addicting game that you don’t want to miss out on.&quot; - 91/100<br><br><b>About the Studio</b><br>Butterscotch Shenanigans™ is an independent studio. We make high-quality, often goofy, and punchy games designed to provide the most entertaining experience possible, while being fair to our players and to ourselves. Stay up to date with our studio at https://bscotch.net","€ 0,76 - € 110,94 per item",GAME_ACTION,2761037,1000000,Wed Sep 23 22:09:13 2020,1600886353,PEGI 3,70M,5.0 en hoger,100.0.19,0 USD,4.6581845
7,https://lh3.googleusercontent.com/T0yo2MIuoWWrhk7vaNX18MaOOI3StYYNb43Y1V_X8QJiWGu0SgMCAhSqoNc9ei5BHH9b,Moy 7 the Virtual Pet Game,https://play.google.com/store/apps/details?id=com.frojo.moy7&hl=nl&gl=nl,com.frojo.moy7,https://play.google.com/store/apps/dev?id=8503753108326993615,Frojo Apps,"Moy is finally back for the 7th installment! <br><br>This time there are some large changes to the UI and the way you interact with the different rooms that Moy spend time in. There is now more interaction with the environment than ever before and the game feels much more alive and interesting.<br><br>You can now choose from over 85 different games and activities. As always there are a wide varitety of games and ways to collect coins. The mini-games are categorized into four different genres - casual, arcade, racing and puzzles. There are also plenty of creative activities such as playing the piano, drums or guitar. You can also spend time painting, filling in a coloring book, managing a zoo, planting flowers in your garden, saving patients by playing doctor and much much more!<br><br>This game is all about caring for your Moy. Help Moy by brushing his teeth, showering him when he&#39;s dirty, telling him when to go to bed, give him healthy food, exercising him and playing games with him. The more you care for your Moy the more he will grow and be happy.<br><br>The coins you collect from playing any of the different mini-games can be spent on purchasing new clothing, body colors, hairstyles or even beards for your Moy. You can also spend coins by decorating your house, buying fishes for the aquarium, new animals for your zoo, buying ingredients for baking your own desserts and much more.",,GAME_CASUAL,19271081,10000000,Wed May 13 23:15:19 2020,1589395519,PEGI 3,40M,4.1 en hoger,1.313,0 USD,4.3870363
8,https://lh3.googleusercontent.com/5JWQiHwbQ7Gqnr8EPKD6sHK9M9FFUG28zwM-JOpUWcdZ9AmAhdD2Bp6jmgBf7m8PrQ,Doodle: Kid Joy,https://play.google.com/store/apps/details?id=com.drawapp.magicdoodle&hl=nl&gl=nl,com.drawapp.magicdoodle,https://play.google.com/store/apps/developer?id=DrawAPP,DrawAPP,"Het is gewoon de beste en leukste doodle app op Android!<br>Rainbow borstel, neon borstel, dromerige markeerstift, dat is uw favoriet?<br>De eenvoudigste manier doodle, gratis uw verbeelding nu!<br><br>&quot;Cartoon&quot; -modus: het afspelen van de doodle proces als een cartoon.<br>★ 20+ Magische penseel: regenboog, neon, parel, bloemen borstel en nog veel meer.<br>★ Radom kleur variatie, er zit vol aangename verrassing.<br>★ Doodle op de foto van de camera of galerij!<br>★ My Gallery: uw tekening als een kunstenaar te laten zien!<br><br>Doodle: Kid Joy zorgen voor een creatieve doodle wereld voor iedereen En het belangrijkste is dat je kunt de doodle proces afspelen als een cartoon U kunt genieten van de vreugde van doodle.And kunt u vorige werken opnieuw te tekenen op elk moment!<br><br>Eenvoudig te bedienen, gemakkelijk te graffiti!<br>Elke werken die u maakt zijn uniek en geweldig!<br>Haal meer kinderlijke onschuld, krijg meer vreugde!<br><br>Mis niet de beste interessant doodle game! DOWNLOAD NU !","€ 1,09 per item",GAME_CASUAL,25143535,10000000,Fri Aug 28 07:06:39 2020,1598582199,PEGI 3,10M,4.1 en hoger,1.0.17,0 USD,4.246891
9,https://lh3.googleusercontent.com/-QxvuFOg9d5oFM7kOPvS11s_GC9IAR99Ht75rPmN6nPJEmBTOy5k9wEC1EDX-Gt1EixX,Bombergrounds: Battle Royale,https://play.google.com/store/apps/details?id=com.Giganticduck.Bombergrounds&hl=nl&gl=nl,com.Giganticduck.Bombergrounds,https://play.google.com/store/apps/developer?id=Gigantic+Duck+Games,Gigantic Duck Games,"Enjoy Battle Royale like never before in this retro-inspired action game!<br><br>Story<br><br>In this cute yet deadly world, animals are fighting over their chance to reign over the land! However, only one animal may rule them all... Experience this chaotic, fast-paced, and action-packed world by placing down bombs, blowing up crates, opening treasure chests, collecting power-ups, avoiding traps, and eliminating your opponents while trying to remain the last one standing. Do you have what it takes to become the leader of this land?<br><br>Gameplay<br><br>- Place down bombs to blow up crates and open treasure chests<br>- Gather power-ups to become bigger, faster, stronger<br>- Kick the bombs by swinging your bat to send them flying toward your opponents<br>- Swing you bat at other players to stun them, or charge up your swing to insta-KO them!<br>- Max out on power and roam the map to create mass destruction and become the kill - leader!<br>- Be the last one standing for that sweet Victory Royale<br><br>Features<br><br>- Up to 25 people per match<br>- A large map with traps that shrinks over time<br>- Friends list and chat<br>- Team up as 3 players to assure you all get placed in the same match<br>- Customize your character, bombs, and kicking bat - with more to come every season!<br>- Ranking system and a leaderboard to show off your skill level<br>- Mobile, controller, and cross-platform support","€ 2,29 - € 109,99 per item",GAME_ACTION,622306,500000,Wed Sep 16 02:47:09 2020,1600208229,PEGI 3,74M,6.0 en hoger,0.9.5,0 USD,3.9784946
