,img_src,title,link,id,developer_link,developer_name,description,price_inapp,category,num_downloads,num_downloads_approx,published,published_timestamp,pegi,filesize,os,software,price,rating
0,https://lh3.googleusercontent.com/KWgbn7hcv3bOMKCXseaRDmewiJW1qZswAV0kuv5gjgpm1oX8f64hUffaf440YZCcs1En,Dumb Ways to Die,https://play.google.com/store/apps/details?id=com.popreach.dumbways&hl=nl&gl=nl,com.popreach.dumbways,https://play.google.com/store/apps/dev?id=6830735644801210985,Metro Trains Melbourne,"You&#39;ve seen the video - now the lives of those charmingly dumb characters are in your hands.<br>Enjoy 82 hilarious mini-games as you attempt to collect all the charmingly dumb characters for your train station, achieve high scores and unlock the famous music video that started it all.<br>Download the FREE game now to enjoy the new fun and remember, be safe around trains. A message from Metro.<br><br>GAMEPLAY<br>- Why is his hair on fire? Who cares, just RUN!<br>- Quickly wipe your screen free of puke<br>- Balance that wobbling glue eater<br>- Flick the piranhas out of range of those precious private parts<br>- Swat wasps before it&#39;s too late<br>- Best not invite that psycho killer inside<br>- Carefully remove forks from toasters<br>- Help self-taught pilots<br>- Get back from the edge of the platform you fools<br>- Have patience at level crossings<br>- No crossing the tracks! Not even for balloons!<br>- And who knew rattlesnakes were so picky about mustard?<br>Plus loads more!<br><br>PLUS<br>- Perfect your dumb-death prevention skills to unlock the full set of characters for your train station<br>- Earn your own local copy of the original video<br>- Create your own Dumb Ways character from loads of facial features, accessories and more!<br>Watch the original Webby and Cannes award-winning video here: www.youtube.com/watch?v=IJNR2EpS0jw","€ 0,89 - € 32,99 per item",GAME_CASUAL,58346621,50000000,Sat Sep 26 02:04:53 2020,1601073293,PEGI 7,83M,5.0 en hoger,35.0.2,0 USD,4.0956564
1,https://lh3.googleusercontent.com/QAdvNnkt2Dd2a47IwEkXF0WApa9byfmBfSxscDwsvSkaU5-Q-AJEC5t66GCCq3PQwfY,Dumb Ways to Die 2: The Games,https://play.google.com/store/apps/details?id=air.au.com.metro.DumbWaysToDie2&hl=nl&gl=nl,air.au.com.metro.DumbWaysToDie2,https://play.google.com/store/apps/dev?id=6830735644801210985,Metro Trains Melbourne,"Following the massive success of Dumb Ways to Die, we are giving the world something fresh, new and original to fall in love with: a sequel.<br><br>Dumb Ways to Die 2: The Games has taken the world by storm.<br><br>Boasting all new levels and challenges, leader boards, as well as a cast of new characters, Dumb Ways to Die 2: The Games is bringing train safety message to the world in a cheeky and fun way.<br><br>External Storage privileges are required for .OBB files and also for caching advertisements on the device.","€ 0,81 - € 4,40 per item",GAME_CASUAL,100911783,100000000,Mon Sep 21 09:34:20 2020,1600668260,PEGI 7,60M,5.0 en hoger,5.1.0,0 USD,4.3374004
2,https://lh3.googleusercontent.com/qKYmiIp2mM4QhUZzQdds8OmOO3vbwOKMDBrg1qVDwDtBYNTOElozfksrrPhaSTKZIRU,Speak to the Manager,https://play.google.com/store/apps/details?id=com.HiROGAMES.Speaktothemanager&hl=nl&gl=nl,com.HiROGAMES.Speaktothemanager,https://play.google.com/store/apps/dev?id=6990178528646658622,Lion Studios,"Tired of dealing with moody customers? Now is your chance to tell them how you really feel. You are in control. You are the manager. You have some unruly people trying to claim innocence and pretend they are better than you as they return their unwanted items. And then they say the dreaded line, “let me speak to your manager!” Well now your time has come because you are the manager!<br><br>No need to be polite in this game. Are they being annoying and you want to flip them off? Want to tell them how you truly feel? Now is your chance in this store management simulator. There is no wrong answer here. Just let out your emotions and play!<br><br><br> <br> Game Features:<br>1.       Simple but addicting mechanics<br>Clients want the manager! Respond any way you like - the choice is yours!<br><br>2.       Beautiful Graphics<br>Unique customers come filing it. Feel the satisfaction when you tell them no!<br><br>3.       Keep on upgrading!<br>Sell and make coins. Upgrade your dream home as you hit payday. <br><br>4.       Relax and enjoy<br>No need to worry about being politically correct. Don’t worry about hurting feelings. Respond how you like.<br><br><br>These people want a manager! How will you respond?<br><br><br>Visit https://lionstudios.cc/contact-us/ if have any feedback, need help on beating a level or have any awesome ideas you would like to see in the game!<br><br>From the Studio that brought you Mr. Bullet, Happy Glass, Ink Inc and Love Balls!<br><br>Follow us to get news and updates on our other Award Winning titles;<br>https://lionstudios.cc/<br>Facebook.com/LionStudios.cc<br>Instagram.com/LionStudioscc<br>Twitter.com/LionStudiosCC<br>Youtube.com/c/LionStudiosCC","€ 2,99 per item",GAME_CASUAL,2517633,1000000,Fri Sep 18 01:42:31 2020,1600377151,PEGI 12,92M,4.4W en hoger,48,0 USD,3.2576177
3,https://lh3.googleusercontent.com/4__c6LxQId7TTKcOQNaufgomwd_FN9bulyGn_TpxIGE-qT210MVR59VEN72ArLDMffU,Daddy Long Legs,https://play.google.com/store/apps/details?id=com.setsnail.daddylonglegs&hl=nl&gl=nl,com.setsnail.daddylonglegs,https://play.google.com/store/apps/dev?id=6250005891663837146,Set Snail,"You&#39;ve probably heard of Daddy Long Legs —the infamous walker on stilts?<br><br>Take “control” of Daddy, a fabulous little creature and get ready to walk in this weirdly rewarding and very funny game. However, walking on stilts is no easy task. Put one leg in front of the other and try not to fall. <br>Simple and silly game, you say? Let&#39;s see how far you can go. Unlock different looks for Daddy and get ready to look fabulous.<br>The goal of Daddy Long Legs is very simple: walk as far as you can. But, with legs five times longer than the rest of the body, walking is no simple feat. <br>Tap the screen to change leg and watch as Daddy Long Legs stumbles across the screen. With each new try you will feel weirdly rewarded. <br><br>Features: <br>- Play as either Daddy or Horse <br>- Pick up gifts and unlock fabulous new costumes <br>- Compete with your friends <br>- Simple, weird and challenging gameplay <br>- Silly and cheap laughs <br>- Global highscore <br>- Daily highscore <br>- Realistic faceplants. <br><br>Daddy Long Legs is for gamers that like a hard challenge and a cheap laugh at the expense of a silly furry creature.","€ 0,94 - € 16,99 per item",GAME_ARCADE,16610338,10000000,Wed Apr  3 19:19:38 2019,1554302978,PEGI 3,39M,5.0 en hoger,3.20.0,0 USD,4.312445
4,https://lh3.googleusercontent.com/nyy9QXm7XKbcF1D6Niwu6tR3JlQZtTqt_vaxlLqKZ9kob4rH7ADgI1F6Igzw35ozxA,Mmm Fingers 2,https://play.google.com/store/apps/details?id=com.noodlecake.mmmfingers2&hl=nl&gl=nl,com.noodlecake.mmmfingers2,https://play.google.com/store/apps/dev?id=9078867188205035581,Noodlecake Studios Inc,"With over 22 million players on the original, the finger munching monsters are back in Mmm Fingers 2! <br><br>How long can you protect your fingers from the hungry monsters?! Touch and hold the screen as long as you can. Don’t lift your finger or hit anything with teeth or else CHOMP, it is game over. <br><br>Features:<br>- New monsters!<br>- New challenge mode!<br>- A new and unique challenge every day! <br>- Leaderboards and Achievements<br>- Easy to use one-touch portrait gameplay","€ 2,19 per item",GAME_ARCADE,4705824,1000000,Thu Jul 23 00:24:41 2020,1595447681,PEGI 3,49M,4.1 en hoger,1.2.3,0 USD,4.0433807
5,https://lh3.googleusercontent.com/rJrCo-sfOjPejb-WxjMTLiYQZdxvygyBx823KFO_u4RM_LtwwVA56By9Uwz3BakuKUY,Fluffy Fall: Fly Fast to Dodge the Danger!,https://play.google.com/store/apps/details?id=com.whatgames.android.ANMP.FAHM&hl=nl&gl=nl,com.whatgames.android.ANMP.FAHM,https://play.google.com/store/apps/dev?id=5685151858125894494,WHAT (games),"Dash headlong into an astonishingly fun (and incredibly cute) 3D endless-run adventure! Take on level after level as you fly your cuddly Fluffy through danger with just a finger. Dodge a blaze, snake around ice, go rolling past lasers and escape other crazy hazards that block your way. <br><br>The road is full of pitfalls, but it’s sure to pull you in.<br><br>Features:<br>•         Amazing 3D animation meets accessible gameplay that’s popular with kids, but still has enough fast arcade action to give anyone a rush. <br>•         Dodge screen-blurring ice blocks, escape flames and blaze past loads of other dangers that can harm your adorable Fluffy.<br>•         Collect Gold to unlock more than 60 cool Fluffies and find the cute little puff that suits you the best.<br><br>The perfect game for rolling out to kids (yet still super addicting to adults) who enjoy the popular endless-run gameplay style and fast action!<br>_____________________________________________<br><br>Visit us at www.what.games<br><br>Follow us on: <br><br>Facebook: https://www.facebook.com/WHATgamesOfficial/<br>YouTube: https://www.youtube.com/channel/UCdYDfC-K4vtEQGkh7hY--0w <br>LinkedIn: https://www.linkedin.com/company-beta/18157777/ <br><br>This app allows you to purchase virtual items within the app and may contain third-party advertisements that may redirect you to a third-party site.<br><br>End-User License Agreement: www.what.games/eula <br>Privacy Policy:  www.what.games/pp<br>Terms of Use: www.what.games/tos","€ 0,50 - € 3,49 per item",GAME_ARCADE,12144401,10000000,Mon Dec 17 13:35:52 2018,1545041152,PEGI 3,70M,4.4 en hoger,1.2.26,0 USD,4.5588536
6,https://lh3.googleusercontent.com/mvXV8zcB0cwuZz_V-9VD0Fdzpig90g_VNykWdGK4qEWWyzJ2uouWrXlTjTyKgTwhd_AF,Pineapple Pen,https://play.google.com/store/apps/details?id=com.ketchapp.pineapplepen&hl=nl&gl=nl,com.ketchapp.pineapplepen,https://play.google.com/store/apps/dev?id=6054197513203380012,Ketchapp,"Sometimes all you need is to stick a pen into a fruit.<br><br>Tap to throw the pen and try to hit an pineapple or an apple. Hit the perfect center for two times in a row, and experience joy!<br><br>Challenge your friends to find out which one of you is the true master of the pen!","€ 0,99 - € 1,99 per item",GAME_ARCADE,22386347,10000000,Tue Jul  7 16:40:53 2020,1594123853,PEGI 3,76M,4.1 en hoger,1.5.6,0 USD,4.202502
7,https://lh3.googleusercontent.com/GbsxcCpjOcw8WzlJ05Oh8_1mjaKq9miX-YqGkD4sM2QbEv1WYs3LYnEb7w18zly-G-E,Vlogger Go Viral - Clicker,https://play.google.com/store/apps/details?id=br.com.tapps.vloggergoviral&hl=nl&gl=nl,br.com.tapps.vloggergoviral,https://play.google.com/store/apps/dev?id=6615809648420562690,Tapps Games,"Maak je klaar voor de volgende Internet sensatie in Vlogger Go Viral, een clicker game waar elke tik je kanaal een stap dichter bij de top zal brengen. Begin met slechts een droom in je hoofd en een camera in je handen en werk je omhoog naar het sterrendom. Heb jij wat er voor nodig is?<br><br>Produceer video&#39;s, beheer je kanaal, krijg miljoenen abonnees en views, groei uit tot miljardair en upgrade je geliefde apparatuur en studio om ongekende hoogten te bereiken!<br><br>Volg de reacties op je kanaal om te ontdekken wat er trending is. Maak een video met een trending topic en laat het viraal gaan! Beheers alle onderwerpen tijdens jouw reis om rijk en beroemd te worden en dat alles zonder dat je ooit je slaapkamer hoeft te verlaten. Oké, misschien alleen dan voor wc-pauzes.<br><br>HOOGTEPUNTEN<br>•	Tal van upgrades voor je apparatuur en home studio<br>•	Veel onderwerpen om uit te kiezen: katten, honden, voedsel, games, muziek, films, geek en nog veel meer!<br>•	Beheer je kanaal: up vote je fans, en down vote de mensen die je haten (net als in het echte leven)<br>•	Bekijk eindelijk de video&#39;s die je maakt!<br>•	Hoeden! Ja, je hoort het goed.<br><br>TENSLOTTE <br>Mopshonden met banden, robot papegaaien, wandelende ananassen, de console van het afgelopen jaar en comfortabele fauteuils! Wat zou een wereldberoemde vlogger zich nog meer kunnen wensen?<br><br>Oké, nu is dat echt mogelijk! Download Vlogger Go Viral en begin nu met filmen!<br><br>Opmerking! Dit spel is gratis te spelen maar het bevat items die voor echt geld kunnen worden gekocht. Sommige functies en extra’s die in de beschrijving genoemd worden kunnen ook worden gekocht voor echt geld.","€ 0,99 - € 99,99 per item",GAME_STRATEGY,38459040,10000000,Thu Sep  3 00:59:23 2020,1599078563,PEGI 3,41M,4.1 en hoger,2.38.2,0 USD,4.510242
8,https://lh3.googleusercontent.com/1E9Ztg7Pp2YRdo7rcjNy5jQsUfxyZjCZ2Uby8gcNYL1oWAw6bLOtyEJYY8MpBcurxw,MEGA QUIZ GAMING 2020 - Guess the game Trivia,https://play.google.com/store/apps/details?id=com.HeyNau.MegaQuizGaming&hl=nl&gl=nl,com.HeyNau.MegaQuizGaming,https://play.google.com/store/apps/dev?id=8870645852774521278,HeyNau,"Enjoy <b>Mega quiz gaming</b>! Guess all the game quiz levels with over <b>720 video games</b> that has been a trending until this year (2020).<br>Complete this video game trivia where you must <b>guess the game characters, logo, weapons, items...</b> all compiled in this quiz app game for free.<br>Also this game doesn&#39;t take up space or need wifi.<br><br>Beat another players by answering as fast as possible all the gaming questions and join the leaderboard with other 100 real-gamers and show the world you are the best gamer ever!<br><br>In this trivia app is updated with the new uncoming releases of 2020.<br><br>♦ <b>Are you an authentic Gamer? Check this features!</b> ♦<br><br>🎮 Discover more than 720 video games of this decade.<br>⚔ Guess them by the logos, weapon, enemies, places, bosses... Up to 24 categories!<br>👾 Nothing retro. All the games are from this last years.<br>🏆 Global ranking with the Top100 gamers in the world.<br>🔓 Unlockeable levels.<br>💡 Hint system if you get stuck at any level.<br>🚫 No ads poping up.<br>👥 Share your achievements or ask your friends by Twitter, Facebook or any of your social networks!<br>❤ Enjoy it!<br><br><br>The main purpose of #MegaQuizGaming is to show the people the great variety of video games that surround us in a funny way. In #MegaQuizGaming, great titles are mixed with other independent titles, creating a list where players can distance themselves from their usual titles and discover new projects.","€ 0,59 - € 5,99 per item",GAME_TRIVIA,3273208,1000000,Tue Aug 18 04:36:04 2020,1597709164,PEGI 3,Varieert per apparaat,4.1 en hoger,7.4,0 USD,3.9791987
9,https://play-lh.googleusercontent.com/-NQ2QLAOaafy7iHAJcrdEFk-tyVicnbwy6iLehml8K0Higi60sSVn0829bcyi1lOUw,Little Alchemy,https://play.google.com/store/apps/details?id=com.sometimeswefly.littlealchemy&hl=nl&gl=nl,com.sometimeswefly.littlealchemy,https://play.google.com/store/apps/developer?id=Recloak,Recloak,"Begin met vier basisonderdelen en gebruik ze om dinosaurussen, eenhoorns en ruimteschepen te vinden!<br><br>EIGENSCHAPPEN<br><br>• 560 elementen.<br>• Eenhandig gameplay.<br>• Meng onderdelen om interessante, leuke en verrassende items te maken.<br>• Speel in je eigen tempo.<br>• Elke combinatie is een kleine puzzel om op te lossen.<br>• Klassementen - controleer hoeveel onderdelen je vrienden hebben.<br>• Prestaties.<br>• Google Play Games integratie.<br><br>Het spel is gratis. En als wij gratis zeggen, bedoelen wij dat ook!<br>• Geen advertenties.<br>• Geen in-app betalingen.",,GAME_PUZZLE,14921085,10000000,Fri Jan 31 19:13:39 2020,1580485419,PEGI 3,Varieert per apparaat,Varieert per apparaat,Varieert per apparaat,0 USD,4.1170964
