,img_src,title,link,id,developer_link,developer_name,description,price_inapp,category,num_downloads,num_downloads_approx,published,published_timestamp,pegi,filesize,os,software,price,rating
0,https://lh3.googleusercontent.com/NO6SxgOoHbLH9i_BHhi66j1T9-J6oYeWG3pjvEkgEF-jptDwFw8CEb3ghl3J2bAuGvpQ,Rail Rush,https://play.google.com/store/apps/details?id=com.miniclip.railrush&hl=nl&gl=nl,com.miniclip.railrush,https://play.google.com/store/apps/dev?id=5933611429942957630,Miniclip.com,"• ABOUT THE GAME • <br><br>Get ready for this epic adventure! <br><br>Step into your cart and begin this exploring frenzy! Accelerate through these insanely fast rails while tilting and swiping to avoid the obstacles. <br><br>Your job is to collect precious stones, so get those gold nuggets and gems! There will be surprises along the way, and special gifts to earn if you&#39;re lucky! Break the rock eggs to reveal what’s inside of them and pick up all the gems for your personal explorer’s collection! <br><br>Find new and exciting paths to explore across the mine, and go through those special levels to earn more nuggets! Featuring many exciting environments in 10 different settings: dash through the Crazy Caves, fight the horde in the Zombie Caves, make your sweetest dreams come true in Sweet Wonderland, hurtle through the lush and dangerous Amazon jungle, immerse in the terrific Undersea World, take a dive in the Horror Land, visit the wonderful Snow Land, navigate on the Steam Factory, find your way on the Jurassic Jungle and explore the Pharaoh&#39;s Tomb, all this and many surprise levels which will amaze you with their colorful scenarios. <br><br>You can also equip your cart with power ups to extend your chances inside the mine, while completing missions and ranking up, in order to become the ultimate explorer! <br><br>KEY FEATURES: <br><br>• 18 different characters <br>• Cool power ups <br>• 10 different worlds and many hidden levels <br>• Stunning graphics <br>• Action packed gameplay <br>• Many in-game achievements <br>• Game statistics <br>• Game Center leader boards <br><br>How long can you last in the rails? Find out, by downloading Rail Rush now! <br><br>**************************************** <br>Try also the free web version of Rail Rush on our website: <br>http://www.miniclip.com/games/rail-rush/ <br><br>Find out more about Miniclip: <br>http://www.miniclip.com <br><br>“Like” Rail Rush on Facebook: <br>http://www.facebook.com/railrush <br><br>Watch the official game trailer: <br>http://www.youtube.com/watch?v=E0OyMCs_kRU <br><br>Follow Rail Rush on Twitter: <br>http://twitter.com/#!/railrush <br><br>Follow Miniclip on Twitter: <br>http://twitter.com/#!/miniclip","€ 1,99 - € 79,99 per item",GAME_ARCADE,90947621,50000000,Mon Aug 17 20:17:07 2020,1597679227,PEGI 3,49M,4.1 en hoger,1.9.18,0 USD,4.427569
1,https://lh3.googleusercontent.com/rCh0O66kaDYS1pWJwWW4CyrU9kzTnFK_wUTyc_XP5xsx96kBs0AGZzZgEPvkLZzLn4Y,Tomb Runner - Temple Raider: 3 2 1 & Run for Life!,https://play.google.com/store/apps/details?id=sk.inlogic.templerush&hl=nl&gl=nl,sk.inlogic.templerush,https://play.google.com/store/apps/dev?id=4626552963435708431,INLOGIC ARCADE - zombie racing shooter,"🔥𝐓𝐨𝐦𝐛 𝐑𝐮𝐧𝐧𝐞𝐫 - 𝐓𝐞𝐦𝐩𝐥𝐞 𝐑𝐚𝐢𝐝𝐞𝐫🔥<br><br>👉De mega verslavende Tomb Runner - Temple Raider is nu uit voor Android! Al je vrienden spelen het - kun je hun hoogste scores verslaan ?!<br><br>👉Je hebt de vervloekte 2 idool uit de tempel gestolen en nu moet je rennen voor je leven om te ontsnappen aan de Kwaadaardige Reuzenap die op je hielen knijpt. Test je reflexen terwijl je langs eeuwenoude tempelmuren langs steile kliffen raast. Veeg om te draaien, springen en glijden om obstakels te vermijden, verzamel munten en koop power-ups, ontgrendel nieuwe personages en kijk hoe ver je kunt rennen!<br><br>KENMERKEN<br>★ Prachtige nieuwe graphics<br>★ Prachtige organische omgevingen<br>★ Nieuwe obstakels<br>★ Meer power-ups<br>★ Meer prestaties<br>★ Reuzen aap !!!<br><br>🏃‍♂️3... 2... 1... Ren voor je leven!🦍","€ 0,69 - € 10,99 per item",GAME_ADVENTURE,9693312,5000000,Mon Jul 13 11:08:09 2020,1594622289,PEGI 3,54M,4.1 en hoger,1.1.20,0 USD,3.877984
2,https://play-lh.googleusercontent.com/onlNBInQHIZtB2rY24BwrEsUUKwE753ao1BAvvhOw2ePEN1IHIUjaR3gvlGd3jyKTdg,Temple Run,https://play.google.com/store/apps/details?id=com.imangi.templerun&hl=nl&gl=nl,com.imangi.templerun,https://play.google.com/store/apps/developer?id=Imangi+Studios,Imangi Studios,"The addictive mega-hit Temple Run is now out for Android! All your friends are playing it - can you beat their high scores?!<br><br>You&#39;ve stolen the cursed idol from the temple, and now you have to run for your life to escape the Evil Demon Monkeys nipping at your heels. Test your reflexes as you race down ancient temple walls and along sheer cliffs. Swipe to turn, jump and slide to avoid obstacles, collect coins and buy power ups, unlock new characters, and see how far you can run! <br><br>&quot;In every treasure hunting adventure movie there’s one scene in which the plucky hero finally gets his hands on the treasure but then has to navigate a maze of booby traps in order to get out alive. Temple Run is this scene and nothing else. And it’s amazing.&quot; - SlideToPlay.com<br><br><br>REVIEWS<br><br>★ &quot;Most thrilling and fun running game in a while, possibly ever.&quot; - TheAppera.com<br><br>★ &quot;A fast and frenzied experience.&quot; - IGN.com<br><br>★ &quot;Very addicting… definitely a very different running game.&quot; - Appolicious.com<br><br>★ Voted by TouchArcade Forums as Game of the Week<br><br>★ One of TouchArcade&#39;s Best Games of the Month<br><br>★ Over 50 MILLION players worldwide!","€ 1,09 - € 21,99 per item",GAME_ARCADE,551374599,500000000,Thu Aug 27 23:39:25 2020,1598555365,PEGI 3,42M,4.1 en hoger,1.15.0,0 USD,4.0552087
3,https://lh3.googleusercontent.com/OlZ4CKs50ZNrdtAhxNjjRYpA5cO1I1JcQ4ghcM1hERqgC1WzyoTWyfhcoq2B180xALk,Run Sausage Run!,https://play.google.com/store/apps/details?id=com.crazylabs.sausage.run&hl=nl&gl=nl,com.crazylabs.sausage.run,https://play.google.com/store/apps/developer?id=Crazy+Labs+by+TabTale,Crazy Labs by TabTale,"Run, Sausage, run!<br>Hot diggity dog, that’s a fine lookin’ hot dog! <br>You never sausage a sausage! (Get it? Saw such… sausage? Anyone?)<br><br>Stop punning and start running! This adventure run is a hot dog’s dream - or nightmare - depending on how well you do.<br><br>Play as the tasty sausage of your choice. Weisswurst or blutwurst, bacon or chocolate… even plumber or cowboy!<br><br>Run for your life through an endless path as you flex that hot-dog body and avoid getting sliced, chopped, burned or smashed in this adventure run game! <br><br>Tons of juicy sausages to choose from, tons of hot dog skins to enjoy in this adventure run. <br><br>Collect coins as you run for your sweet (or spicy) life to buy buns of steel and other cool powerups in this adventure run game.<br><br>To opt out of CrazyLabs sales of personal information as a California resident, please visit our Privacy Policy: https://crazylabs.com/app","€ 0,80 - € 8,00 per item",GAME_ARCADE,85539314,50000000,Fri Sep 25 15:55:03 2020,1601036703,PEGI 7,Varieert per apparaat,Varieert per apparaat,Varieert per apparaat,0 USD,4.1872287
4,https://lh3.googleusercontent.com/PW6_P0CL8oyyON8awkUnlGcX2kmwpTaUcEIHXewRnQ4Zm-My_INFBPYGhYxSD3D-iH9D,Bus Rush,https://play.google.com/store/apps/details?id=com.playappking.busrush&hl=nl&gl=nl,com.playappking.busrush,https://play.google.com/store/apps/dev?id=6375024885749937863,Play365,"Bus Rush is een geweldig hardloopgame voor Android. Ren langs de gekste scenario&#39;s in de Bus Rush City. Sleep om te springen of te schuiven en om naar links of rechts te gaan. Vermijd het raken van vrachtwagens, bussen en metro&#39;s. Ren rond in de Bus Rush-stad, metro, bos en strand en verzamel alle munten die je maar kunt vinden.<br><br>In dit spannende runner-spel kun je uit 10 verschillende personages kiezen om mee te spelen. Surf op de Bus Rush-stad met Roy, Zoey, Darryl, Katie of een van je favoriete personages! Je kunt ook je virtuele surfer naar keuze aanpassen door thematische runner skins te kopen!<br><br>De Bus Rush Store heeft veel items om je hardloopprestaties te verbeteren. Krijg runner-upgrades om je power-ups te verbeteren (inclusief magneten en laarzen). Upgrade ook je jetpack en krijg veel munten. Je kunt ook boards kopen om in de lucht te surfen en obstacle-hits te overleven - of je nu bussen, vrachtwagens of zelfs metro&#39;s raakt!<br><br>Bus Rush geeft je ook de kans om geweldige cadeaus te krijgen. Verzamel elke dag je dagelijkse geschenk en open mysteriekaders om speciale beloningen te ontvangen!<br><br>Bus Rush is een heel leuk runnerspel. Download het nu en begin met hardlopen!<br><br>Kenmerken:<br><br>- Chinatown inbegrepen!<br>- Bonusfase geïmplementeerd!<br>- Nieuw personage inbegrepen!<br>- 10 tekens voor jou om te kiezen en de stad te surfen!<br>- 14 geweldige skins om het uiterlijk van je favoriete hardloper te veranderen!<br>- Verbazingwekkende power-ups: muntmagneet, jetpack, supersprong, scoremultiplicator en surfplanken!<br>- Verschillende scenario&#39;s om in te rennen. Stad, metro, bos en strand!<br>- Te vermijden vrachtwagens, bussen en metro&#39;s!<br>- Veel hindernis-ontwijkend plezier!<br>- Dagelijks geschenk","€ 0,59 - € 39,99 per item",GAME_ACTION,122075022,100000000,Wed Jul 15 21:29:20 2020,1594832360,PEGI 12,68M,4.1 en hoger,1.17.02,0 USD,4.307811
5,https://lh3.googleusercontent.com/NH8prUTKWmh7reROaY35O6xG9sH6WObN2iv0OrrW0o9uohwzjSZGsTEsi7Tkq1voMA,Run Forrest Run! - Nieuwe games 2020: Running game,https://play.google.com/store/apps/details?id=com.generamobile.runforrestrun&hl=nl&gl=nl,com.generamobile.runforrestrun,https://play.google.com/store/apps/dev?id=7309208351846755609,Genera Games,"Welkom bij Run Forrest Run, het officiële runner-spel van Forrest Gump! Geniet van eindeloos hardlopen in het beste hardloopspel. Veel plezier met nieuwe games 2020!<br><br>Speel als Forrest Gump, de ster van een bekroonde Paramount Pictures-film!<br><br>In deze run game jump, verzamel munten en vlieg met de deltavlieger! Ontwijk auto&#39;s, vrachtwagens, treinen, verkeer en vermijd obstakels onderweg. Ren snel om bubba gump-garnalen te vangen in dit gratis runner-spel eindeloos!<br><br>Ren onbeperkt in de jungle van Vietnam. Dash snel, overwin niveaus, ontgrendel nieuwe scenario&#39;s en personages. Probeer nieuwe games 2020 zonder wifi (offline games).<br><br>Ontvang boosters en power-ups om onbeperkt te rennen in het gratis runner-spel. Er wacht een wilde race: rennen en springen en ontwijken! Een mix van arcade, actiegames en de beste hardloopspellen.<br><br>Kenmerken van het loopspel:<br><br>- Makkelijk te spelen, rennen, rennen, springen en munten verzamelen:<br>Veeg omhoog springen en ontsnappen aan obstakels. Druk omlaag om te schuiven onder horden. Dash naar links of rechts om je hardloper te laten draaien. Vlieg met een deltavlieger en verzamel munten in de lucht in dit eindeloze runnerspel.<br><br>- Gratis hardloopspellen met beloningen voor niveaus en missies:<br>Voer missies en levels uit en voltooi ze. Ontgrendel personages en scenario&#39;s in Alabama, Route 66, voetbalstadion, jungle van Vietnam. Geniet van het run-spel: nieuwe games 2020!<br><br>- Daag je vrienden uit in hardloopspellen:<br>Synchroniseer met Facebook en Google Play, concurreren met vrienden, versla ze om de rangorde te bereiken. Betreed de competitieve modus en voer onbeperkt uit om de beste loper te worden. Wees de beste in nieuwe games 2020.<br><br>- Offline games: speel online of offline (geen wifi) de lopende spellen.<br><br>- Upgrade en pas je personage aan om ren- en springvaardigheden te verbeteren.<br>Dit is een rennende game en een eindeloze game. Je stopt niet met rennen, springen en ontwijken! Krijg alle scenario&#39;s in gratis nieuwe games 2020 voor meisjes, jongens en alle gezinnen.<br><br>Start de wilde race nu en geniet eindeloos van het gratis runner-spel!","€ 0,99 - € 60,49 per item",GAME_ACTION,27987782,10000000,Thu Aug  6 05:22:39 2020,1596675159,PEGI 3,56M,4.1 en hoger,1.6.9,0 USD,3.9964385
6,https://lh3.googleusercontent.com/c9UCShBanoVFSDMQi9y8UBx_25NAJOnoqaVEkkNOHRUCc_mRAuijXqkkQej7IaM23Ag,Princess Run 3D - Endless Running Game,https://play.google.com/store/apps/details?id=com.mtsfreegames.princessrun3d&hl=nl&gl=nl,com.mtsfreegames.princessrun3d,https://play.google.com/store/apps/developer?id=MTS+Free+Games,MTS Free Games,"Welcome to the world of princess run . Live a life of princess &amp; enjoy the beauty of the gameplay. Run as fast as you can as you jump, dash ,slide on trains, subway &amp; other obstacles in this exciting princess running game for everyone.<br><br>Choose your favorite princess &amp; be careful with obstacles, fly over bridges, jump over trains ,  in this endless princess run game! Enjoy collecting coins as you take your princess to run through the endless subway where you can surf, run, dash &amp; jump on top of trains to collect exciting powerups to help you reach the highscore in this exciting princess endless run game.<br><br>Download &amp; get ready to complete new tasks in order to earn exclusive rewards. Play Now!!!!<br> Princess Run 3D Highlights:<br><br>- Free Endless Run Game <br>- Use your princess hoverboard to break through obstacles<br>- Collect exciting powerups &amp; win highscore<br>- Pick up coins to unlock new princesses, hoverboards <br>- Complete tasks to receive amazing rewards<br>- Incredible 3D graphics<br><br>Do you like Princess Run 3D Game??? Leave us comment below &amp; enjoy the game.","€ 0,99 - € 104,99 per item",GAME_ARCADE,5280362,5000000,Mon Aug 24 21:49:03 2020,1598289543,PEGI 3,76M,4.4 en hoger,2.3,0 USD,3.992278
7,https://lh3.googleusercontent.com/oojEzXAk52vIZwKvn8l21rhgA88MEVAqJdtUgDTT_oyr232a72JrguxvQbjC34MVEzY,Robbery Bob,https://play.google.com/store/apps/details?id=com.chillingo.robberybobfree.android.row&hl=nl&gl=nl,com.chillingo.robberybobfree.android.row,https://play.google.com/store/apps/developer?id=Level+Eight+AB,Level Eight AB,"Introducing the Man of Steal… <br>Play as Bob, the hapless burglar intent on changing his ways. Unfortunately for Bob, however, he&#39;s going to be forced into a few final jobs before he&#39;s allowed out of the criminal life. <br><br>• SUPER SNEAKY <br>Sneak past security guards, residents and sleeping bulldogs as you recover the loot in each stage. Use your ninja-like skills to hide in some tight squeezes and avoid detection. <br><br>• THERE GOES THE NEIGHBORHOOD <br>Your sticky-fingered missions will take you through a local neighbourhood, Downtown, and even through some secret labs. Can you get a perfect on every one? <br><br>• LOOT YOUR HEART OUT <br>Bob is going to have to pinch everything from secret documents, to old pairs of clothes, to those always hard-to-find TV remotes! <br><br>• CRIME IS A FUNNY OLD GAME <br>Get engrossed in the comical storyline featuring hilarious animations, a fun script and a genuinely twisting narrative.","€ 0,79 - € 8,99 per item",GAME_ACTION,108781199,100000000,Wed Sep 30 16:35:55 2020,1601471155,PEGI 7,43M,4.1 en hoger,1.18.33,0 USD,4.364677
8,https://lh3.googleusercontent.com/VnmCQlMIEtzfZI2ivx_5-eVhhnosH-eQ67p0RWwc8TpbD_jehkUxOejva-oEPcJ8OVi0,Temple Run 2,https://play.google.com/store/apps/details?id=com.imangi.templerun2&hl=nl&gl=nl,com.imangi.templerun2,https://play.google.com/store/apps/developer?id=Imangi+Studios,Imangi Studios,"With over a zillion downloads, Temple Run redefined mobile gaming. Now get more of the exhilarating running, jumping, turning and sliding you love in Temple Run 2!<br><br>Navigate perilous cliffs, zip lines, mines and forests as you try to escape with the cursed idol. How far can you run?!<br><br>FEATURES<br><br>★ Beautiful new graphics<br>★ Gorgeous new organic environments<br>★ New obstacles<br>★ More powerups<br>★ More achievements<br>★ Special powers for each character<br>★ Bigger monkey!!!<br><br>Become a fan of Temple Run on Facebook:<br>http://www.facebook.com/TempleRun<br><br>Follow Temple Run on Twitter:<br>https://twitter.com/TempleRun","€ 1,09 - € 54,99 per item",GAME_ACTION,784274570,500000000,Wed Aug 26 00:39:35 2020,1598386175,PEGI 7,83M,4.1 en hoger,1.69.1,0 USD,4.223144
9,https://lh3.googleusercontent.com/bUD4D9q6DwL0rmEf-TqsNjbndGsOGAZmHeB575x6JQiXU_a4gJMvM1Eze8lnagCwgFww,Robbery Bob 2: Double Trouble,https://play.google.com/store/apps/details?id=com.chillingo.robberybob2.android.gplay&hl=nl&gl=nl,com.chillingo.robberybob2.android.gplay,https://play.google.com/store/apps/developer?id=Level+Eight+AB,Level Eight AB,"The true king of thieves is back in business!<br> <br>Luckless burglar Bob is up to his old tricks again in Robbery Bob 2: Double Trouble.<br><br>Sneak around security guards, past patrolling pensioners and evade cunning traps as you try to get your sticky mitts on as much loot as possible.<br><br>Robbery Bob 2: Double Trouble Features:<br><br>The man of steal is back! – and he’s landed himself in all sorts of trouble. Help Bob plan a wedding for a mobster’s daughter, stop Dr. Thievious’ devious plans and find out if aliens really do exist?<br><br>Over 100 new levels of lootin’ fun! ­– What goodies will you loot as you sneak around the streets of Playa Mafioso, Shamville and Seagull Bay?<br><br>Hide and Seek – Sneak around on tip-toe, hug walls to stay out of sight, make noise to distract guards and, if you’re caught red handed, get out of there quick!<br><br>Old Bob, New Tricks – Use RC Cars, Teleportation Mines and tons of new gadgets to help Bob get out of a tight squeeze.<br><br>Suited and looted – Sneak in style with a variety of outfits.<br><br>Follow more of Bob’s antics on the Robbery Bob Facebook: http://www.facebook.com/RobberyBob<br><br>Visit http://www.leveleight.se for assistance or inquiries.","€ 0,99 - € 21,99 per item",GAME_ACTION,69724071,50000000,Tue Jul  7 17:12:34 2020,1594125754,PEGI 7,67M,4.1 en hoger,1.6.8.10,0 USD,4.3389945
