,img_src,title,link,id,developer_link,developer_name,description,price_inapp,category,num_downloads,num_downloads_approx,published,published_timestamp,pegi,filesize,os,software,price,rating
0,https://lh3.googleusercontent.com/jHmlAJOh2CGIQYvmoki32OeCKh0i7YzKKURIkZwNCDfTap8HuXwXx0V7e7-8LPjl_A,Blok puzzel Jewel,https://play.google.com/store/apps/details?id=com.differencetenderwhite.skirt&hl=nl&gl=nl,com.differencetenderwhite.skirt,https://play.google.com/store/apps/developer?id=hua+weiwei,hua weiwei,Het doel is om blokken te laten vallen om zowel verticaal als horizontaal te creëren en te vernietigen getrokken lijnen op het scherm. Vergeet niet om de blokken van het scherm vullen in dit verslavende puzzelspel te houden.,,GAME_PUZZLE,243599965,100000000,Tue Jul 14 13:40:01 2020,1594717801,PEGI 3,21M,4.0.3 en hoger,41.0,0 USD,4.260114
1,https://lh3.googleusercontent.com/ZwKtSKK4OjBYark8hIvs3fzcmcqYVw-GMemUDxNruNN1cfwwKIfwZhrNJBDN4CMySec,Block Puzzle Gem: Jewel Blast 2020,https://play.google.com/store/apps/details?id=com.blockpuzzle.jewel.diamond&hl=nl&gl=nl,com.blockpuzzle.jewel.diamond,https://play.google.com/store/apps/developer?id=Block+Puzzle+Games+Jewel,Block Puzzle Games Jewel,"Block Puzzle Gem---Simple yet challenging!<br>This game is so fun meanwhile will help you improve your spatial geometric skills. Expand your mind in this addictive game now! Once you start, you will never stop!<br><br>Are you ready to push your limits??<br><br>✔️How to play?<br>-Drag jewel blocks to place them on the board.<br>-Try to create full lines on the grid vertically or horizontally.<br>-Blocks cannot be rotated.<br>-Game over if no room for extra blocks.<br>-Try to remove multiple lines at a time to get a higher score.<br><br>✔️Why choose us?<br>-Exquisite Game Interface!<br>-Easy to play, and classic brick game for all ages!<br>-It is all FREE and No Wifi Need!<br>-Support leaderboard.<br>-No time limits.<br><br>Please feel free to contact us if have any question.<br>* Email: blockpuzzleonlinestudio@gmail.com<br><br>Let&#39;s play! The More Play and The More Exciting!!!",,GAME_PUZZLE,13144095,10000000,Wed Aug 26 11:22:26 2020,1598424746,PEGI 3,"6,6M",4.0 en hoger,1.16.0,0 USD,4.48592
2,https://lh3.googleusercontent.com/7k1wSfnstoNib_lmlfIfFTcHOE4oypb-mmuzvhPLpfFRz55CnNJFagyd6u6G4fFrlDI,Tic Tac Toe Glow,https://play.google.com/store/apps/details?id=com.arcsys.tictactoe&hl=nl&gl=nl,com.arcsys.tictactoe,https://play.google.com/store/apps/dev?id=7105367870106447069,Arclite Systems,Tic Tac Toe spelen op je Android-telefoon. Geen behoefte om papier te verspillen! Nu kun je spelen Tic Tac Toe op je Android-toestel gratis. Onze nieuwe moderne versie verschijnt in een koele gloed design.<br><br>De AI van dit spel is een van de beste die je ziet. Hij past zich aan jouw speelstijl en is zeer onvoorspelbaar. In tegenstelling tot andere Tic Tac Toe games op de markt vindt u altijd Glow Tic Tac Toe AI te fris en onderhoudend. Als dat niet alle AI vaardigheid kan worden aangepast on the fly ingame. Dus je kunt slinger van de moeilijkheid tijdens het spelen of inkeping het neer als je echt in het nauw gedreven.<br><br>Kenmerken:<br>- Enkel-en 2 player mode (Computer en menselijke)<br>- 3 moeilijkheidsgraden<br>- Glow-effecten,"€ 0,50 - € 204,99 per item",GAME_CASUAL,89155297,50000000,Fri Aug 21 15:08:09 2020,1598006289,PEGI 3,Varieert per apparaat,Varieert per apparaat,Varieert per apparaat,0 USD,4.145186
3,https://lh3.googleusercontent.com/JchaxYkVuO_jGLOaS2-Ur2HcAFAOOPPYsRm6sraO7E55OqoVK_WlZ5k32iIvF_HyeD8,Mazes & More,https://play.google.com/store/apps/details?id=com.leodesol.games.classic.maze.labyrinth&hl=nl&gl=nl,com.leodesol.games.classic.maze.labyrinth,https://play.google.com/store/apps/dev?id=8149422968449365069,Leo De Sol Games,"Mazes &amp; More is een klassiek doolhof / labyrint puzzelspel met plezier tweaks en verrassingen. Veeg gewoon je vinger en begeleiden de stip door de muren om een ​​uitweg te vinden en te ontsnappen aan het labyrint. Minimal 2D graphics maken het voelen als een klassieke en retro doolhof spel, terwijl de nieuwe game modes het avontuur vers te houden (en soms eng!). Geen marker nodig. We sommige diensten niet experiment met muizen of kaas.<br><br>DOOLHOVEN &amp; MORE HOOFDKENMERKEN<br>- Eenvoudig te spelen, vergeet onhandige tilt controles of niet reageert accelerometer. Beter dan met behulp van een marker!<br>- Alle doolhoven worden met de hand gemaakt, geen gerandomiseerde niveaus<br>- 6 categorieën: Classic, Vijanden, ijsvloer, Darkness, vallen, en Time Trial. Meer zal komen!<br>- puzzels variëren van eenvoudige doolhoven veel harder en gevorderde labyrinten<br>- Minimaal en retro 2D-graphics, vergeet over ingewikkelde 3D doolhoven.<br>- We sommige diensten niet gebruiken slechte muizen in het labyrint, noch smakelijke kaas wordt verspild.<br><br>Leid de stip via verschillende routes in deze gratis doolhof avontuur. Run, verkennen en vinden een uitweg door de ingewikkelde muren. Is er een Minotaur? Voltooi alle 450 labyrinten en word de koning van de doolhof. Veel plezier :-) Geen muis tijdens het creëren van dit spel gewond.","€ 0,99 - € 41,99 per item",GAME_PUZZLE,73370628,50000000,Fri Sep 25 05:38:50 2020,1600999730,PEGI 3,20M,4.0.3 en hoger,2.4.3.RC-GP-Free(132),0 USD,4.1774497
4,https://lh3.googleusercontent.com/kLuDP6CmQ7ZrjuE4pK2v6wPkb7P9nRf--0UAmzVaisyIk_m4xh_7SMDr6pC1rYCKDg,1LINE – One Line with One Touch,https://play.google.com/store/apps/details?id=com.one1line.onetouch.onestroke.dotgame&hl=nl&gl=nl,com.one1line.onetouch.onestroke.dotgame,https://play.google.com/store/apps/dev?id=4677399971720148178,X-Flow,"One Line with One Touch is a simple way to get some brain training exercise everyday. This is a great mind challenging game with simple rules. Just try to connect all the dots with only one touch.<br> <br>In this tricky mind game you will find a lot of good brain puzzle packs and a daily challenge.<br><br>Just a couple of minutes a day with this mind game will help you activate your brain. Enjoy this brain training game at home or at work, at a park or in a bus, in other words everywhere!<br><br>This One Line with One Touch game doesn’t occupy a lot of space on your device and it doesn’t drain your battery!<br><br>In One Line with One Touch you will find:<br>•  Hundreds of challenging packs. All of them are free<br>•  Daily challenges. Train your mind with smart brain puzzles everyday<br>•  Hints. In case you find yourself stuck and without any idea how to connect the dots with one touch. You are welcome to use hints!<br><br>Only 1% of people can complete some of the puzzles in this game. Can you complete them?<br><br>Terms of Use: www.x-flow.app/terms-of-use.html<br>Privacy Policy: www.x-flow.app/privacy-policy.html","€ 1,09 - € 3,89 per item",GAME_BOARD,45877049,10000000,Sat Jun 27 21:20:53 2020,1593276653,PEGI 3,17M,4.4 en hoger,2.2.18,0 USD,4.3451905
5,https://lh3.googleusercontent.com/kAUijYz3RsfAbIfN0QnT4lTyg9if4-tQwrdCxkdR6MBuakp3KK4Agd8SmmT-zCcFZTPM,Sudoku.com - gratis Sudoku-spel,https://play.google.com/store/apps/details?id=com.easybrain.sudoku.android&hl=nl&gl=nl,com.easybrain.sudoku.android,https://play.google.com/store/apps/dev?id=7473634688510685864,Easybrain,"Sudoku voor beginners en gevorderde spelers. Of je nu wilt ontspannen, of je hersenen actief wilt houden: breng je vrije tijd door op een prettige manier met een gratis sudoku-app! Neem een korte, stimulerende pauze of maak je hoofd vrij met sudokupuzzels. Neem je favoriete app overal mee naartoe. Mobiel sudoku spelen is <b>net zo goed als met echt pen en papier.<br><br>Kies een niveau dat je leuk vindt. Speel eenvoudigere levels om je hersenen, logisch denken en geheugen te trainen, of probeer een moeilijker niveau om je hersenen een echte workout te geven. Onze klassieke app biedt een aantal opties die het sudoku-spel makkelijker voor je maken: hints, automatisch controleren, en het oplichten van dubbele cijfers. Je kunt hier gebruik van maken, of voltooi de uitdaging zonder hulp: de keuze is aan jou! Daarnaast heeft iedere sudoku-puzzel in onze app één oplossing. Je vindt alles dat je nodig hebt, of je nu je eerste sudoku speelt, of dat je al doorgegroeid bent tot het niveau van expert.<br><br>Eigenschappen<br><br>✓ Voltooi dagelijkse uitdagingen en ontvang unieke trofeeën<br>✓ Doe mee met de seizoensevenementen en verdien unieke medailles<br>✓ Daag jezelf uit om je fouten te vinden, of schakel automatisch controleren in om gemaakte fouten te zien terwijl je speelt<br>✓ Schakel over naar notitiemodus om notities te maken zoals op papier. Iedere keer dat je een vakje invult, worden de notities automatisch bijgewerkt!<br>✓ Laat dubbele cijfers oplichten om dezelfde cijfers in een rij, kolom of vierkant te voorkomen<br>✓ Hints kunnen je helpen op de momenten dat je vastzit<br><br>Meer eigenschappen<br><br>- Statistieken. Houd je vooruitgang bij voor iedere moeilijkheidsgraad: analyseer je beste tijd en andere prestaties<br>- Onbeperkt ongedaan maken. Foutje gemaakt? Herstel het snel!<br>- Kleurenthema&#39;s. Kies een van de drie thema&#39;s om comfortabeler te spelen, zelfs in het donker<br>- Automatisch opslaan. Als je een sudoku onafgemaakt verlaat, wordt deze opgeslagen. Ga op een willekeurig moment verder met spelen<br>- Markeer een aan het geselecteerde vakje gekoppelde rij, kolom of vierkant.<br>- Gum. Verwijder alle fouten<br><br>Hoogtepunten<br><br>• Meer dan 10.000 goed ontwikkelde sudoku&#39;s<br>• 9x9 rooster<br>• 6 perfect uitgebalanceerde moeilijkheidsgraden: snel, eenvoudig, medium, lastig, expert en gigantisch<br>• Ondersteuning voor telefoons en tablets<br>• Portret- en landschapsmodus voor tablets<br>• Simpel en intuïtief ontwerp<br><br>Train je hersenen met de Sudoku-app, waar en wanneer je wilt!</b>","€ 2,89 per item",GAME_PUZZLE,49844103,10000000,Wed Sep 16 19:29:03 2020,1600268343,PEGI 3,19M,4.4 en hoger,3.0.0,0 USD,4.564182
6,https://lh3.googleusercontent.com/IN6gDPWIpYWzWMgt9BqDF8uQU8vXyX7jtT5kuqNXl6muwXhVVN3VT8weyQqRUxZSwAw,Roll the Ball® - slide puzzle,https://play.google.com/store/apps/details?id=com.bitmango.rolltheballunrollme&hl=nl&gl=nl,com.bitmango.rolltheballunrollme,https://play.google.com/store/apps/dev?id=6249013288401661340,BitMango,"Calling all maze and gridlock puzzle enthusiasts! 😎<br><br>Roll the Ball® is a classic tile puzzle with a modern challenging twist. Move the sliding tiles to unblock a path for the steel ball to roll to the exit. Enjoy the satisfaction of seeing the ball roll smoothly through the connected tiles to the end.<br>Are you ready to roll? <br><br>Download for FREE today!<br><br>🎱ROLL THE BALL-SLIDE PUZZLE FEATURES🎱<br>►Thought-provoking brain teaser to improve your agility and hand-eye coordination!<br>►FREE simple yet extremely addicting puzzle game <br>►Over 3,000 challenging LEVELS to solve! Get sliding!<br>►No penalties &amp; time limits! Enjoy at your own pace~<br>►Bonus rewards &amp; hints available to guide you.<br><br>🎱HOW TO PLAY🎱<br>►Slide tiles to create a connecting path for the ball to roll to the GOAL!<br>►Set a new record by earning the perfect 3-star rating.<br>►Select various modes, including Multiplayer, for more excitement!<br><br>-Roll the Ball-Slide Puzzle is available on mobile phones &amp; tablet PCs. <br>-Roll the Ball-Slide Puzzle contains ads varying from banners, interstitials, videos to house ads. <br>-Roll the Ball-Slide Puzzle is free to play, however, you may purchase in-app items, such as AD FREE &amp; coins.<br><br>Privacy Policy<br>https://www.bitmango.com/privacy-policy/<br><br>We value your feedback!<br>Please contact us at help@bitmango.com with any questions or suggestions.<br><br>Visit Bitmango to check out more of our projects!<br>http://www.bitmango.com/<br><br>Visit our Facebook to enrich your gaming experience!<br>https://www.facebook.com/rolltheballslidepuzzle/<br><br><br>What are you waiting for?<br>Let’s get the ball rolling!","€ 1,09 - € 43,99 per item",GAME_PUZZLE,201368301,100000000,Tue Jul 28 10:56:20 2020,1595917580,PEGI 3,45M,4.4 en hoger,20.0728.09,0 USD,4.2448506
7,https://lh3.googleusercontent.com/80FIOzIa3_h5gVozmWAyfus0O5iBR1c55KHGAKQ5Pb4F1k2jBGAGpc2XkMzcNyGD3Y_u,Unblock Ball - Block Puzzle,https://play.google.com/store/apps/details?id=roll.unblock.ball.block.puzzle&hl=nl&gl=nl,roll.unblock.ball.block.puzzle,https://play.google.com/store/apps/developer?id=Fun+Free+Fun,Fun Free Fun,"Unblock Ball is een eenvoudig spel, maar een verslavend puzzelspel.<br>Leid de bal naar het groene doelblok door het blok te verplaatsen.<br>Metaalblokken kunnen niet worden verplaatst.<br>De bal zal naar het gat rollen als er een pad is!<br>Probeer je best om alle sterren op het pad te verzamelen;<br><br>Kenmerken:<br>Meer dan 300 geweldige levels en updates worden voortgezet!<br>Elk niveau heeft drie sterren om te verzamelen!<br>Geen tijdslimiet, geen Wi-Fi nodig, helemaal boom om te spelen!<br><br>Eenvoudig te leren, maar moeilijk te beheersen. Klaar om te rollen? Download nu!",,GAME_PUZZLE,93405988,50000000,Fri Jul 10 17:43:46 2020,1594386826,PEGI 3,28M,4.1 en hoger,28.0,0 USD,4.2325454
8,https://lh3.googleusercontent.com/lOrZKZPWt4xXH7DVesLWki4aqpb48dcQhtVQA1hmnzUF7gdY8TqfLuusVqhrRCCY9lk,Legpuzzel spelletjes - Jigsaw Puzzle,https://play.google.com/store/apps/details?id=com.easybrain.jigsaw.puzzles&hl=nl&gl=nl,com.easybrain.jigsaw.puzzles,https://play.google.com/store/apps/dev?id=7473634688510685864,Easybrain,"Welkom in de wondere wereld van legpuzzels!  Enorm veel GRATIS hd-afbeeldingen, uren plezier en geen verloren stukjes. Ontspan met het in elkaar zetten van Jigsaw puzzels!<br><br>Verwen jezelf met een geweldig uitstapje in de wereld van de legpuzzels. Er zijn elke dag nieuwe, magische puzzelgames om te leggen.<br><br>Ons puzzel spel bevat een groot aantal prachtige, gratis afbeeldingen met verschillende uitdagingsniveaus van gemakkelijk tot zeer pittig. Het uitdagingsniveau wordt bepaald door het aantal stukjes van de puzzel spelletjes.<br><br>Als je dol bent op het leggen van echte legpuzzels, zal onze app je zeker ook bevallen.<br><br>De legpuzzels op je apparaat zijn net zo uitdagend als echte! Daarnaast heb je de puzzelapp altijd bij je, raak je nooit stukjes kwijt en heb je tal van verschillende afbeeldingen om uit te kiezen. Dankzij al deze opties is de puzzelapp net zo leuk als een echte legpuzzel.<br><br>Ontdek een bonte wereld vol gratis legpuzzels:<br><br>· Talloze gratis foto&#39;s van hoge kwaliteit. Kies uit verschillende categorieën, zoals Kleuren, Bloemen, Natuur, Dieren, Kunst, Monumenten, Puzzels voor kinderen, Moeilijke puzzels en meer<br>· Dagelijkse gratis puzzel. Krijg elke dag een nieuwe puzzel en probeer deze op te lossen<br>· Mysteriepuzzels. Ontdek wat er in een foto is verborgen<br>· Dagelijks bijgewerkte galerij. Je zult nooit zonder gratis puzzels komen te zitten<br>· Handige tips. Gebruik Hint om het volgende stuk in de puzzel te plaatsen als je vastzit<br>· Van 9 tot 400 puzzelstukjes. Hoe meer stukjes, hoe moeilijker je spel wordt<br>· Rotatiemodus. Zet rotatie aan, maak het spel lastiger<br>· Op maat gemaakte achtergronden. Kies uw favoriete uiterlijk om met meer plezier te spelen.<br><br>Maak iedere dag ontspannend en plezierig door puzzelstukjes in elkaar te leggen!","€ 1,09 - € 5,99 per item",GAME_PUZZLE,28332341,10000000,Wed Sep 30 20:22:47 2020,1601484767,PEGI 3,90M,4.4 en hoger,1.5.0,0 USD,4.5484586
9,https://lh3.googleusercontent.com/bvQYlrZSMYKqSCI_RHDjFwRAKJsSatDm7wgbAFB_Y9eYOYL0UkhyHzp8mfJSGpt-3sw,Drop The Number : Merge Game,https://play.google.com/store/apps/details?id=com.superbox.aos.fire2048&hl=nl&gl=nl,com.superbox.aos.fire2048,https://play.google.com/store/apps/dev?id=6831347196585294074,SUPERBOX.INC,"2048 is SUPER addictive number puzzle .👻 <br>Show us how good you are among other puzzlers! 👍👍<br>1024 2048 4096 8192 16384... Drop your numbers and merge👻👻<br><br>If it is too tricky, check your next number !<br>i block puzzles you can play this easy!!<br><br>Free 2048 is fun popular brain game. It help you think and tease your brain. <br><br>[Features]<br>🍒 Game let you know the next block <br>🍒 Time killer but makes you smart <br>🍒 Show world ranking and high score in leader board<br>🍒 Vibration system applied when you drop blocks<br>🍒 Simple and modern graphic design<br>🍒 No wifi connection required<br><br>Share your best score 💯 world-wide ~!<br><br><br>This game supports &#39;한국어&#39;, &#39;Indonesian&#39;, &#39;Bahasa malay&#39;, &#39;English&#39;, &#39;日本語&#39;, &#39;中文简体&#39;, &#39;中文繁體&#39;, &#39;Deutsch&#39;, &#39;français&#39;, &#39;Español&#39;, &#39;ไทย&#39;, &#39;Русский&#39;, &#39;Arabic&#39;, &#39;Portuguese&#39;, &#39;Turkish&#39;, &#39;Italian&#39;.<br><br>This game is acceptable for purchasing the items partially. When purchasing the items, the additional costs could be occurred and limited Consumer Right of Defense according to the item types.<br><br>Official Site: http://superbox.kr<br>Facebook: https://www.facebook.com/superbox01<br>E-Mail : help@superbox.kr","€ 2,19 - € 84,99 per item",GAME_PUZZLE,13040211,10000000,Mon Sep 28 14:08:57 2020,1601289537,PEGI 3,30M,4.4 en hoger,1.6.1,0 USD,4.174363
