,img_src,title,link,id,developer_link,developer_name,description,price_inapp,category,num_downloads,num_downloads_approx,published,published_timestamp,pegi,filesize,os,software,price,rating
0,https://lh3.googleusercontent.com/MAtzMJouel5t_O3LRKto1rrAOPYpMcAqfo92z6i7qa1n2XIUtWsvyc1ZunaU45tHO_rZ,Drink Your Phone - Drinkgames (grapje)joke,https://play.google.com/store/apps/details?id=com.drink.water.fun&hl=nl&gl=nl,com.drink.water.fun,https://play.google.com/store/apps/dev?id=7148680220855906998,"ideaFun - Relaxing Coloring Book, Free Color Games","Kun je je voorstellen dat je smakelijke frisdrank, ijskola en kleurrijke sappen kunt drinken vanaf je telefoon?<br>Drink van een virtuele telefoonsimulator - iDrink, een van de beste drinkspellen voor kinderen en volwassenen, brengt je al deze goede drankjes gratis.<br><br>Het is een perfect spel om een grapje te drinken met je vrienden. Download het en je zou overal kunnen drinken!<br><br>Functies💡<br>🔸 Er zijn meer dan 20 dranken die u kunt drinken, zoals sap, koude cola, water, melk, thee, frisdrank, enz. Kies nu de dranken die u verkiest!<br>🔸 Personaliseer de drinkrecepten met ijsblokjes en vers natuurlijk fruit. Voeg aardbei, limonade, mango, watermeloen, druif en sinaasappel toe aan je sap.<br>🔸 Hoogwaardige stereodrink geluidseffecten, u kunt het geluid van waterstroom en bubbling horen.<br>🔸 Kantel de drankmaker na het maken van de drankjes naar uw mond.<br><br>Geniet van je drink-app, je kunt zoveel drinken als je wilt! Vergeet niet om je mobiel te schudden nadat het glas leeg is.<br><br>Disclaimer: 📣<br>I drink is een drinksimulator-app die grappige drinkspellen simuleert. Laat uw telefoon eruit zien als echt glas! Het kan geen echte drankjes produceren. Het is een leuk drinkwaterspel of een sappig spelletje om een grapje te maken met je vrienden!",,ENTERTAINMENT,36777882,10000000,Tue Sep 22 05:19:56 2020,1600739396,PEGI 3,17M,4.4 en hoger,6.1.0.5,0 USD,4.5372553
1,https://lh3.googleusercontent.com/s0agEubE3Yotv4-YVWuTjY74rgaCWU7y6HR35_m5t8xaEcmypuLSNli08UL9ZCISGfY-,Squishy Magic: 3D Art Coloring & DIY Toys Maker,https://play.google.com/store/apps/details?id=com.dramaton.squisher&hl=nl&gl=nl,com.dramaton.squisher,https://play.google.com/store/apps/dev?id=8065963838441938591,Dramaton,"Following its tens of millions of installs for their hit game <i>Super Slime Simulator</i>, Dramaton is proud to present a new generation of anti-stress 3D coloring games:<br><br>🍭🦄<b>Squishy Magic: 3D Art Coloring &amp; DIY Toys Maker</b>🦄🍭<br><br><i>Welcome to the wonderful world of Squishy…</i><br>Create cute soft DIY toys, choose their shape, color, and texture, collect your own unique designs and enjoy the ultimate squishing experience! Rotate your 3D design while coloring, choose your favorite color from an endless number of options and don’t forget to paint every part of your toy!<br><br>Once the coloring face is over it’s time to enjoy your new creation: press, squeeze and crush your new toy and watch it take back its original form time and time again in this exciting new game!<br><br><i>Forget about your troubles! Feel your anxiety disappears with every color you add, feel your heartbeat slowing with each oddly satisfying sound. Draw yourself out of the loop of daily life; sit back and let your mind expand in a calming relief…</i><br><br>💕💕Do you like to draw? You’re gonna love this game! Download <b>Squishy Magic: 3D Art Coloring &amp; DIY Toys Maker</b> NOW and let the squishy work its antistress magic on your mind...💕💕<br><br><b>Features:</b><br>🍓 <u>DIY Squishy Making!</u> - Choose colors, shapes, and textures from an endless number of options!<br>🍔 <u>Realistic Squishy Simulator</u> - Real-life toy physics behavior; Press it, squish it, squeeze it, crush it - and enjoy calming anxiety relief...<br>🦄 <u>Oddly Satisfying ASMR Sounds</u> - Say no to anxiety! Turn up the volume and listen to the anti-stress sounds.<br>🍭 <u>Endless Number of Colors &amp; Textures to draw with</u> - Glossy, spray, pastels and over +200 different shades of all colors!!!<br>🍩 <u>Endless Variety of Shapes</u> - Strawberry, flying unicorn, burger, donut, kawaii figures, pixel and more!<br>🍦 <u>Squishy Coloring Technology</u> - Paint each of your squishy characteristics in a different color!<br><br>💕💕Which color will you choose? Download <b>Squishy Magic: 3D Art Coloring &amp; DIY Toys Maker</b> NOW, enroll in the next generation of painting &amp; drawing games, and start creating your very own toys…!💕💕<br><br><b>Squishy - what is it?</b><br>The word Squishy is derived from the English verb “to squish”.<br>A squishy is a soothing anti stress type of toys which is able to undergo profound manipulation in the form of squeezing, squishing, pressing and crushing, and then quickly restore itself to its original look. Squishies manipulation creates a soothing experience as their fluffy and flexible nature combined with the unique sounds they produce may give the player an oddly satisfying feeling often referred to as ASMR. Squishies may be used as therapy to help coping with stress &amp; anxiety.<br><br><b>DIY - Squishy Making!</b><br>🎀 <u>Choose a shape:</u> Strawberry / Flying Unicorn / Burger / Donut / Pixel / etc...<br>🎀 <u>Choose a texture:</u> Basic / Glossy / Spray / Hearts / etc...<br>🎀 <u>Paint each of your squishy characteristics:</u> Choose a different color &amp; texture for each part<br>🎀 <u>Finally - play with your unique newborn squishy!</u><br><br><br>💕💕How many squishies will you collect? Every anti-stress toy you’ve ever dreamed of is just a click away… Download <b>Squishy Magic: 3D Art Coloring &amp; DIY Toys Maker</b> NOW, and enroll in the next generation of painting &amp; drawing games!💕💕<br><br><b>Play - Create - Relax</b><br>We in Dramaton believe that there is no greater importance than that of our own peace of mind. This is exactly why we’ve created the ultimate anti stress games for a calming anxiety relief therapy: the first was Super Slime Simulator, and today we are presenting Squishy Magic.<br><br><br><b>Squishy lovers - unite!</b><br>Art, painting, and drawing are for everyone! <br>Just like we did in Super Slime Simulator, we welcome everybody to take part in the ultimate antistress experience. Whoever you are, wherever you are, there is no way <b>Squishy Magic: 3D Art Coloring &amp; DIY Toys Maker</b> isn’t the game for you!<br><br><i>Happy Squishing💕</i>","€ 1,09 - € 4,69 per item",ENTERTAINMENT,6154208,5000000,Sun Sep 13 15:51:03 2020,1599996063,PEGI 3,75M,5.0 en hoger,2.21,0 USD,4.4694657
2,https://lh3.googleusercontent.com/fz5QaVo9MXy7nSbS9pwTATQYNVnCw6EfVnECsKKp7bfnas0jao_5V9mV_gTmlUX1eA,Slime Simulator Time: Make Super ASMR,https://play.google.com/store/apps/details?id=slime.simulator.time.asmr&hl=nl&gl=nl,slime.simulator.time.asmr,https://play.google.com/store/apps/developer?id=Freeday+Studio,Freeday Studio,"Slime Simulator Time is een geweldige app voor beginnende slimers tot geavanceerde slimers. Het is ook goed voor mensen die van ASMR-geluiden houden. De app werkt als een echt slijm dat je maakt van echte ingrediënten zoals klei, glu, borax en nog veel meer. Natuurlijk is het veilig voor jongens en meisjes.<br><br>Heb je het moeilijk om je eigen slijm te creëren? Dit is de app voor jou. Niet nodig om te weten hoe slijm te maken. Het is gemakkelijk, leuk, verslavend en GRATIS!<br><br>kenmerken:<br>★ Stress en angstverlichting<br>★ Mooie ASMR-geluiden. Goed voor meditatie en slaap.<br>★ Maak je eigen slijm: voeg verschillende producten toe om nieuwe kleuren en texturen te bereiken, zoals kleurstof voor eten, glitter, schuimparels, vissenkom, nepsneeuw en nog veel meer! Je kunt ze aanpassen aan je eigen fantasie!<br>★ Veel toegevoegd polymeerklei-riet: perfecte dingen om toe te voegen aan je slimes! Ze kunnen variëren van eenvoudig fruit tot schattige karakters!<br>★ Noem je eigen slijm wolk, regenboog, fluffy, boter, glanzend, metaalachtig bubbelslijm!<br>★ Bevredigende slijmgeluiden: verschillende slimes maken verschillende ASMR-geluiden. Je kunt ze porren, ploppen, draaien en drukken!<br>★ DIY slijm stressbal<br>★ Decoratief slijm: u kunt glitter, microbeads en andere additieven toevoegen om uw slanke uiterlijk interessanter te maken.<br><br>Slime Simulator Time brengt slimes naar uw mobiele telefoon. Het is tijd om je eigen slijm te maken!<br><br>Nu downloaden!","€ 2,09 - € 20,99 per item",LIFESTYLE,29972036,10000000,Wed Sep 16 20:33:38 2020,1600272218,PEGI 3,68M,4.4 en hoger,1.59,0 USD,3.628604
3,https://lh3.googleusercontent.com/rjX8LZCV-MaY3o927R59GkEwDOIRLGCXFphaOTeFFzNiYY6SQ4a-B_5t7eUPlGANrcw,Akinator,https://play.google.com/store/apps/details?id=com.digidust.elokence.akinator.freemium&hl=nl&gl=nl,com.digidust.elokence.akinator.freemium,https://play.google.com/store/apps/dev?id=9041369024808341661,Elokence SAS,"Door enkele vragen te stellen kan Akinator je gedachtes lezen en raden welk personage je in je hoofd hebt. Denk aan een echt of fictief personage en Akinator zal proberen te raden wie het is. Daag jij de geest uit?  <br><br>NIEUW<br>Breid uw AKINATOR-ERVARING UIT MET EEN GEBRUIKERSACCOUNT!<br>Met Akinator kunt u uw eigen gebruikersaccount maken. Het registreert de Aki Awards die je hebt gewonnen, de accessoires die je hebt ontgrendeld en het saldo van je Genizs. Ze zullen u nu overal volgen, zelfs als u uw mobiele apparaat verandert.<br><br>GA OP ZOEK NAAR DE AKI PRIJZEN Akinator nodigt je uit om buiten de lijntjes te kleuren. Zoals je weet, vindt Akinator het leuk om moeilijke personages te raden. Om dat te doen, laat je hem vergeten personages raden, die al heel lang niet gespeeld zijn en zo krijg je een kans om de geweldige Aki prijzen te winnen.<br><br>WEES DE BESTE SPELER<br>Daag andere spelers op het scoreboard uit om te bewijzen wie de beste is. Je mag je naam opschrijven op het laatste SuperPrijzen board of in de Eregalerij.<br><br>BLIJF RADEN<br>Probeer elke dag 5 mysterieuze personages te vinden en win extra en specefieke Aki Prijzen. Voltooi de hele dagelijkse uitdaging en verdien de goude Dagelijkse Uitdaging Aki Prijs, één van de meest prestigieuze Aki Prijzen.<br><br>LAAT JE CREATIVITEIT DE VRIJE LOOP<br>Dankzij Geesten ontgrendel en speel je met nieuwe achtergronden en kan je Akinator zo verkleden als je wil. De geest veranderd in een vampier, een cow-boy of een disco-man. Laat je creativiteit de vrije loop door 12 verschillende hoeden en 13 verschillende outfits te mixen om de grappigste combinaties te creëren.<br><br>SPEEL MEER, ZONDER ENIGE LIMIET! <br>HET ULTIEME TOVERDRANKJE ontgrendelt alle personages en verwijdert alle reclames van de app, om er voor te zorgen dat je de beste speelervaring krijgt.<br><br>Belangrijkste kenmerken:<br>-16 talen (Frans, Engels, Spaans, Portugees, Duits, Japans, Arabisch, Russisch, Italiaans, Chinees, Turks, Koreaans, Hebreeuws, Pools, Indonesisch en Nederlands)<br>-Aki Prijzen board om je collectie te overzien<br>-Eregalerij met de meest recente en de laatste scores<br>-Laatste super prijzen voor zwart, platinum en gouden Aki Prijzen<br>-Dagelijkse uitdagingen board<br>-Voeg magie toe door foto&#39;s of vragen voor te stellen<br>-Verkleed de geest door hoeden en outfits te combineren<br>-Filtermodus stelt de jongste in staat om veilig te spelen<br>-Video opname van het spel<br>----------------------------<br>Volg de geest op:<br>Facebook @officialakinator<br>Twitter @akinator_team<br>Instagram @akinatorgenieapp<br>-------------------------------<br><br>Tips van de geest:<br>- Akinator heet een internetverbinding nodig om zijn magische lamp te kunnen gebruiken. Zet je wifi aan of zorg dat je een data-bundel hebt.<br>-Vergeet niet om door de lijst heen te scrollen, om een taal te selecteren.","€ 0,89 - € 8,99 per item",ENTERTAINMENT,143396809,100000000,Tue Aug 25 14:05:19 2020,1598348119,PEGI 12,39M,4.4 en hoger,8.1.10,0 USD,4.530865
4,https://lh3.googleusercontent.com/2Z6BfzwC4GfccM17VX_2E1_OlI-PHJGxk24gAJE-kbfw4Fg-VypA6PCF4sAv0vLbySt7,Drum Pad Machine - Beatmaker,https://play.google.com/store/apps/details?id=com.agminstruments.drumpadmachine&hl=nl&gl=nl,com.agminstruments.drumpadmachine,https://play.google.com/store/apps/dev?id=7473634688510685864,Easybrain,"Maak als een echte professional je eigen muziek. Creëer sicke beats, perfectioneer je eigen unieks tracks en geef een performance!<br><br><b>Functies:</b><br>• Diverse muziekstijlen: hip-hop, drum-and-bass, trap, dubstep, house en nog veel meer;<br>• Geavanceerde audio. Krijg toegang tot audiosamples van professionele kwaliteit, gemaakt door beroepsmuzikanten en dj&#39;s;<br>• Instrumenten en effecten. Gebruik drums en piano voor een creatieve soundscape;<br>• Sequencing. Krijg studio-effecten waaronder temporegeling en equalizer;<br>• Beatschool. Bekijk video&#39;s en uitleg om snel te leren;<br>• Snel delen. Deel je muziek met de wereld.<br><br><b>De soundboard-app is een efficiënte, gebruiksvriendelijke tool voor de beste muzikale ervaring:</b><br>- maak gebruik van professionele muzieksamples;<br>- probeer loops te maken met een sequencer;<br>- wijzig het tempo en maak geluiden met de beatboxrecorder;<br>- neem je eigen nummers op en deel je opnames;<br>- ontdek tips en trucs door video&#39;s en tutorials te bekijken;<br><br><b>Beschikbare muziekstijlen en beats:</b><br>‣ Trap<br>‣ Dubstep<br>‣ EDM<br>‣ House<br>‣ Drum &amp; bass<br>‣ Hiphop<br>‣ Electro<br>‣ Future bass<br><br>Geniet van een krachtige maar toch eenvoudig te gebruiken tool en krijg de beste muziekbeleving!","€ 4,79 - € 12,99 per item",MUSIC_AND_AUDIO,103582783,100000000,Sat Sep 19 00:44:20 2020,1600460060,PEGI 3,35M,5.0 en hoger,2.9.1,0 USD,4.4364676
5,https://lh3.googleusercontent.com/CZrR3zIxlEjWxhI_bPcgpmpTGHcKjS7AvIhFQ0UwlvNpkR_Yi-vA_9V-5I2sjYK3qw,Tie Dye,https://play.google.com/store/apps/details?id=com.crazylabs.tie.dye.art&hl=nl&gl=nl,com.crazylabs.tie.dye.art,https://play.google.com/store/apps/developer?id=Crazy+Labs+by+TabTale,Crazy Labs by TabTale,"Live the hottest fashion summer trend! Tie Dye summer clothes and beach accessories!<br><br>T-shirts, bikinis, beach bags... you name it! Show off your creative DIY art skills while customizing the Tie Dye clothes to your liking.  Get requests from clients and paint clothes to your desire. Being creative isn’t hard: first tie, then dye! Unleash your DIY art skills and let the paint do the work!<br>Let the summer fun begin!<br><br>&quot;To opt out of CrazyLabs sales of personal information as a California resident, please visit our Privacy Policy: https://crazylabs.com/app&quot;",,GAME_SIMULATION,36139100,10000000,Tue Aug 18 14:42:07 2020,1597745527,PEGI 3,108M,4.4 en hoger,1.4.0,0 USD,3.912979
6,https://lh3.googleusercontent.com/Hi7k8wfinC0rHPy7O2F3GB-8xIiyMdquojxhAm2KFbwsHN1ryQe7R5APh_MZa6xVSHcF,Dollify,https://play.google.com/store/apps/details?id=com.davexp.dollify&hl=nl&gl=nl,com.davexp.dollify,https://play.google.com/store/apps/developer?id=Dave+XP,Dave XP,"Hi peeps! I&#39;m @dave.xp and I can&#39;t wait for you to make your own portraits!<br><br>Me and the developer team have carefully crafted this app so you can make the cutest looking avatars on the internet!<br><br>It&#39;s very easy to use and you&#39;ll get the most beautiful results by just picking your favourite items out of 14 different categories. <br><br>With many different items to choose from and their color variations, you can make thousands of unique combinations and I can&#39;t wait to see yours!<br><br>Tag your portraits with the hashtag #dollifyapp and I&#39;ll be featuring some of them every week on my Instagram account! <br><br>Cheers<br>Dave XP","€ 7,49 per item",ENTERTAINMENT,36663344,10000000,Wed May  6 23:40:13 2020,1588792213,PEGI 3,29M,4.1 en hoger,1.1.7,0 USD,4.4119368
7,https://lh3.googleusercontent.com/ngNzLdu0Zpv_QTaaD5PPtsf86Alv9jL1zuQb8wI09NL-bqvNwmOzGeCIxE2Gmyb_Ybo,"Avatoon - Avatar Creator, Emoji Maker & Cartoon Me",https://play.google.com/store/apps/details?id=face.cartoon.picture.editor.emoji&hl=nl&gl=nl,face.cartoon.picture.editor.emoji,https://play.google.com/store/apps/dev?id=7442512093988977097,IdeaLabs.,"You’re not boring, and your social media shouldn’t be either. With the powerful photo editing tools of Avatoon, create a personalized avatar that expresses just how exciting you and your life really are. <br><br>Did you know? 🤔Custom personalized avatars can be more effective on social media than traditional (boring) photos. Whether chatting with friends, building up followers, or just looking for a change, upgrading your image with a colorful cartoon avatar is a great idea💡 That’s where Avatoon comes in.<br><br>Our avatar creator lets you standout from the crowd while still being yourself. Avatoon not only creates a unique, personalized, cartoon you, but also lets you create personalized stickers and emojis. Wow friends and followers with colorful stickers and gifs starring you! 🤩 Go a step further and use our photo editing tools to insert your avatar into real life photos: all using one powerful app!<br><br>🌟 🌟 🌟 Features 🌟 🌟 🌟<br><br>Facial recognition🤳 -  With just one picture Avatoon easily creates a personalized avatar that looks almost as good as the real thing.<br><br>Photo Editor 🕵️‍♀️ -  Avatoon provides users with powerful editing tools that bring your photos, be they professional or fun, to the next level. <br><br>Avatar Snapshots 🎞️  - Using either in-app backgrounds or real life photos you can insert and modify your avatar’s expressions, poses and background until you’ve created the perfect snapshot of your digital counterpart.<br><br>Avatar Fun 🎮 - The social fun of Avatoon doesn’t stop at creating and sending photos. Win coins and share with friends as you explore Avatoon. <br><br>Send and Share 📩 - Effortlessly share your personalized stickers, emojis,  and edited photos on instagram, Facebook and any other social media you can think of.<br><br>Avatar Customization 📲 - Easily customize your avatar however you wish. From hair to eyes, clothes to nose, everything can be customized, to ensure your avatar looks just like you.<br><br>Style Options🎨 - Tons of customization options! Change your clothes, hair, and color scheme, to let your personal style really shine through. <br><br>Personalized Avatar Stickers✨ - Give your messages a personal touch! With a cute little cartoon you, expressing yourself has never been easier!<br><br>Avatoon is an awesome way to show the world 🌍 how unique you really are. Tons of customization options really let your personality shine through☀️! Whether texting, tweeting, gramming, or anything else, Avatoon is the premier tool to bring your emoji game to the next level.🔥Don’t wait to improve your profile, download now!","€ 4,99 - € 49,99 per item",ENTERTAINMENT,23674909,10000000,Tue Sep 22 08:30:03 2020,1600750803,PEGI 12,22M,5.0 en hoger,1.2.3,0 USD,4.715154
8,https://lh3.googleusercontent.com/VFeA3qJK-_wIjI44N4I2u7IZcn-IWsZUgJcJUOwQg3YWDHTrweKgrrMTOPgn9FCVCQ,Coffin Dance | Meme Prank Soundboard,https://play.google.com/store/apps/details?id=astronomia.coffin.dance.meme.soundboard&hl=nl&gl=nl,astronomia.coffin.dance.meme.soundboard,https://play.google.com/store/apps/developer?id=Nirvana+Meme+Buttons,Nirvana Meme Buttons,"THE new Coffin Dance meme has arrived in force this 2020 and has distributed humor and fun throughout the houses and to all people. The dancers 👯 of the coffin ⚰️ have become true references and examples of a new trend. For this reason and many more, we bring you a compilation of more than 20 sounds from different versions of the coffin dance song! <br> <br> By installing this app you can play and listen to the following on your device remix versions of the Coffin Dance collected in this compilation: <br> * Normal <br> * 69% slow <br> * Fast <br> * Wave distortion <br> * Blurred distortion <br> * PItched <br> * Mirror <br> * Inverted <br> * 8-bit remix <br> * Airhorn remix <br> * Dropbass remix <br> * Gabe remix <br> * Cuack pato remix <br> * Saxo <br> * Woah remix <br> * Yeah boy remix <br> <br> And many more! In addition, this application has the following characteristics: <br> - To be able to share each sound 🔊 or remix. Whether by whatsapp, telegram or another chat app, facebook, twitter or other social network, to your contacts, sms or email <br> - To be able to download the songs 🎵🎶 in the storage 💾 of your smartphone or tablet to be able to reproduce and use the sounds whenever you want or to set it as a ringtone or notification 📲 <br> - To be able to share this fabulous app with everyone 🌎 for more fun! <br> <br> Don&#39;t wait any longer: download this app now and enjoy the most entertainment possible at home 🏠!",,ENTERTAINMENT,2372684,1000000,Wed Sep 23 01:59:45 2020,1600813785,PEGI 12,14M,4.4 en hoger,68.0,0 USD,4.383305
9,https://lh3.googleusercontent.com/djNEmVhjVK1aW_3TVjBD9H6PBnKBz8FtaWZJ6ysvfucZBHlwUttYaZMAVjeoKieMj0w,No.Pix - kleur op nummer,https://play.google.com/store/apps/details?id=com.no.color&hl=nl&gl=nl,com.no.color,https://play.google.com/store/apps/dev?id=7148680220855906998,"ideaFun - Relaxing Coloring Book, Free Color Games","☆ Nieuwe geavanceerde functie: ondersteuning voor pixelartcamera waarmee u uw eigen illustraties kunt maken. Een van de beste pixeleffecten op Google Play. ☆<br><br>Met het PixPix-kleurenpixelspel, een volledig nieuw kleurboek voor volwassenen en kinderen, kun je duizenden prachtige pixelillustraties op nummer zetten. 20 populaire categorieën, 1000 prachtige kunstwerken, 100 uitdagende HD-foto&#39;s die je krijgt om te kleuren op nummer, helemaal gratis!<br><br>Number color book is een van de beste kleurspellen voor elke leeftijd en elk gezin. Voor volwassenen is het een uitstekende manier om te kalmeren en uren plezier en ontspanning te genieten. Voor kinderen is het een geweldige manier om de herkenning van kleuren en cijfers door kinderen te ontwikkelen, concentratie en standvastigheid op te bouwen. Maak je eigen kleurende pagina&#39;s bevrijd je innerlijke artiest en deel je kunstwerken met je familie en vrienden.<br><br>Kenmerken van het nummer Draw-boek:<br>☆ Zorg voor een grote verscheidenheid aan kleurpagina&#39;s in verschillende categorieën, je kunt cartoon, anime, dieren, auto&#39;s, harten, paarden, eenhoorn, mandala etc. kleuren.<br>☆ Dubbele vinger om in te zoomen en uit te zoomen op de kleurplaten.<br>☆ Lang drukken om continu te kleuren, waardoor kleuren en tekenen gemakkelijker wordt.<br>☆ Het hulpmiddel Tips helpt u automatisch de kleurnummers te lokaliseren, die niet voltooid zijn.<br>☆ Sla je illustraties op in een coole time-lapse-video en deel deze met je familie en vrienden.",,ENTERTAINMENT,59766522,50000000,Wed Sep 30 06:11:48 2020,1601433708,PEGI 3,16M,4.4 en hoger,20.3.0,0 USD,4.6583686
