,img_src,title,link,id,developer_link,developer_name,description,price_inapp,category,num_downloads,num_downloads_approx,published,published_timestamp,pegi,filesize,os,software,price,rating
0,https://lh3.googleusercontent.com/_XSRDSFtyJlQvb2fRYSIiB9YGDrx_MnTKvrli4iJmLWC_0a_izIz-C8BKFRXgwBqC30b,Zombie Tsunami,https://play.google.com/store/apps/details?id=net.mobigame.zombietsunami&hl=nl&gl=nl,net.mobigame.zombietsunami,https://play.google.com/store/apps/developer?id=Mobigame+S.A.R.L.,Mobigame S.A.R.L.,"The zombies are revolting ! Attack the city with a horde of zombies, change pedestrians into zombies and create the largest horde.<br>Eat your friends, and challenge them to a crazy race by destroying everything in your path.<br><br>Zombie Tsunami has proudly exceeded 200 million players around the world.<br><br>&quot;Zombie Tsunami is a game you really need to own&quot; (TouchArcade)<br><br>FEATURES<br>- &quot;One touch&quot; gameplay to control the entire hord<br>- 10 delirious bonuses, ninjas, dragons, UFOs, and many more<br>- Many upgrades to unlock<br>- Raise zombie birds and use their powers<br>- More than 300 missions to devour<br>- 11 sets to travel in<br>- Optimized for all Android models<br><br>Why not try our other games: EDGE, Cross Fingers, Perfect Cell, Truckers Delight.<br>Follow us on twitter.com/Mobigame<br>Visit us at http://www.mobigame.net","€ 0,99 - € 99,99 per item",GAME_ARCADE,361066592,100000000,Sat May 16 01:32:38 2020,1589576558,PEGI 3,Varieert per apparaat,Varieert per apparaat,Varieert per apparaat,0 USD,4.355785
1,https://lh3.googleusercontent.com/Lf9fOTzjrLVIeSRIlwDqNfAFv2daNjLqqvIWWzJ8C0cPngi_21yWChteFanKHbsp1Q,Zombie Catchers 🧟 Hunt the Dead,https://play.google.com/store/apps/details?id=fi.twomenandadog.zombiecatchers&hl=nl&gl=nl,fi.twomenandadog.zombiecatchers,https://play.google.com/store/apps/developer?id=Deca+Games,Deca Games,"Catching  <b><font color=""green"">zombies</font></b> has never been so much fun! <br><br><h1><b>The Best Zombie Casual Game<b></b></b></h1><br>*** TOP 10 game in over 90 countries! ***<br>*** TOP 5 action game in over 100 countries! ***<br><br>Zombie Catchers is a casual action adventure game in a futuristic world riddled by a <b><font color=""green"">zombie</font></b> invasion! Planet Earth is infested with the undead. But we’re in luck! A.J. and Bud, two intergalactic businessmen, have decided to build a business empire! They plan to hunt all the zombies and make Earth safe once more - while also making a handsome profit selling Zombie juice.<br><br>Choose your weapons and traps &amp; upgrade your character to <b>hunt and capture juicy zombies</b>, take them to your secret underground lab, and... profit!<br><br><b>FEATURES</b><br>- Hunt down zombies with your trusty harpoon gun and sneaky traps!<br>- Unlock exciting new hunting gadgets such as nets, weapons, guns, traps, and jetpacks to help you on your quest to catch zombies!<br>- Create tasty juices, candies, and awesome snacks from your zombies and sell them to hungry customers in your drive-through cafe!<br>- Build a food business empire by developing delicious new recipes and upgrading your production lines to deliver maximum profit!<br>- Discover new territories on the map and find unique zombies to collect and squeeze into lucrative food products!<br>- Dispatch your army of drones around the world to find awesome zombies to catch!<br>- Lure out special boss zombies and capture them with your harpoon from your flying ship!<br>- Develop your skill and do perfect catches to climb the hunting ranks to get more plutonium and exclusive costumes for your character!<br>- Manage and grow your very own underground lab!<br>- Complete fun daily challenges to get awesome rewards!<br>- Play offline - no internet connection necessary!<br><br><br><b>REVIEWS</b><br>Read what people are saying about our fun and casual Zombie Catchers game!<br><br>“Zombie Catchers is a really good game. The game is entertaining, and the quality of the design and production are top notch.” - Droid Gamers<br><br>“It&#39;s incredibly charming and accessible, but hunting all the different zombies can make for a worthwhile challenge as well.” - Pocket Gamer<br><br>5/5 “It’s a great game for anyone who likes platformers and catching zombies.”<br>5/5 “Endless fun with surprises at every corner.”<br>5/5 “I don’t ever write a review for any games, but I thought I should on this one. I think this game is amazing.”<br><br>Did you like this casual zombie game? Did you enjoy hunting them? We would love to hear your feedback!<br><br><b>JOIN THE COMMUNITY</b><br>Share your zombie catching stories with other fans and be the first to hear about new game updates!<br><br>Check out our Website: zombiecatchers.com<br>Like us on Facebook: facebook.com/ZombieCatchersGame<br>Follow us on Twitter: twitter.com/zombiecatchers<br>Follow us on Instagram: instagram.com/zombiecatchers<br><br><b>GET SUPPORT</b><br>If you need help with your account or have feedback for us, please visit https://www.zombiecatchers.com/support/ and send us a message!<br><br>Notice: Zombie Catchers is completely free to play, but the game also allows you to purchase some items for real money. If you do not wish to use this feature, change your device&#39;s settings and disable in-app purchases. Zombie Catchers is allowed for download and play only for persons 13 years of age or over. Please refer to our Terms of Service and Privacy Policy for more information.<br><br>Download now and start building your <b>zombie catching empire</b>!","€ 0,99 - € 49,99 per item",GAME_ACTION,92479354,50000000,Thu Aug 27 15:47:33 2020,1598527053,PEGI 7,66M,4.1 en hoger,1.30.5,0 USD,4.3966784
2,https://lh3.googleusercontent.com/tT8hI9nhKusBlOKM8OWM64PnGsfXf7rC6AtzeTNDGkhicbfHbR7p96YXLw37FkgPz1I,Angry Birds 2,https://play.google.com/store/apps/details?id=com.rovio.baba&hl=nl&gl=nl,com.rovio.baba,https://play.google.com/store/apps/dev?id=9133452689932095671,Rovio Entertainment Corporation,"Join hundreds of millions of players for FREE and start the fun slingshot adventure now! Team up with your friends, climb the leaderboards,  gather in clans, collect hats, take on challenges, and play fun events in all-new game modes. Evolve your team and show your skills in the most exciting Angry Birds game out there!<br><br>Get to know all of the iconic characters and experience the fun gameplay that has captured the hearts of millions of players.<br><br>Features:<br><br>● DAILY CHALLENGES. Have a minute? Complete a daily challenge and earn some quick rewards.<br>● LEVEL UP your characters with feathers and up their scoring power. Build the ultimate flock!<br>● JOIN A CLAN to take down the pigs with friends and players around the world.<br>● COMPETE in the ARENA. Compete with other players for some friendly bird flinging fun and prove who is the best.<br>● COLLECT SILLY HATS. Collect hats with different fun themes to level up your flock’s fashion game and take part in special events.<br>● IMPRESS THE MIGHTY EAGLE in special challenges in Mighty Eagle’s Bootcamp and earn coins to use in his exclusive shop.<br>● LOTS OF LEVELS. Play hundreds of levels with more added in regular updates and limited time events.<br>● LEADERBOARDS. Compete with your friends and other players and prove who is the best on the global leaderboards.<br>● CHOOSE YOUR BIRD. Choose which bird to put in the slingshot and defeat the pigs with strategy!<br>● MULTI-STAGE LEVELS. Play fun, challenging levels with multiple stages – just watch out for Boss Pigs!<br>● FREE to download! --- Angry Birds 2 is completely free to play. Although Angry Birds 2 can be downloaded for free, there are optional in-app purchases available.","€ 0,99 - € 109,99 per item",GAME_CASUAL,172863153,100000000,Thu Sep  3 13:27:37 2020,1599123457,PEGI 3,67M,4.1 en hoger,2.43.1,0 USD,4.440101
3,https://lh3.googleusercontent.com/3LwyZ3NidtGEixfOyqBP0HZDuF1J2WBdzDixxxYgk7sNl3FIGaveVjzaQidzBOtzEA,Plants vs. Zombies™ Heroes,https://play.google.com/store/apps/details?id=com.ea.gp.pvzheroes&hl=nl&gl=nl,com.ea.gp.pvzheroes,https://play.google.com/store/apps/dev?id=6605125519975771237,ELECTRONIC ARTS,"From the makers of Plants vs. Zombies 2 and Plants vs. Zombies Garden Warfare 2 comes the next great game in the epic battle between doom and bloom – Plants vs. Zombies Heroes. Collect Heroes with outrageous and incredible super powers and build your ultimate battle team. Embark on a journey to discover new characters, and confront mighty opponents along the way. And, for the first time ever on mobile, play as either plants or zombies. It’s the lawn of a new battle!<br><br>COLLECT YOUR HEROES<br>Collect and choose from 20 unique Plant and Zombie Heroes and unlock their lawn-inspiring super powers. Will you pick Plants and deploy the masked, sharp-shooting avenger, Green Shadow? Or will you choose a Zombie Hero and call on the superbly superficial Super Brainz, Zomboss’s secret weapon with a powerful punch and fondness for hair gel? Each Hero’s selection of super powers will help determine your team’s winning strategy. <br><br>FORM YOUR TEAM<br>Every Hero needs a crew. Build yours and diversify your skills by collecting teammates – from the PvZ characters you know and love, to daring new plants and zombies. There are hundreds to discover! Devise distinct strategies for your Hero by selecting compatible teammates and experiment with devastating combos. Or, use Auto Team-Builder to quickly create your team, try out new strategies, and automatically upgrade your teams as you collect new characters.<br><br>GO ON COURAGEOUS ADVENTURES<br>Journey through the universe of PvZ Heroes as each action-packed skirmish takes you further along an ever-blooming map. Battle brain-thirsty or botanical foes – each side has a different path to follow. Encounter challenging bosses with tricky powers and abilities, and defeat them for legendary rewards!<br><br>PLAY AGAINST FRIENDS AND FOES<br>Test your team when you take on other players in exciting real-time matches. Earn rewards for defeating your bite-iest adversaries, and build your bank when you complete Daily Missions from Crazy Dave. Who will become the ultimate horticultural hero? Harvest your courage – the battle is on!<br><br><br>Important Consumer Information: Requires acceptance of EA’s Privacy &amp; Cookie Policy and User Agreement. Collects data through third party analytics technology (see Privacy &amp; Cookie Policy for details). Contains direct links to the Internet and social networking sites intended for an audience over 13.","€ 1,09 - € 109,99 per item",GAME_CASUAL,35817032,10000000,Fri Sep 18 23:47:51 2020,1600456671,PEGI 7,82M,4.1 en hoger,1.36.39,0 USD,4.260228
4,https://lh3.googleusercontent.com/CoNmalI7mJIzoIovoE7hsd1PGU2glF74g_2LacHy56P_g_-VPmTWWi5oPdgxlyVjEdo,Anger of stick 5 : zombie,https://play.google.com/store/apps/details?id=jpark.AOS5&hl=nl&gl=nl,jpark.AOS5,https://play.google.com/store/apps/dev?id=8321223047702517551,NESM,"<b>Rechtstreeks van de ontwikkelaar bedienen de beste stickman actie game Rage.</b><br><br><b>Anger Of Stick 5 , action games</b><br><br>- Gebruik een verscheidenheid aan wapens, kun je de vijand te verwijderen.<br>- Verzamel krachtige collega&#39;s tot zes personen.<br>- U kunt de hulp van drie collega&#39;s te krijgen.<br><br><br><b>* RPG-elementen van de groei</b><br>- Niveau omhoog om het systeem te ervaren.<br><br><b>* Kenmerken van &#39;AOS&#39; anderzijds</b><br>- U kunt genieten van zowel single-mode en zombie-modus.<br>- Breng realistische beweging van personages en objecten in de gebrokenheid<br>- Je kunt vijanden in de Hulk transformatie mode klop op een moment.<br><br>※ De gegevens worden geïnitialiseerd wanneer de mobiele telefoonterminal wordt vervangen of het spel wordt verwijderd.<br><br>Homepage:<br>https://play.google.com/store/apps/dev?id=8321223047702517551<br><br>Facebook page: <br>https://www.facebook.com/Nesm-102833931585884/<br><br>-----------------------------------------------------------------------------------------------------------<br><br><b>Stickman action Game - Anger of Stick 5 : zombie</b><br><br><b>[Scenario]</b><br>A strange group of enemies appeared in the city and have been using innocent people as experimental tools. <br>Lots of people have turned into Zombie so that Hero and his friends should save the people and remove the enemies. <br><br><b>[RPG&#39;s growth elements]</b><br>• The level up system through experiences (EXP). <br>• Please Invite 6 kinds of reliable fellows. <br>• You can request help up to 3 players.<br>• Buy weapons and upgrade them to strong weapons.<br><br><b>[Game Features]<b></b><br>• You can enjoy both Single mode and Jombie mode.<br>• A variety of movements and realistic actions have been adapted<br>• Use helicopters and machine guns strategically. <br>• Buy powerful robots and unleash powerful firepower. <br>• Realistic effects on characters’ movement and objects are updated.<br>• It only occupies 30MB to install in your mobile.<br>• Enjoy its marvelous effects on your old mobile.<br><br>※ Data is initialized when the mobile phone terminal is replaced or the game is deleted.<br><br>Homepage:<br>https://play.google.com/store/apps/dev?id=8321223047702517551<br><br>Facebook page: <br>https://www.facebook.com/Nesm-102833931585884/<br><br>====================================<br>Support Information: <br>For additional support, please contact: <br>E-mail : help@nesm.co.kr<br>====================================</b>","€ 0,99 - € 114,99 per item",GAME_ACTION,147394968,100000000,Mon Sep 28 10:35:28 2020,1601276728,PEGI 7,34M,4.2 en hoger,1.1.28,0 USD,4.301342
5,https://lh3.googleusercontent.com/xToRFw-mqA18HtizgutV0K1IouakfR8iJ3PW75u-1n1oxbP7hVfBMlgHWIwuUYKKS_s,Pou,https://play.google.com/store/apps/details?id=me.pou.app&hl=nl&gl=nl,me.pou.app,https://play.google.com/store/apps/developer?id=Zakeh,Zakeh,"Heb jij wat nodig is om voor je eigen buitenaardse huisdier te zorgen!? Geef het te eten, maak het schoon, speel met het en kijk hoe het opgroeit als je hogere levels bereikt. Steeds meer nieuwe inrichtingen, kleding en accesoires komen beschikbaar om het helemaal aan te passen naar jouw wensen. Hoe ziet jouw eigen Pou eruit? <br><br>Zorg voor Pou en geef hem te eten, kijk hoe hij groeit! Speel spelletjes in de Speelkamer en verzamel muntjes! Probeer allerlei drankjes in het laboratorium! Personaliseer Pou&#39;s uiterlijk! Probeer nieuwe kleren, hoeden en zonnebrillen! Pas de muren van elke kamer aan! Speel speciale voorwerpen en prijzen vrij! Bezoek en spelen met je vrienden!","€ 0,99 - € 24,99 per item",GAME_CASUAL,755439575,500000000,Sat Aug 22 11:25:13 2020,1598079313,PEGI 3,22M,4.1 en hoger,1.4.81,0 USD,4.3136983
6,https://lh3.googleusercontent.com/Sc2FEFd_FY3WBdouoFmLHocTM9dmsuC3bE-XFwpps9P2EAdjHDZvyzy1xD5KOMI8tO4,Hungry Shark Evolution,https://play.google.com/store/apps/details?id=com.fgol.HungrySharkEvolution&hl=nl&gl=nl,com.fgol.HungrySharkEvolution,https://play.google.com/store/apps/dev?id=4647998716943242763,Ubisoft Entertainment,"We&#39;re the Official game for Shark Week - live every week like it&#39;s Shark Week!<br><br>Take control of a very Hungry Shark and go on a frantic ocean rampage, surviving as long as possible by eating everything and everyone in your way! Explore a beautiful underwater world and evolve iconic sharks like the Great White and Megalodon!<br><br>In this action-packed aquatic adventure you can:<br>• Unlock more than a dozen unique sharks and other fintastic creatures<br>• Explore an open world both above and below the waves<br>• Enjoy jawsome 3D graphics and sound effects<br>• Discover and devour mysterious creatures of the deep<br>• Recruit Baby Sharks to boost your predatory powers<br>• Equip awesome accessories like Lasers, Jetpacks and Top Hats!<br>• Find and collect sunken Bonus Objects<br>• Sink your teeth into loads of challenging missions<br>• Activate Gold Rush to survive longer and score higher <br>• Take part in regular in-game events and win limited edition prizes <br>• Attack with intuitive touch or tilt controls <br>• Play offline wherever you are – no Wi-Fi needed! <br>• Synchronize your game easily across Android devices<br><br>Compatible with Android 4.1 and above.<br><br>This app contains In-App Purchases which allow you to buy Gem and Coin currency which can be spent on upgrades and accessories. Gems and Coins can also be collected in game without requiring purchase, or by watching video advertisements from the Treasure screen.<br>This game contains advertising. <br><br>Advertising is disabled if you make any purchase.<br><br>Like on Facebook: https://hungryshark.co/FacebookPage Follow on Twitter @Hungry_Shark Subscribe on YouTube: https://hungryshark.co/HungryYouTube Need support? Have some feedback for us? Contact us here: https://support.ubi.com","€ 1,09 - € 109,99 per item",GAME_ARCADE,349077113,100000000,Mon Sep 28 11:24:24 2020,1601279664,PEGI 16,Varieert per apparaat,4.1 en hoger,Varieert per apparaat,0 USD,4.38381
7,https://lh3.googleusercontent.com/qodgRiD8cfsKNSdj4pvKt3VVE94CaWIM5-y4PE5VdxPqEEuerhWahDIYCEk5DnMMd7Y,Sonic Dash - Endless Running & Racing Game,https://play.google.com/store/apps/details?id=com.sega.sonicdash&hl=nl&gl=nl,com.sega.sonicdash,https://play.google.com/store/apps/dev?id=7891990035506213180,SEGA,"Play as Sonic the Hedgehog as you run, dash, jump and spin your way across stunning 3D environments in his first fun endless runner game. Swipe your way over and under as you race past challenging obstacles in this free fast and frenzied endless running game!<br><br>3 2 1… SONIC…<br>Gotta run fast with Sonic the Hedgehog stars in his first endless running game! How far can you go with this fast and cool hedgehog? <br><br>…DASH!<br>Unleash Sonic’s incredible dash move that allows you to run at insane speed and destroy everything in your path! Race and run through epic courses in this top free endless runner game.<br><br>AMAZING RUNNING ABILITIES<br>Utilize Sonic’s awesome powers to dodge hazards, jump over barriers and speed around loop de loops. Plus defeat despicable enemies using Sonic’s devastating homing attack!<br><br>STUNNING RACE GRAPHICS<br>Sonic’s beautifully detailed world looks its best on your phone and tablet in this fun endless runner! Spend hours racing through this really cool environment.<br><br>MULTIPLE CHARACTERS<br>Choose to run as one of Sonic’s friends, including Tails, Shadow and Knuckles. Choose your favorite runner and blast your way through this awesome endless runner game.<br><br>EPIC BOSS BATTLES<br>Run and race against two of Sonic&#39;s biggest rivals, the despicable Dr. Eggman and the devastatingly deadly Zazz from Sonic Lost World! Use all of Sonic&#39;s agility and speed to take down these villains before it&#39;s too late!<br><br>POWERUPS<br>Unlock, win or buy the best running power-ups to help you run further. Including head starts, shields, ring magnets and unique race score boosters!<br><br>KEEP ON RUNNING<br>Get more rewards the more you run and race! Level up your score multiplier by completing unique missions, or win amazing prizes including Red Star Rings &amp; additional characters by completing Daily Challenges and playing the Daily Spin.<br><br>Download Sonic Dash for free today and run through Sonic’ awesome world! Collect the best runners and see how far you can go! Get ready to play the best free endless runner game in 3… 2… 1.. RUN!<br><br>- - - - <br>Privacy Policy: http://www.sega.com/mprivacy/<br>Terms of Use: http://www.sega.com/Mobile_EULA<br><br>Game apps are ad-supported and no in-app purchases are required to progress; ad-free play option available with in-app purchase.<br><br>Other than for users known to be under 13, this game may include &quot;Interest Based Ads&quot; (please see http://www.sega.com/mprivacy#3IBADiscolure for more information)​ and may collect &quot;Precise Location Data&quot; ​(please see http://www.sega.com/mprivacy#5LocationDataDisclosure ​for more information)​.<br><br>© SEGA. All rights reserved. SEGA, the SEGA logo, SONIC THE HEDGEHOG and SONIC DASH are registered trademarks or trademarks of SEGA Holdings Co., Ltd. or its affiliates.","€ 1,09 - € 109,99 per item",GAME_ARCADE,287017349,100000000,Mon Sep  7 19:41:46 2020,1599491506,PEGI 3,103M,4.4 en hoger,4.13.1,0 USD,4.5756145
8,https://lh3.googleusercontent.com/BZmWHOpvowCFLTqiydafFzcMJ09HKrH-Z50VvCo75eM0WSOKT3RApt2VOW9shuc5SYc,Subway Surfers,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf&hl=nl&gl=nl,com.kiloo.subwaysurf,https://play.google.com/store/apps/dev?id=7363891306616760846,SYBO Games,"SPUIT zo snel als je kunt!<br>ONTWIJK de arriverende treinen! <br><br>Help Jake, Tricky &amp; Fresh om te ontsnappen uit handen van de barse inspecteur en zijn hond. <br><br>★ Ren over treinen met je coole team!<br>★ Kleurrijke en levendige HD grafics! <br>★ Surfen op je zwevende board! <br>★ Door verf aangedreven aanstuwingspakket! <br>★ Wees acrobaat zo snel als de bliksem! <br>★ Daag je vrienden uit en help ze! <br><br>Zet de meest gedurfde achtervolging in! <br><br>Een universele App met in HD geoptimaliseerde, grafische weergaven.<br><br>Van Kiloo en Sybo.","€ 0,89 - € 109,99 per item",GAME_ARCADE,1565025726,1000000000,Thu Sep 24 00:21:56 2020,1600894316,PEGI 12,132M,4.4 en hoger,2.7.0,0 USD,4.4386826
9,https://lh3.googleusercontent.com/sITxnGaUxYVzTDkVAjRSKM8JKehWTuseE4hF8937sWVattKHEAirl7uZw93gqad_fQg6,Stick War: Legacy,https://play.google.com/store/apps/details?id=com.maxgames.stickwarlegacy&hl=nl&gl=nl,com.maxgames.stickwarlegacy,https://play.google.com/store/apps/dev?id=5195759440434026200,Max Games Studios,"Een van de populairste en best beoordeelde spellen aller tijden komt nu naar mobiel!<br> <br> Speel het spel Stick War, een van de grootste, leukste, uitdagendste en verslavendste spellen met stokmannetjes dat er bestaat. Bestuur je leger in formaties of speel met elke eenheid, want je hebt controle over elk stokmannetje. Bouw eenheden, delf goud, leer de weg van het zwaard, de speer, de tovenaar en zelfs de reus. Vernietig het beeld van de vijand en verover alle gebieden!<br> <br> Nieuwe features:<br> ● 6 bonuslevels voor de campagne met beloningen!<br> ● Skins zijn nu voor alle personages beschikbaar! Ontgrendel krachtige wapens en bepantsering met elk hun unieke perks!<br> ● Bladskins zijn zo licht als een veertje en goedkoop, zodat je eenheden snel kunnen bewegen en worden gebouwd<br> ● IJsskins bevatten krachtige magie die de vijand bevriest en vertraagt.<br> ● Wilde skins zijn van de botten en huid van magische beesten gemaakt, waardoor de dragers ervan bonusschade uitdelen aan doden en profiteren van hogere aanvalsnelheid, behendigheid en minder verlamming.<br> ● Lavaskins zijn gesmeed in het hart van een vulkaan en veroorzaken brandschade, terwijl ze inkomende schade terug naar de vijand weerkaatsen<br> ● Vampskins zouden de kracht van chaos bevatten, die gecreëerd is door de meest duistere magie van Inamorta. Vampbepantsering en -wapens geven je eenheden de kracht tot levenstelen, gifimmuniteit en splashschade aan iedereen die te dichtbij komt.<br> ● Survivalmodus met oneindig veel dode zombies! Hoeveel nachten houd jij het uit?<br> ● Filmische intro in stripverhaalstijl voor de eindeloze-dodenmodus!<br> ● Toernooimodus! Ga de strijd aan met tientallen AI-uitdagers en win de &#39;Kroon van Inamorta&#39;!<br> <br> Campagnemodus:<br> In een wereld genaamd Inamorta word je omringd door afzonderlijke naties die zich volledig concentreren op hun eigen technologie en de strijd om overheersing. Elke natie heeft zijn eigen unieke manier ontwikkeld om te verdedigen en aan te vallen. Doordat ze zo trots zijn op hun unieke vaardigheden, zijn ze zo geobsedeerd geraakt met hun wapens dat ze die aanbidden en er een religie van hebben gemaakt. Volgens deze naties is hun manier van leven de enige juiste en ze doen er alles aan om hun wetten aan alle andere naties op te leggen. Hun leiders noemen dit goddelijke interventie, maar jij kent het beter als ... oorlog.<br> <br> De anderen staan bekend als &#39;Archidons&#39; of de weg van de boogschutter, &#39;Swordwraths&#39; of de weg van het zwaard, &#39;Magikills&#39; of de weg van de tovenaar en &#39;Speartons&#39; of de weg van de speer.<br> <br> Jij bent de leider van de natie genaamd &#39;Orde&#39;. Jouw weg is een weg van vrede en kennis en je volk aanbidt geen wapens als goden. Hierdoor ben je een doelwit voor infiltratie door de omringende naties. Je enige kans op verdediging is om als eerste aan te vallen en geleidelijk de technologie van alle andere naties te stelen.","€ 2,49 - € 114,99 per item",GAME_STRATEGY,119994486,100000000,Sat Sep 19 20:26:03 2020,1600530963,PEGI 12,96M,4.1 en hoger,2020.2.5,0 USD,4.479244
