,img_src,title,link,id,developer_link,developer_name,description,price_inapp,category,num_downloads,num_downloads_approx,published,published_timestamp,pegi,filesize,os,software,price,rating
0,https://lh3.googleusercontent.com/GvavXmNlB2U78HrWORV-mBuw8-B0x-fWxRmk-qsmDK_dUoSbX7xdDwxsqJICyXu2Oo4,Masha and the Bear. Games & Activities,https://play.google.com/store/apps/details?id=com.edujoy.Masha.Bear&hl=nl&gl=nl,com.edujoy.Masha.Bear,https://play.google.com/store/apps/dev?id=5704336914526446295,AppQuiz,"Enjoy this great application with 16 games of Masha and the Bear for your children to learn different professions while developing their intelligence and mental agility.<br>If you liked Masha and the Bear - Educational games, you will love this game!<br>In Masha and the Bear - Activities and Games you will find fun games for children to work on their motor skills, creativity and musical intelligence.<br><br>Masha and the Bear is one of the favorite cartoon series for children. Discover the adventures of little Masha with her friend the Bear in incredible situations and scenarios.<br><br>WHICH GAMES ARE YOU GOING TO FIND IN THIS APP?<br><br>-Masha Chef: Memory game where you will help Masha to cook pizzas with different ingredients.<br>-The orchestra: Recognize the musical sounds and find the instruments.<br>-Fruits and vegetables: Help Masha to cut fruits without touching the bombs.<br>-Ice Blocks: Break the ice with the help of the snowball in motion.<br>-Hockey on ice: The hockey rink is ready to start the game.<br>-Tangram: Help Masha complete the tangram puzzles.<br>-Masha Painter: Choose the colors of the palette that you like the most and paint fun drawings.<br>-Masha detective: Find the objects that appear on the screen.<br>-and many more!<br><br>Masha and the Bear is a great cartoon series available on television in more than 100 countries with dozens of amazing chapters. Do not miss the educational games of the series that are succeeding all over the world!<br><br>Edujoy games are aimed at children up to 8 years old to help them develop their visual and musical intelligence and sharpen their memory. In this activity game, Masha will accompany you in different scenarios to help you learn while having fun.<br><br>THANK YOU FOR TRUSTING IN EDUJOY<br>Edujoy has more than 60 games aimed at children of all ages; from kindergarten to the oldest. Thank you very much for learning with Edujoy games! We love creating educational and fun games for you. If you have any suggestions or questions, do not hesitate to send us feedback or leave a comment.","€ 5,99 per item",GAME_EDUCATIONAL,19827387,10000000,Tue Oct  8 20:38:31 2019,1570554511,PEGI 3,24M,4.0.3 en hoger,4.9,0 USD,4.1683464
1,https://lh3.googleusercontent.com/FR3P0M93TSJiX4DWh_u4TZlLTko94cRzZ82ltubU6qMLKxz7Iy3vV9iqZW8j50zhH4YT,"Truckgames voor kinderen - woningbouw, Autowassen",https://play.google.com/store/apps/details?id=com.gokids.transportbuilding&hl=nl&gl=nl,com.gokids.transportbuilding,https://play.google.com/store/apps/dev?id=5796709972154726091,GoKids!,"Vrachtwagens voor kinderen - bouw een huisbouwspel waarbij peuters verschillende soorten vrachtwagens leren en hoe ze een huis, prieel, molen en zelfs zwembad kunnen bouwen.<br><br>Deze spellen zijn niet alleen gratis voor jongens, maar ook voor meisjes. Als uw kinderen dol zijn op auto&#39;s en grote vrachtwagens of iets dat te maken heeft met thematische bouwspellen, zullen ze gek zijn op deze coole tractor- en vrachtwagenspellen voor peuters gratis! Doorloop alle boeiende spelniveaus en maak je huis, zwembad en prieel klaar in de finish van een van de beste bouwgames voor peuters! U vindt hier vele soorten machines voor bouwspellen zoals vrachtwagens, tractorsimulator, graafmachine, bulldozer en vele anderen.<br><br>BOUW en RIJD uw eigen bouwtransport is nu vrij eenvoudig! Bouw coole voertuigen met slechts een paar aanraking en maak dan een huis en een zwembad. Eerst hierboven moet je je eigen transport bouwen, dan vrachtwagens voor kinderen vullen met gas op het benzinestation en dan naar de 🔨 woningbouwspellen gaan waar je met behulp van auto&#39;s je droomhuis kunt bouwen! Na deze gratis spellen moet je je transportwagen spel wassen in de wasstraat. Ga van niveau naar niveau, u weet hoe u een huis moet bouwen en binnenkort is uw droomhuis klaar!<br><br>Hier vindt u vele soorten verschillende voertuigen en lori voor uw kind puzzelspellen voor jongens hoe u een huis kunt bouwen en ermee kunt spelen! Er zijn veel verschillende vrachtwagens voor kinderen om over de bouw te leren! Leer uw kind de basis van automonteurs! Al het vervoer met tractor- en autogames voor kinderen is net als in het echte leven - dat is goed voor het onderwijs!<br><br>-CARWASH!<br><br>Uw vrachtwagen werd vuil na uren bouwen van het huis? Geen probleem! Ga naar de wasstraat, zeep erin met bubbels in gratis kinderspellen, rol het door met zachte borstels terwijl je vrachtwagens leert voor peuters en bouw een huis, maak het schoon met water en droog het af zodat je auto schoon zal schijnen in een autogames voor gratis bouwen een huis! Het is echt leuk voor kinderspellen om gratis te spelen in wasspellen voor kinderen van 3 jaar!<br><br>-BENZINESTATION!<br><br>Brandstof van uw vrachtwagen is laag? Maakt niet uit, want in truckgames voor kinderen kun je je transport op het benzinestation tanken. Zoek eerst waar u de brandstofneus kunt aansluiten om de vrachtwagens met gas te vullen. Druk op de knop en kijk hoe het brandstofpeil van uw auto stijgt!<br><br>Als je een volwassene bent en het druk hebt, kun je je smartphone of tablet met verschillende leerspellen met het ingebouwde bouwspel en bouwvoertuigen gewoon aan je peuter geven, zodat hij er urenlang plezier mee zal hebben! Maar je baby zal niet alleen gepassioneerd zijn door tractorgames voor peuters, maar zal ook een aantal dingen leren in het spel voor kinderen van 3 jaar oud!<br><br>Voice-over: 10 verschillende professioneel opgenomen voice-overs, waaronder talen zoals: Engels, Duits, Espanola, Russisch, Turks, Portugees, Chinees, Arabisch en Hindi! Graphics zijn briljante en kleurrijke autogames voor peuters, onze ontwerpers hebben hard gewerkt aan deze truckgames voor kinderen! We geven ook om de beveiliging van vrachtwagens voor kinderen, dus het zal niet zo gemakkelijk zijn voor uw kind om iets in het spel te kopen terwijl u niet voor hem zorgt.<br><br>Deze game is perfect voor je 2-5-jarige kind, als hij van tractorgames, autogeluiden en woningbouwgames houdt.<br><br>We raden je ook aan om enkele andere kinderspellen voor jongens te bekijken die we hebben gemaakt, ze zijn niet minder leuk dan die! :)<br><br>Neem contact met ons op via feedback.gokids@gmail.com, we zullen graag wat feedback van je horen!","€ 1,49 - € 27,99 per item",GAME_EDUCATIONAL,71170399,50000000,Tue Sep  1 21:37:27 2020,1598980047,PEGI 3,92M,4.4 en hoger,4.0.13,0 USD,4.1193714
2,https://lh3.googleusercontent.com/bD5iyNAaXFdfx7nCczD8WaKX4aYdz9-oVA1cFOqyCMGhr70RMMNbXGQVyBDQJrPlEvql,PJ Masks™: Moonlight Heroes,https://play.google.com/store/apps/details?id=com.pjmasks.moonlightheroes&hl=nl&gl=nl,com.pjmasks.moonlightheroes,https://play.google.com/store/apps/dev?id=5920339924959681787,Entertainment One,"Choose your favourite hero character to play with, and journey across the moonlit rooftops and through the night, collecting as many orbs as you can. But beware of those pesky villains, they’re up to mischief again! <br><br>The PJ Masks are on their way, into the night to save the day!<br><br>FEATURES <br>• The app has 21 levels that are free to play, and additional content can be bought via the Shop in the app. <br>• Collectable orbs - collect orbs to add to your final score. <br>• Gold amulets - pick up gold amulets along the way to boost your final score. Make sure you keep your eyes out for them because they’re hard to find! <br>• Hazards - dodge the obstacles the villains are throwing in their way! <br><br>CHARACTER POWERUPS <br>Collect the colored amulets and trigger the heroes’ superpowers: <br>• Catboy – ability to jump higher <br>• Owlette – ability to see hidden orbs <br>• Gekko – ability to smash through obstacles  <br><br>SAFE AND AGE APPROPRIATE<br>Trusted by millions of families across the globe, PJ Masks: Moonlight Heroes gives parents peace of mind with:<br>• Age-appropriate content tailored for preschoolers<br>• A safe and secure environment, with no third-party advertising<br>• May contain promotional content about other PJ Masks related products and eOne’s preschool shows.<br>• Advertising in the app can be disabled at any point by purchasing additional content in the shop section. <br>• Parental gate to stop your little ones making unauthorised purchases.<br> <br>PJ MASKS<br>PJ Masks is a big favourite with families all around the world. Together the trio of heroes – Catboy, Owlette, and Gekko – embark on action-packed adventures, solving mysteries and learning valuable lessons along the way. Watch out nighttime baddies – the PJ Masks are on their way, into the night to save the day!<br> <br>ABOUT Entertainment One<br>Entertainment One (eOne) is a market leader in the creation, distribution, and marketing of award-winning kids&#39; content that connects with families around the world. Inspiring smiles with the world&#39;s most beloved characters, from Peppa Pig to PJ Masks, eOne takes dynamic brands all the way from screens to stores.<br><br>SUPPORT<br>For the best performance, we recommend Android 5 and above<br><br>CONTACT US<br>Feedback or questions? We&#39;d love to hear from you. <br>Email us at support@pjmasks.com <br> <br>MORE INFORMATION <br>Privacy Policy: https://www.pjmasks.co.uk/privacy-policy<br>Terms of Use: https://www.pjmasks.co.uk/terms-and-conditions/<br>More Information: https://www.pjmasks.co.uk/apps/","€ 4,29 - € 6,99 per item",GAME_CASUAL,78445311,50000000,Mon Jul 20 21:58:00 2020,1595266080,PEGI 3,83M,4.1 en hoger,3.0.1,0 USD,3.9197602
3,https://lh3.googleusercontent.com/J44e9x6irVpzyEv_ARrkXPncpsoil5G6NOyefUchCpBy3Ih_sudQ_7SRrYAhSRQIkvPP,A Day with Masha and the Bear,https://play.google.com/store/apps/details?id=com.taptaptales.mashasdaygamesforkids&hl=nl&gl=nl,com.taptaptales.mashasdaygamesforkids,https://play.google.com/store/apps/dev?id=8607588335742983102,TapTapTales,"Would you like to have fun playing with Masha and the Bear? Well, then you can share a whole day playing and learning with them in this funny App with more than 20 games.<br><br>Good morning, Masha! It’s time to wake up... today is gonna be an exciting day full of games and activities to test your abilities and knowledge.<br><br>Share a whole day with Maya and her friends and discover her favorite games, like riding a bike, looking for animals, fishing, playing checkers or making cakes. More than 20 games where, apart from having fun, you will learn to tell the time, to add, to trace letters, to recycle and many other educational activities.<br><br>Now, with A DAY WITH MASHA AND THE BEAR you can play and have fun with the most complete and varied app, the best option for fans of Masha and the Bear.<br><br>CONTENTS OF THE APP<br><br>Dawn: Time to wake up...<br>-	Learn the hours with Masha’s alarm clock.<br>-	Arrange her cuddly toys memorizing where they are and putting each one in the right place.<br>-	Ride the tricycle to the Bear’s house collecting strawberries and avoiding the obstacles that you will find in your way. <br>-	Identify the animals in the forest by their tracks.<br><br>Morning: Time to learn in the school of the Bear<br>-	Solve the additions that the Bear has prepared for you.<br>-	Learn to write tracing the letters.<br>-	Do you know all the body parts?<br>-	Do you know the sound of each animal?<br>-	Learn how to separate the garbage in this recycling game.<br><br>Afternoon: Have fun!!!<br>-	Play soccer and shoot penalties against Masha.<br>-	Help the Bear to plant carrots in his garden.<br>-	Help Masha to find her way out of this maze so she can get to the lake.<br>-	Have fun fishing with Masha in a funny arcade game.<br>-	Help Masha and the Bear to collect the fruits that fall from the trees.<br>-	Memorize the ingredients that you need to make a cake.<br><br>Night: The Bear’s house<br>-	Help Masha and the Bear to cook a cake with all the ingredients.<br>-	Win the Bear in a game of tic-tac-toe... or have fun playing checkers.<br>-	It’s time to go to bed, but before Masha has to brush her teeth.<br>-	Masha is so sleepy... End the day with a funny platform game counting sheep.<br><br>* BESIDES these activities you can complete an album with the stickers that you will win each time you finish a game.<br><br>GENERAL FEATURES <br>-	Interactive and educational games for children 3-6 years old.<br>-	All activities contain explanations and visual support.<br>-	It encourages learning through a system of rewards and gamification.<br>-	It helps autonomous learning.<br>-	App approved and supervised by specialists in pre-school education.<br>-	Parental control.<br>-	Available in 8 languages: English, Spanish, Latin Spanish, French, Italian, German, Russian, Turkish and Portuguese.<br><br>For more detailed information, please visit: http://www.taptaptales.com<br><br>Tap Tap Tales also has other applications such as Hello Kitty, Maya The Bee, Caillou, Vic The viking, Shaun the Sheep, and Heidi.<br><br>In Tap Tap Tales we care about your opinion. For this reason, we encourage you to rate this app and if you have any comments please send them to our e-mail address: hello@taptaptales.com.<br><br>Web: http://www.taptaptales.com<br>Google+: https://plus.google.com/+Taptaptalesapps/posts<br>Facebook: https://www.facebook.com/taptaptales<br>Twitter: @taptaptales<br>Pinterest: https://www.pinterest.com/taptaptales<br><br><br>Our Mision<br>Bringing joy to children and contributing to their development through the creation and publication of amazing interactive adventures full of fun educational activities.<br>Motivating and helping the kids to accomplish the tasks of the educational game.<br>Learning and growing with our users, adapting to their needs and sharing happy moments with them.<br>Helping parents and teachers in their educational and caring endeavors with young children, offering them top-quality, state-of-the-art learning applications.<br><br>Our Privacy Policy<br>http://www.taptaptales.com/en_US/privacy-policy/","€ 0,99 - € 3,99 per item",GAME_EDUCATIONAL,4791538,1000000,Thu Jun 25 22:40:47 2020,1593108647,PEGI 3,76M,4.0.3 en hoger,18.4,0 USD,4.077055
4,https://lh3.googleusercontent.com/z5nowtXgSKU0bigp6xJHwvkd1cvP4CFeUyfrL153ikeOISslMsKceP_KGobc6Yn7RQ,Monster Trucks Game for Kids 2,https://play.google.com/store/apps/details?id=com.razmobi.monstertrucks2&hl=nl&gl=nl,com.razmobi.monstertrucks2,https://play.google.com/store/apps/dev?id=8349252292748478776,Raz Games,"If your kids love all things monster trucks, Then they will love this game! Monster Trucks racing game for young kids and toddlers!<br><br>Designed for young Children and toddlers between ages 2 to 8 years old, Simple controls to drive the monster trucks along the course. the truck never flips ensuring your child always gets to the finish line! <br><br>Race against other trucks, Which slow down when they are ahead, to give your child the best chance of winning each race!<br><br>Fun big buttons to Jump, Beep the horn and change the music track for lots of fun sounds.<br><br>Crush the cars along the course with the monster machines, Collect stars, Fireworks and balloon popping are at the end of each level to give more excitement to the kids playing.<br><br>There is 4 mini games included.<br>Balloon Pop<br>Memory Cards<br>Puzzles<br>Coloring pages<br><br>With 15 cool looking monster trucks across 42 levels to blaze across, will create hours of fun for your toddlers.<br><br>Monster Trucks Kids Game helps your child understand the educational mechanics of using mobile and tablet devices. with puzzles, memory card and heaps of fun racing action.<br><br>Features:<br>* 15 Monster Trucks to choose from<br>* 42 Levels to play<br>* Fun Cartoon HD graphics<br>* 5 different kids music sound tracks for the child to switch between.<br>* Cute Monster trucks, engines, horns + much more vibrant sounds <br>* Balloon pop game &amp; Fireworks at the end of each race.<br>* Mini Games such as Puzzles, Coloring pages, Memory Cards &amp; Balloon Pop<br>+ much more.<br><br>Privacy Information:<br>As parents ourselves, Razmobi takes children&#39;s privacy and protection very seriously. We do not collect any personal data.  This app does contain advertising as that allows us to give you the game for free – ads are carefully placed so kids are least likely to accidentally click on them. and ads get removed on the actual race screen. This app includes the option for adults to unlock or buy additional in-game items with real money to enhance game play and removing ads. You may disable in-app purchases by adjusting your device settings.<br><br>If you&#39;re having any problems with this app, or would like any updates/enhancements, feel free to contact us at webnowau@gmail.com. We would love to hear from you as we are committed to updating all our games and apps for the best possible user experience.","€ 0,69 - € 1,49 per item",GAME_EDUCATIONAL,56055335,50000000,Thu Oct  1 04:41:17 2020,1601514677,PEGI 3,31M,4.0.3 en hoger,2.6.8,0 USD,4.0355825
5,https://lh3.googleusercontent.com/IAtYbr9EN4WAN2PAftzQxcGsadl-t57JvEGdzCVHACxbC2gszStCcdep2SzxUR8P2Q,Kids Educatief spel 5,https://play.google.com/store/apps/details?id=com.pescapps.gamekids5&hl=nl&gl=nl,com.pescapps.gamekids5,https://play.google.com/store/apps/dev?id=6341774947172229745,pescAPPs,"Nieuwe pescAPPs educatief spel! Deze leuke applicatie bevat 12 games ontworpen voor kinderen. In het Engels, Spaans en Portugees. Met dit spel kinderen zullen leren:<br><br>- Het alfabet, tekenen letters<br>- Verbeteren van hun geheugen, logica en concentratie<br>- Onderscheid shapes<br>- Bestel op grootte<br>- Los logische patronen<br>- Leer om te schilderen en kleuren<br>- Onderscheid kleuren<br>- Play tafelspelen<br>- Los logica verven<br>- Count objecten en de nummers<br>- Puzzels oplossen<br>- Motoriek en ruimtelijke visie.<br><br>Perfect voor peuters en kleuters!<br><br>Dank u voor het downloaden pescAPPs games, met onze spelletjes kinderen kunnen leren terwijl ze plezier. Heeft u vragen of suggesties kunt u contact met ons op.",,GAME_EDUCATIONAL,26385707,10000000,Mon Feb 17 18:18:18 2020,1581950898,PEGI 3,Varieert per apparaat,Varieert per apparaat,Varieert per apparaat,0 USD,4.173913
6,https://lh3.googleusercontent.com/FafD4vlzxogAHYu3KaNuQ0mlKY0FIm11SqAXrqOIPPWsPMhTZUJ6LwuBJktMU_JT0_w,Piano Kids - Music & Songs,https://play.google.com/store/apps/details?id=com.orange.kidspiano.music.songs&hl=nl&gl=nl,com.orange.kidspiano.music.songs,https://play.google.com/store/apps/dev?id=5888460665412460525,Orange Studios Games,"Piano Kids – Music &amp; Songs is a great fun music box created especially for kids and parents to learn to <br>play musical instruments, wonderful songs, exploring different sounds and develop musical skills. <br><br>Use your fingers to play colorful instruments such as kids xylophone, drum kit, piano, saxophone, trumpet, flute and electric guitar. Let your child make music on your phone or tablet. It is great fun for toddlers and kids to sit down and learn how to play musical instruments with authentic sounds.<br><br>The interface of the app is colourful and bright. It will interest you and please your child as he will learn music while playing exciting games. <br><br>The application has Four modes: Instruments, Songs, Sounds and Play.<br><br>Your child will improve his skills not only in music. Piano Kids helps to develop memory, concentration, imagination and creativity as well as motor skills, intellect, sensory and speech.<br><br>The whole family can develop their musical talent and composing songs together!<br><br>Everyone can play and enjoy exploring different sounds (animals, transportation, comic sounds, among others) and learn to pronounce the colors, flags, geometric figures, numbers and letters of the alphabet in different languages.<br><br>HOW DOES MUSIC BENEFIT CHILDREN?<br><br>★ Increase the skills to listen, memorize and concentrate.<br>★ It stimulates the imagination and creativity of children.<br>★ It stimulates the intelectual development, motor skill, sensory, auditory and speech of children.<br>★ Improve sociability, causing children interact better with their peers.<br><br>KEY FEATURES<br><br>★ Totally FREE!<br>★ 4 GAME MODES:<br><br>--- INSTRUMENTS mode --- <br>Piano, Electric guitar, Xylophone, Saxophone, Drums percussion and Flute, Harp and Panpipes. Each instrument has real sounds and representation. The child can give free rein to their imagination to compose their own melodies in the different instruments.<br><br>--- SONGS Mode --- <br>Can learn to play wonderful songs. The &quot;Auto Play&quot; mode plays the song to learn the melody. Then can play it alone following the aid. Funny characters are accompanying the music and tell the child that note to play. Can choose to play songs with the following instruments: Piano, Xylophone, Guitar, Flute<br><br>--- SOUNDs mode --- <br>Allows select several collections of objects with representing images and sounds. Children become familiar with their sounds and learn to identify them. The child can explore and recognize the different sounds of objects as well as learn the pronunciation of colors, numbers and letters of the alphabet in English , Spanish and Portuguese.<br><br>- GAMES mode -<br>Fun games for kids that through music and sounds helps children learn. Learn to count, learn the alphabet, create melodies, solve puzzles, paint, draw, color, pixel art, memory game, Play with baby shark and fish, learn geometric shapes and much more.<br><br>★ Sounds of real instruments and high quality (Piano, xylophone, acoustic guitar, saxophone, drums, flute)<br>★ 30 famous songs to learn to play.<br>★ Fantastic Auto Play Mode to play the selected song.    <br>★ Can select the representation of the scales &quot;DO-RE-MI&quot; or &quot;CDE&quot;.<br>★ Intuitive and very easy to use!<br><br>*** DO YOU LIKE OUR APP? ***<br>Help us and take a few seconds to rate it and write your opinion on Google Play.<br>Your contribution will enable us to improve and develop new free games.","€ 3,09 per item",GAME_MUSIC,78342961,50000000,Tue Sep 22 00:04:52 2020,1600720492,PEGI 3,53M,4.1 en hoger,2.69,0 USD,4.4637794
7,https://lh3.googleusercontent.com/Md2vuM5wYzMztBNPzwWK7ThSnW3sWKBId7yP4OXnAtL434ZfU0qmRCH8vgg6x0lI62U,Masha and the Bear: Good Night!,https://play.google.com/store/apps/details?id=com.psvnMaB.Goodnight&hl=nl&gl=nl,com.psvnMaB.Goodnight,https://play.google.com/store/apps/dev?id=4700756200397995264,Hippo Kids Games,"Vandaag zullen we welterusten zeggen en helpen om alle personages uit de cartoon Masha and the Bear naar bed te brengen! Verhaaltjes voor het slapengaan en interactieve slaapliedjes zijn een speciaal soort apps uit de serie educatieve kindergames. Er zijn interactieve verhalen met een plot, puzzels en avonturen, je taak is om personages in bed te stoppen en ze welterusten te wensen. Deze spellen zijn interessant voor jongens en meisjes. Interactieve slaapliedjes zijn veel beter dan gewone verhaaltjes voor het slapengaan of tekenfilms.<br><br>Er is nacht en sommige lichten zijn zichtbaar in het bos waar Masha en de Beer niet konden slapen. Alle andere dieren slapen ook niet. Elk personage, van de cartoon Masha en de Beer, heeft veel dringende dingen die ze moeten doen voordat ze naar bed gaan. Iemand wil de dingen op orde brengen, een andere wil begin tellen. Eén personage wil een cartoon kijken, of naar het slaapliedje luisteren, en een ander personage is naar het huis van de Masha gekomen om te douchen en te luisteren naar rustige en aangename muziek voordat hij gaat slapen. Vandaag zullen alle verhalen ongewoon en zeer interessant zijn. Verhaaltjes voor het slapengaan en interactieve slaapliedjes zijn veel beter dan alleen tekenfilms. Je wordt de hoofdpersoon van de meest interessante verhalen ooit en schrijft een nieuw spannend sprookje over je eigen avonturen in onze kindergame.<br><br>Iedereen die van tekenfilms en avonturen houdt, nodigt Masha en de Beer uit voor een nieuw interactief kinderspel over bedtijdverhalen! Laat alle dieren naar bed gaan en wens ze welterusten. Speel met alle gezinsleden! Heb veel positieve emoties en breng samen leuke en nuttige tijd door. Blijf op de hoogte en speel met ons. Onze educatieve kindergames voor jongens en meisjes zullen u en uw peuter altijd gelukkig maken en u zult altijd een goed humeur hebben bij het spelen van onze educatieve spellen.","€ 2,39 - € 4,99 per item",GAME_EDUCATIONAL,17199549,10000000,Mon Aug 10 15:30:07 2020,1597057207,PEGI 3,92M,4.2 en hoger,1.2.6,0 USD,4.2566433
8,https://lh3.googleusercontent.com/b9maYMi_CBGLq8W8EXotirT5fmAnp2TruL2Dsnwga2eoelg9cAS9Z3OsSQBrvkIOrXg,Masha and the Bear: House Cleaning Games for Girls,https://play.google.com/store/apps/details?id=com.indigokids.mashacleanup&hl=nl&gl=nl,com.indigokids.mashacleanup,https://play.google.com/store/apps/dev?id=4700756200397995264,Hippo Kids Games,"Does your baby love Masha and the Bear cartoons? Then he’ll also like our cool preschool games for little kids! The colourful world and favourite characters are waiting for him!<br><br>✨ 🧒🐻✨<br><br>Uh-oh, the trash is everywhere! What a messy room! Cartoon Masha girl is planning to clean room! Baby will help her with it and also improve concentration and motor skills. No worries - our games are specifically designed for toddlers, so they will study something new easily, with fun and interest! <br><br>✨ 🧒🐻✨<br><br>It’s so hard to clean house! You should do a variety of things - for example, cleaning up, washing laundry, organizing toys! Let’s tidy up the messy room and decorate house after that! Your little taylor will fix clothes and toys. And when it comes to the rest, he can prepare the herbarium and burst the soap bubbles! 🌟 Our game for kindergarten learning teach preschool child to help his parents. Playing educational games is even more fun and useful than watching russian cartoons!<br><br>✨ 🧒🐻✨<br><br>There are so much places in the home - kitchen, bedroom and even courtyard! Masha and the Bear can’t manage cleaning up themselves! Your baby can help them playing our family games free, while parents are resting or busy! <br><br>✨ 🧒🐻✨<br><br>Key features of the cleaning games for kids:<br><br>👶 Baby learning games are suitable both for little ones and for preschoolers!<br>👗 “Clean up messy room” game for smart kids! Little tailor will cut fabrics and fix toys and clothes! Also he’ll iron, wash floor, fix scratches, decorate house and so on. <br>🍁 “The courtyard” game. Leaves are falling! Let’s tidy up the yard and remove trash! But first of all we’ll collect the herbarium! <br>🛁 “Washing laundry” game. Masha is so dirty - she needs to take a shower! And the washing machine will help us with laundry.<br>🕹 Mini games for kids! Let’s order by size, find all animals’ footprints and improve motor skills! <br>📱 Easy and cool gameplay suitable both for baby and for 5 years old child, for kindergarten and home.<br>👨‍👩‍👧‍👦 The game is free and family-friendly.<br> 🧒🐻 For girls and boys who loves Masha and the Bear videos!<br>👦👧 Games for boys and girls!<br>💫 Playing cleanup games with favourite characters is so funny!<br><br>✨ 🧒🐻✨<br><br>If your children liked house cleaning games for girls, check our other learning games for kindergarten!<br><br><br>🍚🥄🐰🐼<br><br>For example, in Masha Cooking toddler will cook funny foods, feed cute animals and wash dirty dishes!","€ 1,19 - € 11,99 per item",GAME_ROLE_PLAYING,18697862,10000000,Fri Sep  4 15:41:10 2020,1599217870,PEGI 3,83M,5.1 en hoger,1.9.27,0 USD,3.9431798
9,https://lh3.googleusercontent.com/UhXCV_KEean7wiCN_rePvpDXBOCo-Wi5_icjOH17V_LI1z2mMYsaRMnXofOAcVzWIA,Racing Cars for Kids,https://play.google.com/store/apps/details?id=com.edujoy.kids.cars.racing&hl=nl&gl=nl,com.edujoy.kids.cars.racing,https://play.google.com/store/apps/dev?id=5704336914526446295,AppQuiz,"Participate in the funniest car race with your custom cars!<br>This car racing game is aimed at children aged between 3 and 6 years old to enhance their creativity and stimulate fine motor skills.<br><br>Children can select their favorite character and create amazing cars from the garage. Bebo, Pat, Zacky and Nina are the characters that will accompany them during the game while they paint and color the cars and avoid obstacles in the race.<br><br>DESIGN YOUR FAVORITE CAR IN THE GARAGE<br><br>- Choose your favorite character and a car model you want to play with<br>- Design your own vehicles with paints, stickers and accessories<br>- Paint and color with different types of brushes, markers and sprays<br>- Change the wheels and tires of the car with special designs<br><br>CHOOSE THE RACE TYPE<br><br>- Select the theme you like best: mountain, candy world, space or city.<br>- Within each category there are several car racing scenarios.<br>- Dodge obstacles, cross the ramps and sliding areas without your car overturning.<br>- Compete with the rest of the participants in the race and be the first to reach the finish.<br><br>DIFFERENT CAR MODELS<br><br>Within the game children can choose different car models, divided into four categories:<br><br>- Field: tractor, truck, excavator ...<br>- Special cars: Cadillac, beetle, carriage, hippie van ...<br>- High speed: Race car, rocket, spaceship ...<br>- Public transport: Fire truck, ambulance, police car, bus, taxi ...<br><br><br>ABOUT EDUJOY<br><br>Thank you very much for playing Edujoy games. We love creating fun and educational games for children of all ages. If you have any questions or suggestions about this game you can contact us through the developer&#39;s contact or through our profiles on social networks:<br><br>twitter: twitter.com/edujoygames<br>facebook: facebook.com/edujoysl","€ 0,99 - € 3,99 per item",GAME_RACING,1641520,1000000,Mon Sep  7 13:47:59 2020,1599470279,PEGI 3,41M,4.4 en hoger,4.4,0 USD,4.287129
