,img_src,title,link,id,developer_link,developer_name,description,price_inapp,category,num_downloads,num_downloads_approx,published,published_timestamp,pegi,filesize,os,software,price,rating
0,https://lh3.googleusercontent.com/2uTOewaztiOuJsDPyMXSlBkeQq2sM5netXJUpi2Nk_e06XU9cqIfaK6l02vRYkumsQI,Traffic Racer,https://play.google.com/store/apps/details?id=com.skgames.trafficracer&hl=nl&gl=nl,com.skgames.trafficracer,https://play.google.com/store/apps/dev?id=7063637161723821824,Soner Kara,"Traffic Racer vormt een mijlpaal in het genre van de eindeloze arcade-racers. Rij met je auto door het verkeer op de snelweg, verdien geld, upgrade je wagen en koop nieuwe. Probeer een van de snelste bestuurders te zijn in het internationale klassement. Eindeloos racen nu opnieuw gedefinieerd!<br> <br>HOOFDKENMERKEN<br>- Adembenemende 3D-graphics<br>- Soepele en realistische besturing<br>- 40+ verschillende auto&#39;s om uit te kiezen<br>- 6 gedetailleerde omgevingen: buitenwijk, woestijn, herfst, besneeuwd, regenachtig, bos en de stad bij nacht<br>- 5 speltypen: Eindeloos, Twee richtingen, Tijdrit, Politieachtervolging en Vrij racen<br>- Uitgebreide soorten NPC-verkeer, met vrachtwagens, bussen en SUV&#39;s.<br>- Standaard aanpassingsopties via lak en banden<br>- Online klassementen en prestaties<br> <br>GAMEPLAY<br>- Kantelen of aanraken om te sturen<br>- Versnellingsknop aanraken om gas te geven<br>- Remknop aanraken om te vertragen<br> <br>TIPS<br>- Hoe sneller je rijdt, hoe hoger je scoort<br>- Als je harder rijdt dan 100 km/u, moet je auto&#39;s strak inhalen om bonusscores en geld te verdienen<br>- Als je in de tegengestelde richting rijdt, scoor je hoger en krijg je meer geld<br> <br>Traffic Racer wordt doorlopend bijgewerkt. Beoordeel ons en geef je feedback voor verdere verbetering van de game.<br> <br>VOLG ONS<br>* http://instagram.com/trafficracergame<br>* http://facebook.com/trafficracergame<br>* http://twitter.com/TrafficRacer","€ 2,29 - € 64,99 per item",GAME_RACING,298982654,100000000,Wed May 27 17:00:20 2020,1590582620,PEGI 3,59M,4.1 en hoger,3.3,0 USD,4.491959
1,https://play-lh.googleusercontent.com/N0UxhBVUmx8s7y3F7Kqre2AcpXyPDKAp8nHjiPPoOONc_sfugHCYMjBpbUKCMlK_XUs,Hill Climb Racing,https://play.google.com/store/apps/details?id=com.fingersoft.hillclimb&hl=nl&gl=nl,com.fingersoft.hillclimb,https://play.google.com/store/apps/dev?id=7064049075652771302,Fingersoft,"Speel het originele, klassieke Hill Climb Racing! Race de heuvel op in deze op fysica gebaseerde racegame! Speel gratis!<br> <br>Maak kennis met Newton Bill, een jonge en veelbelovende uphill-coureur. Hij staat op het punt op reis te gaan naar plekken waar geen enkele rit ooit nog toe heeft geleid. Van Ragnarok tot een kerncentrale, alle plekken zijn een racecircuit voor Bill. Met weinig respect voor de natuurwetten rust Bill pas als hij de hoogste heuvels op de maan heeft bedwongen! <br> <br>Ga de uitdagingen in unieke heuvelachtige omgevingen aan met heel veel verschillende auto&#39;s. Verdien bonussen voor listige tricks en verzamel munten om je auto te upgraden en nog grotere afstanden af te leggen. Maar pas wel op - Bill is niet meer zo robuust als toen hij jong was! En de tank van zijn oude vertrouwde grafbak is snel leeg.<br> <br>Kenmerken:<br>• ⚡ Offline spelen - Speel wanneer en waar dan ook!<br>• 🚗 Voertuigen - Ontgrendel 29+ voertuigen en kies de beste voor jouw speelstijl<br>• 🔧 Upgrade - Verbeter de motor, ophanging, banden en 4WD van je voertuigen<br>• ⛰️ Rijden - 28+ fases die letterlijk eindeloos zijn<br>• 👍 Geoptimaliseerd - Speelt fijn op apparaten met hoge en lage resolutie<br>• 🛠 Garage - bouw en rij in je droomvoertuig met aangepaste onderdelen!<br> <br>Voertuigen: Hill Climber, motocrossmotor, monstertruck, tractor, hippie auto, eenwieler, quad, toeristenbus, raceauto, politieauto, ambulance, brandweerwagen, sneeuwkat, super terreinwagen en nog veel meer!<br>  <br>Hill Climb Racing is gratis om te spelen, maar er zijn optionele in-app aankopen beschikbaar.<br> <br>Onthoud dat we je feedback altijd lezen en hard werken aan het samenstellen van nieuwe voertuigen, niveaus, onderdelen en natuurlijk het fixen van bugs die je mogelijk tegenkomt. We vinden het dan ook erg fijn als je meldt wat je wel en niet leuk vindt, plus eventuele problemen die je met de game hebt. Stuur een mail naar support@fingersoft.com en vermeld het merk en model van je apparaat.<br> <br> Volg ons:<br>* Facebook: https://www.facebook.com/Fingersoft<br>* Twitter: https://twitter.com/HCR_Official_<br>* Website: https://www.fingersoft.com<br>* Instagram: https://www.instagram.com/hillclimbracing_official<br>* Discord: https://discord.com/invite/fingersoft<br> <br> Gebruiksvoorwaarden: https://fingersoft.com/eula-web/<br> Privacybeleid: https://fingersoft.com/privacy-policy/<br> <br>Hill Climb Racing is een geregistreerd handelsmerk van Fingersoft Ltd. Alle rechten voorbehouden.&quot;<br><br>--- English description ---<br> <br>Face the challenges of unique hill climbing environments with many different cars. Gain bonuses from daring tricks and collect coins to upgrade your car and reach even higher distances. Watch out though - Bill&#39;s stout neck is not what it used to be when he was a kid! And his good old gasoline crematorium will easily run out of fuel.<br> <br> Features:<br> • ⚡ Offline Play - Play whenever &amp; wherever!<br> • 🚗 Vehicles - Unlock 29+ vehicles and choose the best one for your playstyle<br> • 🔧 Upgrade - Improve the engine, suspension, tires &amp; 4WD of your vehicles<br> • ⛰️ Drive - 28+ stages that are literally endless<br> • 👍 Optimized - Plays well on high and low resolution devices<br> • 🛠 Garage mode - build and drive your dream vehicle with custom parts!<br> <br> Vehicles: Hill Climber, motocross bike, monster truck, tractor, hippie van, onewheeler, quad bike, tourist bus, race car, police car, ambulance, fire truck, snow mobile, super offroad, and many more!<br>  <br>Like us at Facebook and stay tuned with all new games and updates: http://www.facebook.com/Fingersoft<br><br>We&#39;d appreciate if you&#39;d report any issues you&#39;re having with the game to support@fingersoft.com, please include your device make and model.<br><br>Hill Climb Racing is a registered trademark of Fingersoft Ltd. All rights reserved.","€ 2,49 - € 117,00 per item",GAME_RACING,704941303,500000000,Fri Aug 28 15:31:48 2020,1598612508,PEGI 3,56M,4.2 en hoger,1.47.1,0 USD,4.3230686
2,https://play-lh.googleusercontent.com/_NajhNZ75NZN_CuQ7O1HMvD9BOPZEX8FmwtQaAC1RqRaAnl8geTYodi02U8hcfbnwMs,Dr. Driving,https://play.google.com/store/apps/details?id=com.ansangha.drdriving&hl=nl&gl=nl,com.ansangha.drdriving,https://play.google.com/store/apps/dev?id=6115615018010073039,SUD Inc.,Verbranden van de straat met de snelste en meest visueel verbluffende editie van de Dr Parking serie.<br>Ondersteuning voor Google Play spel services.<br>Aanmelden met je Google+ account om toegang te krijgen tot online leaderboards en prestaties.<br><br>SUD Inc.,"€ 1,60 - € 8,01 per item",GAME_RACING,397002712,100000000,Mon Sep 14 13:13:02 2020,1600072982,PEGI 12,12M,4.1 en hoger,1.64,0 USD,4.204606
3,https://lh3.googleusercontent.com/zDEqBSreKFZhN99c8xj3LYYxDrOK8AcSDEg-qM9LYFS-SlTWPyZdsgchc-BGR30xnLA,Extreme Car Driving Simulator,https://play.google.com/store/apps/details?id=com.aim.racing&hl=nl&gl=nl,com.aim.racing,https://play.google.com/store/apps/dev?id=7842996855899014066,AxesInMotion Racing,"Extreme Car Driving Simulator is the best car simulator of 2014, thanks to its advanced real physics engine <br>Ever wanted to try a sports car simulator? Now you can drive, drift and feel a racing sports car for free! <br>Be a furious racer on a whole city for you. No need to brake because of traffic or racing other rival vehicles, so you can perform illegal stunt actions and run full speed without the police chasing you!<br><br>Drifting fast and doing burnouts had never been so fun! Burn the asphalt of this open world city!<br><br>GAME FEATURES<br>------------------------------------------<br>NEW: Mini game checkpoint mode.<br>NEW: Drive with traffic !!!!!<br>Full real HUD including revs, gear and speed.<br>ABS, TC and ESP simulation. You can also turn them off!<br>Explore a detailed open world environment.<br>Realistic car damage. Crash your car!<br>Accurate physics.<br>Control your car with a steering wheel, accelerometer or arrows<br>Several different cameras.","€ 0,99 - € 99,99 per item",GAME_RACING,324036183,100000000,Thu Sep 17 15:38:52 2020,1600340932,PEGI 3,53M,4.1 en hoger,4.18.30,0 USD,4.1905847
4,https://lh3.googleusercontent.com/t1p7-vPhRJ9LvMvWdhPJ_e5oq8fr9_GNjbfkHSwSTBRkEQ7R6OCwX-euo9leGm57lfE,Street Racing 3D,https://play.google.com/store/apps/details?id=com.combineinc.streetracing.driftthreeD&hl=nl&gl=nl,com.combineinc.streetracing.driftthreeD,https://play.google.com/store/apps/dev?id=6936794375735348055,Ivy,"<b>#1 Free street racing 3D car 🚘 game!</b><br><br>Drive a top-class sports 🏎  car, join the top street racing camp! 🎉 🎉<br><br>Real racing, 🆒 drift in the asphalt. 🏁 Racing in multiple races, driving on the streets, full of exciting challenges, and the world&#39;s professional racers compete to become a <b>street legend</b>! 🥇<br><br>Start driving in unique car 🚘 or never seen before on the asphalt tracks. 🏁 start your racer, the world&#39;s top-class racing cars for you to choose! <b>Upgrade turbo engine, find the tune for your car, colorful paints and cool stickers.</b><br><br>Race in different modes of street scene 🛣 ,Show your rivals 🆚  amazing speed in real competition. Unbelievable turns, Driving skill need to exercise in the different mode competition, so start racing in arcade style, perform amazing stunts. Unique mix of arcade action and simulation way of driving. Start driving and earning rewards, collect coins 💰 and diamonds 💎 on the street asphalt. Drag your <b>Career</b> and  <b>PVP</b>event into high stake racing.<br><br><b>🏁 Street Racing 3D Features:</b><br>► Street themed asphalt racing<br>► Challenge friends, start a fierce racing on the PVP track<br>► Drive 30+ extreme 🚘 cars<br>► High speed racing in street<br>► Real <b>drift racing</b> for speed<br>► Leader board score, you are the king 🥇 of speed<br>► Create your car, show the perfect look: <b>decals, paints, wheel</b>, etc.<br>► Collect as many coins 💰 and diamonds 💎 as possible<br>► High-speed racing mode, driving technology is the first 👍<br>► Win the PVP event, get a great reward<br><br>Street racing 3D has already started, drive your turbo car with the fast speed in the street asphalt. Racing is the best checking for your skills. <b>Experience drift speed in the road, be the king of car racers.</b><br><br><b>Welcome to join our Facebook Homepage : https://www.facebook.com/realdriftracing/</b>","€ 0,99 - € 99,99 per item",GAME_RACING,204362789,100000000,Mon Sep 28 10:26:39 2020,1601276199,PEGI 3,85M,4.1 en hoger,6.2.8,0 USD,4.285585
5,https://lh3.googleusercontent.com/YXPyTpF_M2UoUKuL0FugoJIvS5GrFIAvwVUalJyUUy44yONz8JSbU_5bCrYI1e6Y5jk,Modern Auto Rijden parkeren 3d,https://play.google.com/store/apps/details?id=com.volcano.modrn.car.parking.d&hl=nl&gl=nl,com.volcano.modrn.car.parking.d,https://play.google.com/store/apps/dev?id=6439460247209426995,The Knights Pvt Ltd,"<b> &#39;s werelds beste parkeerplaats voor auto&#39;s met nieuwe functies en de beste racegames Smaak !<br><br>Welkom bij het spelen van het nieuwe gekke parkeerparkspel met het echte avontuur van het gebied met parkeerautomaten. de uitdagende parkeer- en rijspellen met moderne functies en verbluffende luxe auto&#39;s zullen u verbazen. deze verslavende moderne autospellen bieden je geweldige op fysica gebaseerde voertuigen en een prachtige omgeving voor een echte parkeer- en rijervaring. je hebt veel actie en snelle racegames gespeeld, maar de nieuwste en meest uitgebreide Parker-simulator zal een uitdaging van een parkeerauto op een moeilijk gebied aangaan. Hier krijg je de kans om je rijvaardigheden te verbeteren, dus geniet nu van de nieuwste autogames en het unieke parkeeravontuur. Ultieme autogames geven je de kans om je parkeervaardigheden te verbeteren. Een auto besturen op een weg is een eenvoudige klus, maar een parkeerauto op een parkeerplaats is zwaar. Hier krijg je de kans om je rijvaardigheid te verbeteren, dus geniet nu van unieke autogames en parkeeravontuur. Rijd de auto op de parkeerplaats en parkeer deze op een specifieke parkeerplaats om een ​​echte parkeerrijder te worden. Na het spelen van autogames zult u merken dat u een echte autobestuurder wordt en kunt u alle racegames gemakkelijk spelen.<br><br>Veel wegversperringen, kegels en hindernissen maken je een expert in parkeren en rijden. Met de nieuwe unieke simulator voor parkeersimulaties realiseert u eindeloos een moeilijke en uitdagende ervaring. Voel de haast en probeer de beste overlevende Parker te zijn in deze uitdagende omgeving. Ga achter het stuur zitten en start de motor van een auto om je carrière te starten en je rij- en parkeervaardigheden te laten zien. Met de simulator kunt u uw vaardigheden controleren op uw parkeervaardigheden. Rijd door obstakels en wegversperringen, de omgeving is moeilijk, dus rijd voorzichtig en parkeer de auto op exact dezelfde tijd in een bepaalde tijd om de taak te voltooien. Als je botst of tegen een kegel botst, een slagboom of je laat reikt op de parkeerplaats zul je falen in je missie. Voltooi level als een echte Parker en krijg drie sterren in elke missie om volgende levels te ontgrendelen en veel parkeerfasen te genieten. Veel parkeer- en rij-missies in autogames, je kunt elke vaardigheid van autorijden leren.<br><br><br>Deze moderne autospellen is een perfect ontworpen spel voor die fans die dol zijn op opgewonden parkeer- en rij-spellen met opwindende HD-graphics en ongelooflijke uitdagende levels. Verbazingwekkende glimmende parkeerautogames bevatten een oncontroleerbare omgeving met veel obstakels en uitstekende grafische afbeeldingen om jezelf te vermaken. Deze tijdrovende autospelletjes hebben een verbazingwekkende variëteit aan modi en onbeperkt plezier voor liefhebbers van autospellen. Na het installeren van autogames maak je je veiligheidsgordels vast en klaar om te rijden en te genieten van de racegames. Deze racespellen laten je de sensatie van parkeren ervaren. Als je van racegames houdt, dan zijn deze echte autogames een goede keuze voor jou.<br><br><br>Download nu autogames op je Android-apparaten in Google Play Store en begin je reis nu met echte parkeerproblemen.<br><br>Hoe speel je in games?<br><br>Druk op de Play-knop om het spel te starten<br>Versnel om je auto sneller te maken<br>Druk op de remknop om de luxewagen te stoppen<br>Druk op de knop Links / Rechts om de auto te sturen<br>Vermijd om obstakels of kegels te raken<br>Gebruik de cameraknop om camerabeelden te wijzigen<br><br> Car Game Functies:<br>Opwindende 3D-omgeving<br>Melodieuze geluidseffecten<br>Ultieme HD-graphics<br>Zeer realistische vriendelijke bediening<br>Verbeter uw rij- en parkeervaardigheden<br>Meerdere camerahoeken<br>Volledig gratis en offline spelen<br><br>★ Als u een klacht of suggestie heeft, laat ons dan alstublieft een e-mail achter:<br>★ knights.techhelp@gmail.com</b>","€ 1,29 - € 25,99 per item",GAME_SIMULATION,64577232,50000000,Thu Sep 24 12:42:39 2020,1600938759,PEGI 3,53M,4.1 en hoger,3.76,0 USD,4.101653
6,https://lh3.googleusercontent.com/-_wzfnNRoQ7DrB14_WAY6OcfHvBmJe8L6K3tmzg4UAa85cgMgKXGfQO--WNQqSSzKMs,Racing Limits,https://play.google.com/store/apps/details?id=com.sbkgames.RacingLimits&hl=nl&gl=nl,com.sbkgames.RacingLimits,https://play.google.com/store/apps/developer?id=SBK+Games,SBK Games,"Racing Limits defines the mobile standards of infinite arcade type racing games. Based on racing and overtaking vehicles both in city and highway traffic, this game features 5 enjoyable modes of racing: carrier mode, infinite mode, against-time mode, free mode and a multiplayer mode. You can choose between one-way and two-way traffic and choose among three times of day periods, namely “Morning”, “Sunset” and “Night”. <br><br>There are no limits in Racing Limits but only your racing skills! So drive as fast as you can, make sharp overtakes, do what you cannot do in real life, and finally race to your limits..<br><br>FEATURES:<br><br>-REALTIME MULTIPLAYER: You can compete with your friends or with other co-racers from around the world in multiplayer mode. This game implements the best real-time multiplayer racing in mobile devices. <br><br>-MULTIPLE CAMERA ANGLES: There are 4 camera angles. Helicopter, back, hood and cockpit. All vehicles you can opt to drive come also with high quality interiors to offer the best possible cockpit camera experience. <br><br>-VERY SENSITIVE AND EASY CONTROLS: Racing Limits has very easy and sensitive game controls for you to make great fun out of it.<br><br>-DRIVING PHYSICS: All cars in Racing Limits have realistic power, torque and gear ratios. The acceleration process and top speeds are based on a complete simulation. Vehicle body weight, gear ratios, engine power and torque ratios are all taken into account.<br><br>-LOTS OF VERY HIGH DETAILED VEHICLES:  Lots of vehicles with high levels of graphical detail are waiting for you to drive! The graphical details of cars present in Racing Limits are the bests of its category.<br><br><br>-TUNINGS AND UPGRADES: You can customize your car by changing gear ratios, ride heights and wheel camber angles. You can upgrade your engine, brakes, and handling for better performance. Several body and rim colors are also available for you to choose.<br><br>-REALISTIC GRAPHICS: Racing Limits features lots of optimizations on very high detail and realistic graphics. <br><br>-LOTS OF RACE EVENTS: You will never get bored while playing Racing Limits. It has lots of carrier mode levels, 3 race tracks, 3 time of day periods and 5 different game modes. <br><br>-LANGUAGES: Six languages are currently supported in Racing Limits and lots of others are yet to come in future versions.<br><br>FOLLOW US:<br><br>* https://www.facebook.com/racinglimitsgame/<br>* https://twitter.com/RacingLimits<br>* https://www.youtube.com/channel/UCMThWAiBM_EBZWJ8l3OyCtg","€ 0,69 - € 26,99 per item",GAME_RACING,61306211,50000000,Sat May 23 14:23:57 2020,1590227637,PEGI 3,Varieert per apparaat,4.1 en hoger,Varieert per apparaat,0 USD,4.2141323
7,https://lh3.googleusercontent.com/4zLzs-gRiu6A0F7zMyKU9Gu1s6PpfbmWKyXutD8Iuc3ItHeVYk-Cp7leiOJiyVqctQVN,Dr. Parking 4,https://play.google.com/store/apps/details?id=com.ansangha.drparking4&hl=nl&gl=nl,com.ansangha.drparking4,https://play.google.com/store/apps/dev?id=6115615018010073039,SUD Inc.,"Dr. Parking is back in the sequel to the biggest mobile parking simulation game of all time!<br>Dr. Parking 4 starts a new era of parking simulation gameplay with super stunning graphics, challenging multi-stage levels and real-time online multiplayer.<br><br>SUD Inc.","€ 2,12 - € 21,33 per item",GAME_RACING,121757889,100000000,Tue Aug  4 21:09:52 2020,1596559192,PEGI 3,18M,4.1 en hoger,1.24,0 USD,4.1174784
8,https://lh3.googleusercontent.com/590AflDt-hW2t85Cit_ODJPJdRiMMRn2cSF0vYNfsBpjm895x1zDy0npbD7IlDCvmNvI,Traffic Rider,https://play.google.com/store/apps/details?id=com.skgames.trafficrider&hl=nl&gl=nl,com.skgames.trafficrider,https://play.google.com/store/apps/dev?id=7063637161723821824,Soner Kara,"Een nieuw meesterwerk van de makers van Traffic Racer. Dit keer kruip je achter het stuur van een motor in een game-ervaring met veel meer details, met behoud van de kenmerkende fun en eenvoud.<br><br>Traffic Rider tilt het eindeloze racegenre naar een volledig nieuw niveau door de toevoeging van een volledig carrièrespeltype, eerstepersoonsperspectief, betere graphics en realistische, opgenomen motorgeluiden. De essentie van soepel arcaderacen is er nog steeds, maar dan in het jasje van de nieuwe generatie. Race op je motor op de eindeloze snelwegen. Haal het andere verkeer in, en upgrade en koop nieuwe motoren om de missies in het carrièrespeltype te verslaan.<br><br>Het is tijd om de weg op te gaan op een motor!<br><br>KENMERKEN<br>- Eerstepersoonsperspectief<br>- 29 motoren om uit te kiezen<br>- Echte motorgeluiden, opgenomen van echte motoren<br>- Gedetailleerde omgevingen met dag- en nachtvariaties<br>- Carrièrespeltype met meer dan 70 missies<br>- Online klassementen en 30+ prestaties<br>- Ondersteuning voor 19 talen<br> <br>TIPS<br>- Hoe sneller je rijdt, hoe hoger je score<br>- Als je 100 km/u rijdt, moet je het overige verkeer strak inhalen voor bonusscores en cash<br>- Als je spookrijdt, haal je een hogere score en ontvang je extra cash<br>- Doe wheelies voor een hogere score en cash<br>- Mis de Starter-Kit met 30% korting niet!<br><br>VOLG ONS<br>* http://facebook.com/trafficridergame<br>* http://twitter.com/traffic_rider<br><br>*** Geen timers, geen brandstof ***  Alleen maar eindeloze fun!<br><br>Traffic Rider wordt regelmatig bijgewerkt met je suggesties. Schrijf een recensie met je feedback.","€ 2,29 - € 109,99 per item",GAME_RACING,311022858,100000000,Fri Jul 17 16:55:02 2020,1594988702,PEGI 3,109M,5.0 en hoger,1.70,0 USD,4.3803887
9,https://lh3.googleusercontent.com/cJ3Cvr1NkgDQrFOUi8iaAJV0I1JS53Ox2_K_TYY2Vz3wRmQqY9iEJDbplisMjW1JHA,Ultimate Car Driving Simulator,https://play.google.com/store/apps/details?id=com.sir.racing.ultimatecardrivingsimulator&hl=nl&gl=nl,com.sir.racing.ultimatecardrivingsimulator,https://play.google.com/store/apps/dev?id=5907239636793424422,Sir Studios,"The best car driving simulator game of 2020 comes with the most realistic driving physics, unlimited customization, huge open world, addictive gameplay and endless fun!<br><br>★<b>REAL DRIVING PHYSICS</b><br><br>Ultimate Car Driving Simulator combines the realism and fun driving physics to create the best car driving simulator on mobile with its advanced car driving physics engine. The best car driving simulator comes with the best driving physics! From racing cars to off road SUVs, all kinds of vehicles have their own physics!<br><br>★<b>UNLIMITED CUSTOMIZATION</b><br><br>Create your own car and show off your style to everyone! From countless vinyls to car parts, you can create your own dream car with this game. Imagination is your only limit! Extreme customization is waiting for you!<br><br>★<b>OPEN WORLD MAP</b><br><br>The huge open world map is designed in a creative way to test your extreme car driving skills and provide the best gameplay experience. From cities to deserts, Ultimate Car Driving Simulator comes with the largest open world map with extremely detailed environment. Drive on the endless offroad area with your SUV and experience the most realistic offroad driving experience on mobile.<br><br>★<b>THE BEST SOUND EFFECTS</b><br><br>All the sounds are recorded from real cars to provide the strongest feeling to the player. From the strongest racing car sound to the burning offroad engines, every car has their own special sound recorded from real racing cars!<br><br>★<b>THE BEST GRAPHICS</b><br><br>With the help of advanced graphics engine, Ultimate Simulator now provides the most realistic graphics and deepest 3D ever on mobile. You will have a hard time distinguishing your extreme cars from the reality!<br><br>★<b>COUNTLESS CARS</b><br><br>Racing cars, off road vehicles, SUVs, tuner cars, muscle cars, 4WD trucks... Pick your favourite vehicle and do whatever you want to do in a giant open world map!<br><br><br>Ultimate Car Driving Simulator will be updated regularly with your suggestions. Don&#39;t forget to leave a review with your feedback.<br><br><b>Follow the developer on Instagram at</b><br>https://www.instagram.com/realedwardsir/<br><br><b>Follow the community on Facebook at</b><br>https://www.facebook.com/speedlegendsgame/<br><b>or Twitter at</b><br>https://twitter.com/speed_legends<br><br>Download the best driving game of 2020 now!","€ 2,39 - € 43,99 per item",GAME_RACING,66066684,50000000,Sun Apr 12 20:53:27 2020,1586708607,PEGI 3,83M,4.4 en hoger,3.3,0 USD,4.1536336
