,img_src,title,link,id,developer_link,developer_name,description,price_inapp,category,num_downloads,num_downloads_approx,published,published_timestamp,pegi,filesize,os,software,price,rating
0,https://lh3.googleusercontent.com/ZIQ-y5JOT-K2hHnt_9E85h3j5CVhaJhIFT56Rh0dEDGxYDssqdL9AXJpZ-h7b4V9vg,Galaxy Shooter - Falcon Squad,https://play.google.com/store/apps/details?id=invaders.os.galaxy.space.shooter.attack.classic&hl=nl&gl=nl,invaders.os.galaxy.space.shooter.attack.classic,https://play.google.com/store/apps/dev?id=7627571908184472902,ONESOFT,"&quot;In de nabije toekomst heeft de mens alle planeten in het zonnestelsel veroverd en is daardoor de machtigste soort in de Melkweg geworden. Andere soorten zagen het dreigende gevaar en verzamelden hun gewapende troepen om de mensheid uit te roeien.<br>De mensen hebben veel verliezen geleden tijdens een verrassingsaanval, waarbij ze ook veel kolonies verloren. Jij, een held die tot nu toe een teruggetrokken leven leidde, komt nu terug om met je eigen jachttoestel het gevecht aan te gaan tegen de buitenaardse strijdkrachten.<br><br>KENMERKEN<br>- Prachtige pixelgraphics die herinneren aan old school games<br>- Supermakkelijke bediening, dus je hebt niet eens een tutorial nodig!<br>- VEEL verschillende vijanden!<br>- Zware en felle baasgevechten<br>- Diverse upgrademogelijkheden<br>- Beleef echte ruimtegevechten<br>- Daag je vrienden uit via PvP-gevechten! <br>Fanpagina: https://www.facebook.com/spacewargame<br>Het is oorlog in de Melkweg. We hebben je nodig!<br>Download nu dit schitterende arcadeschietspel!&quot;","€ 0,99 - € 99,99 per item",GAME_ARCADE,44171276,10000000,Mon Sep 28 14:16:03 2020,1601289963,PEGI 3,Varieert per apparaat,4.1 en hoger,Varieert per apparaat,0 USD,4.5132666
1,https://lh3.googleusercontent.com/0VU1tELbaW2f8vgJYqW_RyZF6DrWY177bYFPt8oXT5esZzFl4V2c39zWlxhDWKo5Mtc,Galaxy Attack: Alien Shooter,https://play.google.com/store/apps/details?id=com.alien.shooter.galaxy.attack&hl=nl&gl=nl,com.alien.shooter.galaxy.attack,https://play.google.com/store/apps/dev?id=7627571908184472902,ONESOFT,"Earth&#39;s last hope is in your hands, take control of the lone spaceship and protect Earth from alien swarms. Your goal will be quite challenging as you will have to save the Universe from its evil enemies. In this space shooting game, you will be facing an increasingly large number of enemies in hazardous environments. As the game progresses, you will earn the right to upgrade your spacecraft to unleash its full lethal capacity.<br><br>HOW TO PLAY:<br>* Touch screen to move and kill all enemies.<br>* Collect items to upgrade or change your weapons.<br><br>FEATURES:<br>* Multiplayer mode: 1 vs 1, 1 vs 3<br>* High quality images optimized for tablets and large screens.<br>* Ability to use active skills during the space battles.<br>* The game is packed with 160+ levels on various difficulties.<br>* Beautiful levels with immersive missions to complete. <br>* Multiple extreme boss battles. <br>* Upgrade your guns and lasers.<br><br>Enjoy classic space combat - powered up. Download Galaxy Attack: Alien Shooter now!<br>Follow us on Facebook:<br>https://www.facebook.com/GalaxyAttack<br>Join Group with us<br>https://www.facebook.com/groups/GalaxyAttackAlienShooter","€ 0,79 - € 199,99 per item",GAME_ARCADE,121711074,100000000,Tue Sep 29 17:06:57 2020,1601386617,PEGI 7,92M,4.1 en hoger,29.1,0 USD,4.5063334
2,https://lh3.googleusercontent.com/pZgiSsRnaMF23WoYS9j4Y8WWHlSAkwieFBYYXklRhiRfU5CACBpcN-JPneV8qh6Yn8m6,Galaxy sky shooting,https://play.google.com/store/apps/details?id=com.ivy.galaxyshooting.sky&hl=nl&gl=nl,com.ivy.galaxyshooting.sky,https://play.google.com/store/apps/dev?id=6936794375735348055,Ivy,"Galaxy sky shooting is the best sky airplane shooting game!<br>If you are a fan of space shooting, you must like it! More spaceships to choose and cool appearance, differ airplane have unique barrage, upgrade the spaceship with stronger power. <br><br>Our beautiful galaxy is being attacked, control your spaceship and protect our home. Move your fighter left or right in the sky to avoid the bullet, Exercise controlling to known the regular about the bullet path. differ mode to choose: level, boss and endless mode.  <br><br>It is most exciting thing that challenge the boss, firepower was concentrated, and with different bullet barrage to attack you, only touch screen to avoid and shoot. Skilled operation is very important, protect your spaceship safe and accumulate damage. It is not only a sky shooting game, but also take your more happiness about life leisure time<br><br>Galaxy sky shooting Features:<br>.Space shooting with airplane  <br>.10 spaceships to choose<br>.Move left or right to avoid the damage<br>.Upgrade the airplane to be stronger<br>.Campaign, endless and boss mode<br>.Challenge the stronger power boss<br>.Differ missions to complete<br>.High quality images optimized<br><br>Space shooting is start now, plan your battle strategy well and upgrade your fighter to protect our home!<br><br>Follow us on Facebook at: https://www.facebook.com/galaxyskyshooting/","€ 1,09 - € 49,99 per item",GAME_ARCADE,42352194,10000000,Fri Aug  7 15:50:16 2020,1596799216,PEGI 7,59M,4.1 en hoger,4.9.2,0 USD,4.3993173
3,https://lh3.googleusercontent.com/ZdC3YEnFNb-RteIL7ryJ5aI82l4b5057d1kDdZvkAr1vA7EEjTVNsGTRWLAdkE58KxA,Galaxy Invaders: Alien Shooter,https://play.google.com/store/apps/details?id=com.alienshooter.galaxy.attack2&hl=nl&gl=nl,com.alienshooter.galaxy.attack2,https://play.google.com/store/apps/dev?id=7627571908184472902,ONESOFT,"<b>Galaxy Invaders: Alien Shooter</b><br><br>In the far future, humanity has expanded and prosper over the galaxy. One day, a mysterious alien army from a different dimension appear and attack the border planets. The fight for mankind survival begins. As a veteran pilot, you have been called to defend the galaxy against invader enemies!<br><br>Galaxy Invader: Alien Shooter is a combination of classic shoot ‘em up game feels and modernized mechanics. Featuring:<br><br>- <b>A broad range of enemies</b>: From the lowly common soldier aliens, to the powerful Elites, and the humongous Bosses. Each has a different looks and behaviors.<br>- <b>Campaign mode</b>: experience the mounting difficulty with unique challenges on the way. Continuously updated with new contents.<br>- <b>Upgrade &amp; evolve</b> your spaceship to new form and gain new power<br>- <b>Wide array of spaceships</b> to collect, each with unique skill and playstyle.<br><br>Choose your spaceship, destroy the alien invaders and protect the galaxy. Show them what you’re capable of!<br><br>As an extended version of <b>Galaxy Attack: Alien Shooter</b>, this version has much better graphic designs. We also changed something in core game mechanic like weapon skills, item skill, ship part &amp; evolution types. With various types of spaceship, you could build a strong air force and join the galaxy wars. The old style of shoot ‘em up game is now modernized with a fantasy theme. We keep using retro shooting game mechanic like level with waves, bullet hell bosses but added more interesting content. You can see the same feeling like <i>Galaxy Attack: Alien Shooter</i> as the other retro shooting game. But, this one could be a brand new one. Let’s try and enjoy it - <b>Galaxy Invader: Alien Shooter</b>!<br><br>We has created a FB group for you to discuss about this game, you could join in the link below:<br>https://www.facebook.com/groups/261903527847165/<br><br>Welcome to <b>Galaxy Invaders: Alien Shooter</b>. Build your strong air force, and enjoy the game!<br><br>Thank you for playing our game!<br><br>ABI Game Studio","€ 0,99 - € 99,99 per item",GAME_ACTION,14833196,10000000,Wed Sep 16 06:06:04 2020,1600220164,PEGI 7,64M,4.1 en hoger,1.4.6,0 USD,4.4507647
4,https://lh3.googleusercontent.com/Wz_8zKxNCyT9TDbxaB0DL936dncO3RmNSapQy5KRAD-eV5KT7D7nJQTWC3lJYnOAtylM,1945 Air Force - Free shooting games,https://play.google.com/store/apps/details?id=com.os.airforce&hl=nl&gl=nl,com.os.airforce,https://play.google.com/store/apps/dev?id=7627571908184472902,ONESOFT,"<b>1945 Air Force - Free Shooting Games</b> - Old game in the new style. If you are a fan of arcade shooting games free, it&#39;s a pity to miss the 1945 Air Force in your games collection. With 16 types of famous WWII combat planes for military fans and upgrades to choose from and various missions and challenges.<br>Don&#39;t be bored. Let&#39;s get extremely excited with <b>1945 Air Force - Free Shooting Games</b>! <br><br>HOW TO PLAY:                                                                                                                                                                                                       <br>* Touch the screen to move and destroy all enemies.                                                                                                                                                                                                <br>* Collect items to upgrade your airplanes or change your weapons.          <br><br>WHAT MAKES <b>1945 AIR FORCE - FREE SHOOTING GAMES</b> STAND OUT?<br>* PvP Multiplayer mode: 1 VS. 1, 2 VS. 2                                                                                                                                                                                         <br>* Exciting battle: more than 200 levels full of enemies and breathtaking action.                                                                                                                                                                                                    <br>* Additional modes: Bombarding, Bosses and Protect, Stealth, Assault, each radically changing the gameplay.                                                                                                                                                                                                        <br>* Huge bosses: battle and defeat the extreme bosses and wipe out swarms of their minions.                                                                                                                                                                         <br>* Great visuals:  Vertical shooters have never been better. Epic sky wars are full of excitement.                                                                                                                                                                                          <br>* Free Retro shooting game modernized: This top-down shooter will make you through back to your childhoods where classics game that will never age.<br><br>So what are you waiting for? DOWNLOAD 1945 Air Force - Free Shooting Games, pick your airplane, and ready to attack RIGHT NOW!<br>1945 Air Force - Free Shooting Games is a free game for you!<br><br>Follow us on Facebook:<br>https://www.facebook.com/1945ClassicArcade<br>Join Group with us:<br>https://www.facebook.com/groups/1945AirForce","€ 0,59 - € 149,99 per item",GAME_ARCADE,32046009,10000000,Tue Sep 29 20:13:07 2020,1601397787,PEGI 7,164M,5.0 en hoger,7.65,0 USD,4.508195
5,https://lh3.googleusercontent.com/lJ-qpZUULmBPebj4nIs_M260a09HpuPXIRuMZ2rUM7nU549Bi6hcAru-q40UXZpn75w,Infinity Shooting: Galaxy War,https://play.google.com/store/apps/details?id=com.infinite.shooting.galaxy.attack&hl=nl&gl=nl,com.infinite.shooting.galaxy.attack,https://play.google.com/store/apps/dev?id=7627571908184472902,ONESOFT,"Are you fan of space shooting, bullet hell games and like to blast enemies for glory? If the answer is &quot;HELL YES!&quot; Infinity Shooting: Galaxy War will suit you best!<br><br>Our Solar System has been invaded by space enemies, but we still have you as our last hope! As a admiral of space defender, will be defeating them, so wait no longer, aboard your spaceship and annihilate your enemies, save our planet, destroy the enemy conquer plan! Burn them, till the very last of them falls.<br><br>FEATURES:<br>- Multiplayer mode<br>- Simple controls with tap and hold that doesn’t need a tutorial, so dive right in and shoot&#39;em up!<br>- Various spaceships with their own unique weapons, missiles &amp; special abilities to help you defeat all of those bosses. Even the strongest enemy won&#39;t stand a chance!<br>- Stunning graphics &amp; exquisite sounds quality, like you have never seen before! Totally different from the old retro space shooter, play it and feel it!<br>- Exciting Campaign with over 100 levels full of space enemies to let you see space from earth!<br>- Superb game play mechanics with excellent progression system to keep you shooting non-stop for hours <br><br>Enjoy classic space combat - powered up. Download now!","€ 0,99 - € 99,99 per item",GAME_ARCADE,19639745,10000000,Wed Jul  1 06:16:16 2020,1593567976,PEGI 3,83M,4.1 en hoger,2.2.0,0 USD,4.6618667
6,https://lh3.googleusercontent.com/6Chsb9SrulazDsMA7u31-EDfcVJ803Pws7i-2172f20eeeX00OySo5Stjb0zOLkzU6I,Galaxy Glory,https://play.google.com/store/apps/details?id=com.ivy.galaxyglory.shootinggame&hl=nl&gl=nl,com.ivy.galaxyglory.shootinggame,https://play.google.com/store/apps/dev?id=6936794375735348055,Ivy,"<b>Galaxy Glory is a game of the Galaxy space shooting type</b>.<br>If you like to simulate a starry sky, then Galaxy Glory is definitely your best choice because it is perfect for you.<br><br>In the future expansion of human civilization, suffering from the inexplicable <b>alien attack</b> in the depths🛸  of the universe, the real universe starry sky team began,<br>As an experienced pilot, you are called by the state to protect the Milky Way from alien invaders. In order to complete this task,You must show your <b>courage and wisdom</b>.<br><br>🌌 Galaxy Glory🌌 will take you into the front line to fight against alien invaders. Use your rich flight experience to operate your fighter to the left Or move right, up or down to avoid some bullets to keep yourself safe. In addition, you can try to record the ballistic trajectory of some conventional enemy aircraft.<br>It is easy to dodge afterwards.<br><br> <b>Galaxy Glory combines the sophistication of the classic shooting game</b> with the mechanics of the future.The design has different modes of choice: levels, challenges, arena, Boss and endless.<br>During the game, you can win the opportunity to upgrade the spacecraft and downtime to provide you with more attack power.<br><br>🌠 How To Play🌠 <br>✈ Touch the screen to move up, down, left, and right.<br>✈ Upgrade or replace your weapon.<br>✈ The game begins with ancillary items.<br>✈ The greater the difficulty, the more rewarding the reward.<br>✈ <b>Eliminate alien invaders</b><br><br>🌠 Game Features🌠<br>🚀 The game has<b>many levels</b> and the difficulty is gradually improved.<br>🚀 Exquisite level design, versatile UI experience design, let you put it down.<br>🚀 Cool sound effects and special effects<br>🚀 <b>A variety of smashing machines</b>, various lords Boss<br>🚀 Treasure box lucky turntable.<br><br> <b>Galaxy Glory start now</b>, download now! Enjoy endless battles that will keep you entertained for hours of continuous play.<br><br>Follow us on Facebook at:https://www.facebook.com/Galaxy-Glory-117783509607924/","€ 1,09 - € 104,99 per item",GAME_ARCADE,5437117,5000000,Tue Jul  7 08:30:04 2020,1594094404,PEGI 7,45M,4.1 en hoger,2.7.0,0 USD,4.48394
7,https://lh3.googleusercontent.com/9SFgz08tE-JUIZTD7mPI5v99ik39DTteM56fDaPjmkKCboyo1eXV7rYIdDLMEgMQXyU,Space Hunter: Galaxy Attack Arcade Shooting Game,https://play.google.com/store/apps/details?id=com.rocket.spacehunter&hl=nl&gl=nl,com.rocket.spacehunter,https://play.google.com/store/apps/dev?id=7627571908184472902,ONESOFT,"The <b> Galaxy Invaders </b> is coming for us and our planet is in peril. Empowered by the dark power, they destroy everything that stands in their way to awaken the Evil Aliens from the Final Space. <br><br>In the 1945 perspective, The Battle of <b>Galaxy War</b> in the galactic showed that the entire galaxy is in tremendous danger. You are the only chosen protector of the whole universe that destined to stop the space war, and save the Earth from the <b>Alien shooters</b>.<br><br>The “<b>Galaxy Attack</b>: Aliens Shooter Arcade Game” is the spirit of the retro arcade <b>shoot ‘em ups</b>, captured with modern visuals and design. If you are a big fan of classic infinity shooting games like galaxia, galaxian and galactica, this is the perfect choice for you.<br> <br>💥BEST FEATURES💥  <br>👉 UNLIMITED MAPS WITH ENDLESS BOSSES<br>👉 UPGRADE YOUR SPACESHIP TO ENHANCE POWER<br>👉 DAILY LOGIN REWARDS FOR PLAYER<br>👉 TRY YOUR LUCK WITH LUCKY WHEEL<br>👉 THRILLING - EXCITING SPACE SHOOTER CHALLENGES<br>👉 VARIOUS PLAYING MODES TO PLAY<br><br><br>Hurry up! Get yourself ready for the squadron, chose your spaceship, and powerful equipment. With simple gameplay, exciting challenges with galaga wars theme, this game brings an amazing mobile gaming experience for players.<br><br> 🕹HOW TO PLAY 🕹<br>🚀 Move your ship with just one finger!<br>🚀 Drag your ship to dodge the bullets and shoot the enemies.<br>🚀 Use rockets in danger space shooter situations<br>🚀 Collect floating items to upgrade power during the alien invader war<br>🚀 Enhance your spaceship and miniship power any time you have a chance!<br><br>And don’t forget to have fun 💯<br><br>The fate of the entire galaxy lies in your hand! Download and join the infinitive galaxy attack now!<br><br>Join our community on Facebook at: https://www.facebook.com/SpaceHunter.RocketStudio/","€ 0,99 - € 199,99 per item",GAME_ARCADE,7808704,5000000,Tue Sep  1 15:21:41 2020,1598957501,PEGI 7,58M,4.1 en hoger,1.9.3,0 USD,4.387597
8,https://lh3.googleusercontent.com/TZWNFkr6FyjtQJZhiD4Qr1H9xVeeo0p56IpTWRWq9JW-isB4-UNjhga1jUSiOjuCFlg,Strike Force- 1945 Oorlog,https://play.google.com/store/apps/details?id=com.renderedideas.skyforce1945&hl=nl&gl=nl,com.renderedideas.skyforce1945,https://play.google.com/store/apps/dev?id=6256141919349101796,Rendered Ideas,In Strike Force vecht je je een weg door aanvallende jagers om een uiteindelijke baas te ontmoeten die je moet uitschakelen om door te gaan naar het volgende niveau!<br><br>Bescherm de melkweg tegen ruimte-indringers en wordt de grootste kapitein aller tijden! Vaag in dit ruimteschietspel het peloton kwaadaardige vijanden weg voordat je deelneemt aan zware en felle Big Boss-gevechten.<br><br>- Verschillende gevechtsvliegtuigen om uit te kiezen<br>- Mooie en verbluffende afbeeldingen zorgen voor fantastische beelden.<br>- Eenvoudige bediening en aantrekkelijk geluid.,"€ 1,09 - € 5,99 per item",GAME_ARCADE,7010910,5000000,Wed Sep 23 16:38:47 2020,1600866527,PEGI 12,33M,4.1 en hoger,5.0,0 USD,4.466759
9,https://lh3.googleusercontent.com/KosN3OoYdGBvmDpaQluQZQ5ye3qh4WaNOD5GLbPIDIvX3C1LXi1fVq2wIjSFi-Afj5A,AFC Solar Squad: Space Attack,https://play.google.com/store/apps/details?id=com.solarsquad.galaxyshooter&hl=nl&gl=nl,com.solarsquad.galaxyshooter,https://play.google.com/store/apps/dev?id=7627571908184472902,ONESOFT,"AFC Solar Squad: Space Shooter <br>THE WORLD IS IN DANGER!<br>Our world is being threatened by two different powers: space alien and human. This is the exact time for a third power to intervene and rescue the world from the infinite air force combat - AFC.<br><br>Launch your aircraft and use your top-down shooting skills and powerful items to defeat those formidable enemies and become the HERO of our world.<br><br>“Solar Squad: Space Attack” will strike you with an intense impression of the classic arcade shoot’em up AFC spirit like Strikers 1943, Tyrian, Galaxiga but with modernized visuals and design. You will immediately come to love with the incinerating flame and bullets, colossal bosses and diverse aircraft and skillful squad.<br><br>HOW TO PLAY<br>⭐ Touch the screen to move and kill the space alien. The aircraft will auto-shoot.<br>⭐ Collect coins, items to upgrade your aircraft to its full capacity to kill the mighty Boss<br>⭐ Put on the equipment to activate skills and Click the in-game skill button on the screen to activate these helpful skills.<br><br>FEATURE<br>1. Campaign Mode:<br>You will need to control the aircraft to pass each campaign fighting with all those fierce Bosses.<br>There are more than 100 levels.<br>Overcoming the campaigns, users will receive the items such as: Gold, Gem, Equipment, Ship Card to increase the ability. <br><br>2. Endless Mode: <br>This mode will allow users to play endlessly. Collect points through each level to trade for the worthy presents. <br><br>3. World Boss Mode:<br>This is the 1v1 fighting mode between player and Boss. There will be a brand new Boss challenging players each week. <br>Fighting with the Super Boss helps players receive more presents and special items.<br><br>4. Diverse Equipment System:<br>Equipment system is divided into 4 types of equipment with different skills such as active and passive.<br>These equipment are classified based on star level. The highest level is 6 stars.<br>When equipment is in 6-star level, Fusion will be activated and help equipment unlock more hidden attribution.<br><br>5. Diverse Quest System:<br>Diverse daily quests allow players to receive plenty of gifts. <br><br>Let&#39;s save the WORLD now!!!","€ 0,99 - € 99,99 per item",GAME_ARCADE,2035145,1000000,Fri Sep 11 09:05:57 2020,1599798957,PEGI 7,93M,5.0 en hoger,2.0.5,0 USD,4.5616775
