,img_src,title,link,id,developer_link,developer_name,description,price_inapp,category,num_downloads,num_downloads_approx,published,published_timestamp,pegi,filesize,os,software,price,rating
0,https://play-lh.googleusercontent.com/SsC4dypKkV6eHQATNbx1jLn8JtjO4xmi0X-p-xcnVl1MKhjELAZVpdgL_geXs-R4Z2kV,Beat The Boss 3,https://play.google.com/store/apps/details?id=com.gamehivecorp.beattheboss3&hl=nl&gl=nl,com.gamehivecorp.beattheboss3,https://play.google.com/store/apps/dev?id=6235556904639743520,Game Hive Corporation,"Je droom is uitgekomen. Je hebt je hele leven lang je baas al willen verslaan, en nu is het moment aangebroken. Met 50 miljoen downloads tot nu toe is het geen geheim dat dit een razendpopulaire game om te ontstressen is. Je baas weet dat je deze game speelt, maar hij kan er helemaal niets aan doen. <br><br><br>→ Customize je baas: het kwaad kent vele gezichten. Maak je eigen!<br>→ Customize je wapens: een granaat in camouflage of champagnekleur? Aan jou de keuze.<br>→ Premium wapens: meer dan 100 gloednieuwe dodelijke wapens waarvan je baas het in zijn broek doet.<br>→ Nagebootste fysica: geniet van bevredigende reacties op je intense afstraffingen<br>→ Grappige one-liners: lach niet té hard op je werk<br>→ Wereldtour: speel in prachtige met de hand gemaakte omgevingen!","€ 1,36 - € 68,45 per item",GAME_ACTION,26088366,10000000,Tue Mar 14 18:52:04 2017,1489504924,PEGI 12,58M,2.3 en hoger,2.0.1,0 USD,4.517581
1,https://lh3.googleusercontent.com/vpTgm9u7-GzZP_MceTWpDi0HbinXd_4phCoTwf4ZspFL-115FtNRdo_SU1p-khLDnLA,Burrito Bison: Launcha Libre,https://play.google.com/store/apps/details?id=com.kongregate.mobile.burritobison3.google&hl=nl&gl=nl,com.kongregate.mobile.burritobison3.google,https://play.google.com/store/apps/dev?id=7580247376460930437,Kongregate,"Burrito Bison is here and he’s brought friends! With more than 15 million plays on Kongregate.com, our favorite hero is back.<br><br>In the latest installment of the series, Burrito Bison teams up with new friends: Pineapple Spank and El Pollo to bounce, crack, eat cake, smack, fly, and soar through the skies to fend off the invasion of gummies!<br><br>Stolen by an evil chef, Burrito Bison seeks out his cookbook to take back with him to make the finest salsa in the world.<br><br>So strap on your rocket belt, and launch your way to glory!<br><br>Features:<br><br>*Three powerful wrestlers: Burrito Bison now gets to adventure with friends!<br>*Dozens of upgrades to make you stronger, slippier, luckier, faster, more underground worm-riding-er, and more explosive.<br>*Five opponents, each with unique weakness, to fight through on your quest for freedom. KO them for big bonuses!<br>*For the first time in the series, battle a Final Boss in your quest to rid the world of gummies (or at least until you get your cookbook back and fly through the gummies’ alternate universe)!<br>*All the pinatas you can crack open!<br><br>PLEASE NOTE: Burrito Bison: Launcha Libre is free to play, but some extra game items can be purchased for real money. You can disable in-app purchases in your device&#39;s settings.","€ 1,09 - € 32,99 per item",GAME_ARCADE,15726961,10000000,Thu Aug 13 23:24:58 2020,1597344898,PEGI 3,83M,4.4 en hoger,3.48,0 USD,4.6389294
2,https://play-lh.googleusercontent.com/HrpVxA5Jx7yTJtC_gVrC3aAhnULNwOZjKhis1aiXCfSJZgQ_0mM239xd_Nw0znffFLY,Turbo Dismount™,https://play.google.com/store/apps/details?id=com.secretexit.turbodismount&hl=nl&gl=nl,com.secretexit.turbodismount,https://play.google.com/store/apps/developer?id=Secret+Exit+Ltd.,Secret Exit Ltd.,"The legendary crash simulator is now on Google Play!<br><br>Perform death-defying motor stunts, crash into walls, create traffic pile-ups of epic scale - and share the fun!<br><br>Turbo Dismount™ is a kinetic tragedy about Mr. Dismount and the cars who love him. It is the official sequel to the wildly popular and immensely successful personal impact simulator - Stair Dismount™. <br><br>FEATURES:<br>* Flinch-inducing crash physics<br>* Crunchy sound effects<br>* Delicious slow-mo replay system<br>* Multiple vehicles: cars, trucks, construction vehicles, a skateboard...<br>* Multiple levels, obstacle types and characters<br>* Tweak levels to your liking!<br>* Customize your character and the vehicles with your own photos!<br>* Game controller support!<br>* Leaderboards and achievements<br>* Smooth full resolution 4x MSAA visuals on SHIELD Tablet<br><br>Turbo Dismount is the most convincing vehicular personal impact simulation seen on Android!<br><br>Follow Mr. Dismount on facebook.com/MrDismount<br>Follow Secret Exit on Twitter: twitter.com/secretexit<br><br>Dismounting (turbocharged or regular) is not to be attempted at home or outside, and should be left to trained professionals. Secret Exit does not recommend or condone dismount attempts outside 3D computer simulations.","€ 0,99 - € 6,99 per item",GAME_SIMULATION,51944332,50000000,Fri Apr 26 14:10:35 2019,1556271635,PEGI 7,84M,4.1 en hoger,1.43.0,0 USD,4.2536783
3,https://lh3.googleusercontent.com/i-soF6zC4ZZ42hEI0IFgSzLwcJ35sNpPpGwZZLK7EuMF4ZR86wk-T7YZE9UGfZl_2g,Gumslinger,https://play.google.com/store/apps/details?id=se.itatake.gumslinger&hl=nl&gl=nl,se.itatake.gumslinger,https://play.google.com/store/apps/dev?id=8619313691051597768,Itatake,"Welcome to Gumslinger. A gummy candy world of intense shootouts, amazing skillshots and crazy fun gunplay missions. <br><br>- Duel Gumslingers around the world in PvPb tournaments, 64 players but only one winner.<br>- A wide variation of skillshot missions<br>- Amazing soft-body physics fun<br>- Many widely different guns to unlock <br>- Style your guns with amazing gun skins <br>- A lot of fantastic Gumslingers to collect<br>- Send out your posse of Gumslingers to bounty hunt for you<br>- Loads of different levels and environments<br>- Great achievements and rewards to collect<br>- Climb the ranking system to the top<br><br>Gumslinger is a unique combination of skill, competition, physics, mouthwatering gummy candy and great fun!<br><br>Enjoy","€ 1,09 - € 23,99 per item",GAME_ACTION,3031501,1000000,Thu Sep 10 23:36:00 2020,1599764760,PEGI 7,119M,5.1 en hoger,1.5.2,0 USD,4.1977053
4,https://lh3.googleusercontent.com/uOfWuf-dPm8Esp7iOt-XMHglRoGc01Kv0Y1uPaD7LmPPowoqNq5oocyF64jqOYtG2r8,Steppy Pants,https://play.google.com/store/apps/details?id=com.sgames.steppypants&hl=nl&gl=nl,com.sgames.steppypants,https://play.google.com/store/apps/developer?id=Super+Entertainment!,Super Entertainment!,"Steppy Pants, the most realistic walking simulator you&#39;ll play this year!<br>Keep your cool when faced with insurmountable odds, like reckless drivers and an inexplicable inability to step on sidewalk cracks.<br>You&#39;ll laugh. You&#39;ll cry. You&#39;ll remember just how much fun you can have walking down the street.​<br>We&#39;ve been playing this game non-stop for months and it still makes us chortle!<br><br>Features:<br>Hilarious Physics<br>Endless gameplay<br>Character Customization<br>6 different game modes<br>EXPLODING SIDEWALKS<br><br>Made with love by @stephen_last and @shathatron​<br><br>P.S. Steppy Pants uses some special permissions to help things run smoothly and to allow certain social services (like sending selfies), but you don&#39;t have to use them if you don&#39;t want to!","€ 0,99 - € 9,99 per item",GAME_ARCADE,7950629,5000000,Thu Jul 23 19:45:11 2020,1595517311,PEGI 12,93M,4.1 en hoger,2.7.5,0 USD,3.572827
5,https://lh3.googleusercontent.com/JebX7uUzdPbhPV9p16NMBhYlpc4Bbma7ZNupwfNs0inguWu_myPECuCPNMnUYsOiFh4,Mad Dex,https://play.google.com/store/apps/details?id=game.maddex.jump&hl=nl&gl=nl,game.maddex.jump,https://play.google.com/store/apps/developer?id=game+guild,game guild,"You’re in for a heaping helping of exciting adventure in the world of Mad Dex, one of the greatest platformers of all time!<br><br>You’re Mad Dex. You’re little, but you’re brave. The love of your life has been kidnapped by a merciless monster that has taken over the city, and now all you can think about it how to save her from his vile clutches.<br>Use your special parkour abilities to overcome all the obstacles, avoid all the traps, beat all the bosses, fight your way to the big bad, and save your girlfriend! Put your agility to the test as you run, jump, stick to walls, fend off your evil foes’ deadly attacks, and never give up!<br><br>Mad Dex is a hardcore platformer, an exciting, challenging game for anyone who’s willing to go the extra mile to reach their goal.<br><br>Features:<br><br>• Epic free-to-play action game<br>• More than 50 levels with various difficulties<br>• Hardcore boss battles<br>• Awesome visual effects combined with unique physics and exciting gameplay<br>• Peppy soundtrack<br>• Global score leaderboard and a global leaderboard for every level <br>• We read every review, so YOUR IDEA just might make it into the game one day!<br><br>Only you can save Miss Dex! <br><br>How to play: just press the jump button rather than tapping it, and everything will be fine ;)<br><br>Thanks for playing Mad Dex ! Don&#39;t forget to rate the app and give us your feedback. We are constantly trying to improve the game and we love hearing your thoughts !","€ 1,11 - € 3,36 per item",GAME_ARCADE,17597818,10000000,Thu Jul  2 05:12:35 2020,1593650555,PEGI 12,37M,4.1 en hoger,1.4.1,0 USD,4.013009
6,https://lh3.googleusercontent.com/pBmaC6HL5tlrGQxKXHji_KU2sqqnXgjVCuekWn2ZlLhVHSfQ8-91yNC-XsgG66oe8Q8,Clumsy Ninja,https://play.google.com/store/apps/details?id=com.naturalmotion.clumsyninja&hl=nl&gl=nl,com.naturalmotion.clumsyninja,https://play.google.com/store/apps/developer?id=NaturalMotionGames+Ltd,NaturalMotionGames Ltd,"Maak kennis met Clumsy Ninja, de meest onfortuinlijke ninja die je ooit op een touchscreen zult zien!<br> <br> Je kunt hem trainen, in het rond gooien, kietelen en zelfs ballonnen aan hem vastknopen. Elke actie zorgt ervoor dat Clumsy Ninja handiger wordt en helpt hem op zijn zoektocht naar Kira, zijn vermiste vriendinnetje.<br> <br> Clumsy Ninja maakt deel uit van de nieuwste generatie interactieve personages! Hij begrijpt, voelt, beweegt en reageert steeds op een andere manier. Je zult versteld staan... Oh, en wil je alsjeblieft goed voor hem zorgen?<br> <br> VERDIEN JE GORDEL<br> Train je ninja om hem nieuwe trucs en supercoole ninjatechnieken te leren. Maak indruk op de Sensei en verdien nieuwe ninjagordels op je zoektocht naar Kira, of vermaak je met meer dan 70 unieke interactieve items, zoals trampolines, bokszakken, ballengeweren, een kip en... een eekhoorn!<br> <br> TIJD VOOR AVONTUUR<br> Jij en je ninja reizen naar nieuwe locaties, spelen nieuwe games, ontmoeten nieuwe personages, voltooien quests en ontgrendelen coole nieuwe items om mee te spelen. Hoeveel items kun jij ontdekken?<br> <br> AANPASSEN EN DELEN<br> Pas het pak, de gordel en hoofdband van Clumsy Ninja aan jouw eigen stijl aan. Maak foto&#39;s van je ninja&#39;s gekste stunts en deel ze meteen met vrienden. Hou je ogen open: er liggen een heleboel verrassingen voor je klaar!<br> <br> ONVERGETELIJKE MOMENTEN<br> Clumsy Ninja is een levende virtuele vriend die met echte intelligentie - en veel onhandigheid - denkt en handelt! Tijdens elk spel beleef je unieke momenten met je ninja en zijn maatjes!<br> <br> PRIMEUR OP TOUCHAPPARATEN!<br> Clumsy Ninja is het eerste spel op touchapparaten dat gebruikmaakt van de EUPHORIA-simulatietechnologie, waardoor het meest geloofwaardige personage wordt gecreëerd dat je ooit hebt gezien.<br><br><br>Vereist Android OS 3 of later.<br><br>LET OP! U kunt Clumsy Ninja gratis spelen, maar het bevat items die u met echt geld kunt kopen.<br>Als u ongewenste aankopen wilt voorkomen, selecteert u &#39;Pincode instellen of wijzigen&#39; in de Google Play-instellingen, verzint u een pincode en schakelt u vervolgens de optie Pincode gebruiken voor aankopen in. <br><br>Vervolgens moet u voor elke transactie uw pincode opgeven. Deze optie is alleen beschikbaar op Android OS 3.x en hoger.<br><br> Clumsy Ninja wordt uitgegeven door NaturalMotion Games","€ 0,86 - € 88,21 per item",GAME_ADVENTURE,37654906,10000000,Wed Jul 22 16:09:01 2020,1595417941,PEGI 3,27M,2.3.3 en hoger,1.32.2,0 USD,4.347907
7,https://lh3.googleusercontent.com/QAdvNnkt2Dd2a47IwEkXF0WApa9byfmBfSxscDwsvSkaU5-Q-AJEC5t66GCCq3PQwfY,Dumb Ways to Die 2: The Games,https://play.google.com/store/apps/details?id=air.au.com.metro.DumbWaysToDie2&hl=nl&gl=nl,air.au.com.metro.DumbWaysToDie2,https://play.google.com/store/apps/dev?id=6830735644801210985,Metro Trains Melbourne,"Following the massive success of Dumb Ways to Die, we are giving the world something fresh, new and original to fall in love with: a sequel.<br><br>Dumb Ways to Die 2: The Games has taken the world by storm.<br><br>Boasting all new levels and challenges, leader boards, as well as a cast of new characters, Dumb Ways to Die 2: The Games is bringing train safety message to the world in a cheeky and fun way.<br><br>External Storage privileges are required for .OBB files and also for caching advertisements on the device.","€ 0,81 - € 4,40 per item",GAME_CASUAL,100911783,100000000,Mon Sep 21 09:34:20 2020,1600668260,PEGI 7,60M,5.0 en hoger,5.1.0,0 USD,4.3374004
8,https://lh3.googleusercontent.com/kDq3l2vRGtNFBhN7rD4b63S1o1ePxoiWLkcm4UJho0m3jqWhcov6YPc1T8aVpxugIg,Faily Brakes,https://play.google.com/store/apps/details?id=com.spungegames.failybrakes&hl=nl&gl=nl,com.spungegames.failybrakes,https://play.google.com/store/apps/dev?id=5957260519407344568,Spunge Games Pty Ltd,"Due to popular demand, Faily Brakes is now in portrait mode! Enjoy your favourite game from a new angle while you explore fun themes, upgradeable pickups and headstarts.<br><br>The title of the game says it all!<br> <br>While cruising through the mountains, car enthusiast Phil Faily suddenly experiences a complete brake failure, plunging him over the edge of a steep embankment.<br> <br>In this physics-based driving and crashing game, you must maneuver an endless mountainside dodging hazardous terrains such as trees, rocks, traffic and trains resulting in some fun and hilarious near misses and crashes.<br> <br><br>FEATURES<br>•	NAVIGATE downhill as far as you can go avoiding obstacles along the way<br>•	AVOID trees, rocks, creeks, traffic and trains<br>•	DESTROY obstacles with your shield<br>•	COLLECT coins as you go <br>•	UNLOCK unique vehicles<br>•	SHARE  your epic crashes in 360º, slow-motion and share with your friends<br>•	ENDLESS gameplay<br>•	ENDLESS crashes<br>•	ENDLESS fun!<br><br>* Permissions Details *<br>Faily Brakes will require access to photos, media, and files on your device. This is only used to cache the advertising in-game and to allow the sharing of custom screenshots taken in-game.","€ 0,79 - € 14,99 per item",GAME_ARCADE,22218836,10000000,Thu Sep 17 14:30:21 2020,1600336821,PEGI 3,104M,5.0 en hoger,24.36,0 USD,3.7690246
9,https://lh3.googleusercontent.com/faNOQa39tKMJLCW8a0vNPqCAyuBU2z8kHOsYOK72E8OuDZjc9B-6HwtID1b-oGD2_Wk,Pinatamasters,https://play.google.com/store/apps/details?id=com.playgendary.pinatamasters&hl=nl&gl=nl,com.playgendary.pinatamasters,https://play.google.com/store/apps/dev?id=4614678246860437532,Playgendary Limited,"Fight colorful and crazy pinatas.<br>Travel all over the world. <br>Purchase and upgrade various weapons to become stronger.<br>Smash those cute pinatas, and get all the coins they have.<br><br>We Love You. Enjoy.","€ 2,29 - € 109,99 per item",GAME_ARCADE,43579262,10000000,Tue Jun 30 14:09:19 2020,1593509959,PEGI 3,78M,5.0 en hoger,1.2.9,0 USD,4.0890036
