,img_src,title,link,id,developer_link,developer_name,description,price_inapp,category,num_downloads,num_downloads_approx,published,published_timestamp,pegi,filesize,os,software,price,rating
0,https://lh3.googleusercontent.com/cQBJ7Jwvz0jex8sL7LjgLId-wOdmMajSZbpC-bzHDhS5uK9Zms0fFsXEVNGvlIUk_g,Asphalt 9: Legends - Epic Car Action Racing Game,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftA9HM&hl=nl&gl=nl,com.gameloft.android.ANMP.GloftA9HM,https://play.google.com/store/apps/dev?id=4826827787946964969,Gameloft SE,"Get in gear and take on the world’s best, most fearless street racer pros to become the next Asphalt Legend – from the creators of Asphalt 8: Airborne.<br><br>Asphalt 9: Legends features a top roster of real hypercars for you to drive that is unlike that found in any other game, from renowned car manufacturers like Ferrari, Porsche, Lamborghini and W Motors. You’re free to pick the dream car you need and race across spectacular locations against rival speed machines around the world. Hit the fast track and leave your limits in the dust to become a Legend of the Track!<br><br>A CONSOLE EXPERIENCE IN THE PALMS OF YOUR HANDS<br>Immerse yourself in one of the most hyper-realistic arcade racing games, with meticulously detailed real cars, cool HDR techniques, and stunning visual and particle effects that turn every race into a real blockbuster race movie.<br><br>THE MOST PRESTIGIOUS MOTOR CARS<br>Collect over 50 of the world’s best speed machines. Each cool vehicle has been carefully selected based on its aesthetics and the top driving performance you need in the most desirable line-up of any Asphalt games to date.<br><br>CUSTOMISATION AT YOUR FINGERTIPS<br>Use the new car editor to define the exact color and material of your car. You can also pick the color of the Rims, and more, to look your best on the track.<br><br>A BLAST OF ARCADE FUN<br>Charge your nitro to unleash the ultimate Nitro Pulse for the ultimate boost of speed you need to make your car break the sound barrier! Double-tap the brake to do a 360° at any time to take down your multiplayer or AI opponents in style and watch the burnout behind you!<br><br>BECOME A STREET LEGEND<br>Start your street journey in Career mode by completing over 60 seasons and 800 events. And become a real Asphalt racer legend by racing against up to 7 rival players from all over the world in the online multiplayer mode.<br><br>ULTIMATE RACING CONTROL<br>Master the innovative TouchDrive, a new driving control scheme that streamlines car steering to free your mind to focus on the arcade fun and fast speed.<br><br>STRENGTH IN NUMBERS<br>For the first time in any of the Asphalt games, you can create your own online community of like-minded racer friends with the Club feature. Collaborate with your fellow speed freaks and motor heads to race your best and unlock the best Milestone rewards as you drive up the ranks of the multiplayer Club leaderboard.<br><br>The perfect game for fans of free games, arcade racing, driving fast, drift racing, weaving through traffic, and nitro-charged, power motor competition!<br><br>_____________________________________________<br><br>Visit our official site at http://gmlft.co/website_EN<br>Check out the new blog at http://gmlft.co/central<br><br>Don&#39;t forget to follow us on social media:<br>Facebook: http://gmlft.co/A9_Facebook<br>Twitter: http://gmlft.co/A9_Twitter<br>Instagram: http://gmlft.co/A9_Instagram<br>YouTube: http://gmlft.co/A9_Youtube<br>Forum : http://gmlft.co/A9_Forums<br><br>This app allows you to purchase virtual items within the app and may contain third-party advertisements that may redirect you to a third-party site.<br><br>Terms of Use: http://www.gameloft.com/en/conditions-of-use<br>Privacy Policy: http://www.gameloft.com/en/privacy-notice<br>End-User License Agreement: http://www.gameloft.com/en/eula","€ 0,99 - € 229,99 per item",GAME_RACING,50671740,50000000,Tue Sep 29 11:26:14 2020,1601366174,PEGI 7,96M,Varieert per apparaat,2.4.7a,0 USD,4.466344
1,https://lh3.googleusercontent.com/xMRV92isAcFWE8c2sZk90mZNxBICaVU1BSjsbf65g1z9tElBNOUeJpNrwH4Kcqu8TQ,Asphalt Nitro,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftAGHM&hl=nl&gl=nl,com.gameloft.android.ANMP.GloftAGHM,https://play.google.com/store/apps/dev?id=4826827787946964969,Gameloft SE,"Krijg je maar niet genoeg van Asphalt? Dit 35 MB-monster zit boordevol adrenalinepompende snelheid en het is nu beschikbaar!<br><br>Bestuur luxe gelicentieerde wagens zoals de Ferrari LaFerrari of Lamborghini Veneno, in adembenemende omgevingen die je zult moeten bedwingen met de meest waanzinnige stunts! Schakel je Nitro in en behaal als eerste de eindstreep!<br><br>VERBRAND RUBBER OP DE STRATEN EN IN DE LUCHT!<br>• Stap in je coole racebolides en zoek hun grenzen op!<br>• Rijd op hellingen en breng de race naar nieuwe hoogten.<br>• Manoeuvreer door de lucht en voer coole stunts uit.<br><br>BEHEERS VERSCHILLENDE MODI!<br>• Daag tegenstanders uit in 8 verschillende spelmodi waaronder Gate Drift, Knockdown en meer!<br>• De Politieachtervolgingmodus is terug van weggeweest!<br>• Versla vrienden in asynchrone races!<br><br>REIS DE WERELD ROND!<br>• Race door de meest prachtige plekken op aarde, elk nagebootst dankzij adembenemende graphics. Ontdek de wereld, van Brazilië tot China!<br>• Ontdek allerlei sluipweggetjes en laat je tegenstanders stof happen.<br><br>Belangrijke informatie voor de klant: <br>Let op! Het spel start niet of werkt mogelijk niet goed op toestellen met een Intel Atom processor.<br>_____________________________________________<br><br>Bezoek onze officiële website via http://gmlft.co/website_EN<br>Bekijk onze nieuwe blog op http://gmlft.co/central<br><br>Vergeet ons ook niet te volgen op social media:<br>Facebook: http://gmlft.co/AN_Facebook<br>Twitter: http://gmlft.co/SNS_TW_EN<br>Instagram: http://gmlft.co/GL_SNS_IG<br>YouTube: http://gmlft.co/AN_YouTube<br>Forum : http://gmlft.co/AN_Forum<br><br>Privacybeleid: http://www.gameloft.com/privacy-notice<br>Gebruikersvoorwaarden: http://www.gameloft.com/conditions-of-use<br>Licentieovereenkomst eindgebruiker: http://www.gameloft.com/eula","€ 1,09 - € 109,99 per item",GAME_RACING,87147580,50000000,Fri Mar 27 14:16:16 2020,1585302376,PEGI 3,45M,4.1 en hoger,1.7.4a,0 USD,4.3023133
2,https://lh3.googleusercontent.com/XpaWj5gRL0pBu5fHWl7lutpNdQx6II4DxLb8kXQZ9qNaRzXquiC3T9eOrj_8TxPPgg,Need for Speed: NL Racing,https://play.google.com/store/apps/details?id=com.ea.game.nfs14_row&hl=nl&gl=nl,com.ea.game.nfs14_row,https://play.google.com/store/apps/dev?id=6605125519975771237,ELECTRONIC ARTS,"Word de koning van de straatracewereld: Race naar de overwinning in de eerste intense editie van Need for Speed die speciaal is gemaakt voor mobiel. Van de ontwikkelaar van Real Racing 3. <br><br>Bouw de wagen die bij jouw stijl past, met keuze uit een ongelooflijke hoeveelheid verschillende auto&#39;s en aanpassingen. Beweeg tussen chaos en controle, geef plankgas en rol de straatracewereld in. Versla je tegenstanders, verbeter je reputatie en geniet van nog meer races, nog meer aanpassingsmogelijkheden en nog meer wagens. Maak je keuzes en kijk nooit meer achterom.<br><br>Deze app maakt gebruik van in-app aankopen. Je kan in-game aankopen uitschakelen via de apparaatinstellingen.<br><br>PAS GEWELDIGE AUTO&#39;S AAN<br>Vul je garage met echt bestaande auto&#39;s die je altijd al hebt willen hebben, van topfabrikanten zoals Ferrari, Lamborghini, McLaren, Pagani, Koenigsegg, Hennessey en meer. Pimp ze daarna met het nieuwste tuningsysteem op de mobiel, op plekken als de modshop en de zwarte markt, en speel met meer dan 2,5 miljoen aangepaste combo&#39;s. De wagens wachten op je: neem ze mee naar de straten om een duel aan te gaan met de competitie en jezelf te bewijzen. <br><br>RIJ SNEL EN ONVERSCHROKKEN <br>Scheur over de straten van Blackridge, geef plankgas en rij over sprongen, langs obstakels, het verkeer in, tegen muren en door supersnelle nitrozones. Schakel de nitro in en betreed een andere dimensie van bloedstollende ritten en drifts. Op elke hoek van de straat wacht een nieuwe race terwijl je de confrontatie aangaat met plaatselijke teams en de politie. De wereld zit vol met nepcoureurs: kun jij aan kop blijven en respect oogsten? <br><br>RACE OM TE WINNEN<br>Geef nooit op en race tegen iedereen die gek genoeg is om het tegen je op te nemen. Houd ze ver achter je en verbeter je reputatie. Drift, slip en rol naar de eindstreep met de politie op je hielen. Laat het rubber branden in meer dan 1000 uitdagende races: en dat is nog maar het begin. Word berucht, heers over de straten en scoor de beste wagens van de wereld. Want één wagen is niet genoeg!<br><br>---------------------<br>Gebruikersovereenkomst: terms.ea.com/nl<br>Als je vragen wilt stellen of hulp nodig hebt, bezoek je https://help.ea.com/nl. <br><br>EA kan online functies en diensten opheffen mits 30 dagen van tevoren een bericht van deze strekking is geplaatst op www.ea.com/nl/1/kennisgeving-online-diensten<br><br>Belangrijke consumenteninformatie: <br>Deze app: vereist een vaste internetverbinding (er kunnen netwerkkosten in rekening worden gebracht); vereist acceptatie van het privacy- en cookiebeleid en de gebruikersovereenkomst van EA. bevat in-game advertenties; verzamelt gegevens via analysetechnologie van derden (zie privacy- en cookiebeleid voor meer informatie); bevat directe links naar het internet en sociale-netwerksites voor een doelgroep van 13 jaar en ouder.","€ 1,09 - € 109,99 per item",GAME_RACING,137736200,100000000,Wed Sep  2 04:23:28 2020,1599004408,PEGI 7,59M,4.1 en hoger,4.7.31,0 USD,4.080537
3,https://lh3.googleusercontent.com/7jX5W12431cdX7htvG9xObeksf4joc-iN_V28yg6TD-FbXyRrrpQn6Dunj8JWkjx5R4,Rebel Racing,https://play.google.com/store/apps/details?id=com.hutchgames.rebelracing&hl=nl&gl=nl,com.hutchgames.rebelracing,https://play.google.com/store/apps/dev?id=8812293306013257434,Hutch Games,"There’s a thin line between fast and first…<br><br>Join America’s most exclusive road racing event, and take on the world’s elite drivers in high-octane, wheel-to-wheel action! <br><br>With realistic driving physics, speedfreak add-ons and turbos, epic overtakes and stunning West Coast locations, Rebel Racing brings a breath of fresh air to the mobile racing category.<br> <br>Collect, customize and upgrade a fleet of real-world classics and awesome supercars, then powerslide your way to the top of the Rebel Racing tournament!<br><br>- Own supercars and custom classics<br>- Create fully customized dream cars<br>- Take on the world’s best drivers, head to head<br>- Market-leading graphics and FX<br>- Race real-world licensed cars<br>- Experience epic moments<br><br>Escape the Drag!","€ 1,09 - € 109,99 per item",GAME_RACING,19043279,10000000,Tue Aug 25 21:44:24 2020,1598375664,PEGI 3,Varieert per apparaat,6.0 en hoger,1.50.11801,0 USD,4.4274454
4,https://lh3.googleusercontent.com/t1p7-vPhRJ9LvMvWdhPJ_e5oq8fr9_GNjbfkHSwSTBRkEQ7R6OCwX-euo9leGm57lfE,Street Racing 3D,https://play.google.com/store/apps/details?id=com.combineinc.streetracing.driftthreeD&hl=nl&gl=nl,com.combineinc.streetracing.driftthreeD,https://play.google.com/store/apps/dev?id=6936794375735348055,Ivy,"<b>#1 Free street racing 3D car 🚘 game!</b><br><br>Drive a top-class sports 🏎  car, join the top street racing camp! 🎉 🎉<br><br>Real racing, 🆒 drift in the asphalt. 🏁 Racing in multiple races, driving on the streets, full of exciting challenges, and the world&#39;s professional racers compete to become a <b>street legend</b>! 🥇<br><br>Start driving in unique car 🚘 or never seen before on the asphalt tracks. 🏁 start your racer, the world&#39;s top-class racing cars for you to choose! <b>Upgrade turbo engine, find the tune for your car, colorful paints and cool stickers.</b><br><br>Race in different modes of street scene 🛣 ,Show your rivals 🆚  amazing speed in real competition. Unbelievable turns, Driving skill need to exercise in the different mode competition, so start racing in arcade style, perform amazing stunts. Unique mix of arcade action and simulation way of driving. Start driving and earning rewards, collect coins 💰 and diamonds 💎 on the street asphalt. Drag your <b>Career</b> and  <b>PVP</b>event into high stake racing.<br><br><b>🏁 Street Racing 3D Features:</b><br>► Street themed asphalt racing<br>► Challenge friends, start a fierce racing on the PVP track<br>► Drive 30+ extreme 🚘 cars<br>► High speed racing in street<br>► Real <b>drift racing</b> for speed<br>► Leader board score, you are the king 🥇 of speed<br>► Create your car, show the perfect look: <b>decals, paints, wheel</b>, etc.<br>► Collect as many coins 💰 and diamonds 💎 as possible<br>► High-speed racing mode, driving technology is the first 👍<br>► Win the PVP event, get a great reward<br><br>Street racing 3D has already started, drive your turbo car with the fast speed in the street asphalt. Racing is the best checking for your skills. <b>Experience drift speed in the road, be the king of car racers.</b><br><br><b>Welcome to join our Facebook Homepage : https://www.facebook.com/realdriftracing/</b>","€ 0,99 - € 99,99 per item",GAME_RACING,204362789,100000000,Mon Sep 28 10:26:39 2020,1601276199,PEGI 3,85M,4.1 en hoger,6.2.8,0 USD,4.285585
5,https://lh3.googleusercontent.com/1CAHVQrzr5yZciKia1Ird83gGin2CqJGuEOvX44gMK-FZ61epy6mTSGa9t1m_Owd1PLr,Asphalt Xtreme: Rally Racing,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftMOHM&hl=nl&gl=nl,com.gameloft.android.ANMP.GloftMOHM,https://play.google.com/store/apps/dev?id=4826827787946964969,Gameloft SE,"DIT IS JOUW WERELD. RACE ERIN!<br><br>Race door onbekend terrein Break met Asphalt Xtreme: Rally Racing! Raas over duinen, knal door ravijnen, drift door modder en vlieg je tegenstanders voorbij om de eindstreep te behalen!<br><br>• 50+ MONSTERBOLIDES: ontketen het beest in je 4x4 Monster Truck. Voed je verlangen naar snelheid of laat je helemaal gaan op de baan in een buggy, pick-up, rallywagen, SUV of truck!<br><br>• GEEF JE STIJL DE VRIJE LOOP: alle 7 off-road wagens bieden een unieke spelbeleving waardoor je steeds weer nieuwe uitdagingen kunt aangaan.<br><br>• DE BEKENDSTE MERKEN: we hebben de Jeep, Ford, Mercedes-Benz, Predator, Dodge, Chevrolet en meer van de beste gelicentieerde off-road racebolides voor je ontketend.<br><br>• REALTIME MULTIPLAYER: strijd gelijktijdig online in gratis races voor 8 spelers. Je neemt het op tegen de besten dus blijf scherp!<br><br>• DE WERELD IS JOUW RACEBAAN: race op verschillende exotische locaties wereldwijd waaronder de gletsjers van Svalbard, de duinen van de Nijlvallei, de weelderige jungles van Phuket in Thailand, de industrieterreinen van Detroits staalfabrieken en meer.<br><br>• PAS JE BOLIDE AAN: wil je je auto opvoeren? Of uitdossen in je eigen stijl? Hiervoor hebben we een indrukwekkende verzameling aangepaste instellingen en upgrades.<br><br>• ERVAAR DE VOLLEDIGE OFF-ROAD BELEVING: zet je schrap voor een lading nieuwe content met 5 spelmodi, + 400 carrière-events, + 500 beheersingsuitdagingen, tijdevents en meer!<br><br>• EEN UNIEKE ERVARING:  ervaar de meest intense graphics en waanzinnige nitro-actie in deze razendsnelle racegame Dus druk het gaspedaal in en race ervandoor!<br><br>Kun je niet meer wachten? Of heb je eerst nog een shot nitro nodig? Deze racegame is gemaakt voor iedereen die niet van traditionele racegames houdt. Het is een game voor mensen die niet houden van regels, die buiten de kaders denken en die zich niet laten weerhouden door de grenzen van een circuit! Een game voor fans van rallywagens, echte extreme sport, driftracen en vrije off-roadraces waarin je alle kanten op vliegt! Voel je je aangesproken? Download dan nu meteen GRATIS Asphalt Xtreme: Rally Racing!<br><br>Lees meer over het spel op de officiële website -- http://asphaltxtreme.com/ <br><br>_____________________________________________<br>Bezoek onze officiële website via http://gmlft.co/website_EN<br>Bekijk onze nieuwe blog op http://gmlft.co/central<br><br>Vergeet ons ook niet te volgen op social media:<br>Facebook: http://gmlft.co/AXTR_Facebook<br>Twitter: http://gmlft.co/AXTR_Twitter<br>Instagram: http://gmlft.co/AXTR_Instagram<br>YouTube: http://gmlft.co/AXTR_YouTube<br>Forum :  http://gmlft.co/AXTR_Forum<br><br>Privacybeleid: http://www.gameloft.com/privacy-notice<br>Gebruikersvoorwaarden: http://www.gameloft.com/conditions-of-use<br>Licentieovereenkomst eindgebruiker: http://www.gameloft.com/eula","€ 0,50 - € 109,99 per item",GAME_RACING,22063261,10000000,Mon Jul 27 12:53:17 2020,1595838197,PEGI 3,Varieert per apparaat,4.1 en hoger,1.9.3b,0 USD,4.095868
6,https://lh3.googleusercontent.com/VVJhk3wIL28JBmKHultwBUlINxx-_hCCHQw13-4EH7o1AelwqaEcTj4yFGEcWSonTl82,CarX Highway Racing,https://play.google.com/store/apps/details?id=com.CarXTech.highWay&hl=nl&gl=nl,com.CarXTech.highWay,https://play.google.com/store/apps/dev?id=8956145082759427129,CarX Technologies,"#1 racing on a traffic-packed highway!<br><br>A mix of lifelike physics which has been the center point of CarX Drift Racing 2, eye-catching graphics and extreme driving on traffic-packed roads is what CarX Highway Racing has to offer.<br><br>CAMPAIGN MODE. Immerse yourself in the world of street racing.<br>- Check out Texas deserts, visit Australia, France or Russia. A number of countries are there on your way to success.<br>- Divulge activities of secret organizations and destroy Winston’s empire<br>- Find out what the Syndicate is after and knock down their plans before it’s too late<br>- Make new friends who can help you in your endeavors<br><br>LOTS OF CARS TO CHOOSE FROM. Select from pickup trucks to hypercars.<br>- 40 sports cars are awaiting your command: sports classic, regular vehicles, muscle cars and powerful supercars.<br><br>REALISTIC PHYSICS. Feel the power drive at your fingertips.<br>- Well tuned physics will allow you to feel every horsepower of the car of your choice.<br>- Adjust your vehicle to make sure it drives the way you want it<br>- No other game can give you the kind of emotions you’ll experience with CarX Highway Racing<br><br>ONLINE RACING. Show others what you’ve got.<br>- Compete with other players for the first place<br>- Move up to the next league by winning<br>- New competitors and challenges are awaiting you every season<br><br>DIFFERENT GAME MODES. You won’t get bored.<br>- Select Time Attack, race to stay in the pack or complete your run without a scratch<br><br>POLICE MODE. Bring the law back on the road.<br>- Become Police and restrain lawlessness on the road. Catch offenders before they get lost.<br>- Scare all criminals with the roar of your engine and sound of your sirene<br><br>UNIQUE EVENTS. It’s your chance to get a unique car.<br>- Take part in different events and receive unique cars<br><br>FREE RIDE MODE. Feel the freedom of unrestrained driving.<br>- Unlimited mode which will allow you to enjoy driving without having to flee or follow<br><br>MORE STUFF TO ENJOY!<br>- Day/Night mode: drive around Paris in the evening or blow dust of night Texas roads<br>- Flee from police: patrol cars will keep the thrill until you cross the finish line<br><br><br>Follow our announcements in social networks: https://facebook.com/carxhighway/","€ 1,19 - € 54,99 per item",GAME_RACING,34204664,10000000,Wed Sep 16 15:58:58 2020,1600255738,PEGI 3,59M,5.0 en hoger,1.69.1,0 USD,4.510655
7,https://lh3.googleusercontent.com/UVjsYY6tnVq2qqtuz0BexvhIA080C-pfWalPy3Py4GD4nE-dt_mAZxuAOVgEod3teLU,Rally Fury - Extreme rally autoracen,https://play.google.com/store/apps/details?id=com.refuelgames.rally&hl=nl&gl=nl,com.refuelgames.rally,https://play.google.com/store/apps/developer?id=Refuel+Games+Pty+Ltd,Refuel Games Pty Ltd,"Speel als een enkele speler of tegen online vrienden!<br><br>Ervaar de opwinding en uitdagingen van snel rallyracen! Race tegen uitdagende AI-tegenstanders en je vrienden in de online multiplayer-modus.<br><br>Realistische fysica: Realistische racefysica op asfalt, vuil en sneeuw.<br><br>Aanpassen: pas auto&#39;s aan met verschillende lakkleuren, gebruik stickers en persoonlijke nummerplaten.<br><br>Auto&#39;s: race in hoogwaardige rallyauto&#39;s met verschillende specificaties.<br><br>Upgrade: verbeter uw auto met verbeterde snelheid en prestaties.<br><br>Ondersteuning voor Android TV: speel op het grote scherm voor de ultieme ervaring! Ondersteuning voor de populairste gamecontroller.<br><br>Cloud opslaan: sla uw voortgang op en download naar een ander apparaat.<br><br>Licentieovereenkomst: https://www.refuelgames.com/eula.html","€ 1,09 - € 54,99 per item",GAME_RACING,52195880,50000000,Sun Sep 27 04:42:52 2020,1601169172,PEGI 3,119M,4.1 en hoger,1.71,0 USD,4.405761
8,https://lh3.googleusercontent.com/Z9Zudg9GfILn2Ib8Vdq-4iWkd9HlfU8djWIvH_5CaQG71cgDLIX9o5fm1ZkgTulrc4I,Nitro Nation Drag & Drift Racing,https://play.google.com/store/apps/details?id=com.creativemobile.nno&hl=nl&gl=nl,com.creativemobile.nno,https://play.google.com/store/apps/dev?id=4628073667365740196,Creative Mobile Games,"DRIFT mode arrives to Nitro Nation! The most addictive Drag Racing game goes Sideways!<br><br>Race, mod, and tune dozens of real licensed cars. Start a team, invite your friends, win tournaments. Trade car parts with other racers in real time and build your dream car for both Drag and Drift races!<br><br>MEET THE DRIFT - The most advanced and realistic Drift mode comes to drag racing world!<br>Cutting edge technology recreates the most precise and lifelike drift experience ever!<br>New Suspension Upgrades to adjust your car specifically for drift. <br>Intuitive, customizable controls will fit any racer.<br>Never seen before unique tracks designed for drift.<br><br>LOTS OF CARS - Supercars and Exotics? Check. Tuners and Street racers? Check. Classic and Modern muscle? You bet! The best part? There&#39;s always more of them coming to the game!<br>We know you love drag racing cars, we have more than 150 real cars from top international car brands like Audi, BMW, Chevrolet, Chrysler, Dodge, Ford, Jaguar, Mercedes-Benz, Nissan, Subaru, Volkswagen - and many more!<br><br>FAIR PLAY - no &quot;fuel&quot; that you have to wait for. Free of &quot;delivery time&quot; for cars or upgrades. Every vehicle is competitive and there are no &quot;premium&quot; upgrades. It&#39;s all about player driving skill and dedication.<br><br>REAL RACERS &amp; TEAMS – we’re all about multiplayer racing, there&#39;s always an online rival waiting for you on the street or the track. Start by racing any distance from 1/8 to a full mile, join or create a team, win tournaments with your crew, work your way up the leaderboard rankings, or test your nerves in wager races.<br>Join a Live Multiplayer race, play in real time with friends and opponents all over the world! Compete in weekly Regional tournaments and work your way up through the Bronze and Silver divisions to the Worldwide Gold Elite Racing division!<br><br>EPIC UPGRADES - Upgrade and improve 33 unique car components with 3 tiers of aftermarket blueprints. Satisfy your need for speed and build a one-of-a-kind top drag racing machine. Ever dreamed of smoking an exotic sports car in your 800 HP Volkswagen Golf? Happens every day on the streets of NN.<br><br>PERSONAL TOUCH – customize your drag car with cool decals, arrange them the way you like. Choose your own custom paint color and finish for every bit. Add real Toyo Tires and aftermarket Tec Speedwheels rims, install aftermarket bumpers, skirts and spoilers to give your car a unique look!<br><br>CAR GEEKS WELCOME – powered by the CarX Physics Engine, we have the most realistic car physics on the market - everything works the way it does in real life. Tune your gears with detailed specs, dyno graphs, gearing charts and advanced race statistics will help you put your racing knowledge to use.<br><br>Privacy Policy: http://cm.games/privacy-policy/<br>Terms of Use: http://cm.games/terms-of-use/","€ 0,99 - € 99,99 per item",GAME_RACING,39949536,10000000,Mon Aug 24 18:44:16 2020,1598278456,PEGI 3,62M,4.1 en hoger,6.11.0,0 USD,4.544748
9,https://lh3.googleusercontent.com/VvBKHJNU0kLn5BknkSnzVSNMWH0jyc_Q2KxtI0Mn50_3gA4Y4Jm2zVomfvjPibOSdZY,Top Speed: Drag & Fast Racing 3D,https://play.google.com/store/apps/details?id=com.tbegames.and.top_speed_racing&hl=nl&gl=nl,com.tbegames.and.top_speed_racing,https://play.google.com/store/apps/dev?id=8473203491921584386,T-Bull,"Domineer je crimineel krankzinnige rivalen in extreme rechtstreekse dragraces.<br><br>Bereik onmogelijke snelheden door deskundig schakelen en uitbarstingen van nitrogeen.<br><br>Rij in 69 auto&#39;s, versla 20 criminele bazen en wordt de grootste vis in de stad.<br><br>- Kies uit 69 auto&#39;s: voorraadauto&#39;s, dragsters en politievoertuigen<br>- Gebruik je creativiteit bij tonnen mogelijkheden voor afstelling en aanpassing<br>- Rij in 5 stadsdelen, elk met zijn eigen unieke thema en bende<br>- Een vliegdekschip geïnspireerd door werkelijke exemplaren om op te racen<br>- Epische arcade gamemodi<br>- Politieachtervolgingen met veel adrenaline bij Meest gezochte<br>- Verbazingwekkende 3D HD-visuals<br><br>Top Speed stelt de nieuwe norm in voor dragraces. Heb je ooit willen deelnemen aan ondergrondse races tegen onvoorspelbare maffialeden? Rijden in luxe auto&#39;s van  topklasse en iedereen laten zien wie de baas is? Ga direct achter het stuur zitten en wees klaar om je ademloos te zijn als je op die nitro-knop drukt.<br><br>In Top Speed kun je je auto naar smaak afstellen. Verhoog het vermogen van de motor, upgrade je uitrusting en nitro, spuit je auto over, plak wat stickers als je dat wilt. Dit zal allemaal een definitieve impact hebben op de realistische rijsimulatie. Wanneer je elite dragsters ontgrendelt, kan je ook voor de meest hardcore visuele mods van de zwarte markt behalen. Alle de goederen van de criminele natie staan tot je beschikking - zorg er alleen voor dat je ze in de race goed gebruikt.<br><br>Kies elke auto die je wilt uit een verbazingwekkende selectie van 69 auto&#39;s - je kan rijden in klassieke auto&#39;s uit voorraad, nieuwe, zwaar aangepaste dragsters en zelfs nationale politieauto&#39;s uit 5 verschillende landen.<br><br>Niets zal je tegenhouden om rubber op de straten te verbranden. Alle races vinden plaats vanuit het rooster, weg van het verkeer, zodat je als een gek met burn-out aan de slag kunt, het asfalt ploegen en zonder grenzen racen.<br><br>Probeer je kansen als maffia underdog en vind je weg naar de top. Bij elke stap moet je racen tegen elk van de 20 criminele heersers die de stad in hun stalen greep houden. Asfalt van de stad zal een slagveld worden en je zult geen limiet kennen - laat ambitie en adrenaline je gids zijn in deze race. Je bent de beste nieuwe racer op deze straten, maar je rivalen weten dat nog steeds niet. Hoe zit dat, laat je hen dat zien door ze achter je te laten in de rook van een burn-out nadat je de nitro aanzet?<br><br>Dragrace in 5 prachtige en onderscheidende stadsdelen. Van schilderachtige voorsteden tot levendig stadscentrum, je behoefte voor bekijken van bezienswaardigheden zal worden voldaan. Rij voor glorie en adrenaline in de wijk Klein-Azië, een fusie van China en de westerse wereld. Bereik ongelooflijke snelheden op de schilderachtige snelweg. Als professionele arcade-racer heb je genoeg mogelijkheden hebben om je auto te laten zien in een mooie en realistische omgeving.<br><br>Je vaardigheden zullen getest worden, dus maak je klaar voor de meest intense arcade racegame van 2017! Nu gratis downloaden.<br><br>Zet aan, stel af, race uit!","€ 1,09 - € 98,90 per item",GAME_RACING,44968703,10000000,Wed Sep 30 16:51:09 2020,1601472069,PEGI 12,Varieert per apparaat,Varieert per apparaat,Varieert per apparaat,0 USD,4.597457
