,img_src,title,link,id,developer_link,developer_name,description,price_inapp,category,num_downloads,num_downloads_approx,published,published_timestamp,pegi,filesize,os,software,price,rating
0,https://lh3.googleusercontent.com/yPnzTbNkKUdj-7RLMnSz6uoIVX_aLvDVwO9Pd2CMygR8j2xVmb2Uwbde9pZRAl9qkSU,Sweet Candy Puzzle: Crush & Pop Free Match 3 Game,https://play.google.com/store/apps/details?id=com.sweetcandy.puzzle.blast.crush.free&hl=nl&gl=nl,com.sweetcandy.puzzle.blast.crush.free,https://play.google.com/store/apps/developer?id=Jewel+Loft,Jewel Loft,"Download free Sweet Candy Puzzle now, the sweetest puzzle game in the candy match-3 puzzle world.<br><br>Advance in a beautiful world full of candy snacks. Join this sweet journey and enjoy a variety of sweet treats, including chocolates, ice cream, cakes, donuts and more. Complete tasks in hundreds of well-designed levels, collect targets, and grow the lovely succulent plant.<br><br>Match and crush three or more of the same candies to clear the levels! Crush candies together and make the powerful booster to help you compelete missions. There are more cheer in Sweet Candy Puzzle for you which can be discovered in this sweet candy land!  <br><br>Features:<br>Addictive levels<br>- Over Hundreds well-designed FREE levels and Continuous new levels.<br>No time limit<br>- No time limit for you to solve the puzzle wholeheartedly<br>Sweet graphics<br>- Different wonderful game maps and delicious jelly &amp; sugar &amp; soda &amp; candy with new designs<br>Relaxing music<br>- Sweet music and sound effects let you relax<br>Offline games<br>- Play anywhere and anytime even without Wi-Fi<br>Share your happiness<br>- Compete with your friends and share your experence<br>Free to play<br>- There are daily free rewards and don’t forget to spin the wheel to get awesome bonus<br><br>How to play the game:<br>- Swap and match more than 3 identical candies to crush<br>- Tasty candies , Color Bombs and various other powerful boosters to help you blast various barriers<br>- Collect the coins to help with the tough levels<br>- smash the obstacles: cookie, ice cream, jewel, honey, jelly<br>- Gather enough candies to win before you run out of moves<br><br>Start smashing candy and crushing sugar in a sweet fairyland.Many thanks to everyone who has played sweet candy puzzle.","€ 1,09 - € 109,99 per item",GAME_PUZZLE,443021,100000,Thu Sep 17 18:15:57 2020,1600350357,PEGI 3,72M,4.1 en hoger,1.91.5026,0 USD,4.506098
1,https://lh3.googleusercontent.com/mTNiwEHXLiEsb_wOfxIFz8xxTVBuomng9p2l5_4YtLXogOkjPnuvLgP4zMfmaqPHIQ,Candy Sweet Legend - Match 3 Puzzle,https://play.google.com/store/apps/details?id=com.candy.sweet.legend.free&hl=nl&gl=nl,com.candy.sweet.legend.free,https://play.google.com/store/apps/developer?id=Yo+App,Yo App,"Enjoy juicy candies. Travel through tasty Candy Sweet Legend!<br>Share these juicy candies with your friends in Candy Sweet Legend. Enjoy mystery journey with various candies in sweet wonderland! Download it for FREE NOW! Go on a sweet journey. <br><br>Candy Sweet Legend is a candy match 3 puzzle game. Available for no matter adult or kids for all ages. Brand new visual effect and game experience. Simple to start but challenging to master! No time limited that you can play anywhere &amp; anytime offline. Cakes, breads, candies and juicy jelly, lots of dessert open your taste palate feast while playing.<br><br>Start your tasty adventure filled with juicy candies<br>- Swipe and match 3 candies of the same color to blast and win points<br>- Match 4 and more candies to creative a make a magic bomb. <br>- Collect the candies, break can help you complete the levels<br>- Use the tasty and powerful boosters candy. Crushes the Ice layer,virus and bread<br>- Try to challenge yourself to high scores. Get 3 stars on each level<br><br>Candy Sweet Legend Features:<br>-  Addictive candy match 3 puzzle game<br>-  Hundreds of juicy puzzle levels fulled of candies and 1700 initial levels<br>-  Well-designed in sweet graphics &amp; screen<br>-  Relaxing background music &amp; Amazing animations<br>-  Be careful with barrier: Bread, Virus, Ice layer<br>-  Free game that can play play any time and anywhere","€ 1,09 - € 114,99 per item",GAME_PUZZLE,1509168,1000000,Wed Aug  5 14:43:24 2020,1596622404,PEGI 3,72M,4.1 en hoger,3.9.5009,0 USD,4.3683615
2,https://lh3.googleusercontent.com/0WwhIhflq_uqW9-I1ob580MyE9cMSSDnwq0e2AprzwW4TcmFGfz9m9f4eUda9xZvGZ8,Gummy Candy Blast - Gratis Match 3-puzzelspel,https://play.google.com/store/apps/details?id=com.gummy.candy.android&hl=nl&gl=nl,com.gummy.candy.android,https://play.google.com/store/apps/developer?id=Game+Up+Entertainment,Game Up Entertainment,"🎉 <b> Gummy Candy Blast is een gratis match drie puzzelspel vol liefde en plezier!  🎉<br><br>Je gaat op avontuur met veel lieve schattige vrienden, Candy, CRUSH &amp; MATCH drie of meer candyjuwelen en schiet je een weg door honderden FUN-levels in dit GRATIS puzzelspel.<br><br>CRUSH-combo&#39;s van snoepjuwelen of daag je vrienden uit om te zien wie de hoogste score kan halen! Het matchen van juwelen is zo opwindend dat je niet wilt stoppen met het spelen van dit verslavende gratis match drie-puzzelspel.<br><br>👉 HOE TE SPELEN<br><br>-👍Je hebt een specifiek doel in elk gratis niveau, voltooi gewoon de doelen en je krijgt grote beloningen<br><br>-Match 3 of meer edelstenen van dezelfde kleur om ze te verpletteren.<br><br>- Pasniveau om genoeg sterren te krijgen en de nieuwe kaarten te ontgrendelen.<br><br>-👍Verzamel munten en koop krachtige boosters om gemakkelijk snoepjes te pletten.<br><br>- Pas niveaus om lieve schattige vrienden te ontgrendelen om je te helpen het matchspel te winnen.<br><br>- Neem deel aan het Wereldtoernooi en neem het op tegen vrienden over de hele wereld. De winnaar krijgt royale beloningen.<br><br>-👍Honderden uitdagende levels en zoete kaarten moeten je matchen.<br><br>-👍Nieuwe match game met spaarvarken kan je gratis munten geven.<br><br><br>👉FEATURES<br><br><br>HET BESTE PUZZELSPEL<br><br>- Superleuke en verslavende gameplay. Honderden uitdagende en unieke match-3 niveaus!<br><br>💎 MATCH-3 SPEL VOOR ALLE FAMILIE<br><br>- Geen wifi of internetverbinding vereist om te spelen. Dit is een eenvoudig te spelen match 3-puzzelspel! Ongeacht je leeftijd of ervaring, je zult genieten van die prachtige juweelspellen &amp; levels!<br><br>💎 GEWELDIGE GRAFIEK EN ONTWERP<br><br>- Verschillende prachtige spelwerelden met nieuwe ontwerpen! Los puzzels op en ontgrendel nieuwe kaarten.<br><br>💎 BLAST BOOSTERS OM JE TE HELPEN<br><br>- Krachtige boosters die je helpen de quests op te lossen en ze zullen je helpen om alle blokken te matchen en elke puzzel op te lossen.<br><br>💎 AANPASSEN OM NIEUWE EVENEMENTEN TE ONTGRENDELEN<br><br>- Speel getimede evenementen voor boosters en andere beloningen. Zoete vakantie-evenementen worden regelmatig toegevoegd voor uw vermaak.<br><br>💎 SPEEL MET VRIENDEN!<br><br>- Leaderboard om uw vrienden en concurrenten wereldwijd te bekijken. Maandelijkse en wereldwijde ranglijsten tonen uw geweldige record.<br><br>💖Het verwachten van een puzzelspel voor alle geslachten en leeftijden. Geniet van een spelletje puzzel in de magische wereld vol fantastische juwelen.<br>💖 Bedankt aan iedereen om Gummy Candy Blast lief te hebben en te ondersteunen! We beloven terug te betalen met een geweldig spel voor alle gebruikers!</b>","€ 1,09 - € 109,99 per item",GAME_PUZZLE,3389388,1000000,Fri Sep 18 07:00:40 2020,1600396240,PEGI 3,51M,4.4 en hoger,1.4.3,0 USD,4.8040695
3,https://lh3.googleusercontent.com/wY__5QlJzCO-K3M76Fju8kors2Tj59JxEl1OOpOwx33Wc2h5xgf7BP03Mww0e7Wv-QI,Crazy Candy Bomb - Sweet match 3 game,https://play.google.com/store/apps/details?id=com.candy.bomb.crush.free&hl=nl&gl=nl,com.candy.bomb.crush.free,https://play.google.com/store/apps/developer?id=Yunbu+Game+Studio,Yunbu Game Studio,"The gorgeous match 3 puzzle game with magic boosters and sweet candies! Start the happy and mystery journey with various candies in sweet wonderland!<br><br>Design your moves by matching 3 or more candies in a row, use boosters wisely to overcome those extra sticky puzzles! <br> <br>🍭- Lollipop: Sweet lollipop help you to smash the any candy you want to crush.<br>🍭- Bust rocket: Help you to crush a vertical column of sweet candy.<br>🍭- Magic wand: Magic wand allows you to re-arrange the candy interface.<br>🍭- Magic gloves: This glove from the hands of magician, you can let you exchange any two candies.<br>🍭- Spacecraft: This skill can help you collect all the same candies at once.<br><br><br>Notes:<br>* WIFI FREE! TIME FREE!<br>* Thousands of exciting puzzle levels, more on the way<br>* Facebook sync, you can login your Facebook account and play with your friends! <br><br>Privacy<br>  http://www.yunbu.me/hk/privacy_policy.html<br>Contact with us<br>  Email: yunbuhk@gmail.com","€ 0,99 - € 109,99 per item",GAME_CASUAL,5569339,5000000,Wed Sep 30 06:05:30 2020,1601433330,PEGI 3,76M,4.4 en hoger,4.5.7,0 USD,4.434735
4,https://lh3.googleusercontent.com/V9ewWhSZOaCtWGnYXl52TP_vkyNV79w2W_FdKB5G5vQTkaf9nAkCoc3VHmwUdjhtCdE,KingCraft - candy Games 2020,https://play.google.com/store/apps/details?id=air.com.generamobile.kingcraft&hl=nl&gl=nl,air.com.generamobile.kingcraft,https://play.google.com/store/apps/dev?id=7309208351846755609,Genera Games,"Welkom bij KingCraft - Sweet Match 3, het beste snoepspel ooit! Combineer edelstenen en smash suikersnoepjes rond honderden gratis levels om te winnen. Kun jij elk zoet koninkrijk veroveren? Doe mee met de snoepmanie en los puzzels op!<br><br>Word de koning of de koningin van deze landen, beheer je grondstoffen en pak je oogst op: groenten, snoepvruchten, juwelen, edelstenen, snoepjes ... zelfs munten!<br><br><br>KingCraft - Sweet Match 3 functies:<br><br>Match 3 fruit, wissel edelstenen en snoep om elk level te voltooien.<br><br>Reis rond snoeplandschappen en verover elk land.<br><br>Haal je oogst op: aardbeien, appels ... alle vruchten zijn gemaakt van suiker!<br><br>Speel online of offline met vrienden. Probeer de hoogste score te halen!<br><br>Los puzzels op met behulp van krachtige boosters. Ze zullen je helpen suiker te breken.<br><br>Doe mee met de snoep-manie! Dagelijkse prijzen en speciale niveaus.<br><br><br>Begin vandaag nog met het gratis spelen van KingCraft - Sweet Match 3! Ben je verliefd op edelstenen puzzelspellen? Download het nu en word lid van de snoepkoorts! Combineer snoep, schiet fruit en smash sugar om elke puzzel op te lossen!","€ 0,99 - € 99,99 per item",GAME_CASUAL,5944143,5000000,Wed Mar  6 19:12:33 2019,1551886953,PEGI 3,59M,4.4 en hoger,2.0.163,0 USD,4.491613
5,https://lh3.googleusercontent.com/x2-muobI8h8eGkSRsB-u4dlvIDlLD81ik2XbUeNr1cLgjMV3ayblm-PENrYM22iOZxZ7,Candy Bomb Fever - 2020 Match 3 puzzel gratis spel,https://play.google.com/store/apps/details?id=com.candysmash.sweetcrush.free&hl=nl&gl=nl,com.candysmash.sweetcrush.free,https://play.google.com/store/apps/developer?id=Jewels+Match+Games,Jewels Match Games,"Candy Bomb Fever is een eenvoudige snack van een spel, bedoeld voor spelers die gewoon willen spelen en plezier willen hebben, zonder afgeleid te worden door anderen.<br><br>Combineer 3 of meer snoepjes van dezelfde kleur en voltooi missies op elk niveau van dit avontuur. Uitdagend maar leuk bij elke beurt!<br> <br>Als je van snoep en puzzels houdt en een zwak hebt voor honden, dan is dit leuke, leuke, liefdevolle puzzelspel voor jou!<br><br>Tik, pop en eet je een weg door het avontuur met je nieuwe beste vriend Lucky.<br><br>Lucky de Shiba Inu is een fijnproever en heeft een zoetekauw voor snoepjes. Haar moeder vertelde haar dat als ze meer snoepjes wil eten, ze zichzelf voortdurend moet uitdagen. Haal levels en voer Lucky met heerlijke snoepjes en jullie zullen in een mum van tijd de beste worden!<br><br>Hoe te spelen<br><br>1. Op elk niveau heb je een specifieke lijst met doelen, voltooi ze gewoon voordat je geen zetten meer hebt en dan word je beloond met onverwachte prijzen<br>2. Schakel twee elementen naast elkaar om drie of meer vergelijkbare edelstenen op een rij te krijgen om ze te breken<br>3. Munten zijn belangrijk. Je kunt ze gebruiken om krachtige boosters te kopen<br><br><br><br>Kenmerken<br><br>1. Puzzelgame-spellen met honderden niveaus<br>2. Het is een volledig GRATIS smakelijk snoepspel<br>3. Mooie en mooie graphics<br>4. Eenvoudig te spelen, maar vereist nog steeds vaardigheden om te beheersen!<br>5. Los puzzels op door speciale boosters en power-ups te gebruiken en te combineren<br>6. Vecht het uit in Global Multiplayer Tournaments en maak kans op de ultieme winnaar<br>7. Je kunt offline spelen (geen internetverbinding vereist)<br>8. Ons toegewijde team werkt hard om nieuwe inhoud voor u te maken<br><br>Volg ons nieuws en updates te krijgen:<br>facebook.com/Lets-fun-game-2326106847708638/<br>facebook.com/Candy-Smash-Community-2311883832241821","€ 1,09 - € 104,99 per item",GAME_CASUAL,638816,500000,Tue Sep 29 15:15:57 2020,1601379957,PEGI 3,41M,5.0 en hoger,1.5.1,0 USD,4.644309
6,https://lh3.googleusercontent.com/FzD3-t5N81uvviwlpRZaKtPwbJWgw_IHoYOI2udYnX4HMLy4fVgfI-hMJD7eS4rfukfe,Candy Smash Mania,https://play.google.com/store/apps/details?id=com.candysmashmania.sweetcrush.free&hl=nl&gl=nl,com.candysmashmania.sweetcrush.free,https://play.google.com/store/apps/developer?id=gameone,gameone,"Candy Smash Mania is a sweet match 3 puzzle game. You will act as little girls, accompany with lovely husky. Thousands of puzzle levels filled with candies and cake carefully well crafted. Enter the juicy adventure and travel through sweet house of candy treats. Match and blast three or more of the same candies to clear the levels! Make the most delicious combinations and get through challenging levels filled with candy! Blast candies together and match the rarest treats and share with your friends. More treats are in Candy Smash Mania for you to discover in this juicy land! You would addictive in this candy treat, such as Jam, honey, sweet and biscuits treasure trove of tasty treats!<br><br>Candy Smash Mania features<br>- Addictive match 3 gameplay<br>- Colorful and delicious candies. <br>- Splendid animations <br>- Any time and anywhere with no WIFI<br>- Collect the Black or white kittens, also bees and rabbits can help you pass levels easily!<br>- Be careful with barriers: Five layers dessert, Ice layers, Biscuits stick,Honey pot, etc.<br><br>Enjoy the tasty treats with Candy Smash Mania. Have Fun! Easy Get Started this sweet journey . Match 3 or more of the same candies to make the treat into sweet tooth!<br><br>Vist us:<br>https://www.facebook.com/CandySmashMania/","€ 1,29 - € 104,99 per item",GAME_PUZZLE,5830073,5000000,Thu Jul  2 12:29:33 2020,1593676773,PEGI 3,54M,4.1 en hoger,8.7.5009,0 USD,4.406659
7,https://lh3.googleusercontent.com/gmA4pUqOjBT8PZ96JGd13-BO6ECeReKcgIv5aseuCuuR85D4TRg1xlK8ChUAlHFTHcc,Candy House Fever - 2020 free match game,https://play.google.com/store/apps/details?id=com.candyhousefever.free&hl=nl&gl=nl,com.candyhousefever.free,https://play.google.com/store/apps/dev?id=6572061599624528195,LETS FUN - publisher of match 3 puzzle game,"One of the most addictive puzzle game on mobile today! You can get free rewards and boosters through this amazing adventure!<br><br>You can play Candy House Fever at anytime and anywhere. It will be fine if without Wi-Fi. <br><br>🌈How to play🌈<br><br>1. At each level, you have a specific list of goals, just complete them before you run out of moves and then you will be rewarded with unexpected prizes<br>2. Switch two elements next to each other in order to get three or more similar gems in a row to smash them<br>3. Coins are important. You can use them to buy powerful boosters<br><br><br><br>🌈Features🌈<br><br>1. Puzzle match games with hundreds of levels<br>2. It is a totally FREE tasty candy game<br>3. Beautiful and lovely graphics<br>4. Easy to play, but still takes skills to master!<br>5. Solve puzzles by using and combining special boosters and power-ups<br>6. Battle it out in Global Multiplayer Tournaments for the chance of being crowned the Ultimate Winner<br>7. You can play while offline (no Internet connection required)<br>8. Our dedicated team is working hard to create fresh new content for you<br><br><br>Follow us to get news and updates：<br><br>facebook.com/Candy-House-Fever-106008174491762/<br>facebook.com/Lets-fun-game-2326106847708638/<br><br>► Company Website<br>https://www.letsfungame.com","€ 1,09 - € 109,99 per item",GAME_CASUAL,229676,100000,Wed Sep 23 07:35:44 2020,1600833944,PEGI 3,49M,5.1 en hoger,1.1.5,0 USD,4.742475
8,https://lh3.googleusercontent.com/uwWGDLVfQdIQR3VBts04EgWAYYdgwio9Xy9dWDb6T5Iwiklu9lZJg9lzkzunmOeCQotN,Candy Smash 2020 - Free Match 3 Game,https://play.google.com/store/apps/details?id=com.christmas.match3luzzle&hl=nl&gl=nl,com.christmas.match3luzzle,https://play.google.com/store/apps/developer?id=Group+Studios,Group Studios,"Play this Candy Smash game with 800 levels of match 3 fun, filled with lots of new challenges! Light the candles, clear the snow to find the gifts, catch the jumping snowmen, fill the gift bags. Drop Santa down the chimney, ignite the firecrackers, fill the big sock and look what&#39;s in the fridge. All while taking care of the snow guns!<br>Candy Smash 2020 - Free Match 3 Game will keep you engaged until long after candy game!<br><br>There are no lives to lose, and you don&#39;t have to annoy your friends to progress. Play as long as you want! This game will fill the long winter evenings with lots of pleasure!<br><br>Swap, drag and sweep the cute Christmas pieces, like the christmas tree, santa&#39;s hat, Christmas bells and baubles, gingerbread man and ice crystals. Make matches of 4 or 5 to create powerful bombs and power-ups. And use Santa&#39;s mitten to collect a single piece. You&#39;ll be rewarded with cookies and soda.<br><br>If you like holiday themed match 3 puzzle games, click and match, swap and match or any type of casual match 3 puzzle game then Candy Smash 2020 is just for you!<br><br>Features of Candy Smash<br>● Match tons of different crunchy cookies, one swap at a time!<br>● Complete unique objectives without running out of moves.<br>● Blast through entire rows and groups of candy items.<br>● Booster: Magic Shovel, Magic Brush and more! will help you get through difficult levels<br>● Swap candy colored treats and crush delicious cookies and cakes<br>● Combine 2 special &#39;candies&#39; to make a big surprised yummy blast!<br>● Go top and become legend, a candy juice heroes!<br><br>So open this Candy Smash present NOW, it&#39;s FREE!","€ 1,09 - € 109,99 per item",GAME_PUZZLE,126942,100000,Wed Aug 19 12:01:17 2020,1597822277,PEGI 3,38M,4.1 en hoger,1.0.22,0 USD,4.25
9,https://lh3.googleusercontent.com/sM3WNOZ-gLInvzXBuXh2iUT1TxTudk1mv0MSsZ0SQWVZWq25aB2UOU0utV4nx60ybg,Sweet Candy Mania - Free Match 3 Puzzle Game,https://play.google.com/store/apps/details?id=com.gameone.sweetcandy.free&hl=nl&gl=nl,com.gameone.sweetcandy.free,https://play.google.com/store/apps/dev?id=6572061599624528195,LETS FUN - publisher of match 3 puzzle game,"One of the most addictive puzzle game on mobile today! You can get free rewards and boosters through this amazing adventure!<br><br>You can play Sweet Candy Mania at anytime and anywhere. It will be fine if without Wi-Fi. <br><br>🌈How to play🌈<br><br>1. At each level, you have a specific list of goals, just complete them before you run out of moves and then you will be rewarded with unexpected prizes<br>2. Switch two elements next to each other in order to get three or more similar gems in a row to smash them<br>3. Coins are important. You can use them to buy powerful boosters<br><br><br><br>🌈Features🌈<br><br>1. Puzzle match games with hundreds of levels<br>2. It is a totally FREE tasty candy game<br>3. Beautiful and lovely graphics<br>4. Easy to play, but still takes skills to master!<br>5. Solve puzzles by using and combining special boosters and power-ups<br>6. Battle it out in Global Multiplayer Tournaments for the chance of being crowned the Ultimate Winner<br>7. You can play while offline (no Internet connection required)<br>8. Our dedicated team is working hard to create fresh new content for you<br><br><br>Follow us to get news and updates：<br><br>facebook.com/Sweet-Candy-106959434253733/?ref=bookmarks<br>facebook.com/Lets-fun-game-2326106847708638/<br><br>► Company Website<br>https://www.letsfungame.com","€ 1,09 - € 109,99 per item",GAME_CASUAL,256389,100000,Tue Sep  1 13:39:34 2020,1598951374,PEGI 3,50M,5.0 en hoger,1.4.4,0 USD,4.711111
