,img_src,title,link,id,developer_link,developer_name,description,price_inapp,category,num_downloads,num_downloads_approx,published,published_timestamp,pegi,filesize,os,software,price,rating
0,https://lh3.googleusercontent.com/xFSKYP8BY7YOybezvoy2LQfFpEmwlPy8KRgBG8Np6VZTOKf6lbAGGErzu-LPS3JMHug,Hoog snelheid auto Rivalen ras auto het spellen,https://play.google.com/store/apps/details?id=com.fungames.highway.traffic.race&hl=nl&gl=nl,com.fungames.highway.traffic.race,https://play.google.com/store/apps/dev?id=5046803102897321007,GAMEXIS,"Hoog snelheid auto Rivalen ras auto het rijden spellen<br>Draag uw gordel, start de motor koel en klaar om nieuwe extreem ultieme gek autoverkeer race 3D-spel. Car racing is een geweldige en onderhoudende eindeloze racer auto spelletjes simulatie. Heb je enige ervaring racen door stormloop verkeer? Laten we rijvaardigheid en geheime capaciteiten uit te voeren in deze briljante simulator. Het vermijden van obstakels, verkeer, auto, vrachtwagen en te concurreren hoge snelle auto&#39;s, geld in te zamelen en te bereiken als eerste de finish, nog nooit zo leuk geweest. Verslavend car racing bieden u verbluffende graphics en realistische schitterende omgeving, waar je auto zal rijden als fysieke driver en maak geweldige innerlijk gevoel als een echte stunt bestuurder door het rijden woedend auto over de grote uitdagingen van adventure racing. Verkeer 3d auto is een geheel nieuwe extreme auto rijden simulatie voor uw nieuw avontuur. Deze unieke animatie auto racespel is de beste stunt spel, dus maak je klaar om de drang naar super leuk voelen.<br><br>Hou je van auto stad drift verkeer racespel? Zo ja; Vervolgens rijd je hogere klasse auto en vul de lastige tracks en obstakels met uw hoge snelheid. Doe sensatie mid-air buitengewone race, trucs, hindernissen en belemmeringen met de lucht auto&#39;s door het circuit tegen uitdagende racers. Voor de wilde achtervolging moet je op koers te blijven, uiteindelijke beslissing van zware motor verkeer en het vergroten van uw luxe limo auto op tijd op de uitdaging te voltooien. U zult zeker genieten van deze moderne concept van de moderne nitro stad asfalt nieuw spel en het is zeker het vervullen van uw dromen van het besturen van een sportwagen. Rij voorzichtig uw snelle asfalt, omdat de weg is gevuld met scherpe bochten, obstakels en andere snelverkeer.<br>Selecteer favoriete luxe auto en voltooi je missie binnen specifieke beperkte tijd. Uw spel rol laaien de weg en versnelt je een weg om te racen tegen andere spier monster 3D-racewagen 2017. Tijdens de rit gebruik nitrous en rijden op krankzinnige snelheid om lastige stunts uit te voeren. Vul uw snelle race rijden dromen, als u wilt voorkomen dat het raken andere tegenovergestelde verkeer. Verstandig rijden geen enkele auto&#39;s en horden niet botsen. Als u eventuele obstakels te raken of laat u zijn spoor tijdens het besturen van uw auto zal crashen, zul je niet start je missie opnieuw.<br><br>Word een echte ruiter; is het tijd voor rijden massaal hoge gedetailleerde auto&#39;s, dus draag je racewagen spullen, en draai uw veiligheidsgordel. Maak je klaar om schijnbeweging en branden van de stunt tracks en versla een aantal race-rivalen. In deze gekke extreme lucht snelheid rivalen geen noodzaak om te breken en zorgen over de politie, gewoon doen wat gevaarlijke stunts. Voltooi je niveau, krijgt drie sterren en geld om prachtige levels en krachtige sportwagens te ontgrendelen te verzamelen, kunt u ook maatwerk uw snelheid van de auto, wielen, banden, verf en handling. U kunt meerdere moeilijke modes worden geconfronteerd; elke taak is meer thriller dan de vorige taak in dit Race In een auto 3d stunt spellen simulatie.<br><br>Hoog snelheid auto Rivalen ras auto het rijden spellen Kenmerken<br>- Soepelste gameplay om de race sensatie.<br>- Fantastische muziek om je geest te trillen.<br>- Tal van luxe auto&#39;s te ontgrendelen.<br>- Ton van auto racers.<br>- Amazing 3D graphics weg.<br>- Tal van milieu.<br>- Avontuurlijke rijden onder stadsverkeer.<br>- Realistische rijervaring.","€ 0,99 - € 19,99 per item",GAME_RACING,34225339,10000000,Wed Sep 30 08:26:24 2020,1601441784,PEGI 3,60M,4.1 en hoger,10.0.2,0 USD,4.0880837
1,https://lh3.googleusercontent.com/t1p7-vPhRJ9LvMvWdhPJ_e5oq8fr9_GNjbfkHSwSTBRkEQ7R6OCwX-euo9leGm57lfE,Street Racing 3D,https://play.google.com/store/apps/details?id=com.combineinc.streetracing.driftthreeD&hl=nl&gl=nl,com.combineinc.streetracing.driftthreeD,https://play.google.com/store/apps/dev?id=6936794375735348055,Ivy,"<b>#1 Free street racing 3D car 🚘 game!</b><br><br>Drive a top-class sports 🏎  car, join the top street racing camp! 🎉 🎉<br><br>Real racing, 🆒 drift in the asphalt. 🏁 Racing in multiple races, driving on the streets, full of exciting challenges, and the world&#39;s professional racers compete to become a <b>street legend</b>! 🥇<br><br>Start driving in unique car 🚘 or never seen before on the asphalt tracks. 🏁 start your racer, the world&#39;s top-class racing cars for you to choose! <b>Upgrade turbo engine, find the tune for your car, colorful paints and cool stickers.</b><br><br>Race in different modes of street scene 🛣 ,Show your rivals 🆚  amazing speed in real competition. Unbelievable turns, Driving skill need to exercise in the different mode competition, so start racing in arcade style, perform amazing stunts. Unique mix of arcade action and simulation way of driving. Start driving and earning rewards, collect coins 💰 and diamonds 💎 on the street asphalt. Drag your <b>Career</b> and  <b>PVP</b>event into high stake racing.<br><br><b>🏁 Street Racing 3D Features:</b><br>► Street themed asphalt racing<br>► Challenge friends, start a fierce racing on the PVP track<br>► Drive 30+ extreme 🚘 cars<br>► High speed racing in street<br>► Real <b>drift racing</b> for speed<br>► Leader board score, you are the king 🥇 of speed<br>► Create your car, show the perfect look: <b>decals, paints, wheel</b>, etc.<br>► Collect as many coins 💰 and diamonds 💎 as possible<br>► High-speed racing mode, driving technology is the first 👍<br>► Win the PVP event, get a great reward<br><br>Street racing 3D has already started, drive your turbo car with the fast speed in the street asphalt. Racing is the best checking for your skills. <b>Experience drift speed in the road, be the king of car racers.</b><br><br><b>Welcome to join our Facebook Homepage : https://www.facebook.com/realdriftracing/</b>","€ 0,99 - € 99,99 per item",GAME_RACING,204362789,100000000,Mon Sep 28 10:26:39 2020,1601276199,PEGI 3,85M,4.1 en hoger,6.2.8,0 USD,4.285585
2,https://lh3.googleusercontent.com/-_wzfnNRoQ7DrB14_WAY6OcfHvBmJe8L6K3tmzg4UAa85cgMgKXGfQO--WNQqSSzKMs,Racing Limits,https://play.google.com/store/apps/details?id=com.sbkgames.RacingLimits&hl=nl&gl=nl,com.sbkgames.RacingLimits,https://play.google.com/store/apps/developer?id=SBK+Games,SBK Games,"Racing Limits defines the mobile standards of infinite arcade type racing games. Based on racing and overtaking vehicles both in city and highway traffic, this game features 5 enjoyable modes of racing: carrier mode, infinite mode, against-time mode, free mode and a multiplayer mode. You can choose between one-way and two-way traffic and choose among three times of day periods, namely “Morning”, “Sunset” and “Night”. <br><br>There are no limits in Racing Limits but only your racing skills! So drive as fast as you can, make sharp overtakes, do what you cannot do in real life, and finally race to your limits..<br><br>FEATURES:<br><br>-REALTIME MULTIPLAYER: You can compete with your friends or with other co-racers from around the world in multiplayer mode. This game implements the best real-time multiplayer racing in mobile devices. <br><br>-MULTIPLE CAMERA ANGLES: There are 4 camera angles. Helicopter, back, hood and cockpit. All vehicles you can opt to drive come also with high quality interiors to offer the best possible cockpit camera experience. <br><br>-VERY SENSITIVE AND EASY CONTROLS: Racing Limits has very easy and sensitive game controls for you to make great fun out of it.<br><br>-DRIVING PHYSICS: All cars in Racing Limits have realistic power, torque and gear ratios. The acceleration process and top speeds are based on a complete simulation. Vehicle body weight, gear ratios, engine power and torque ratios are all taken into account.<br><br>-LOTS OF VERY HIGH DETAILED VEHICLES:  Lots of vehicles with high levels of graphical detail are waiting for you to drive! The graphical details of cars present in Racing Limits are the bests of its category.<br><br><br>-TUNINGS AND UPGRADES: You can customize your car by changing gear ratios, ride heights and wheel camber angles. You can upgrade your engine, brakes, and handling for better performance. Several body and rim colors are also available for you to choose.<br><br>-REALISTIC GRAPHICS: Racing Limits features lots of optimizations on very high detail and realistic graphics. <br><br>-LOTS OF RACE EVENTS: You will never get bored while playing Racing Limits. It has lots of carrier mode levels, 3 race tracks, 3 time of day periods and 5 different game modes. <br><br>-LANGUAGES: Six languages are currently supported in Racing Limits and lots of others are yet to come in future versions.<br><br>FOLLOW US:<br><br>* https://www.facebook.com/racinglimitsgame/<br>* https://twitter.com/RacingLimits<br>* https://www.youtube.com/channel/UCMThWAiBM_EBZWJ8l3OyCtg","€ 0,69 - € 26,99 per item",GAME_RACING,61306211,50000000,Sat May 23 14:23:57 2020,1590227637,PEGI 3,Varieert per apparaat,4.1 en hoger,Varieert per apparaat,0 USD,4.2131977
3,https://lh3.googleusercontent.com/UVjsYY6tnVq2qqtuz0BexvhIA080C-pfWalPy3Py4GD4nE-dt_mAZxuAOVgEod3teLU,Rally Fury - Extreme rally autoracen,https://play.google.com/store/apps/details?id=com.refuelgames.rally&hl=nl&gl=nl,com.refuelgames.rally,https://play.google.com/store/apps/developer?id=Refuel+Games+Pty+Ltd,Refuel Games Pty Ltd,"Speel als een enkele speler of tegen online vrienden!<br><br>Ervaar de opwinding en uitdagingen van snel rallyracen! Race tegen uitdagende AI-tegenstanders en je vrienden in de online multiplayer-modus.<br><br>Realistische fysica: Realistische racefysica op asfalt, vuil en sneeuw.<br><br>Aanpassen: pas auto&#39;s aan met verschillende lakkleuren, gebruik stickers en persoonlijke nummerplaten.<br><br>Auto&#39;s: race in hoogwaardige rallyauto&#39;s met verschillende specificaties.<br><br>Upgrade: verbeter uw auto met verbeterde snelheid en prestaties.<br><br>Ondersteuning voor Android TV: speel op het grote scherm voor de ultieme ervaring! Ondersteuning voor de populairste gamecontroller.<br><br>Cloud opslaan: sla uw voortgang op en download naar een ander apparaat.<br><br>Licentieovereenkomst: https://www.refuelgames.com/eula.html","€ 1,09 - € 54,99 per item",GAME_RACING,52195880,50000000,Sun Sep 27 04:42:52 2020,1601169172,PEGI 3,119M,4.1 en hoger,1.71,0 USD,4.4061112
4,https://lh3.googleusercontent.com/2uTOewaztiOuJsDPyMXSlBkeQq2sM5netXJUpi2Nk_e06XU9cqIfaK6l02vRYkumsQI,Traffic Racer,https://play.google.com/store/apps/details?id=com.skgames.trafficracer&hl=nl&gl=nl,com.skgames.trafficracer,https://play.google.com/store/apps/dev?id=7063637161723821824,Soner Kara,"Traffic Racer vormt een mijlpaal in het genre van de eindeloze arcade-racers. Rij met je auto door het verkeer op de snelweg, verdien geld, upgrade je wagen en koop nieuwe. Probeer een van de snelste bestuurders te zijn in het internationale klassement. Eindeloos racen nu opnieuw gedefinieerd!<br> <br>HOOFDKENMERKEN<br>- Adembenemende 3D-graphics<br>- Soepele en realistische besturing<br>- 40+ verschillende auto&#39;s om uit te kiezen<br>- 6 gedetailleerde omgevingen: buitenwijk, woestijn, herfst, besneeuwd, regenachtig, bos en de stad bij nacht<br>- 5 speltypen: Eindeloos, Twee richtingen, Tijdrit, Politieachtervolging en Vrij racen<br>- Uitgebreide soorten NPC-verkeer, met vrachtwagens, bussen en SUV&#39;s.<br>- Standaard aanpassingsopties via lak en banden<br>- Online klassementen en prestaties<br> <br>GAMEPLAY<br>- Kantelen of aanraken om te sturen<br>- Versnellingsknop aanraken om gas te geven<br>- Remknop aanraken om te vertragen<br> <br>TIPS<br>- Hoe sneller je rijdt, hoe hoger je scoort<br>- Als je harder rijdt dan 100 km/u, moet je auto&#39;s strak inhalen om bonusscores en geld te verdienen<br>- Als je in de tegengestelde richting rijdt, scoor je hoger en krijg je meer geld<br> <br>Traffic Racer wordt doorlopend bijgewerkt. Beoordeel ons en geef je feedback voor verdere verbetering van de game.<br> <br>VOLG ONS<br>* http://instagram.com/trafficracergame<br>* http://facebook.com/trafficracergame<br>* http://twitter.com/TrafficRacer","€ 2,29 - € 64,99 per item",GAME_RACING,298982654,100000000,Wed May 27 17:00:20 2020,1590582620,PEGI 3,59M,4.1 en hoger,3.3,0 USD,4.491962
5,https://lh3.googleusercontent.com/TzovQFGo_NtEnklzCuuTrjodTHj1gNu4vgTuyaR5R9Qb39is7XI_QG1dz3dnAsa-7A,Traffic Tour,https://play.google.com/store/apps/details?id=com.wolvesinteractive.traffictour&hl=nl&gl=nl,com.wolvesinteractive.traffictour,https://play.google.com/store/apps/dev?id=4753128145277262392,Wolves Interactive,"This is a Highway or lanes racing game, speed into Traffic jam Lane splitting to get more points. navigate your way in a straight highway between cars and trucks.<br> <br>Racing game (Traffic Tour) is a new endless arcade racing game that takes you to another level of smooth driving simulations and high graphics quality, designed for the traffic racer fans with advanced features make this racing game the leading cars game in google play.<br><br><br>Over 10 Million Downloads! <br> <br>- Real Racing experience &amp; realistic graphics <br>- Choose your best cars and challenge other players in a real-time multiplayer mode<br>- Join 100 different online missions and get prizes by beating your opponents<br>- Send requests and challenge your friends<br>- enjoy car racing with your friends<br>- Great CRS (car racing system)<br>- the best free racing game in google play<br><br>KEY FEATURES<br>- Unlimited car racing play - No fuel or time limits<br>- Different camera modes: first person, third person, driver camera and more<br>- Multiple control modes: tilt, buttons or steering wheel<br>- 5 gameplay modes: Multiplayer, Endless, Career, Time Trial, Free Run<br>- 100 missions in career mode<br>- 5 realistic environments: Highway, City, Desert, Rain and snow with day or night times<br>- 40 different cars with the ability to customize colors and wheels<br>- Unlock cars by collecting or buying blueprints<br>- Upgrade cars features: Speed, Handling, and Brakes<br>- Variety of traffic vehicles: Trucks, Buses, Vans,car ,Pickups, SUVs<br>- Multiplayer racing, challenging friends and players from all around the world.<br>- Ability to use the Nitrous (Nitro) feature in multiplayer mode<br><br>TIPS<br>- Unlock new cars by collecting more Blueprints in endless mode<br>- When driving over 100 km/h, try to overtake traffic cars to get bonus scores and cash<br>- Get extra cash when playing evening and night in endless mode<br>- Driving in opposite direction in two-way gives extra score and cash<br>- Use Nitrous in the right time in multiplayer mode to get the most out of it<br>- Share your results with friends to get extra cash","€ 1,89 - € 99,99 per item",GAME_RACING,40304938,10000000,Wed Sep  9 16:40:44 2020,1599653444,PEGI 3,71M,4.2 en hoger,1.5.5,0 USD,3.9295766
6,https://lh3.googleusercontent.com/VvBKHJNU0kLn5BknkSnzVSNMWH0jyc_Q2KxtI0Mn50_3gA4Y4Jm2zVomfvjPibOSdZY,Top Speed: Drag & Fast Racing 3D,https://play.google.com/store/apps/details?id=com.tbegames.and.top_speed_racing&hl=nl&gl=nl,com.tbegames.and.top_speed_racing,https://play.google.com/store/apps/dev?id=8473203491921584386,T-Bull,"Domineer je crimineel krankzinnige rivalen in extreme rechtstreekse dragraces.<br><br>Bereik onmogelijke snelheden door deskundig schakelen en uitbarstingen van nitrogeen.<br><br>Rij in 69 auto&#39;s, versla 20 criminele bazen en wordt de grootste vis in de stad.<br><br>- Kies uit 69 auto&#39;s: voorraadauto&#39;s, dragsters en politievoertuigen<br>- Gebruik je creativiteit bij tonnen mogelijkheden voor afstelling en aanpassing<br>- Rij in 5 stadsdelen, elk met zijn eigen unieke thema en bende<br>- Een vliegdekschip geïnspireerd door werkelijke exemplaren om op te racen<br>- Epische arcade gamemodi<br>- Politieachtervolgingen met veel adrenaline bij Meest gezochte<br>- Verbazingwekkende 3D HD-visuals<br><br>Top Speed stelt de nieuwe norm in voor dragraces. Heb je ooit willen deelnemen aan ondergrondse races tegen onvoorspelbare maffialeden? Rijden in luxe auto&#39;s van  topklasse en iedereen laten zien wie de baas is? Ga direct achter het stuur zitten en wees klaar om je ademloos te zijn als je op die nitro-knop drukt.<br><br>In Top Speed kun je je auto naar smaak afstellen. Verhoog het vermogen van de motor, upgrade je uitrusting en nitro, spuit je auto over, plak wat stickers als je dat wilt. Dit zal allemaal een definitieve impact hebben op de realistische rijsimulatie. Wanneer je elite dragsters ontgrendelt, kan je ook voor de meest hardcore visuele mods van de zwarte markt behalen. Alle de goederen van de criminele natie staan tot je beschikking - zorg er alleen voor dat je ze in de race goed gebruikt.<br><br>Kies elke auto die je wilt uit een verbazingwekkende selectie van 69 auto&#39;s - je kan rijden in klassieke auto&#39;s uit voorraad, nieuwe, zwaar aangepaste dragsters en zelfs nationale politieauto&#39;s uit 5 verschillende landen.<br><br>Niets zal je tegenhouden om rubber op de straten te verbranden. Alle races vinden plaats vanuit het rooster, weg van het verkeer, zodat je als een gek met burn-out aan de slag kunt, het asfalt ploegen en zonder grenzen racen.<br><br>Probeer je kansen als maffia underdog en vind je weg naar de top. Bij elke stap moet je racen tegen elk van de 20 criminele heersers die de stad in hun stalen greep houden. Asfalt van de stad zal een slagveld worden en je zult geen limiet kennen - laat ambitie en adrenaline je gids zijn in deze race. Je bent de beste nieuwe racer op deze straten, maar je rivalen weten dat nog steeds niet. Hoe zit dat, laat je hen dat zien door ze achter je te laten in de rook van een burn-out nadat je de nitro aanzet?<br><br>Dragrace in 5 prachtige en onderscheidende stadsdelen. Van schilderachtige voorsteden tot levendig stadscentrum, je behoefte voor bekijken van bezienswaardigheden zal worden voldaan. Rij voor glorie en adrenaline in de wijk Klein-Azië, een fusie van China en de westerse wereld. Bereik ongelooflijke snelheden op de schilderachtige snelweg. Als professionele arcade-racer heb je genoeg mogelijkheden hebben om je auto te laten zien in een mooie en realistische omgeving.<br><br>Je vaardigheden zullen getest worden, dus maak je klaar voor de meest intense arcade racegame van 2017! Nu gratis downloaden.<br><br>Zet aan, stel af, race uit!","€ 1,09 - € 98,90 per item",GAME_RACING,44968703,10000000,Wed Sep 30 16:51:09 2020,1601472069,PEGI 12,Varieert per apparaat,Varieert per apparaat,Varieert per apparaat,0 USD,4.597457
7,https://lh3.googleusercontent.com/zvKQ4IArTMB5a2hOQ8HF9vEGckb5zy3i2WVaXbGVC5prUDFDYdpU8mh8tjM8xNt8eLk,Racing in Car 2,https://play.google.com/store/apps/details?id=com.ffgames.racingincar2&hl=nl&gl=nl,com.ffgames.racingincar2,https://play.google.com/store/apps/developer?id=Fast+Free+Games,Fast Free Games,"Ziek van eindeloze racegames met perspectief van een derde persoon? &quot;Racing in Car 2&quot; is misschien de game die je zoekt. Je rijdt je auto in cockpit-weergave door het eindeloze verkeer en de realistische omgeving. Ga zo snel mogelijk, haal verkeerswagens over, verdien munten en koop nieuwe auto&#39;s.<br><br>Kenmerken<br>- Eenvoudig te leren en te rijden<br>- 3D-realistische cockpit-weergave<br>- Eindeloze gamemodus<br>- Verschillende locaties en auto&#39;s<br>- Simulator-achtige bedieningselementen<br><br>Probeer nu &quot;Racing in car&quot; om te zien hoe ver de mobiele race-ervaring tegenwoordig komt.","€ 2,29 - € 10,99 per item",GAME_RACING,196392080,100000000,Tue Jun 23 12:50:27 2020,1592900427,PEGI 3,Varieert per apparaat,Varieert per apparaat,Varieert per apparaat,0 USD,4.006308
8,https://lh3.googleusercontent.com/YXPyTpF_M2UoUKuL0FugoJIvS5GrFIAvwVUalJyUUy44yONz8JSbU_5bCrYI1e6Y5jk,Modern Auto Rijden parkeren 3d,https://play.google.com/store/apps/details?id=com.volcano.modrn.car.parking.d&hl=nl&gl=nl,com.volcano.modrn.car.parking.d,https://play.google.com/store/apps/dev?id=6439460247209426995,The Knights Pvt Ltd,"<b> &#39;s werelds beste parkeerplaats voor auto&#39;s met nieuwe functies en de beste racegames Smaak !<br><br>Welkom bij het spelen van het nieuwe gekke parkeerparkspel met het echte avontuur van het gebied met parkeerautomaten. de uitdagende parkeer- en rijspellen met moderne functies en verbluffende luxe auto&#39;s zullen u verbazen. deze verslavende moderne autospellen bieden je geweldige op fysica gebaseerde voertuigen en een prachtige omgeving voor een echte parkeer- en rijervaring. je hebt veel actie en snelle racegames gespeeld, maar de nieuwste en meest uitgebreide Parker-simulator zal een uitdaging van een parkeerauto op een moeilijk gebied aangaan. Hier krijg je de kans om je rijvaardigheden te verbeteren, dus geniet nu van de nieuwste autogames en het unieke parkeeravontuur. Ultieme autogames geven je de kans om je parkeervaardigheden te verbeteren. Een auto besturen op een weg is een eenvoudige klus, maar een parkeerauto op een parkeerplaats is zwaar. Hier krijg je de kans om je rijvaardigheid te verbeteren, dus geniet nu van unieke autogames en parkeeravontuur. Rijd de auto op de parkeerplaats en parkeer deze op een specifieke parkeerplaats om een ​​echte parkeerrijder te worden. Na het spelen van autogames zult u merken dat u een echte autobestuurder wordt en kunt u alle racegames gemakkelijk spelen.<br><br>Veel wegversperringen, kegels en hindernissen maken je een expert in parkeren en rijden. Met de nieuwe unieke simulator voor parkeersimulaties realiseert u eindeloos een moeilijke en uitdagende ervaring. Voel de haast en probeer de beste overlevende Parker te zijn in deze uitdagende omgeving. Ga achter het stuur zitten en start de motor van een auto om je carrière te starten en je rij- en parkeervaardigheden te laten zien. Met de simulator kunt u uw vaardigheden controleren op uw parkeervaardigheden. Rijd door obstakels en wegversperringen, de omgeving is moeilijk, dus rijd voorzichtig en parkeer de auto op exact dezelfde tijd in een bepaalde tijd om de taak te voltooien. Als je botst of tegen een kegel botst, een slagboom of je laat reikt op de parkeerplaats zul je falen in je missie. Voltooi level als een echte Parker en krijg drie sterren in elke missie om volgende levels te ontgrendelen en veel parkeerfasen te genieten. Veel parkeer- en rij-missies in autogames, je kunt elke vaardigheid van autorijden leren.<br><br><br>Deze moderne autospellen is een perfect ontworpen spel voor die fans die dol zijn op opgewonden parkeer- en rij-spellen met opwindende HD-graphics en ongelooflijke uitdagende levels. Verbazingwekkende glimmende parkeerautogames bevatten een oncontroleerbare omgeving met veel obstakels en uitstekende grafische afbeeldingen om jezelf te vermaken. Deze tijdrovende autospelletjes hebben een verbazingwekkende variëteit aan modi en onbeperkt plezier voor liefhebbers van autospellen. Na het installeren van autogames maak je je veiligheidsgordels vast en klaar om te rijden en te genieten van de racegames. Deze racespellen laten je de sensatie van parkeren ervaren. Als je van racegames houdt, dan zijn deze echte autogames een goede keuze voor jou.<br><br><br>Download nu autogames op je Android-apparaten in Google Play Store en begin je reis nu met echte parkeerproblemen.<br><br>Hoe speel je in games?<br><br>Druk op de Play-knop om het spel te starten<br>Versnel om je auto sneller te maken<br>Druk op de remknop om de luxewagen te stoppen<br>Druk op de knop Links / Rechts om de auto te sturen<br>Vermijd om obstakels of kegels te raken<br>Gebruik de cameraknop om camerabeelden te wijzigen<br><br> Car Game Functies:<br>Opwindende 3D-omgeving<br>Melodieuze geluidseffecten<br>Ultieme HD-graphics<br>Zeer realistische vriendelijke bediening<br>Verbeter uw rij- en parkeervaardigheden<br>Meerdere camerahoeken<br>Volledig gratis en offline spelen<br><br>★ Als u een klacht of suggestie heeft, laat ons dan alstublieft een e-mail achter:<br>★ knights.techhelp@gmail.com</b>","€ 1,29 - € 25,99 per item",GAME_SIMULATION,64577232,50000000,Thu Sep 24 12:42:39 2020,1600938759,PEGI 3,53M,4.1 en hoger,3.76,0 USD,4.101653
9,https://lh3.googleusercontent.com/CxmVu1YZ9Dm5-vjEKIww_oXq3eOlYs2wyrHjuPLOAHoVLzsFQvwl6L42eP0BOwJl29oo,Mini Car Race Legends - 3d Racing Car Games 2020,https://play.google.com/store/apps/details?id=com.ht.mini.car.raceway.endless.drive&hl=nl&gl=nl,com.ht.mini.car.raceway.endless.drive,https://play.google.com/store/apps/dev?id=5046803102897321007,GAMEXIS,"<b>Mini Car Race Legends - 3d Racing Car Games 2020</b><br>Race like legend against tiny cartoonist cars and vehicles. Drive in rush traffic of fun games.<br>Gamexis inc. brings you all-time favorite highway car games with cool texture and graphics. Are you up for taking challenges with mini car or racing car in circuit tracks? We ensure you to enjoy this offline car racing games a lot because specially designed for kids &amp; according to free racing games. These offline games contain highway racing on endless racing tracks but good thing for free car racing games lovers now we are going to introduce circuit race in it very soon.<br><br><b>Garage;</b><br>There are multiple collectibles on the way of metal car games. It includes coins and speed booster in car driving fun game. You can spend gold coins to buy new cars and toy trucks in the free game. You can also upgrade your car to make it more awesome in the new games. The ultimate challenges and toddler’s car will double the fun of toy racing game. Select your favorite racing car to enjoy the fun of new games. <br><br><b>Endless mode;</b><br>You will feel yourself as a part of the derby demo game. There is a wide highway and all you have to do, is drive car as far as you can in the offline games. Your task is to drive car as long as you can in the game. Avoid collision with cars running along sides. Also, there are different hurdles as well to give you tough time playing free racing game.<br>You can enjoy circuit racing with mini cars &amp; if you win these races, need to knockout competition the other opponents. We are introducing new cars with turbo like the new games. Need to upgrade your speed car if you accept auto racing so you should have to use top gear like a winner. One is your all favorite endless racing on racer track. The straight highway gives you extra dose of fun in toy new car racing games. In nut shell, the free run endless racing mode is alive with beautiful city.<br><br><b>Challenge mode;</b><br>These free games is recommended for you to beat the best car racers of the world of free games 2020. In the most popular games 2020 this new car games 2020 has its own name and fame. Challenge your besties and friends to show them your classic racing skills in offline car racing games 2020. Challenge your own records of this fun 3d game. Beat the hurdles and challenges of this race car game.<br>The game gives you a whole range of various racing cars models. If you are a real hardcore driver and like to drive fast, you must choose best racing car with more high ratings. You can choose racer cars which suits your driving style. The car driver can also choose agile turbo cars with better handling ratings to move flexibly in heavy traffic. Very fast cars will enhance your experience for more realistic feeling in racing drifting game. There are police cars patrolling the highway. There is speed limit for car driving on highway of burnout car racing game. If you exceed, the police cars will try to arrest you. Boost up the racing car speed and get rid of the up going traffic by hitting them hard. <br><br>how to play cool games?<br>Tap the game icon visible to your device screen then play then select mode you want to play. you have more than one option to play this car game. This car game is mostly counted in top games 2020. get enjoy from this real car game. On the other hand, the matter of 3d racing? then be pleased to knew that this 3d game offers you 3d car racing which is rear in the 3d games 2020. Try your best to score more as you can in this real game<br><br>Best of Luck!<br><b>Features:</b><br>Realistic 3D graphics<br>Two challenging racing modes<br>Real in-game sounds<br>Stunning Location<br>Multiple camera views<br>Smooth controls<br><br>If you have no wifi, you can play Mini Car Race Legends, absolutely free. So quickly download this interesting realistic toy car game of 2020 offered by Gamexis inc. available on Google Play Store on your android smart phones.","€ 1,09 - € 34,99 per item",GAME_RACING,11715887,10000000,Sat Sep 26 13:45:29 2020,1601115329,PEGI 3,50M,4.1 en hoger,3.8.7,0 USD,4.1968307
