,img_src,title,link,id,developer_link,developer_name,description,price_inapp,category,num_downloads,num_downloads_approx,published,published_timestamp,pegi,filesize,os,software,price,rating
0,https://lh3.googleusercontent.com/2_7vhn3aD1c2vGJdtTfbU9zc6PhW1Dsu6ZGqWgPk1Ob6Xx1vhrNhFZQXa7g9aXWZJVM,Surgery Master,https://play.google.com/store/apps/details?id=com.doctor.surgerymaster&hl=nl&gl=nl,com.doctor.surgerymaster,https://play.google.com/store/apps/developer?id=Doodle+Mobile+Ltd.,Doodle Mobile Ltd.,"Perform operations like in real life and save lives in the most realistic surgery game! You are the courageous surgeon and take urgent care of your unlucky patients now!<br><br>The game is much more difficult than real surgery! Replace organs, repair bone fractures, and perform all kinds of operations with scalpel or forceps or laser. Can you rise to the challenge and become the real surgeon?<br><br>Game Features:<br>- Play doctor with hundreds of patients to cut open and operate on<br>- Operate on brains, hearts, lungs, legs, arms and then stitch wounds &amp; clean blood<br>- Realistic hospital environments and authentic 3D surgery simulation","€ 1,99 - € 99,99 per item",GAME_ACTION,22619396,10000000,Tue May 14 09:57:09 2019,1557811629,PEGI 12,19M,4.0 en hoger,1.14,0 USD,3.8687112
1,https://lh3.googleusercontent.com/alQ75XxHlxjbUgj6otnl9uVC1KWX1onfYpAyVybq8zQI1hQcjgkFGBDvumDS5t3YhG8,Operate Now: Hospital - Surgery Simulator Game,https://play.google.com/store/apps/details?id=com.spilgames.OperateNow2&hl=nl&gl=nl,com.spilgames.OperateNow2,https://play.google.com/store/apps/dev?id=8077753437082489031,Spil Games,"Perform challenging surgeries, manage your own hospital, and experience hospital drama in Operate Now: Hospital! <br><br>Game Characteristics<br><br>🚑  Play the most realistic surgery simulations<br>🚑  Build your own hospital<br>🚑  Hire new medical staff members and train them to save lives<br>🚑  Unlock and carry out researches from the all new medical research department<br>🚑  Dive into two captivating seasons <br>🚑  Stay tuned! We’re continuously developing and adding new missions and content<br><br>PERFORM SURGERIES<br><br>Performing challenging surgeries is at the heart of Operate Now: Hospital. Removing foreign bodies, repairing bone fractures, and performing tracheotomies are only some of the realistic operations available. As a surgeon, you will need a steady hand to both make flawless incisions, and carefully operate on patients. Time to throw on the scrubs!<br><br>BUILD YOUR OWN HOSPITAL<br><br>Build and manage your very own hospital with Emergency Rooms, Intensive Care Units, and many more departments. You’ll also get to expand and upgrade your hospital to accommodate new departments with newly hired surgeons! It will take a true hospital director to manage such an impressive health care facility!<br><br>EXPERIENCE A MEDICAL DRAMA<br><br>Live dramatic storylines just like in real medical TV shows. Operate Now: Hospital follows the lives of surgeons and hospital staff members such as Dr. Amy Clarke. As you progress through Seasons 1 and 2, this unique medical adventure will shed light on the mysteries surrounding the hospital, its patients, and its doctors. <br><br>Play Operate Now: Hospital and experience the medical world firsthand!","€ 0,99 - € 49,99 per item",GAME_ROLE_PLAYING,46775636,10000000,Tue Aug  4 19:53:00 2020,1596554580,PEGI 12,56M,5.1 en hoger,1.37.3,0 USD,3.7258735
2,https://lh3.googleusercontent.com/5C179owBt4qu5d1bO6JzpnVLsqV-Boci0wZ07JoVeCSrGpn-HcVU_gwiRumEA1V3YUA,Modern Tuk Tuk Auto Rickshaw: Free Driving Games,https://play.google.com/store/apps/details?id=com.jima.modern.tuktuk.auto.rickshaw.driving.game.simulator&hl=nl&gl=nl,com.jima.modern.tuktuk.auto.rickshaw.driving.game.simulator,https://play.google.com/store/apps/developer?id=Jima+Apps,Jima Apps,"Are you ready to drive auto rickshaw? Jima Apps came with something different &amp; more fun of auto rickshaw driving for you. Let’s enjoy most favorite auto rickshaw driving simulator in all tuk tuk games. Give pick and drop service to all passengers in rickshaw driver game. Modern tuk tuk auto drive will test your real rickshaw driving skills. Passengers are very excited to travel in the tuk tuk rickshaws. Modern tuk tuk auto rickshaw gives the fun of both offroad tuk tuk auto rickshaw driving &amp; city tuk tuk auto rickshaw driving. It’s a massive opportunity for all rickshaw games lover to improve their driving skills in free rickshaw games. You can show your rickshaw drive and parking skills. Drive tuk tuk as an epic rickshaw driver. Your safe riding tactics will increase your repute among tourist. We are sure that you will really enjoy this tuk tuk driver game. 🛺👮  <br><br>    <br>Start engine and transport passengers from their pickup location to destination in Modern Tuk Tuk Auto Rickshaw: Free Driving Games. If you have craze of auto rickshaw driving, then enjoy something else as compare to regular tuk tuk games. Passenger rickshaw game gives two mode of driving. You can improve your rickshaw riding skills in free mode and then come to carrier mode to accept multiple challenges. You will enjoy both city rickshaw driving &amp; off road rickshaw driving at one place. Take multiple challenges, complete them successfully and become the best passenger transporter. Complete each mission and earn cash. Use cash to unlock more beautiful tuk tuk rickshaw. Follow the map guide to reach at destination. Be careful about fuel, refill it timely and give safe ride to your tourist. Enjoy Modern Tuk Tuk Auto Rickshaw: Free Driving Games. 🛺👮<br><br>Best of Luck😎<br><br><b>Features:</b><br><br>🛺 Modern HD graphics<br>🛺 Intensive 3D environments<br>🛺 Easy &amp; intuitive game play<br>🛺 Simple &amp; smooth control<br>🛺 Amazing game play sound<br>🛺 Challenging &amp; simple to play<br>🛺 Multiple controls available<br>🛺 Keep eye upon fuel bar<br>🛺 Realistic natural views in offroad mode<br>🛺 Pick &amp; drop facility to travelers<br>🛺 Stunning animations added<br>🛺 Multiple auto rickshaws for driving<br><br>✍Rate &amp; review the rickshaw game, share with others. Give suggestions for improvement we will warmly welcome your feedback. Stay connected and enjoy a lot more from us.","€ 10,99 - € 109,99 per item",GAME_ROLE_PLAYING,24261821,10000000,Thu Jul  9 09:23:48 2020,1594270428,PEGI 12,42M,4.4 en hoger,1.5,0 USD,3.9959016
3,https://lh3.googleusercontent.com/VXf7-9vBHiknMymgQCCHnvD2riaqGNRhFzsMEIH4yTgiEYKW4g7twui6V6yVYgq8ji8,Blend It 3D,https://play.google.com/store/apps/details?id=com.blendergame.smash&hl=nl&gl=nl,com.blendergame.smash,https://play.google.com/store/apps/developer?id=SayGames,SayGames,It&#39;s time for refreshments! Take a minute and blend fresh fruit into delicious smoothies.<br>Be careful and try not to hurt yourself. Don&#39;t try this at home! Juice it!<br><br>WARNING: DO NOT TRY THIS IN REAL LIFE,"€ 3,29 per item",GAME_CASUAL,42245845,10000000,Wed Jun 17 16:10:02 2020,1592394002,PEGI 12,51M,4.4 en hoger,1.3.2,0 USD,4.166125
4,https://lh3.googleusercontent.com/3oiBad2n4Dg0bsFSQQRlwAGJ1dctRowAZo2qwztrUPIqv2CwKixJxWnP_e-lSX0QU7s,Family Hotel: Renovation & love story match-3 game,https://play.google.com/store/apps/details?id=com.playflock.family.hotel.story.home.mansion.puzzle.garden.decoration&hl=nl&gl=nl,com.playflock.family.hotel.story.home.mansion.puzzle.garden.decoration,https://play.google.com/store/apps/dev?id=7795666880575168001,PlayFlock,"Family Hotel: a plot-driven​ ​match-3 game​ with new mechanics, memorable characters and  exciting side-quests. ​​Build a hotel​ ​of your dreams and enjoy ​​romantic story​ ​happening in front  of your eyes!    <br><br>Enter the world of ​Family Hotel​, the latest ​romance​-based ​​match-3 puzzle game​​!   <br>You are going to turn a run-down countryside ​​manor​ ​into the high class family inn. Play ​match-3  to clear the rubble and let your imagination flow as you start the ​building ​restoration​​ and bring it  back to its former glory. Enjoy your new ​​hotel life​​!<br>    <br>Work alongside Emily and Max, the unusual duo behind the ​Family Hotel​. When the  co-managers first meet, it seems unlikely they’ll stand long enough to turn their vision into  reality. As they join their forces and cooperate, though, the two realize just how much in  <br>common they have. They develop a one of a kind ​​mansion design​​ that could make them  famous.<br>    <br>Together, they’ll be able to ​build, furnish​ and customize each of the ​hotel’s rooms​. Replace the  worn-out fountain, add new unique decors and features, and prepare your new​ ​fun hotel​ ​to  welcome hundreds of visiting guests. They will all have quests that you can help them complete  for additional rewards!    <br><br>Learn more about each of the characters in the game. Discover the details of Emily’s past and  uncover the mystery that surrounds Max’s family. Chat with your patrons in the lobby and delve  into one of the richest plots a ​match-3 game​ has ever had!    <br><br>Will your project grow into a thriving business or spiral out of control and crash to the ground?  Will you be able to ​​renovate a hotel​​ or the whole idea is a failure? Is love in the air for the two  protagonists or will they fight until they split? The future of ​Family Hotel​ is entirely in your  hands!    <br><br>Here is what makes our ​​hotel simulator ​game​ unique:  <br>• Refreshing ​match-3 ​gameplay with dynamic combos, ​romance​ and mind-blowing power ups.  <br>• Meaningful romantic choices that actively influence the campaign.  <br>• A mysterious duo of protagonists whose future and fate you’ll be able to shape.  <br>• Exciting side-quests, ​​hotel stories​​ and mini-games that will keep you glued to your phone.  <br>• Opportunity to ​furnish ​hotel​ and​ ​decorate ​it just the way you want.  <br>• An entire ​mansion to ​explore, restore and ​decorate​ as you see fit.    <br><br>Enjoy the ​​hotel adventures​​ with our fantastic ​​match-3 building game​! ","€ 1,09 - € 124,99 per item",GAME_PUZZLE,11106789,10000000,Tue Sep 15 19:02:59 2020,1600180379,PEGI 3,133M,4.4 en hoger,1.88,0 USD,4.5705185
5,https://lh3.googleusercontent.com/Z3OE_n8twKkN7lVxMK6sHu3gdeC58voirekhsutXRrlLNNNRAU7-eVstmyW4FccG6w,Perfect Slices,https://play.google.com/store/apps/details?id=com.perfect.slices&hl=nl&gl=nl,com.perfect.slices,https://play.google.com/store/apps/developer?id=SayGames,SayGames,Chop like a real master. It&#39;s so satisfying!<br><br>- Easy control<br>- Addictive gameplay<br>- Simple and fun,"€ 3,29 per item",GAME_SIMULATION,77982812,50000000,Fri Jul  3 15:33:11 2020,1593774191,PEGI 3,46M,4.4 en hoger,1.3.3,0 USD,4.1540823
6,https://lh3.googleusercontent.com/s_kunqkNbzyDAD4-D5hAjbDjkEFA6A1sz9XUtywHq8_TX9LiAFQ9Z_rm9YvZPJA4OgDD,Clue Hunter,https://play.google.com/store/apps/details?id=com.zjcgame.cluehunter&hl=nl&gl=nl,com.zjcgame.cluehunter,https://play.google.com/store/apps/dev?id=6990178528646658622,Lion Studios,"Uh oh! Your client’s husband is suspected of cheating! What are you going to do? Sniff out the clues and prove that he’s a cheater once for all and collect that bounty money! $$$<br><br>With this addictive and hilarious game, you will have non stop fun inside trying to find out what happens next! Who knows, you might even be compelled to make a video out of it for the internet! Are you detective enough? Find out now.<br> <br> Game Features:<br><br><br>1.       Don’t get fooled!<br>Each level presents you with multiple choices - make the right answers to catch the cheater. Wrong answers will result in misery for your client. So sad.<br><br>2.       So many cases to solve!<br>When you aren’t helping find cheaters and liars, you’re solving other high stakes crimes! Can you solve them all?<br><br>3.        A fun time for everyone!<br>Everybody can play Clue Hunter. If you get stumped - ask for help from your friends and loved ones! No shame in doing anything necessary to solve these ridiculous puzzles.<br><br>4.        Simple and Addicting Gameplay<br>Once you start you will want to keep solving the different cases. The best detective game out there!<br><br>5. Can you find the “Save the Girl” girl?<br>Good luck!<br>                                                                                                                                                                                                                                                                      <br><br>Visit https://lionstudios.cc/contact-us/ if have any feedback, need help on beating a level or have any awesome ideas you would like to see in the game!<br><br>From the Studio that brought you Happy Glass, Flip Trickster and Love Balls!<br><br>Follow us to get news and updates on our other Award Winning titles;<br>https://lionstudios.cc/<br>Facebook.com/LionStudios.cc<br>Instagram.com/LionStudioscc<br>Twitter.com/LionStudiosCC<br>Youtube.com/c/LionStudiosCC","€ 3,09 per item",GAME_PUZZLE,27639161,10000000,Fri Sep 25 20:31:05 2020,1601053265,PEGI 12,42M,4.4 en hoger,1.1.2,0 USD,3.8016284
7,https://play-lh.googleusercontent.com/ju0Kz5N6pkmaH8Pu6a9fdju3CcXpjPRXEjOUET_LSeRapyu9Ho2CqkXH34-U4YCxDyM,Let's Create! Pottery Lite,https://play.google.com/store/apps/details?id=pl.idreams.potterylite&hl=nl&gl=nl,pl.idreams.potterylite,https://play.google.com/store/apps/dev?id=6605166034023780330,Infinite Dreams,"With Let&#39;s Create: Pottery making ceramics has never been more simple and fun! Become a true artist and create &quot;one of a kind&quot; pottery items and share them with your friends! Throw the clay on the wheel, release all your artistic talents and take benefit of dozens of materials available in order to create your own design! Even when you glaze and fire your very first pot you will feel accomplished and relaxed as pottery is the best way to relieve your everyday stress and find your inner peace. An amazing, therapeutic and uplifting experience you can enjoy with your family and friends!<br><br>Gameplay tutorial video:<br>http://www.youtube.com/watch?v=4Myr4kw8QMM<br><br>Trailer video:<br>http://www.youtube.com/watch?v=KxMb5f085lw <br><br>★★★★★ &quot;Let&#39;s create! Pottery&quot; is totally worth a look. The entire game is a very unique experience that works extremely well on the iPad. - Touch Arcade<br><br>★★★★★ The best part about &quot;Let&#39;s create! Pottery&quot; is that once you&#39;ve unlocked everything you can let your imagination roam free and as time-wasters go, this is a truly unique experience. - App Spy",,GAME_CASUAL,46941110,10000000,Fri Dec  1 12:37:03 2017,1512119223,PEGI 3,41M,4.1 en hoger,1.63,0 USD,4.240787
8,https://lh3.googleusercontent.com/B4vWCzImpQSpz9h5Q729h5mU7Bba0cujG8wkEFPHCTtA__905d80QR1i0RCVhjJM2e2e,Chores!,https://play.google.com/store/apps/details?id=com.chitralekha.tinyiron&hl=nl&gl=nl,com.chitralekha.tinyiron,https://play.google.com/store/apps/dev?id=6990178528646658622,Lion Studios,"Never have chores been this much fun to do. Who wants to actually get dirty doing busy work that no one wants to do? For once you will actually want to do the cleaning.<br><br>This game is not what you would expect. This is not some generic cleaning game. Each different chore will test your skills. Find the right matching sock, time your pour correctly to get the cereal in the bowl. So many unique chores testing your abilities to get the job done right!<br><br>Let&#39;s show Mom how good you are at doing all the house chores.She will be so proud!<br><br><br> <br> Game Features:<br>1.       Simple but addicting mechanics<br>Swipe to clean or drag to match. Simple but addicting mechanics will keep you addicted<br><br>2.       Beautiful Graphics<br>So lifelike it’s as if you were actually cleaning up real messes<br><br>3.       New Game Modes constantly getting added<br>Never go bored in this game with rotating chores constantly getting added<br><br>4.        Chill and have fun<br>Chores and Chill - it’s what every cool kid is doing this weekend.<br><br>Whether you are like ironing, cleaning, washing, mowing, raking, tidying or just don’t like seeing a dirty toilet, than Chores is the game for you!<br><br><br>Visit https://lionstudios.cc/contact-us/ if have any feedback, need help on beating a level or have any awesome ideas you would like to see in the game!<br><br>From the Studio that brought you Mr. Bullet, Happy Glass, Ink Inc and Love Balls!<br><br>Follow us to get news and updates on our other Award Winning titles;<br>https://lionstudios.cc/<br>Facebook.com/LionStudios.cc<br>Instagram.com/LionStudioscc<br>Twitter.com/LionStudiosCC<br>Youtube.com/c/LionStudiosCC","€ 3,19 - € 10,99 per item",GAME_CASUAL,12904062,10000000,Tue Aug 25 21:31:04 2020,1598374864,PEGI 3,138M,7.0 en hoger,3.0.1,0 USD,4.16992
9,https://lh3.googleusercontent.com/q0Mfxwp7w71Mk_WJBe6I13i0HMEJXGBnEL5wiZrML3SL4W89A1hgLJld0y-WaMVfFA,The Cook - 3D Cooking Game,https://play.google.com/store/apps/details?id=com.pd.thecook&hl=nl&gl=nl,com.pd.thecook,https://play.google.com/store/apps/developer?id=SayGames,SayGames,"Start your cooking adventure today!<br><br>Imagine you have a food truck of your own, what would you do?<br><br>- Travel across the world!<br>- Discover new recipes!<br>- Make dishes you never heard of before!<br>- Get your every single customer happy!<br><br>And of course, have lots of fun!","€ 1,09 - € 7,49 per item",GAME_CASUAL,23717651,10000000,Sat Aug  8 08:43:43 2020,1596860023,PEGI 12,91M,4.4 en hoger,1.1.14,0 USD,4.173371
