,img_src,title,link,id,developer_link,developer_name,description,price_inapp,category,num_downloads,num_downloads_approx,published,published_timestamp,pegi,filesize,os,software,price,rating
0,https://lh3.googleusercontent.com/2_7vhn3aD1c2vGJdtTfbU9zc6PhW1Dsu6ZGqWgPk1Ob6Xx1vhrNhFZQXa7g9aXWZJVM,Surgery Master,https://play.google.com/store/apps/details?id=com.doctor.surgerymaster&hl=nl&gl=nl,com.doctor.surgerymaster,https://play.google.com/store/apps/developer?id=Doodle+Mobile+Ltd.,Doodle Mobile Ltd.,"Perform operations like in real life and save lives in the most realistic surgery game! You are the courageous surgeon and take urgent care of your unlucky patients now!<br><br>The game is much more difficult than real surgery! Replace organs, repair bone fractures, and perform all kinds of operations with scalpel or forceps or laser. Can you rise to the challenge and become the real surgeon?<br><br>Game Features:<br>- Play doctor with hundreds of patients to cut open and operate on<br>- Operate on brains, hearts, lungs, legs, arms and then stitch wounds &amp; clean blood<br>- Realistic hospital environments and authentic 3D surgery simulation","€ 1,99 - € 99,99 per item",GAME_ACTION,22619396,10000000,Tue May 14 09:57:09 2019,1557811629,PEGI 12,19M,4.0 en hoger,1.14,0 USD,3.8687112
1,https://lh3.googleusercontent.com/jRxetuhxOhLNgOP2IKe3zJWrHZUjFwFwF7vSPEygFE6HndSFbsRuzTbRbbCwED68NUyq,Grand Taxi Simulator : Modern Taxi Games 2020,https://play.google.com/store/apps/details?id=com.gaminglegends.taxigame.taxisimulator.grand.car.driving2020&hl=nl&gl=nl,com.gaminglegends.taxigame.taxisimulator.grand.car.driving2020,https://play.google.com/store/apps/developer?id=Gaming+Legends+-+Free+Racing+%26+Trending+Games,Gaming Legends - Free Racing & Trending Games,"Een gloednieuw project van ontwikkelaars is nu klaar als grand taxi-simulator: moderne taxi-game 2020. Real raxi-simulator is een geweldige keuze voor de lol. Rijd in een gele cabine met het volgen van alle regels van de taxisimulatorspellen. Er zijn veel functies in taxi-simulatiespellen:<br>Kenmerken van Grand Taxi Simulator: modern taxispel 2020:<br>🚗 Ultra 3D-afbeeldingen van hoge kwaliteit<br>🚗 Full HD grote stadsomgeving<br>🚗 Oproepen verzenden<br>🚗 Verkeerslichten<br>🚗 Gedetailleerde kaarten (gesimuleerde GPS)<br>🚗 Spelmodi<br>🚗 Tanksysteem<br>🚗 Offline game (geen wifi of internet nodig)<br>🚗 Onbeperkte klanten<br>1) Ultra HD grafische afbeeldingen van hoge kwaliteit:<br>Taxi games 2019 heeft een ultra HD grafische afbeelding. Het gemodificeerde interieur dat wordt gebruikt in taxi-autospellen Oog in oog met nieuwe taxi-automodellen om te rijden voor pick &amp; drop-services en -dienst.<br>2) Full HD stad grote omgeving:<br>Grote en stads ultra HD-omgeving gebruikt in smart taxi sim-game. De stad is vol met verkeer en mensen. Mensen lopen overal in de taxi-stad. sommigen rijden met hun eigen auto, jeep en fietsen &amp; sommigen rijden ook met luxe taxi&#39;s en bussen. Zeer grote en stadsomgeving in dit luxe taxi-simulatiespel 2020.<br>3) Verzend oproepen:<br>De zon komt op in het taxisimulatorspel 2019, je dienst begint nu. Passagier zal u op de taxiservicelijn informeren met een telefoontje en hij / zij zal zijn / haar exacte locatie voor taxidiensten vertellen. Wanneer de Limousine-taxi onderweg is, is het uw taak om de Limo-taxi voorzichtig te besturen en de passagiers te redden.<br>4) Verkeerslichten:<br>Wees alert tijdens het rijden met de slimme taxi. Volg de regels zoals stadstaxichauffeur, onze grote taxisimulator lijkt op een Amerikaanse taxi en je houdt van een echte taxisimulator in New York City. Verkeerslichten systeem is nu in onze moderne taxi-game als je aan de overkant wanneer het rode lampje op het signaal van je XP en verdienen zal verliezen. U moet alle verkeersregels voor taxi&#39;s volgen, zij zullen de beste chauffeur van de stadstaxi overwegen.<br>5) Gedetailleerde kaarten: (gesimuleerd Maps-systeem)<br>Het kaartsysteem van de auto helpt je om een ​​bestaande plaats van de renners te vinden. De kaart van de volledige stad wordt getoond in de klassieke taxi-auto. In de taxirace en snel taxiritten op korte tijd, zal het helpen voor het vinden van rijders.<br>6) Spelmodi: (Niveaus)<br>Drie modi van gekke taxispel.<br>i) Tijdritmodus: uitdagingsniveaus in deze modus van gele cab-game. Ik gaf je een specifieke tijd voor de missie.<br>ii) Carrièremodus: het is hetzelfde als Tijdritmodus, maar in carrièremodus geeft een taxisimulator wat extra tijd voor de missie.<br>iii) Gratis modus: rijd gratis in de stadstaxi-sim en geef je vrije tijd om taxitaken rond de stad te doen in een gratis taxi.<br>7) Tanksysteem:<br>Taxisimulator voegt de functie van een Urban taxi-brandstofsysteem toe wanneer u met de auto rijdt, om uw ultieme taxibrandstof te controleren en per ongeluk een offroad-taxi rijdt en uw brandstof bijna op is. taxi simulator beste spel gaf je een waarschuwing voor (LAGE BRANDSTOF) massage. U kunt geld betalen voor uw behoefte aan brandstoftaxi-spellen.<br>8) Offline game: (geen Wi-Fi of internet nodig)<br>Taxi Driving 3D is een offline autorij- en racespel. Je kunt een taxichauffeur 3D-game als een snelle taxichauffeur offline spelen. Deze game is de beste taxisimulator 2. Je hoeft geen Wi-Fi of internet te gebruiken voor het rijden van taxispel 2-missies. U kunt eenvoudig ply en genieten als de beste nieuwe taxichauffeur simulator games.<br>9) Onbeperkte klanten.<br>Als taksi-chauffeur en beste extreme taxi-racer rijden zorgvuldig en vol waarschuwingen, de rijder / klanten geven je wat extra voor exultance autorijden en taxi-rijsimulator gaf je extra XP-punten als taxispellen gratis beloningen<br>Als je een taxi wilt, de beste racegames, dan is deze game het beste voor jou als mijn taxi-app &amp; taxi-simulator Android","€ 10,99 - € 34,99 per item",GAME_ADVENTURE,11787879,10000000,Thu Sep  3 11:33:47 2020,1599116627,PEGI 3,68M,4.1 en hoger,1.2,0 USD,4.198146
2,https://lh3.googleusercontent.com/748DRy0Rf1XsvnveJ7dBveUOoh9kWhKADiPZzsrXpDa5srWFk4llcqXMNhkEQTsjoA,City Coach Bus Simulator 2020 - PvP Free Bus Games,https://play.google.com/store/apps/details?id=com.jimaapps.city.coach.bus.simulator.driving&hl=nl&gl=nl,com.jimaapps.city.coach.bus.simulator.driving,https://play.google.com/store/apps/developer?id=Jima+Apps,Jima Apps,"City Coach Bus Simulator 2020 - PvP Free Bus Games is an interesting, exciting, and addictive tourist transportation bus driving game that will offer you the chance to become a real bus driver! City and highway bus simulator provides realistic maps, incredible vehicles, and high-quality graphics of real bus simulator that will make you feel like driving a real bus! <br><br>Get ready to be a public transporter bus driver many passengers will be waiting for you at bus stations and you have to carry them to their destinations in public transport bus simulator. City Coach Bus Simulator 2020 - PvP Free Bus Games is a free bus simulation so enjoy the amazing attractive environment. Heavy coach bus simulator has challenging missions, so improve your driving skills to make sure to get your passengers on time.<br><br>Features of City Coach Bus Simulator 2020 - PvP Free Bus Games:<br><br>Stunning 3D graphics<br>Smooth and realistic bus controls<br>Realistic Bus sound effects<br>Multiple options to control the coach city bus like tilt, buttons or steering wheel<br>A wonderful collection of buses<br>Detailed interiors<br>Realistic traffic rules<br>Multiple camera views<br>Absolutely free to download and enjoy City Coach Bus Simulator 2020 - PvP Free Bus Games.","€ 10,99 - € 129,99 per item",GAME_ROLE_PLAYING,48777279,10000000,Mon Aug 10 11:37:24 2020,1597043244,PEGI 12,74M,4.4 en hoger,1.1.2,0 USD,4.0680676
3,https://lh3.googleusercontent.com/i8h49gCAaoAEUAceBoNu-F8BVFexm_dJ5LMi7w6yRqmKJppNsv5N9u-_3ocuL3A76oE,Grand Police Transport Truck,https://play.google.com/store/apps/details?id=com.grand.police.transport.truck&hl=nl&gl=nl,com.grand.police.transport.truck,https://play.google.com/store/apps/developer?id=Weewoo,Weewoo,Car driving games are expanding the driving controls of drivers by bringing new editions of police transport games to give them more broader perspectives than one of the best car simulator of the world. Take command and control of US police transporter truck 2020 and act much more than furious car driver 2020 by availing special thrills of crazy car driving challenge to become more than professional type of perfect car driver.<br><br>It is time for you to bring real revolution in the world of driver games by offering practical alternative of vehicle transportation in very costly state of airplane transportation games. You have to meet many vehicle transport challenges of transport driving games by having more detailed experience than cruise ship truck transport in this fast moving world of helicopter games.<br><br>Have the driving seat of powerful transport truck and start fulfilling all transportation needs of real police transporter truck driving game to assist the transport authorities of police transportation games. Make all the thrills and sensations of US police helicopter simulator a matter of past and bring in newly planned highway truck driving simulator to bring all desired changes in the modern world of police transport games 2020. Try your level best to make grand show of all your internal and external driving talents of modern transport games to clear all levels of this transportation game in real style.<br><br>Escort US police transportation truck 2020 in legendary fashion toward its set destinations while carrying out transportation tasks of airplane transporter simulator in persuasive and agreeable manner.<br><br>Enjoy your stay in perfect way by proving your driving controls over tough and impossible tracks of cargo city transport game and show your real focus on your intended vehicle transport challenges of this multi task car driving simulator 2020. Make your name as professional police transporter by leaving all cargo transporters far behind in all areas of transport concerns. Make quick moves like the super fast speeds of city police car transporter plane and move more than simple natured US helicopter car transporter.<br><br>Relish all transportation smacks of this one of the best police transportation game 2020 to lead yourself for upcoming sports car parking simulator and make it known in the world of vehicle transport 2020 that you are above all formal type of truck transport drivers of modern world.<br><br>Grand police transport truck features:<br>• Truck Transport Simulation 3D game.<br>• Modern inventions of US police games.<br>• Powerful car transport truck 2020.<br>• Dynamic controls of truck driving games.<br>• Real training for car transporter games.<br>• Police car transport driver’s real role.<br>• Updated edition of truck transport games.<br>• Car driving game like actual driving experience.<br><br>Become driver of superfast police transporter truck 2020 and perform all vehicle transportation tasks of super transport truck simulator in decent way.,"€ 19,99 - € 99,99 per item",GAME_ADVENTURE,8761654,5000000,Mon Sep 28 17:05:40 2020,1601300140,PEGI 12,Varieert per apparaat,Varieert per apparaat,Varieert per apparaat,0 USD,3.830303
4,https://lh3.googleusercontent.com/UGFswiGgatL9bWuHSrLgiZIUkBB8kRScYNFOk2i91a2nGZjc-X84XCpbPFvRkIMZfD0,moderne busaandrijving 3d parkeren nieuwe spelen,https://play.google.com/store/apps/details?id=com.gzl.drivebus.parking.game&hl=nl&gl=nl,com.gzl.drivebus.parking.game,https://play.google.com/store/apps/dev?id=4665215361516353511,Frolics Free Games,"vergeet niet om de nieuwe busgames te spelen als je echt gepassioneerd bent over het rijden met je eigen bus op echte wegen die zijn gebouwd op een vlakke ondergrond maar een natuurlijk gevoel van rijden bieden.<br><br>echte stadsbus parkeren rijden 🚌<br>de beste moderne busparkeerplaatsen en busritten beginnen gewoon<br>echte stads- en moderne busparkeren is een nieuw tijdperk van busparkeren en rijden met busgames met soepele en realistische busbesturing. in deze busgames krijg je busparkeerarena &amp; rijervaring in uitdagende busparkeerzones. als je iets anders en groter wilt proberen in parkeerspellen, speel dan de moderne busparkeerspellen. echte stadsbusparkeergames zijn speciaal ontworpen voor fans van busparkeergames die de zware uitdaging willen en zich vervelen van eenvoudige parkeer- en busgames. deze snelweg bus drive parkeersimulator vereist de hoogste precisie, dus bereid je voor als een jumbo buschauffeur voor realistisch parkeren en rijervaring in goed ontworpen parkeerspel.<br><br>ga achter het stuur zitten en geniet van de busgames 🚌<br>stadsbus parkeerspellen geven je de kans om op een jumbo toeristische bus door stadsparkeerplaatsen te vervoeren, te parkeren en te cruisen. selecteer uw favoriete lange voertuig en ga achter de stuurwielen zitten, maak uw veiligheidsgordel vast, start de busmotor om de exacte precisie van rijden en parkeren te tonen in een realistische stadsomgeving. je hoofdtaak is om met je gigantische bus op een parkeerplaats te rijden en te parkeren, veel moeilijkheden en zware uitdagingen maken je taak uitdagender. voel de spanning van het stuur op een jumbo maar mooi stuk machine. bereik op uw bestemming zonder enige botsing met obstakels, obstakels en andere geparkeerde voertuigen onderweg. Rij door parkeersporen en vermijd kegels en wegversperringen om bij uw busparkeerplaats te komen. dat alles gecombineerd met een soepele gameplay en verslavende soepele besturing maakt je tot een legende buschauffeur. Als je graag busspellen speelt, hoop ik dat je geniet van deze realistische bus-rijspel.<br><br>verbluffende graphics van consolekwaliteit in busgames<br><br>deze geweldige busgames zijn de nieuwste parkeerspellen die je de kans geven om een ​​parkeerspecialist te worden. speel de beste busgames en verbeter je busvaardigheden. Verbluffende glowbus-parkeerspellen omvatten een intense parkeeromgeving met veel uitdagende moeilijkheden en uitstekende graphics om jezelf te amuseren. deze luxe busparking geeft je de kans om je rij- en parkeeropties te vergroten in een inspirerende omgeving. Als je van simulatiebusgames en racegames houdt, dan zul je dol zijn op moderne bus: Drive Parking 3D-game. klaar om parkeergames te spelen? dus download nu en geniet van het eindeloze rij- en parkeerplezier met busbusrit en word een goede parker. &#39;s werelds beste busgames 2019 met geweldige parkeersporen en de smaak van de beste parkeerspellen. Na het installeren van busgames, doe je veiligheidsgordels om en klaar om te rijden. De tijd-moordende pre-bus spellen hebben verbazingwekkende variëteiten van bus en ultiem plezier voor de parkeerspelenthousiasteling. busgames laten je de ervaring van autorijden en parkeren ervaren. Als je van busgames houdt, dan is deze geavanceerde parkeerbusgame een goede keuze voor jou.<br><br>🚌 toeristische bus parkeersimulator kenmerken:<br><br>🚌 gratis parkeersimulatie met exclusief concept<br>🚌 realistische stadsbusrit en geavanceerde parkeerervaring<br>🚌 zeer flexibele stuurbediening en echte stadsomgeving<br>maar geen harde parkeerplaatsen<br>🚌 veel toeristische gigantische bussen zoals Eurobus-vervoer<br>🚌 geweldige 3D-stadslocatie<br>🚌 veel uitdagende levels met extreme roadtrip<br>🚌 pas cameraposities aan<br><br>Dit klassieke bussimulatorspel is gratis te spelen, maar het bevat items die voor echt geld kunnen worden gekocht en kunnen advertenties van derden bevatten die je naar een site van derden kunnen leiden en achter het stuur kunnen kruipen.<br>als je van parkeersimulator 2019.","€ 0,89 - € 20,99 per item",GAME_RACING,28172631,10000000,Sat Sep 26 09:22:08 2020,1601099528,PEGI 3,46M,4.1 en hoger,2.50,0 USD,4.059029
5,https://lh3.googleusercontent.com/nc1uclFiON9xk_cesjdae9kMykbesoMNZF4UFwm-bkRFXC15_imsDzhfCOwKLglN7eCh,stad bouw simulator: heftruck vrachtauto spel,https://play.google.com/store/apps/details?id=com.impp.construction.simulator.forklift&hl=nl&gl=nl,com.impp.construction.simulator.forklift,https://play.google.com/store/apps/developer?id=Imperial+Arts+Pty+Ltd,Imperial Arts Pty Ltd,"Help de stadsbouwer, door de bouwvrachtwagen te laden, door de vorkheftruck volledig te manoeuvreren en het voertuig naar de bestemming te rijden en help hem ook om de spullen snel te lossen, en ga je naar je volgende taak.<br>Wil een extreme vrachtwagenchauffeur zijn in stadsbouwspellen ... Speel Plezier- en vaardigheidstrailer voor heftruckchauffeurs en parkeerspellen 2017.<br><br>Fantastische en geweldige bouwsimulator 2018 doet het werk in de stad. Heb je ooit geprobeerd om bestuurder van een aanhanger te zijn, een simulator voor het parkeren van een dumper voor vrachtwagens, een simulator voor een vrachtheftruck, zware bouwmachines in je leven? Laten we samen beginnen met het leren parkeren van de extreme truck-rijsimulator 2017. Ga achter het stuur zitten om een ​​grote trailerbestuurder te zijn en ga voor het laden en leveren van ander materiaal met behulp van deze vrachtheftrucksimulator 2018 en andere zware machines voor ontwikkeling in stadsbouwspellen 2018. City rijd voorzichtig met je dumper op de stadssnelwegen omdat je een grote bouwsimulator voor het besturen van een truck voor vrachtwagens in de stad 2017 bestuurt, het is gemakkelijk om veel auto&#39;s te besturen, busbusfietsen op de weg maar voorzichtig rijden tijdens het rijden met extreme vrachtwagens in trailersim 2017 en vermijd ander verkeer. Word expert in het besturen van aanhangwagens en u kunt dumpertrucks in elke situatie gemakkelijk parkeren. Denk je dat je heel slim kunt parkeren? Speel deze bouw stad vrachtwagen rijden spellen om alle vaardigheden te leren. U moet zorgvuldig trailer sim 2017 besturen en op de juiste plek parkeren om ongevallen met noodgevallen met andere fietsen, auto&#39;s en andere voertuigen op de weg te voorkomen.<br><br>In stedenbouwspellen bouwsimulator als trailerbestuurder is het jouw taak om verschillende materialen uit verschillende markten te laden en naar veel winkels in de stad te leveren en de verkeersstroom soepel te houden en intercity te lossen en je extreme mega-voertuig op de juiste plek op de site te parkeren gebied speciale parking voor lifter, dumper. Het is groot gebied voor parkeren, Public Park hun voertuig zoals auto, fietsen, bus; vind uw parkeerplaats die alleen geschikt is voor grote voertuigen zoals kranen, dumpers, lifter en zwaar transport. Een grote bouwkraan is er om te werken voor het laden en lossen van uw dumper op elke locatie in trailersim 2017.<br><br>City construction truck simulator 2018 is het beste platform om te leren en te genieten van extreme truck-driving games 2108 en transport voor het transport van lifter en andere levering, bedien kraan en lifter. Bestuur je ega-voertuig met actieve bedieningselementen zoals stuurwielversnelling en rempedaal. Volg uw richting de gele pijl voor parkeerplaats, neem uw bouwkraan, dumper en stadsvorkheftruck elke bouwsimulator 2 naar de parkeerzone, in stad bouwspellen indian vrachtwagenchauffeur bouwspellen 2018.<br><br>Cargo Truck Parking-games en bouwgames 2017 zijn geweldig om te spelen op mobiele apparaten, je kunt genieten van alle uitdagingen van 3D-parkeerspellen, HD 3D-graphics, geweldig weer, mooie bediening, mooie stadsgebouwen bouwen en leveren, aantrekkelijk geluid zoals echt trailer sim 2017-geluid en realisten fysisch.<br><br>offroad Truck Driver simulaotr 2017 Aanbiedingen:<br>• Real Physics voor stadsconstructiesimulator.<br>Echte rijervaring en actieve bedieningselementen voor de grote stad sim truck, Touch en stuur om soepel te rijden.<br><br>• Verschillende voertuigen:<br>Verschillende rijsimulators, zoals offroad trucks, heftrucks, om te rijden en plezier te hebben van deze heftruckspellen.<br><br>• HD-afbeeldingen<br>High Definition Graphics, realistische omgeving op maat gemaakt voor stadsvorkheftruckspellen en stadskaart om op de beste locaties te rijden.<br><br><br>• Overal spelen:<br>Trailer sim 2017 is gratis om overal op kantoor, thuis, in de metro of in het park te spelen, helemaal gratis, geen internetverbinding vereist en wordt een echte eurolaadwagenchauffeur 2018.","€ 2,99 - € 4,49 per item",GAME_ADVENTURE,41949488,10000000,Tue Sep 29 16:20:55 2020,1601383855,PEGI 3,Varieert per apparaat,4.1 en hoger,3.34,0 USD,3.8400977
6,https://lh3.googleusercontent.com/zvKQ4IArTMB5a2hOQ8HF9vEGckb5zy3i2WVaXbGVC5prUDFDYdpU8mh8tjM8xNt8eLk,Racing in Car 2,https://play.google.com/store/apps/details?id=com.ffgames.racingincar2&hl=nl&gl=nl,com.ffgames.racingincar2,https://play.google.com/store/apps/developer?id=Fast+Free+Games,Fast Free Games,"Ziek van eindeloze racegames met perspectief van een derde persoon? &quot;Racing in Car 2&quot; is misschien de game die je zoekt. Je rijdt je auto in cockpit-weergave door het eindeloze verkeer en de realistische omgeving. Ga zo snel mogelijk, haal verkeerswagens over, verdien munten en koop nieuwe auto&#39;s.<br><br>Kenmerken<br>- Eenvoudig te leren en te rijden<br>- 3D-realistische cockpit-weergave<br>- Eindeloze gamemodus<br>- Verschillende locaties en auto&#39;s<br>- Simulator-achtige bedieningselementen<br><br>Probeer nu &quot;Racing in car&quot; om te zien hoe ver de mobiele race-ervaring tegenwoordig komt.","€ 2,29 - € 10,99 per item",GAME_RACING,196392080,100000000,Tue Jun 23 12:50:27 2020,1592900427,PEGI 3,Varieert per apparaat,Varieert per apparaat,Varieert per apparaat,0 USD,4.006308
7,https://lh3.googleusercontent.com/-IGisWLtLRUktGZyXp86EcQZFnIMpUc3zeKg-4yklB_3N1fn2eVnT0sEi1Xs03UyeMc,Public Transport Simulator - Coach,https://play.google.com/store/apps/details?id=com.skisosoft.coach&hl=nl&gl=nl,com.skisosoft.coach,https://play.google.com/store/apps/dev?id=4734457844217425802,SkisoSoft,"Hey bus drivers.<br>Coach buses need to be driven. People need to be delivered to their destination.  <br>If you are up to the task, jump into a coach bus, all of them are highly customizable  <br>and fully modeled. Pick up people from the terminal and take them to their destination.<br>Doing this earns you money, which you can spend to buy new buses or upgrade and tune your current one.  <br>  <br>Enjoy and have fun.","€ 0,99 - € 6,99 per item",GAME_SIMULATION,29522791,10000000,Sun Feb 23 13:45:01 2020,1582452901,PEGI 3,45M,4.2 en hoger,1.1,0 USD,4.238616
8,https://lh3.googleusercontent.com/zDEqBSreKFZhN99c8xj3LYYxDrOK8AcSDEg-qM9LYFS-SlTWPyZdsgchc-BGR30xnLA,Extreme Car Driving Simulator,https://play.google.com/store/apps/details?id=com.aim.racing&hl=nl&gl=nl,com.aim.racing,https://play.google.com/store/apps/dev?id=7842996855899014066,AxesInMotion Racing,"Extreme Car Driving Simulator is the best car simulator of 2014, thanks to its advanced real physics engine <br>Ever wanted to try a sports car simulator? Now you can drive, drift and feel a racing sports car for free! <br>Be a furious racer on a whole city for you. No need to brake because of traffic or racing other rival vehicles, so you can perform illegal stunt actions and run full speed without the police chasing you!<br><br>Drifting fast and doing burnouts had never been so fun! Burn the asphalt of this open world city!<br><br>GAME FEATURES<br>------------------------------------------<br>NEW: Mini game checkpoint mode.<br>NEW: Drive with traffic !!!!!<br>Full real HUD including revs, gear and speed.<br>ABS, TC and ESP simulation. You can also turn them off!<br>Explore a detailed open world environment.<br>Realistic car damage. Crash your car!<br>Accurate physics.<br>Control your car with a steering wheel, accelerometer or arrows<br>Several different cameras.","€ 0,99 - € 99,99 per item",GAME_RACING,324036183,100000000,Thu Oct  1 10:57:44 2020,1601537264,PEGI 3,53M,4.1 en hoger,4.18.30,0 USD,4.190278
9,https://play-lh.googleusercontent.com/_NajhNZ75NZN_CuQ7O1HMvD9BOPZEX8FmwtQaAC1RqRaAnl8geTYodi02U8hcfbnwMs,Dr. Driving,https://play.google.com/store/apps/details?id=com.ansangha.drdriving&hl=nl&gl=nl,com.ansangha.drdriving,https://play.google.com/store/apps/dev?id=6115615018010073039,SUD Inc.,Verbranden van de straat met de snelste en meest visueel verbluffende editie van de Dr Parking serie.<br>Ondersteuning voor Google Play spel services.<br>Aanmelden met je Google+ account om toegang te krijgen tot online leaderboards en prestaties.<br><br>SUD Inc.,"€ 1,60 - € 8,01 per item",GAME_RACING,397002712,100000000,Mon Sep 14 13:13:02 2020,1600072982,PEGI 12,12M,4.1 en hoger,1.64,0 USD,4.204606
