,img_src,title,link,id,developer_link,developer_name,description,price_inapp,category,num_downloads,num_downloads_approx,published,published_timestamp,pegi,filesize,os,software,price,rating
0,https://lh3.googleusercontent.com/ekqMTRjOBNGI6qkwTl1Vm9qrm4gZ7KsnJprad3RuZNmFGfRAor1QAvFiUXeNXEbHhRQ,Real Bike Racing,https://play.google.com/store/apps/details?id=com.wordsmobile.RealBikeRacing&hl=nl&gl=nl,com.wordsmobile.RealBikeRacing,https://play.google.com/store/apps/developer?id=Italic+Games,Italic Games,"Welcome to the definitive motorcycle racing experience! Real Bike Racing is a must have game for all motor bike riders!<br><br>Start the engine, hit the gas and experience the thrill of handling a 200 HP beast. Go bumper to bumper with elite riders to win the world championship. Now get ready for adrenaline fueled racing action and ride your way to victory in the fastest lane of all!<br><br>Game Features:<br>- Take the wheel of 10+ types of unique superbikes<br>- Fully functioning rear view mirrors<br>- Realistic 3D graphics with dynamic lighting effects<br>- VR mode (virtual reality) which supports Google Cardboard &amp; etc.","€ 1,99 - € 99,99 per item",GAME_RACING,159250799,100000000,Thu May 30 15:36:55 2019,1559214415,PEGI 3,21M,4.0 en hoger,1.0.9,0 USD,4.0545692
1,https://lh3.googleusercontent.com/45etI4KOM_2Isg7IZfi9jn1fNBG6PlXyuONCUUOgrErsiOXCNX6snUVp3KMNXYTcR429,Moto X3M Bike Race Game,https://play.google.com/store/apps/details?id=air.com.aceviral.motox3m&hl=nl&gl=nl,air.com.aceviral.motox3m,https://play.google.com/store/apps/developer?id=Ace+Viral,Ace Viral,"The thrilling much loved flash game explodes on to mobile.<br><br>Moto X3M brings awesome bike racing with beautifully crafted levels straight to your mobile. So grab your motorbike, strap on your helmet and grab some airtime over obstacles and beat the clock on amazing off road circuits.<br><br>FEATURES;<br>- Over 170 challenging stunning levels<br>- Unlockable super cool Bikes<br>- Sick stunts and insane tricks as you flip and wheelie through levels<br>- More high octane levels coming soon<br>- Timed Levels<br>- Checkpoints<br>- User Selected Control scheme<br><br>This moto extreme game brings mayhem to your mobile as you race down hill and rev your engine to hill climb to toughest challenges on your way to success. As you race to become the greatest bike racer ever and beat your friends will you be able to handle the explosions and unique obstacles each level provides or will you crash out?<br><br>Prefer to feel more connected with your device, try selecting the tilt controls in the pause menu.","€ 0,99 - € 19,99 per item",GAME_RACING,53300401,50000000,Fri Aug 14 20:30:57 2020,1597420857,PEGI 3,Varieert per apparaat,4.4 en hoger,Varieert per apparaat,0 USD,4.318294
2,https://lh3.googleusercontent.com/590AflDt-hW2t85Cit_ODJPJdRiMMRn2cSF0vYNfsBpjm895x1zDy0npbD7IlDCvmNvI,Traffic Rider,https://play.google.com/store/apps/details?id=com.skgames.trafficrider&hl=nl&gl=nl,com.skgames.trafficrider,https://play.google.com/store/apps/dev?id=7063637161723821824,Soner Kara,"Een nieuw meesterwerk van de makers van Traffic Racer. Dit keer kruip je achter het stuur van een motor in een game-ervaring met veel meer details, met behoud van de kenmerkende fun en eenvoud.<br><br>Traffic Rider tilt het eindeloze racegenre naar een volledig nieuw niveau door de toevoeging van een volledig carrièrespeltype, eerstepersoonsperspectief, betere graphics en realistische, opgenomen motorgeluiden. De essentie van soepel arcaderacen is er nog steeds, maar dan in het jasje van de nieuwe generatie. Race op je motor op de eindeloze snelwegen. Haal het andere verkeer in, en upgrade en koop nieuwe motoren om de missies in het carrièrespeltype te verslaan.<br><br>Het is tijd om de weg op te gaan op een motor!<br><br>KENMERKEN<br>- Eerstepersoonsperspectief<br>- 29 motoren om uit te kiezen<br>- Echte motorgeluiden, opgenomen van echte motoren<br>- Gedetailleerde omgevingen met dag- en nachtvariaties<br>- Carrièrespeltype met meer dan 70 missies<br>- Online klassementen en 30+ prestaties<br>- Ondersteuning voor 19 talen<br> <br>TIPS<br>- Hoe sneller je rijdt, hoe hoger je score<br>- Als je 100 km/u rijdt, moet je het overige verkeer strak inhalen voor bonusscores en cash<br>- Als je spookrijdt, haal je een hogere score en ontvang je extra cash<br>- Doe wheelies voor een hogere score en cash<br>- Mis de Starter-Kit met 30% korting niet!<br><br>VOLG ONS<br>* http://facebook.com/trafficridergame<br>* http://twitter.com/traffic_rider<br><br>*** Geen timers, geen brandstof ***  Alleen maar eindeloze fun!<br><br>Traffic Rider wordt regelmatig bijgewerkt met je suggesties. Schrijf een recensie met je feedback.","€ 2,29 - € 109,99 per item",GAME_RACING,311022858,100000000,Fri Jul 17 16:55:02 2020,1594988702,PEGI 3,109M,5.0 en hoger,1.70,0 USD,4.3799577
3,https://lh3.googleusercontent.com/B_EE8Uh6aHsjnAsoTHOww3-9ai64qA6iSOcAqxd_AnTezbZ8ZMIqRbZjSIykpCqk6wm1,Bike Race Free - Top Motorcycle Racing Games,https://play.google.com/store/apps/details?id=com.topfreegames.bikeracefreeworld&hl=nl&gl=nl,com.topfreegames.bikeracefreeworld,https://play.google.com/store/apps/developer?id=Top+Free+Games.,Top Free Games.,"Are you looking for Driving Games? Racing Games? Fun Games? You got it right!<br><br>Bike Race is one of the best racing games on Android! Race and have fun <br>against millions of players. <br><br>Bike Race is one of the top-rated free driving games! One of the most fun games ever made! And it&#39;s free! <br><br>Speed up the wheels and get ready for fun! <br><br>Dont ever forget: Thinking of Racing Games or Driving Games, think about Bike Race!","€ 1,09 - € 109,99 per item",GAME_RACING,185985382,100000000,Thu Jul  9 03:49:58 2020,1594250398,PEGI 3,31M,4.2 en hoger,7.9.3,0 USD,4.2793903
4,https://play-lh.googleusercontent.com/pM1IOwE7j21qBgbWwN1ygbq9z7kgYG34dw00efDaF6MfS_x3DhocwBoBzYzhODAd3EU,Bike Racing 3D,https://play.google.com/store/apps/details?id=com.wordmobiles.bikeRacing&hl=nl&gl=nl,com.wordmobiles.bikeRacing,https://play.google.com/store/apps/developer?id=Words+Mobile,Words Mobile,"Bike Racing 3D is the No.1 xtreme BMX game with insane and stunt action! Bury the competition as you drive through a variety of treacherous tracks while enjoying the realistic bike physics and fast-paced gameplay.<br><br>Bike Racing 3D is easy to pick up but hard to master which will keep you in the zone for hours. Race, jump and crash your way and other mad rivals through the amazing frontier tracks as you master the skills and the physics of motocross in this high speed racing adventure. Here is your chance to step up and prove that you are the most intense and competitive biker!<br><br>Game Features:<br>- 60 tracks in Career mode, from easy trials to very technical<br>- Authentic 3D physics and feel good graphics<br>- Select from 5 unique bikes, ride how you want to ride","€ 1,49 - € 74,65 per item",GAME_RACING,133983103,100000000,Fri May 10 17:19:31 2019,1557492571,PEGI 3,16M,4.0 en hoger,2.4,0 USD,4.1432962
5,https://lh3.googleusercontent.com/rEFu1SSZOPNoswkd5YhyPgyMUTOlwsr4o0CIAEK4RMofMJx2MRtbUX2y1xUrVRccpG6X,fiets onmogelijk sporen race: 3D motorfiets stunts,https://play.google.com/store/apps/details?id=com.monstergamesproductions.ramp.moto.rider&hl=nl&gl=nl,com.monstergamesproductions.ramp.moto.rider,https://play.google.com/store/apps/dev?id=7824800856503386487,Monster Games Productions PTY LTD,"Multiplayer, superbike-stunt racen tegen je partner of eender welke vreemde online, kan niet beter worden dan dat. Neem de volledige controle over je motor, controleer de mogelijkheid van de tegemoetkomende stunt of mega-hellingbaan en houd je rivalen in de gaten, terwijl je probeert te fluiten en je voor de ultieme glorie van de motorrijder brengt. Je hoeft niet in ultra-charged modus te zijn, omdat sommige stunts extra ijverig moeten zijn en slim moeten zijn.<br><br>Veel interessante modus afgezien van Multiplayer, zorg ervoor dat je ze allemaal speelt, om alle superfietssloten te ontgrendelen, om een ​​betere kans te hebben tegen deze waanzinnige gekke snelle fietser die aan de andere kant van de wereld op je wacht, in een poging je te onderwijzen een les van het leven. Veel geluk en veel plezier.<br><br>Als je een supersnelle snelheidsvlieger bent en je hebt bijna de positie van gevaarlijk stunt motobike racegames gegeven, dan ben je klaar om de echte rampage nieuwe stunt fiets rally in het midden van de hemel te ervaren zonder grenzen aan snelheid. De fantastische en verbazingwekkende motobike stunts uitdagingen zullen je verbazen. Gekke slimme fietsers en een super vliegende jumper rijden stuntomgeving maken dit spel interessanter. Crazy bike impossible tracks stunts op zigzag trails is een sensatie. Je hebt extreme stunt-fietsvaardigheden nodig om veilig te rijden op lastige, zigzaggende, tracks, verticale en bochtige paden. Je zult het gevoel hebben dat je echt slim fietst voor je leven op echte gekke wolken en mid-air-hoogtes om onmogelijke stunts-racemissies te volbrengen. Het besturen van een echte supermotor bike-stunt kan een uitdaging voor je zijn, je bent een competente speler geweest om alle superstad-onmogelijke missies aan je te voltooien? Ga op je supercrosscross rijder rijden op onmogelijke rijsporen. Deze grandioze onmogelijke stunts motorrijdende rij-game biedt enkele wegtrajecten en supergroeiende hellingen en problemen.<br><br>Het is altijd leuk om stad superheld motorfietsracen te spelen, maar het is belangrijker om de echte moto rijder kampioen fietskampioen te worden en alle niveaus te voltooien in dit superheld moto renners racegame. In superheld mega vertical ramp stunts speed bike rijder driving game zijn er twee modi om te spelen, d.w.z. stuntsmodus binnen tijdslimiet en de gratis racemodus. Beheers je vaardigheden op het gebied van mega-stunt-fietsen, sky-bike-uitdagingen en race tegen de tijd en daag vervolgens andere motorrijders uit.<br><br>Kenmerken:<br>• Verbluffende 3D-realistische grafische afbeeldingen die het best geschikt zijn voor deze verticale motorhellinguitdaging.<br>• Geluidseffecten en achtergrondmuziek voor meer plezier<br>• Uitdagende motorfiets-onmogelijke tracks om verbluffende hoge sprongen en teruggekaatste flips uit te voeren.<br>• Realistische moderne stadsomgeving met onmogelijke tracks<br>• Twee speelmodi, een verticale oprit Racing challenge en mega ramp stunts uitdaging tegen de tijd.","€ 0,69 - € 7,49 per item",GAME_ADVENTURE,21955922,10000000,Sun Apr 19 15:03:09 2020,1587292389,PEGI 3,Varieert per apparaat,4.1 en hoger,2.0.9,0 USD,4.0758405
6,https://play-lh.googleusercontent.com/N0UxhBVUmx8s7y3F7Kqre2AcpXyPDKAp8nHjiPPoOONc_sfugHCYMjBpbUKCMlK_XUs,Hill Climb Racing,https://play.google.com/store/apps/details?id=com.fingersoft.hillclimb&hl=nl&gl=nl,com.fingersoft.hillclimb,https://play.google.com/store/apps/dev?id=7064049075652771302,Fingersoft,"Speel het originele, klassieke Hill Climb Racing! Race de heuvel op in deze op fysica gebaseerde racegame! Speel gratis!<br> <br>Maak kennis met Newton Bill, een jonge en veelbelovende uphill-coureur. Hij staat op het punt op reis te gaan naar plekken waar geen enkele rit ooit nog toe heeft geleid. Van Ragnarok tot een kerncentrale, alle plekken zijn een racecircuit voor Bill. Met weinig respect voor de natuurwetten rust Bill pas als hij de hoogste heuvels op de maan heeft bedwongen! <br> <br>Ga de uitdagingen in unieke heuvelachtige omgevingen aan met heel veel verschillende auto&#39;s. Verdien bonussen voor listige tricks en verzamel munten om je auto te upgraden en nog grotere afstanden af te leggen. Maar pas wel op - Bill is niet meer zo robuust als toen hij jong was! En de tank van zijn oude vertrouwde grafbak is snel leeg.<br> <br>Kenmerken:<br>• ⚡ Offline spelen - Speel wanneer en waar dan ook!<br>• 🚗 Voertuigen - Ontgrendel 29+ voertuigen en kies de beste voor jouw speelstijl<br>• 🔧 Upgrade - Verbeter de motor, ophanging, banden en 4WD van je voertuigen<br>• ⛰️ Rijden - 28+ fases die letterlijk eindeloos zijn<br>• 👍 Geoptimaliseerd - Speelt fijn op apparaten met hoge en lage resolutie<br>• 🛠 Garage - bouw en rij in je droomvoertuig met aangepaste onderdelen!<br> <br>Voertuigen: Hill Climber, motocrossmotor, monstertruck, tractor, hippie auto, eenwieler, quad, toeristenbus, raceauto, politieauto, ambulance, brandweerwagen, sneeuwkat, super terreinwagen en nog veel meer!<br>  <br>Hill Climb Racing is gratis om te spelen, maar er zijn optionele in-app aankopen beschikbaar.<br> <br>Onthoud dat we je feedback altijd lezen en hard werken aan het samenstellen van nieuwe voertuigen, niveaus, onderdelen en natuurlijk het fixen van bugs die je mogelijk tegenkomt. We vinden het dan ook erg fijn als je meldt wat je wel en niet leuk vindt, plus eventuele problemen die je met de game hebt. Stuur een mail naar support@fingersoft.com en vermeld het merk en model van je apparaat.<br> <br> Volg ons:<br>* Facebook: https://www.facebook.com/Fingersoft<br>* Twitter: https://twitter.com/HCR_Official_<br>* Website: https://www.fingersoft.com<br>* Instagram: https://www.instagram.com/hillclimbracing_official<br>* Discord: https://discord.com/invite/fingersoft<br> <br> Gebruiksvoorwaarden: https://fingersoft.com/eula-web/<br> Privacybeleid: https://fingersoft.com/privacy-policy/<br> <br>Hill Climb Racing is een geregistreerd handelsmerk van Fingersoft Ltd. Alle rechten voorbehouden.&quot;<br><br>--- English description ---<br> <br>Face the challenges of unique hill climbing environments with many different cars. Gain bonuses from daring tricks and collect coins to upgrade your car and reach even higher distances. Watch out though - Bill&#39;s stout neck is not what it used to be when he was a kid! And his good old gasoline crematorium will easily run out of fuel.<br> <br> Features:<br> • ⚡ Offline Play - Play whenever &amp; wherever!<br> • 🚗 Vehicles - Unlock 29+ vehicles and choose the best one for your playstyle<br> • 🔧 Upgrade - Improve the engine, suspension, tires &amp; 4WD of your vehicles<br> • ⛰️ Drive - 28+ stages that are literally endless<br> • 👍 Optimized - Plays well on high and low resolution devices<br> • 🛠 Garage mode - build and drive your dream vehicle with custom parts!<br> <br> Vehicles: Hill Climber, motocross bike, monster truck, tractor, hippie van, onewheeler, quad bike, tourist bus, race car, police car, ambulance, fire truck, snow mobile, super offroad, and many more!<br>  <br>Like us at Facebook and stay tuned with all new games and updates: http://www.facebook.com/Fingersoft<br><br>We&#39;d appreciate if you&#39;d report any issues you&#39;re having with the game to support@fingersoft.com, please include your device make and model.<br><br>Hill Climb Racing is a registered trademark of Fingersoft Ltd. All rights reserved.","€ 2,49 - € 117,00 per item",GAME_RACING,704941303,500000000,Fri Aug 28 15:31:48 2020,1598612508,PEGI 3,56M,4.2 en hoger,1.47.1,0 USD,4.323048
7,https://lh3.googleusercontent.com/YoQ5TVKSMpHAztKSPm-tbIulWnkQYXkicotkDwSoaz7kRSs5L6WzPN91LMPwjoS67ytJ,Moto Rider GO: Highway Traffic,https://play.google.com/store/apps/details?id=com.tbegames.and.best_moto_race&hl=nl&gl=nl,com.tbegames.and.best_moto_race,https://play.google.com/store/apps/dev?id=8473203491921584386,T-Bull,"Moto Rider GO: Highway Traffic brings to you one of the most compelling and satisfying traffic dodging experience in the world!<br><br>Features:<br>- Choose from the fastest high-performance motorcycles!<br>- Enjoy extreme 3D visuals!<br>- Prove your skills in hardcore challenges!<br>- Upgrade your speed, breaking level and add extra lives!<br>- Select your favorite motorbike category: chopper, cross or superbike!<br>- Make near traffic misses discovering 4 unique locations: Suburbs, Desert, Snow and Night City<br>- Explore 4 unique locations in 4 different modes!<br>- Ride your motorcycle on a highway, interstate, or the autobahn!<br>- Dominate online leaderboards!<br>- Unlock 23 achievements!<br>- Discover plenty of bike tuning options!<br><br>ENDLESS GAMEPLAY<br>Head out and race as fast as you can to become the best new moto rider in the world! Race the traffic and complete the challenges to get real among the competition. Jump on your racing bike and ride in the endless busy roads and highways! Make near traffic misses discovering 4 unique locations: Suburbs, Desert, Snow and Night City in 4 different modes! Ride your motorcycle on a highway, interstate, or the autobahn. Never forget that riding a motorcycle can be fun, but it can also be dangerous! Roads and highways are full of speeding cars – they can bother you!<br><br>SELECTION OF HIGH-PERFORMANCE MOTORBIKES<br>Have you ever wanted to ride a motorcycle in real life? Great! It&#39;s about time to test your skills and decide on the motorcycle category you would choose – extremely fast superbike, epic chopper motorcycles or modified high-performance versions of off-road motorcycles! Every bike has its own individual extras: total lives, near miss bonus, high-speed bonus or wrong way bonus.<br><br>A TON OF TUNING AND CUSTOMIZATION OPTIONS<br>Go to the garage and select one of the high-performance motorbikes. Tune your vehicle and customize its appearance. Choose your favorite body color and slap on some well-designed decals! Give your rides your own style. Increase your motorbike&#39;s speed, breaking level and add extra lives – these will all have a definite impact on your bike&#39;s performance.<br><br>CLIMB TO THE TOP OF THE LEADERBOARDS<br>Take part in a selection of hardcore challenges and become the fastest moto rider on the streets. Millions of other players will compete for the top rank. Join them and work your way up the weekly leaderboards rankings. Race the traffic and complete the challenges to get real among the competition. Nobody said that traffic driving would be easy - but the prize is well worth it.<br><br>RICH ROAD ENVIRONMENTS<br>GO Moto Rider: Highway Traffic is setting the new standard within traffic racing genre. Enjoy extremely impressive graphics and experience high-octane racing! Discover well-designed and full animated dash and speedometer! It will be fun and compelling, we guarantee!<br><br>Prove your skills as tenacious bike rider! Download Moto Rider GO: Highway Traffic now!<br>Finally available on Google Play for FREE!<br><br>Discover our other games: http://t-bull.com/#games<br>Like us on Facebook: https://facebook.com/tbullgames<br>Follow us on Twitter: https://twitter.com/tbullgames","€ 0,89 - € 44,99 per item",GAME_RACING,108581176,100000000,Mon Aug 31 18:50:57 2020,1598883657,PEGI 3,Varieert per apparaat,4.1 en hoger,1.27.2,0 USD,4.297892
8,https://lh3.googleusercontent.com/pK-5TELK5bvbRhLfU6HFqxiaYypPJOWd4Qxy-MDe1JCSQZ29dKsrzpWnImqE9Lqruw,Racing Fever: Moto,https://play.google.com/store/apps/details?id=mobi.gameguru.racingfevermoto&hl=nl&gl=nl,mobi.gameguru.racingfevermoto,https://play.google.com/store/apps/dev?id=4972816319461272638,Gameguru,"De makers van Racing Fever brengen een gloednieuwe motorrace-ervaring uit!<br><br>In dit spel hebben we alle adrenaline, fun en opwinding samengebracht die een bandenset jou kan brengen. De geweldige race-ervaring en adembenemende graphics zullen ervoor zorgen dat je je telefoon niet meer kunt neerleggen.<br><br>4 verschillende camerastandpunten<br>Voor een realistischere ervaring kan je spelen vanuit het gezichtspunt van je piloot, of je kan meer controle over de race krijgen door gebruik te maken van verschillende camerastandpunten.<br><br>Realistisch gemodelleerde motorfietsen<br>We hebben 16 verschillende motorfietsen tot in de kleinste details voor jou gemodelleerd. Maak je keuze, verbeter het prestatievermogen, pas het ontwerp aan en start met racen.<br><br>Een raceavontuur met 4 verschillende bendeleiders en tientallen levels<br>4 verschillende regio&#39;s en 4 meedogenloze bendeleiders! Tientallen verschillende racetypes in verschillende seizoenen en in een geweldige atmosfeer staan jou te wachten. Versla alle 4 de leiders om te bewijzen dat jij de beste racer bent!<br><br>4 verschillende controleopties<br>We weten dat er geen twee racers hetzelfde zijn! We hebben een controleoptie toegevoegd om jullie allemaal tevreden te stellen. Controleer je motor door je telefoon te kantelen of door het scherm aan te raken. Je hebt geen enkel excuus om de race niet te winnen!<br><br>Ondersteuning in 23 verschillende talen<br>Wees gerust, we begrijpen en spreken dezelfde taal als jij!<br><br>Ontsnapmodus<br>In dit spel werden snelheidslimieten ingevoerd om gebroken te worden! Vergeet niet dat wanneer je voor de politie op de vlucht bent, enkel jij en je motor nog tellen!<br><br>Dagelijkse bonusmodus<br>We zijn niet vergeten om een modus toe te voegen waarin je dagelijks kunt racen om waardevolle geschenken te winnen!<br><br>Privémodus<br>Je hebt de mogelijkheid om het tijdstip, weersomstandigheden, verkeersdichtheid, snelheid en stroom, en zelfs het aantal politieagenten in te stellen! Jij bepaalt de regels, jij wint de race!<br><br>Vergeet niet om contact met ons op te nemen voor je feedback en suggesties!","€ 0,99 - € 119,99 per item",GAME_RACING,74835597,50000000,Mon Mar 16 18:49:52 2020,1584371992,PEGI 3,110M,4.4 en hoger,v1.72.0,0 USD,4.2200413
9,https://lh3.googleusercontent.com/wl5IkN3PL65QYojj7wLTVyK7LyKNgxUsSix0ot7DftGz_3xNeAkF4Ve55RdlT8wfKnuZ,Hill Climb Racing 2,https://play.google.com/store/apps/details?id=com.fingersoft.hcr2&hl=nl&gl=nl,com.fingersoft.hcr2,https://play.google.com/store/apps/dev?id=7064049075652771302,Fingersoft,"From the Creators of the Original Hill Climb Racing Comes Hill Climb Racing 2! It&#39;s Bigger, It&#39;s Better And It&#39;s Much Much Funner!? Play one of the most downloaded racing games!<br><br>Hill Climb Racing 2 is a free to play racing game with both online multiplayer races and an offline adventure driving mode.<br><br>• 🏆 <b>EVENTS</b> - Compete and Win in Weekly Online Multiplayer Events!<br>• 🚗 <b>UNLOCK</b> - Unlock Cars, Bikes and Trucks and Choose the Best One for Your Driving Style!<br>• 🔧 <b>UPGRADE</b> - Top the Performance of the Cars You Compete With!<br>• 🔧 <b>TUNE</b> - Choose &amp; Upgrade 14+ Unique Tuning Parts!<br>• 🎩 <b>CUSTOMIZE</b> - Create Cool Characters and Drive Awesome Cars!<br>• 🏁 <b>RACE</b> - Drive in Hundreds of Levels!<br>• 👨‍👩‍👦‍👦 <b>TEAM UP!</b> - Form the Ultimate Multiplayer Racing Team with your Friends!<br>• 💗 <b>SOCIAL</b> - Challenge Your Friends Online and Top Their Records!<br>• 🕹 <b>ARCADE FUN</b> - Perform Stunts, Flips &amp; Wheelies or Crash trying!<br>• 🏆 <b>COMPETE</b> - Climb the Online Multiplayer Leaderboards, Win Races and Be the Best!<br><br>Kill Time Driving in one of the best racing games available!  With Awesome Bikes, Cars, Motorcycles, Trucks and other great vehicles to drive both online and offline with!<br><br>Remember that we&#39;re always reading your feedback and are hard at work creating new original content: new cars, bikes, cups, levels and features. If you find a bug or have a crash let us know so we can fix it. We really appreciate if you&#39;d report what you like or dislike and any issues you may have with the game to support@fingersoft.com, please include your device make and model.<br><br>Follow Us: 🔍<br>* Facebook: https://www.facebook.com/Fingersoft<br>* Twitter: https://twitter.com/HCR_Official_<br>* Website: https://www.fingersoft.com<br>* Instagram: https://www.instagram.com/hillclimbracing_official<br>* Discord: https://discord.com/invite/fingersoft<br><br>Terms of Use: https://fingersoft.com/eula-web/<br>Privacy Policy: https://fingersoft.com/privacy-policy/<br><br>Hill Climb Racing™️ is a registered trademark of Fingersoft Ltd. All rights reserved.","€ 0,59 - € 99,99 per item",GAME_RACING,201882804,100000000,Thu Sep 24 14:17:33 2020,1600944453,PEGI 3,135M,4.2 en hoger,1.39.0,0 USD,4.369209
