,0
0,org.brilliant.android
1,com.mojang.minecraftedu
2,org.khanacademy.android
3,nl.plus.buitenapp
4,org.edx.mobile
5,com.seasector.emotionalintelligence
6,org.khankids.android
7,com.babbel.mobile.android.en
8,com.rvappstudios.abc.spelling.toddler.spell.phonics
9,com.application.xeropan
10,com.nomadeducation.nomadeducation
11,com.mobiteach.french
12,tinytap.kids.learning.games
13,com.abaenglish.videoclass
14,com.rvappstudios.abc_kids_toddler_tracing_phonics
15,com.nithra.bestenglishgrammar
16,com.kids.educational.games
17,com.eruditoplus.acad.funnyfood
18,net.learnmatch.app
19,com.edplus.times.tables
20,com.getepic.Epic
21,gecko.droid.mathematicshelper
22,com.innovativelanguage.innovativelanguage101
23,com.lescapadou.tracingfree
24,com.tgc.greatcoursesplus
25,com.kidsappbox.kidslearninggame
26,com.nomadeducation.cahiersdevacances
27,com.yanka.mc
28,com.vitotechnology.SolarWalk2Edu
29,com.motim.goldwell
30,com.artsolution.alphabetforkids
31,com.Store.ReaderPro
32,air.com.starfall.ltr
33,com.lego.education.spike
34,com.jvm.solidus.menus
35,air.mobi.kidsacademy.gp.container5.free
36,educational.games.kids.children
37,com.wes.app
38,com.ulesson
39,com.normex.visualreadingenginapp
40,com.eflasoft.fraengfree
41,com.faddutechnology.android.kidspreschool
42,com.rvappstudios.math.kids.counting
43,com.gloding.android.KanjiDrill2
44,com.praadis.education
45,com.google.android.apps.cultural
46,com.bts.xplorabox
47,com.newline.IEN
48,com.scoralmedia.preschoollearning
49,com.examfear.app
50,education.glose.android
51,com.praadis.kidslearningapp
52,com.medical.medlearntest
53,in.gov.epathshala
54,com.nayemuzzaman.education.learning
55,com.macmillaneducation.student
56,com.google.android.apps.classroom
57,air.com.starfall.more
58,com.orenda.taimo.myapplication
59,com.ip.ziiei
60,com.Extramarks.Smartstudy
61,com.oksedu.marksharks.cbse.g10
62,sg.com.blueorange.superstarteacher
63,enetviet.corp.qi.enetvietnew
64,com.listeneng.sp
65,com.deepakkumar.PunjabEducare
66,gh.sammie.ghsyllabusapp
67,com.edurev.fullcircle
68,com.tejMa.mypreparation
69,de.lecturio.android.LecturioMed
70,com.pilgrim.education
71,com.vynguyen.english.grammar.in.use.test.ultimate.englishgrammar
72,com.easyeducation.learner
73,com.study.app
74,co.davos.smea
75,com.medical.medlearnapp
76,com.educationwalkthrough
77,com.gloding.android.KanjiDrill1
78,com.studygurueducation.elearning
79,com.yanka.mc.tv.prod.android
80,com.sunshineeducation
81,com.lmg.education.learning.math.scary.School
82,com.ies.educationAgents
83,com.edusafar
84,com.adventist.jae
85,com.in30days.ima
86,com.edugorilla.ppscpre
87,com.gkbceducation.gkbceducation
88,me.entri.entrime
89,co.april2019.na
90,comm.comquas.elibrary
91,com.appsreinvented.globalstudieseducation
92,com.fotonvr.app
93,com.bosch.mydesiredjourney
94,com.vm.kidslearning.kids.KidsEducationApp_LearnngApp
