,0
0,bitpit.launcher
1,org.kustom.widget
2,fr.thema.wear.watch.compax
3,com.arrow.wallpapers.wallipop
4,com.transsion.XOSLauncher
5,com.linpus.launcher
6,com.apusapps.emo_launcher
7,com.phone.launcher.android
8,com.osheden.caya
9,com.osheden.sinfonia
10,com.luzapplications.alessio.calloop
11,com.backdrops.wallpapers
12,com.xander.android.notifybuddy
13,com.treydev.pns
14,com.wave.livewallpaper
15,com.vinwap.parallaxwallpaper
16,dcmobile.thinkyeah.launcher
17,com.apusapps.theme.i_wonderful_night_626dfc922f
18,com.tct.simplelauncher
19,com.whicons.iconpack
20,com.tomer.alwayson
21,com.treydev.volume
22,com.colorphone.callcolor.app.phone.smooth.dialer.call.colorcall.flash.screen
23,com.hippotech.materialislands
24,com.treydev.ons
25,com.gau.go.launcherex.s
26,com.shanga.walli
27,com.cma.launcher.lite
28,com.greatbytes.activenotifications
29,com.apusapps.theme.i_nana_f6053d9850
30,com.diylocker.lock
31,com.mi.android.go.globallauncher
32,com.gau.go.launcherex
33,com.tombayley.bottomquicksettings
34,com.asus.livewallpaper.asusmywater2
35,co.madseven.launcher
36,com.launcher.os.launcher
37,com.model.s10.launcher
38,com.ikeyboard.theme.shining_diamond
39,com.jb.gosms.aemoji
40,com.color.call.screen.color.phone.themes
41,ginlemon.iconpackstudio
42,com.apusapps.launcher.pro
43,com.ss.squarehome2
44,com.luzapplications.alessio.walloopbeta
45,com.finalinterface
46,ginlemon.flowerfree
47,apptech.arc
48,website.leifs.delta
49,com.fb.fluid
50,com.sharpregion.tapet
51,slide.watchFrenzy
52,com.used.aoe
53,io.hexman.xiconchanger
54,com.sparkine.muvizedge
55,com.newgen.trueamps
56,com.citc.asap
57,com.gamelounge.chroomakeyboard
58,com.asus.themeapp
59,com.levelup.beautifulwidgets
60,ginlemon.locker.bottombar.free
61,com.strong.edgelighting10
62,com.edgescreen.edgeaction
63,com.tcl.android.launcher
64,com.ss.launcher2
65,prox.lab.calclock
66,com.osmino.launcher
67,com.helectronsoft.free.live.wallpaper.parallax.background
68,mobi.appplus.hilocker
69,com.feresr.walpy
70,hd.uhd.amoled.wallpapers.best.quality
71,dcmobile.thinkyeah.callershow
72,com.lwsipl.visionarylauncher
73,org.kustom.wallpaper
74,com.tombayley.miui
75,com.flash.sms.app
76,com.maxelus.icegalaxylivewallpaper
77,com.teslacoilsw.launcher
78,com.solid.color.wallpaper.hd.image.background
79,com.gau.go.launcherex.theme.newlauncher2017
80,launcher.d3d.launcher
81,com.sonyericsson.digitalclockwidget2
82,net.xblacky.wallx
83,com.syntellia.fleksy.keyboard
84,com.campmobile.locker
85,projekt.launcher
86,com.google.android.apps.wallpaper
87,com.mi.android.globallauncher
88,you.in.spark.energy.ring
89,com.webgenie.ioslauncher
90,com.digitalcosmos.shimeji
91,com.transsion.hilauncher
92,me.craftsapp.nlauncher
93,com.stresscodes.wallp
94,indian.plusone.phone.launcher
95,ohi.andre.consolelauncher
96,amirz.shade
97,com.victorygroup.launcher
98,com.microsoft.launcher
99,com.apalon.ringtones
100,com.treydev.micontrolcenter
101,com.tombayley.volumepanel
102,com.excel.apps.galaxy.launcher
103,launcher.pie.launcher
104,is.shortcut
105,com.anddoes.launcher
106,com.latininput.keyboard
107,com.bolo.callertheme
108,ch.deletescape.lawnchair.plah
109,com.androholic.amoledpix
110,com.androholic.dopewalls
111,com.phone.launcher.lite
