,0
0,com.inditex.zara
1,com.alibaba.aliexpresshd
2,com.asos.app
3,de.zalando.mobile
4,com.inditex.ecommerce.bershka
5,com.hm.goe
6,com.amazon.mShop.android.shopping
7,com.zzkko
8,com.nike.snkrs
9,de.aboutyou.mobile.app
10,com.wholee
11,com.contextlogic.wish
12,com.riverisland.android
13,com.tigerspike.newlook
14,com.nike.omega
15,com.hunkemoller
16,com.cocoplay.shoppinggirl
17,com.ocito.laredoute
18,com.contextlogic.geek
19,com.poqstudio.app.platform.plt
20,com.lazada.android
21,com.myklarnamobile
22,com.boozt
23,com.noon.buyerapp
24,com.zaful
25,com.ingka.ikea.app
26,com.depop
27,com.flipkart.android
28,com.geeko.ivrose
29,com.romwe
30,com.rarewire.forever21
31,de.zalando.lounge
32,shopping.app14
33,com.kikuu
34,com.jollycorp.jollychic
35,com.saramart.android
36,com.kwalee.crazyshopping
37,ch.publisheria.bring
38,com.zilingo.users
39,de.dm.meindm.android
40,com.sinyee.babybus.shopping
41,se.prisjakt.pricespy
42,com.iciparisxl.app
43,com.buymeapie.bmap
44,de.markusliebschner.thatlist
45,com.sivvi.app
46,de.idealo.android
47,fi.android.takealot
48,com.strawberrynetNew.android
49,com.globalegrow.app.gearbest
50,com.lasoo.android.target
51,com.showpo.showpo
52,com.shpock.android
53,com.geekbuy.geekbuying
54,citruss.android
55,com.theiconic.android
56,de.mybestbrands
57,com.ocado.mobile.android
58,de.onlineshop.seventyseven.android
59,com.shangxin.ajmall
60,com.yesstyle.android
61,com.aladdin.com.aladdin
62,com.milanoo.store
63,com.myntra.android
64,com.cocoplay.black.friday
65,com.globalegrow.app.dresslily
66,ladenzeile.android
67,com.vega_c.dokodemo
68,de.limango.shop
69,www.ourshopee.com
70,ch.deindeal.android
71,com.fingogroup.fingo
72,org.openintents.shopping
73,net.giosis.shopping.sg
74,blibli.mobile.commerce
75,de.ernstings
76,jd.cdyjy.overseas.market.indonesia
77,com.cepbasket.android
78,com.playwithgames.ShoppingMall3
79,com.kul.app
80,com.amour.chicme
81,com.panagola.app.shopcalc
82,com.daraz.android
83,com.rosegal
84,it.trovaprezzi.android
85,com.lulu.commerce
86,com.apparel.app6thstreet
87,club.fromfactory
88,com.vervolph.shopping
89,com.automizely.shopping
90,com.sendo
91,com.luisaviaroma.luisaviaromaapp_android
92,com.mogalcop.ts.addit
93,com.fsn.nds
94,com.chlat.mbuy.app
95,com.modanisa
96,com.playwithgames.ExpoParking
97,com.jingdong.th.app
98,bulbul.tv.customer
99,com.mirraw.android
100,com.tlz.tbdress
101,com.kittoboy.shoppingmemo
102,com.namshi.android
103,com.modacruz2
104,com.paytmmall
105,com.tophatter
106,com.pinteng.lovelywholesale
107,com.dubaistore.app
108,com.bonusway.bonusway
109,com.yzl.baozi
110,com.daigou.sg
111,com.shop.android
112,com.zalora.android
113,com.snapdeal.main
114,com.shopclues
115,com.iplus.tops
116,com.fsn.nykaa
117,com.app.pepperfry
118,com.aswat.carrefouruae
119,com.shopping.limeroad
120,asuk.com.android.app
121,mn.xenon.shoppy
122,com.myus.shoppingapp
123,cam.gadanie.hiromant
124,shopping.app.offer.deals.us.shopping
125,com.ubuy
126,mobilapp.opencart.doduae
127,com.bmretail.bmstores
128,com.superbalist.android
129,com.zando.android.app
130,com.mtelnet.watson.ph
131,au.com.openshop.asn_android
132,si.tus.tus
133,com.ilotte.mc.ilotte
134,com.shangxin.chicy
135,com.foroo.application
136,com.onlineuae.shopping
137,com.ontime.android.app
138,com.allinoneshop.app
139,uk.co.payar.android.toodlepilot
140,com.faballey
141,com.mykirana
142,com.allinoneshoppingapp.amazon
143,lovely.wholesale.clothingshoppingfashionapp
144,com.mirraw.android.sarees
145,com.aisi.khmi
146,com.acjmall
147,com.onlineksa.shopping
148,shopping.app13
149,com.shopmyar.shopmyarmobileapp
150,online.turkey.shopping
151,io.kodular.eshopingapk.Easyshop
152,com.allinone.shopping.uc.browser.hgate.ali.express.us.shoppingapp
153,com.allinone.onlineshoppingapp
154,com.allinoneshoppingapp.indiaonlineshopping
155,com.shoppr.allinoneshoppingapp
156,com.women.onlineshopping
157,com.kudrat.all.in.one.shopping.app
158,shoppersstop.shoppersstop
159,com.sms.grocery.shopping.mall.games.girls
160,online.malaysia.shopping
161,com.onlineshoppingindonesia.indonesiashopping
162,com.myshopprime.jewellery.shoppingapp
163,ma.safe.shopping
164,com.islamicshop
165,com.allinoneshopping.hk
166,com.thebestinindia.womenshopping
167,com.compare.onlineshopping
168,com.unity.venture.shopur
169,com.koovs.fashion
170,com.appinfo.westzonefresh
171,com.altayer.gap
172,com.beansprites.grocerystoregirlUSA
173,com.inventorinc.allinoneshopping
174,com.zegobird.shop
175,com.ssr.techno.onlineusa
176,in.allbest.allinoneshoppingapp
177,com.onlineshoppingnetherlands.netherlandsshopping
178,shopping.app63
179,ipftech.wafiapps
180,in.uknow.onlineshopping
181,com.inforises.allinoneshoppingplace
182,com.crazysales.crazysalesandroid
183,com.app.solutions.onlineshopping
184,com.app.myshopprimeshopathome
185,com.sarasmart.sarasmartapp
186,com.mvpapps.n3l
187,id.co.elevenia
188,com.onlineshoppinggermany.germanyshopping
189,net.fashiondollinc.android_wintershopping
190,furniture.online.shopping
191,com.uniquebajaar.uniquebajaar
192,touch.vatgia.com
193,com.onlineshopping.thailandshopping
194,app.izapy.com.br
195,com.Free_Online_Shopping_App.Australia
196,com.onlineshoppingsrilanka.srilankashopping
197,com.kidstore.onlineshopping
198,shopping.allshopping.india.allinone
199,com.mrvoonik.android
200,indian.online.shopping.app.allinone
201,io.makeroid.bsdeora55520.usa
202,womens.cheap.clothes
203,com.alimede.easyshopping
204,com.kajalkurti.android
205,in.esla.onlineshopper
206,com.onlineshopping.germanyshopping
207,com.udyojika.udyojika
208,shopping.app102
209,com.onlineshopping.IndonesiaShopping
210,computer.office
211,com.lejel.lejelhomeshopping
212,com.eduhome.grocery
213,cheap.makeup.brands
214,com.cpg.shopping.mall.cashier.cash.register.games
215,io.makeroid.b_mahalder.turbo_shopping_pro_Final
216,com.online.shoppinguk
217,com.mirraw.necklace.online.shopping
218,com.korchix.chineoapp
219,shopping.app29
220,io.kodular.arvindchoupal1999.Tsn
221,co.go.fynd
222,amazon.europe.europashoppingapp
223,com.mirraw.android.kurtis
224,cheap.home.garden.products
225,com.APPATRIX.market.black.store.sim
226,com.all_in.one.shopping
227,com.digitalgene.supermarket
228,in.allbest.allinoneshoppingbest
229,com.girls.fashion.entertainment.Girls.Shopping.Mall.Fun.Day.Fashion.Adventure
230,superprice.com.superprice
231,com.menshoesshoppingapps
232,bags.women.men.for.cheap
233,com.onlineshoppingkorea.koreashopping
234,shoe.onlineshopping
235,com.malaysiashopping.onlineshoppingmalaysiaapp
236,com.topshop.shopping
237,in.esla.onlineshoppinguk
238,kids.onlineshopping
239,com.onlineshoppingturkey.turkeyshopping
240,weconnectyoulb.dotapp
241,com.FurnitureOnlineShopping
242,com.uae.shopping.app
243,jewelry.bijouterie.cheap
244,com.salwarsuitshopping
245,it.ovs.mobile
246,air.liliDressUpGames.PrincessFashionMallShooping
247,com.HomeDecorShopping
248,app.shopguru
