,0
0,com.direwolfdigital.Phoenix
1,net.sharewire.alphacomm
2,com.papps.spidersolitaire
3,com.Nightingale.Solitaire.Card.Games.Free
4,com.BS_Pias.twentynine
5,vaeapp.gamecard.vn
6,com.cygames.Shadowverse
7,com.lemongame.freecell.solitaire
8,com.bushiroad.en.vgzero
9,com.sngict.Hearts
10,com.games.card.ginrummy
11,com.mobilityware.freecell
12,com.mu77.cm
13,com.spades.card.game
14,com.callbridge.cardgame.darkfuture
15,com.rikkigames.solsuite
16,com.lemongame.klondike.solitaire
17,net.peakgames.mobile.spades.android
18,com.unrealgame.callbreakplus
19,me.dream.lophisroguelike
20,com.mobilityware.Spades
21,com.g2a.marketplace
22,io.yarsa.games.cardgame
23,com.strict.mkenin.agf.cardgames
24,io.cardgame.callbreak
25,com.bandoy.tongitsXtreme
26,ekim.cart.gamecardsvn
27,com.artoon.ginrummyoffline
28,com.mobilityware.solitaire
29,com.bombayplay.TwentyNine
30,com.redkoda.chinesepokermultiplayernew
31,ru.thousandcardgame.android
32,com.phase.ten.four
33,com.epiccardgame.epicapp
34,com.ulkagames.hazarigold
35,com.votman.game.eextreme
36,com.card.game.solitaire.brookmountainview
37,com.eastudios.tongits
38,com.leocool.duelheroes.googleplay
39,com.blueyellowstudios.dogsmemoryfree2
40,com.wulven.shadowera
41,com.wb.goog.ellen.psych
42,com.sngict.rummy.gin
43,com.litegames.rummy_free__aat_google
44,com.nyouinc.monstercryeternal
45,com.ChocoLikeGames.dino.memory.games.matching.game.card.puzzle.dinosaur
46,com.wb.headsup
47,com.cherrylee.tienlen_multiplatformnz
48,com.me2zen.tripeaks
49,freecell.solitaire.free.cardgame.king.spades.klondike.no.ads.pro.patience
50,com.Everguild.Drakenlords
51,com.Gamecard.Durak
52,com.kongregate.mobile.throwdown.google
53,it.sharklab.rogueadventure
54,com.ChocoLikeGames.princess.memory.games.matching.game.card.puzzle.queen.girl
55,com.king.pyramidsolitairesaga
56,solitaire.card.games.free.solitales
57,com.gamepoint.cardparty
58,com.richergame.dummyth
59,com.cdprojektred.gwent
60,com.elephant.card13
61,jp.konami.duellinks
62,com.skytecgames.cardsheroes
63,com.bandai.zzarden
64,spider.solitaire.card.games.free.no.ads.klondike.solitare.patience.king
65,com.mobilityware.spider
66,com.onecwireless.mahjongvillage.google.free
67,com.betterforsol.solitaire.card.games.free
68,com.sngict.spades
69,com.votman.game.threetowersevo
70,solitaire.tripeaks.fun.free.card.games.journey.farm.harvest.patience
71,com.mobilityware.CastleSolitaire
72,com.luckystargame.funbigtwo
73,net.peakgames.ginrummyplus
74,com.bombayplay.CardCrack
75,manastone.game.CardSam.Google
76,com.zynga.livepoker
77,solitaire.tripeaks.farm.free.card.games.grand.harvest.garden
78,com.mobirix.mahjongking
79,com.solitaire.kingdom
80,com.AnantarupaStudios.ChokiChokiARBoboiboy
81,com.noxplay.card.crushers.ccg
82,com.flying.car.robot.transformation.extreme.car.driving.games
83,com.spacegame.solitaire.basic
84,beetles.puzzle.solitaire
85,com.agedstudio.card.solitaire.klondike
86,com.hutchgames.cccg
87,com.walex.gamecard.coinche
88,com.matteljv.uno
89,com.noxgames.shadow.deck.card.ccg
90,com.twopersonstudio.games.bigbigbig2
91,com.gameloft.android.ANMP.GloftBTHM
92,com.bruyere.android.solitaire
93,com.ankama.krosmaga
94,com.kongregate.mobile.stormbound.google
95,com.igg.bzbee.deckheroes
96,com.karmangames.spider
97,com.twentynine.cardgame29.free
98,com.meepletouch.jaipur
99,com.ballytechnologies.f88
100,com.ztgame.yyzy
101,com.bitmango.go.blockpuzzlejewelhexamaster
102,com.mustardgames.topspeed.formulacar.racinggames
103,com.LoopGames.Solitaire
104,com.absolute.bingo
105,com.west.tw
106,com.noxgames.battle.car.tycoon
107,onext.boombox
108,com.blizzard.wtcg.hearthstone
109,com.cardgame.solitaire
110,com.zlevelapps.cardgame29
111,draughts.checkers.Gamecard
112,com.jokergame.joker
113,com.smilerlee.klondike
114,mbs.diamond.capsasusun
115,com.cardgame.solitaire.fishdom
116,com.teenpatti.hd.gold
117,com.ulkagames.callbridge
118,com.riotgames.legendsofruneterra
119,bubbles.aura
120,com.sng.gin.online
121,com.jxqygames.solitairetownship
122,solitaire.klondike.patience.spider.freecell.card.free.daily
123,solitaire.spider.freecell.card
124,solitaire.card.games.klondike.solitaire.classic.free
125,air.bg.lan.Monopoli
126,solitaire.card.games.free.klondike.solitaire.classic.fun
127,ru.dobroazbyka.cslotzo
128,com.happysky.spider
129,com.playfusion.lightseekers_digital_tcg
130,com.tbegames.and.poker_games_texas
131,com.tesseractmobile.ginrummy
132,app.poster.maker.postermaker.flyer.designer
133,com.sozeray.yirmibir
134,com.interbolt.impossible.limo.gt.car.stunts
135,com.CasualArena.Brisca
136,com.runningpillow.CL
137,com.winrgames.solitaire
138,com.harpan.freecellGooglePlay
139,com.germanicus.cmioo
140,uk.co.aifactory.spadesfree
141,com.solitaire.klondike.smart
142,com.js.callbreak
143,com.solitaire.daily.challenge.card.game
144,com.unu.friends.card.games
145,com.razmobi.animalcars
146,com.launcher.theme3d.t600002396
147,com.tongitsgo.play
148,com.interbolt.police.prado.ramp.car.stunt.impossibletracks
149,com.bigshark.solitaire.adventure.free
150,com.sngict.gin.rummy
151,io.teslatech.callbreak
152,com.octro.teenpatti
153,br.pipacombate.maiworm
154,com.seaworldgame.klondike.solitaire
155,com.callbreak.hippo
156,com.devbuz.drone.games.robot.games.car.games
157,com.cherrylee.tienlen_multiplatform
158,com.gp.impossible.ramp.car.stunt.tracks
159,com.ginrummyonline
160,com.startselect.app
161,com.ghive.jeep.parking.car.free.game.master.apps
162,com.zams.police.parking.car.games
163,gsn.game.pusoy1
164,com.andrewleeapps.gamebacklogapp
165,com.blacklight.callbreak
166,com.zarzilla.GinRummy
167,com.intentsoftware.crazyeights.lite
168,com.binarypumpkin.bingo.valentines
169,com.redkoda.chinesepoker3
170,com.zhijian.texas3
171,it.jannax.game.solitaire.pro
172,in.androidmate.never_have_i_ever
173,ar.com.golfguide.golfguidescorecard
174,com.vnpay.bidv
175,com.shghn.sg275
176,com.palfonsoft.match4app
177,com.binarypumpkin.bingo.tartan
178,com.bplus
179,com.crowncapp.cardmatchinggame
180,com.binarypumpkin.bingo.usa
181,com.litegames.canasta
182,org.callbreak.callbreakOnline
183,com.octro.sweep
184,com.binarypumpkin.bingo.halloween
185,com.hamropatro.cards
186,ir.sinsin.IranianCharBarg
187,com.redkoda.chinesepokertw
188,com.lapkan.casualcartoongamecard
189,crazy.utter.pati.card.shuffle.game.studios
190,cards.game.solitaire.spider
191,gardiazabal.smltown
192,com.zeeron.callbreak
193,vae.vnsupermark.com
194,com.unrealgame.bhabhi
195,com.gamexstorm.fruitsplitmaster
196,it.panini.panadit
197,com.VBEINC.THEGATEWAY
198,gamecard.mobile.khothegameonline
199,com.tonielro.mygdxgame
200,com.madrashot.hazari
201,kobadroid.game.card.lite
202,com.giantixstudios.canfieldsolitaire
203,com.bhoos.marriage
204,ru.inplayroom.egypt
205,ugen.co.za.cg304
206,net.omobio.smartsc
207,com.walex.gamecard.coinchelite
208,sapan.marriagedroid
209,com.gsoftteam.heartsmobile
210,com.darthsith.scopa
211,com.cthyoyo.zjh
212,com.gdv.uno
213,com.bigplayblitz
214,ar.com.golfguide.club_361
215,com.upmyway.solitaire
216,com.darthsith.scopafree
217,air.com.socialplay.globalsolitaire
218,qinz.spider.freecell.pyramid.solitaire
219,com.hm.game.solitaire
220,com.moant.bestfisher
221,com.kaouch.goldenmahjong
222,com.artoon.mindioffline
223,com.binarypumpkin.bingo.easter
224,com.shuja.shooting.game
225,com.gamehivestudios.crazy.car.jump.stunt.shoot
226,com.emagssob.tongits
227,com.BaBoUSoulChild.NIMO
228,com.ironhead.spades
229,com.bab.retailUAT
230,com.applabs.teendopaanch
231,com.ionicframework.openscore787914
232,com.freemium.android.apps.mlb.scores.standings.schedule
233,app.solitaire.freecell
234,com.vg.airportpilot.car.transporter.plane
235,com.bab.corp
236,gsn.game.zingplaysingapure
237,com.tencardgame.ten
238,com.kylepastor.justcards
239,com.ps.sapp
240,com.game4u.phonicsphi
241,com.lakdi.callbreakmultiplayer
242,com.hermantseproduction.htbingo
243,un.shh.pokedex
244,com.bigeyes.gameofcards
245,com.hadt.homepayappnew
246,com.modern.bussimulation.busparking.gt
247,com.artoon.indianrummyoffline
248,digital.storegaming
249,com.tes.total.evaluation.system
