,0
0,com.geargames.aow
1,com.fireplusteam.bunsinvasionlitehd
2,com.melesta.toydefense2
3,com.herocraft.game.free.stww2_sandbox
4,ru.appscraft.worldwar2
5,kingdom.strategy.alexander
6,com.valkyrie.vagrantcommander
7,com.naturalmotion.dawnoftitans
8,com.camelgames.superking
9,com.paradoxplaza.lassie
10,com.herocraft.game.ww2
11,com.worldwar2.strategygames.ww2.sd
12,com.testa.medievaldynasty
13,com.zillionwhales.mushroomwars2
14,com.herocraft.spacewolf
15,com.xyrality.lkclient
16,air.com.innogames.grepolis
17,com.herocraft.game.free.medieval
18,com.erepubliklabs.ww1
19,com.easytech.rome.android
20,com.gg.moduleTd
21,com.xigmagames.thebonfireFL
22,com.innogames.foeandroid
23,com.aegisinteractive.goo
24,com.corrodinggames.rts
25,com.european.war.conqueror.napoleon
26,com.fireflystudios.strongholdkingdoms
27,com.skeeze.islanddefense.lite
28,com.first.napoleon
29,com.easytech.gogh
30,com.sega.twbkingdom
31,com.BendisGames.TERRANOVAStrategyOfSurvival
32,com.bytro.callofwar1942
33,com.totalbattle
34,com.kocogames.wartroops1917
35,com.GyroGames.FantasyTD
36,com.gameloft.android.ANMP.GloftW2HM
37,com.millionvictories.games.millionlords
38,com.TibetanLiss.pd3
39,net.mantisshrimp.warlords
40,com.asmodeedigital.onitama
41,com.trinitigame.android.warconquer
42,com.herocraft.game.free.darkages
43,com.ea.gp.candcwarzones
44,com.qumaron.riseofromanrempire
45,com.zynga.empires2
46,com.ironhidegames.android.ironmarines
47,com.easytech.gog
48,com.abuksigun.rpg_prototype
49,com.bytro.supremacy1914
50,ru.crazypanda.MMOStrategy
51,air.com.mildright.AncientEmpire
52,ru.strategy_games.worldwar2
53,com.GrumpyGames.TheSmallWarOnline
54,com.warlight
55,com.HomeNetGames.Shogun
56,com.nexonm.dominations.adk
57,com.ankama.tactilwar
58,com.good.GalaxyReaversGame
59,com.gameloft.android.ANMP.GloftZSHM
60,com.simutronics.b17
61,kr.co.angames.astrokings.google.android
62,ru.strategy_games.second_world_war
63,com.oxiwyle.kievanrusageofempires
64,com.gameloft.android.ANMP.GloftGHHM
65,air.com.goodgamestudios.empirefourkingdoms
66,org.imperiaonline.android.v6
67,com.generagames.gladiatorheroes
68,com.ironhidegames.android.kingdomrush
69,air.escapegamestudio.EscapeGameStrategy
70,gl.fx.galaxycontrol
71,com.goodgamestudios.ageofknights
72,com.wb.goog.got.conquest
73,com.cle.roc
74,com.atsoft.ageofottoman
75,com.easytech.fortresshd
76,air.com.fs.clashofarmies.ClashofArmiesAndroid
77,com.easytech.wc3
78,com.flaregames.olympusrising
79,com.zts.ageofstrategy
80,com.easytech.fortress
81,com.special.riseofempires.strategygames
82,com.babeltimeus.legendstd
83,com.ninjakiwi.bftg
84,com.foggybus.battletime
85,com.Sateda
86,com.erepubliklabs.warandpeace
87,com.easytech.wc4.android
88,com.mobirix.MultiplyWar
89,com.gcenter.kingofdefense.battle.frontier.td
90,cn.xishanju.google.strangeworld
91,com.tap4fun.callofsparta
92,com.leme.coe
93,com.chillingo.moderncommand.android.rowgplay
94,air.com.midjiwan.polytopia
95,com.melesta.toydefense
96,com.oxiwyle.kievanrusageofcolonization
97,com.togglegear.game.hexonia
98,com.fireplusteam.bunsinvasionlite
99,com.melesta.toydefense3
100,net.defensezone3
101,com.hg.burningbridgesfree
102,org.ovh.SpaceSTG3
103,com.hg.pacificfrontfree
104,com.gamebeartech.nova
105,com.mobirix.battlefieldcommander
106,com.amtgames.strategy.battle.galaxy
107,com.kocogames.wartroops
108,com.easytech.ew4
109,com.stereo7games.steampunk
110,com.easytech.android.ew6w
111,com.plarium.military
112,com.skizze.wwii
113,games.wellplayed.apocalypse.android
114,com.kingsgroup.sos
115,com.herocraft.game.lod
116,com.webgames.lust
117,com.Everguild.HorusHeresy
118,com.czechgames.tta
119,com.HomeNetGames.HexHeroes
120,com.igindis.europeempire2027
121,com.aurumdust.ashofgods
122,com.plarium.tdreborn
123,com.gameloft.android.ANMP.GloftMTHM
124,com.magenta.TacticDefense
125,com.joycrafter.worldwarfare.gp
126,com.empire.grow.rome
127,com.kixeye.wcm
128,com.gg.moduleTd2
129,air.air.RedSun
130,com.redunitstudios.warbandsbushido
131,com.pg.war.glsa
132,com.wardrumstudios.auralux2
133,com.topwar.gp
134,com.frontline.frontlinertm
135,com.feelingtouch.dipan.slggameglobal
136,com.doradogames.conflictnations.worldwar3
137,com.d3go.gijoewaroncobra
138,com.eRepublikLabs.AgeOfLords
139,net.defensezone.first
140,com.stanko.thealliance
141,com.easytech.wc2
142,com.TibetanLiss.pdTa
143,com.divmob.aodonline
144,com.ageofconquest.app.user.aoc
145,com.dreamotion.roadtovalor
146,com.ParallelSpace.Cerberus
147,com.easytech.ggphd
148,com.ib.SD
149,com.dreamgate.steampunktower2.android
150,com.hg.frozenfrontfree
151,com.flaregames.projectmacro
